table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_projected_worldwide_r_d_cost_paid_for_by_company,field_projected_worldwide_r_d_cost_paid_for_by_others,field_projected_domestic_r_d_cost_paid_for_by_company_total,field_projected_domestic_r_d_cost_paid_for_by_company_purchased_and_collaborative_r_d,field_projected_domestic_r_d_cost_paid_for_by_company_r_d_performed_by_the_company,field_projected_domestic_r_d_cost_paid_for_by_others_total,field_projected_domestic_r_d_cost_paid_for_by_others_u_s_government,field_projected_domestic_r_d_cost_paid_for_by_others_non_u_s_government_sources,field_projected_foreign_r_d_cost_paid_for_by_the_company
778,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['1,244', 'i']","['85', '&nbsp;']","['D', '&nbsp;']","['84', 'i']","['D', '&nbsp;']","['84', '&nbsp;']","['17', 'i']","['67', '&nbsp;']","['D', '&nbsp;']"
778,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['433,478', '&nbsp;']","['73,844', '&nbsp;']","['347,502', '&nbsp;']","['37,878', '&nbsp;']","['309,624', '&nbsp;']","['59,333', '&nbsp;']","['26,156', '&nbsp;']","['33,177', '&nbsp;']","['85,977', '&nbsp;']"
778,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
778,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,"['2,935', 'i']","['1,121', 'i']","['2,664', 'i']","['421', 'i']","['2,242', 'i']","['1,039', 'i']","['416', 'i']","['622', 'i']","['272', 'i']"
778,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
778,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['6,210', 'i']","['1,500', 'i']","['6,000', 'i']","['1,042', '&nbsp;']","['4,959', 'i']","['1,311', 'i']","['331', 'i']","['980', 'i']","['210', '&nbsp;']"
778,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['10,860', 'i']","['2,604', 'i']","['10,340', 'i']","['1,526', '&nbsp;']","['8,813', 'i']","['2,209', 'i']","['920', '&nbsp;']","['1,289', 'i']","['521', '&nbsp;']"
778,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
778,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['12,075', '&nbsp;']","['3,427', '&nbsp;']","['11,465', '&nbsp;']","['1,698', 'i']","['9,767', 'i']","['3,127', '&nbsp;']","['585', '&nbsp;']","['2,542', '&nbsp;']","['610', '&nbsp;']"
778,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['16,162', '&nbsp;']","['3,131', '&nbsp;']","['14,391', '&nbsp;']","['2,410', '&nbsp;']","['11,981', '&nbsp;']","['2,641', '&nbsp;']","['1,141', '&nbsp;']","['1,500', '&nbsp;']","['1,771', '&nbsp;']"
778,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
778,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['15,248', '&nbsp;']","['2,108', '&nbsp;']","['13,376', '&nbsp;']","['1,252', '&nbsp;']","['12,124', '&nbsp;']","['1,884', '&nbsp;']","['518', '&nbsp;']","['1,366', '&nbsp;']","['1,872', '&nbsp;']"
778,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['17,790', '&nbsp;']","['2,526', 'i']","['15,023', '&nbsp;']","['1,003', '&nbsp;']","['14,020', '&nbsp;']","['2,151', 'i']","['210', '&nbsp;']","['1,941', 'i']","['2,767', '&nbsp;']"
778,r085,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['74,697', '&nbsp;']","['12,066', '&nbsp;']","['57,942', '&nbsp;']","['3,598', '&nbsp;']","['54,344', '&nbsp;']","['9,344', '&nbsp;']","['1,842', 'i']","['7,501', '&nbsp;']","['16,754', '&nbsp;']"
778,r086,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['45,596', '&nbsp;']","['6,740', '&nbsp;']","['35,937', '&nbsp;']","['3,889', '&nbsp;']","['32,048', '&nbsp;']","['4,617', '&nbsp;']","['978', '&nbsp;']","['3,639', '&nbsp;']","['9,659', '&nbsp;']"
778,r087,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['74,090', '&nbsp;']","['14,845', '&nbsp;']","['60,024', 'i']","['10,722', 'i']","['49,302', '&nbsp;']","['11,713', '&nbsp;']","['4,275', '&nbsp;']","['7,438', '&nbsp;']","['14,066', '&nbsp;']"
778,r088,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['157,816', '&nbsp;']","['23,776', '&nbsp;']","['120,341', '&nbsp;']","['10,318', '&nbsp;']","['110,022', 'i']","['19,297', '&nbsp;']","['14,939', '&nbsp;']","['4,358', '&nbsp;']","['37,475', '&nbsp;']"
