table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
2097,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,899', '&nbsp;']","['2,431', '&nbsp;']","['2,366', '&nbsp;']","['2,434', 'i ']","['339', '  ']","['1,444', 'i ']"
2097,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['894', '&nbsp;']","['875', '&nbsp;']","['1,980', '&nbsp;']","['1,666', '&nbsp;']","['2,455', '&nbsp;']","['1,764', '&nbsp;']","['3,557', 'i']","['3,253', '  ']","['3,760', '  ']","['5,198', '  ']"
2097,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['1,581', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,188', 'i']","['1,919', 'i']","['6,971', 'i']","['1,858', '  ']","['0 - 100,602', 'i ']","['1,685', '  ']"
2097,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['345', '&nbsp;']","['395', '&nbsp;']","['565', '&nbsp;']","['1,526', '&nbsp;']","['762', '&nbsp;']","['926', '&nbsp;']","['1,365', '&nbsp;']","['1,381', '  ']","['3,231', 'i ']","['3,720', '  ']"
2097,r060,"All business activities -> Military armored vehicle, tank, and tank components manufacturing",All business activities,"Military armored vehicle, tank, and tank components manufacturing",2,33692,"['249', '&nbsp;']","['462', '&nbsp;']","['D', '&nbsp;']","['484', '&nbsp;']","['224', '&nbsp;']","['164', '&nbsp;']","['2,608', '&nbsp;']","['D', '  ']","['78', '  ']","['1,638', 'i ']"
2097,r061,All business activities -> All other transportation equipment manufacturing,All business activities,All other transportation equipment manufacturing,2,33699,"['2,382', '&nbsp;']","['895', '&nbsp;']","['1,929', '&nbsp;']","['2,349', '&nbsp;']","['2,212', '&nbsp;']","['13,125', '&nbsp;']","['D', '&nbsp;']","['3,093', '  ']","['2,495', '  ']","['3,111', '  ']"
2097,r062,All business activities -> Furniture and related products manufacturing,All business activities,Furniture and related products manufacturing,2,33700,"['7,183', '&nbsp;']","['4,342', '&nbsp;']","['4,610', '&nbsp;']","['6,151', '&nbsp;']","['6,272', '&nbsp;']","['5,960', '&nbsp;']","['6,085', '&nbsp;']","['5,506', '  ']","['5,625', '  ']","['3,828', '  ']"
2097,r063,All business activities -> Medical equipment and supplies manufacturing,All business activities,Medical equipment and supplies manufacturing,2,33910,"['58,419', '&nbsp;']","['57,025', '&nbsp;']","['73,646', '&nbsp;']","['79,038', '&nbsp;']","['80,885', '&nbsp;']","['77,466', '&nbsp;']","['78,288', '&nbsp;']","['81,056', '  ']","['78,407', '  ']","['83,487', '  ']"
2097,r064,"All business activities -> Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",All business activities,"Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",2,33990,"['41,981', '&nbsp;']","['29,242', '&nbsp;']","['30,526', '&nbsp;']","['D', '&nbsp;']","['37,781', '&nbsp;']","['47,716', '&nbsp;']","['43,898', '&nbsp;']","['D', '  ']","['45,531', 'i ']","['34,512', '  ']"
2097,r065,"All business activities -> Merchant wholesalers, durable goods",All business activities,"Merchant wholesalers, durable goods",2,42300,"['174,168', '&nbsp;']","['116,754', '&nbsp;']","['127,763', '&nbsp;']","['42,957', '&nbsp;']","['25,213', '&nbsp;']","['25,149', 'i']","['18,514', '&nbsp;']","['27,926', '  ']","['26,876', '  ']","['63,303', '  ']"
