table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
5418,r297,All institutions -> Texas Southern U.,All institutions,Texas Southern U.,2,296,"['4,782', '']","['2,941', '']","['1,048', '']","['789', '']","['0', '']","['4', '']","['0', '']"
5418,r298,All institutions -> U. Wisconsin-Stevens Point,All institutions,U. Wisconsin-Stevens Point,2,297,"['4,764', '']","['2,193', '']","['932', '']","['1,044', '']","['3', '']","['341', '']","['251', '']"
5418,r299,All institutions -> U. of the District of Columbia,All institutions,U. of the District of Columbia,2,298,"['4,590', '']","['2,664', '']","['0', '']","['1,922', '']","['0', '']","['0', '']","['4', '']"
5418,r300,All institutions -> National Defense U.,All institutions,National Defense U.,2,299,"['4,583', '']","['4,583', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5418,r301,"All institutions -> Southern U. and A&M C., Agricultural Research and Extension Center",All institutions,"Southern U. and A&M C., Agricultural Research and Extension Center",2,300,"['4,475', '']","['2,085', '']","['2,338', '']","['52', '']","['0', '']","['0', '']","['0', '']"
5418,r302,All institutions -> Dakota State U.,All institutions,Dakota State U.,2,301,"['4,412', '']","['3,957', '']","['34', '']","['220', '']","['192', '']","['9', '']","['0', '']"
5418,r303,All institutions -> Lamar U.,All institutions,Lamar U.,2,302,"['4,327', '']","['2,146', '']","['1,309', '']","['136', '']","['281', '']","['455', '']","['0', '']"
5418,r304,"All institutions -> California State U., Chico",All institutions,"California State U., Chico",2,303,"['4,305', '']","['2,520', '']","['747', '']","['491', '']","['16', '']","['148', '']","['383', '']"
5418,r305,All institutions -> Oregon Institute of Technology,All institutions,Oregon Institute of Technology,2,304,"['4,267', '']","['326', '']","['2,119', '']","['561', '']","['976', '']","['285', '']","['0', '']"
5418,r306,All institutions -> Stockton U.,All institutions,Stockton U.,2,305,"['4,236', '']","['872', '']","['2,235', '']","['1,008', '']","['0', '']","['121', '']","['0', '']"
5418,r307,All institutions -> Texas A&M U.-Commerce,All institutions,Texas A&M U.-Commerce,2,306,"['4,166', '']","['1,226', '']","['313', '']","['2,252', '']","['46', '']","['205', '']","['124', '']"
5418,r308,"All institutions -> CUNY, Lehman C.",All institutions,"CUNY, Lehman C.",2,307,"['4,154', '']","['3,197', '']","['0', '']","['500', '']","['82', '']","['44', '']","['331', '']"
5418,r309,All institutions -> Texas Woman's U.,All institutions,Texas Woman's U.,2,308,"['4,135', '']","['1,700', '']","['699', '']","['1,058', '']","['59', '']","['619', '']","['0', '']"
5418,r310,All institutions -> Youngstown State U.,All institutions,Youngstown State U.,2,309,"['4,120', '']","['3,308', '']","['128', '']","['560', '']","['107', '']","['17', '']","['0', '']"
5418,r311,"All institutions -> Rutgers, State U. New Jersey, Camden",All institutions,"Rutgers, State U. New Jersey, Camden",2,310,"['3,950', '']","['1,952', '']","['91', '']","['1,136', '']","['166', '']","['603', '']","['2', '']"
5418,r312,"All institutions -> U. North Carolina, general administration",All institutions,"U. North Carolina, general administration",2,311,"['3,942', '']","['572', '']","['3,370', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5418,r313,"All institutions -> Southern U. and A&M C., Baton Rouge",All institutions,"Southern U. and A&M C., Baton Rouge",2,312,"['3,849', '']","['2,996', '']","['23', '']","['441', '']","['389', '']","['0', '']","['0', '']"
5418,r314,All institutions -> South Carolina State U.,All institutions,South Carolina State U.,2,313,"['3,796', 'i']","['3,796', 'i']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
5418,r315,All institutions -> U. Northern Colorado,All institutions,U. Northern Colorado,2,314,"['3,738', '']","['1,853', '']","['262', '']","['1,267', '']","['8', '']","['348', '']","['0', '']"
5418,r316,"All institutions -> CUNY, C. Staten Island",All institutions,"CUNY, C. Staten Island",2,315,"['3,682', '']","['2,295', '']","['603', '']","['483', '']","['2', '']","['84', '']","['215', '']"
5418,r317,All institutions -> Stephen F. Austin State U.,All institutions,Stephen F. Austin State U.,2,316,"['3,672', '']","['1,257', '']","['1,316', '']","['703', '']","['32', '']","['206', '']","['158', '']"
5418,r318,All institutions -> Towson U.,All institutions,Towson U.,2,317,"['3,612', '']","['2,010', '']","['126', '']","['1,185', '']","['15', '']","['156', '']","['120', '']"
5418,r319,"All institutions -> U. Washington, Tacoma",All institutions,"U. Washington, Tacoma",2,318,"['3,504', '']","['3,075', '']","['120', '']","['207', '']","['0', '']","['102', '']","['0', '']"
5418,r320,"All institutions -> SUNY, C. of Optometry",All institutions,"SUNY, C. of Optometry",2,319,"['3,477', '']","['1,688', '']","['0', '']","['524', '']","['1,233', '']","['10', '']","['22', '']"
5418,r321,All institutions -> U. Central Arkansas,All institutions,U. Central Arkansas,2,320,"['3,455', '']","['1,421', '']","['865', '']","['1,054', '']","['50', '']","['65', '']","['0', '']"
5418,r322,"All institutions -> U. Illinois, Springfield",All institutions,"U. Illinois, Springfield",2,321,"['3,406', '']","['976', '']","['1,352', '']","['996', '']","['26', '']","['56', '']","['0', '']"
5418,r323,"All institutions -> California State U., Maritime Academy",All institutions,"California State U., Maritime Academy",2,322,"['3,202', '']","['621', '']","['151', '']","['85', '']","['2,345', '']","['0', '']","['0', '']"
5418,r324,"All institutions -> Colorado State U., Pueblo",All institutions,"Colorado State U., Pueblo",2,323,"['3,104', '']","['1,161', '']","['1,791', '']","['152', '']","['0', '']","['0', '']","['0', '']"
5418,r325,All institutions -> Texas A&M International U.,All institutions,Texas A&M International U.,2,324,"['3,067', '']","['986', '']","['707', '']","['647', '']","['63', '']","['637', '']","['27', '']"
5418,r326,All institutions -> St. Cloud State U.,All institutions,St. Cloud State U.,2,325,"['3,056', '']","['459', '']","['366', '']","['1,358', '']","['536', '']","['337', '']","['0', '']"
5418,r327,All institutions -> Murray State U.,All institutions,Murray State U.,2,326,"['3,019', '']","['1,929', '']","['37', '']","['1,007', '']","['46', '']","['0', '']","['0', '']"
5418,r328,All institutions -> U. Northern Iowa,All institutions,U. Northern Iowa,2,327,"['2,970', '']","['1,881', '']","['343', '']","['702', '']","['4', '']","['40', '']","['0', '']"
5418,r329,All institutions -> Austin Peay State U.,All institutions,Austin Peay State U.,2,328,"['2,833', '']","['475', '']","['1,329', '']","['908', '']","['1', '']","['106', '']","['14', '']"
5418,r330,All institutions -> Fayetteville State U.,All institutions,Fayetteville State U.,2,329,"['2,797', '']","['1,008', '']","['421', '']","['1,185', '']","['123', '']","['60', '']","['0', '']"
5418,r331,All institutions -> U. Wisconsin-La Crosse,All institutions,U. Wisconsin-La Crosse,2,330,"['2,795', '']","['817', '']","['848', '']","['434', '']","['455', '']","['234', '']","['7', '']"
5418,r332,"All institutions -> Minnesota State U., Mankato",All institutions,"Minnesota State U., Mankato",2,331,"['2,754', '']","['525', '']","['121', '']","['1,071', '']","['0', '']","['885', '']","['152', '']"
5418,r333,All institutions -> Northwest Indian C.,All institutions,Northwest Indian C.,2,332,"['2,708', 'i']","['2,497', 'i']","['0', 'i']","['36', 'i']","['0', 'i']","['175', 'i']","['0', 'i']"
5418,r334,All institutions -> Western Carolina U.,All institutions,Western Carolina U.,2,333,"['2,696', '']","['1,707', '']","['228', '']","['479', '']","['121', '']","['161', '']","['0', '']"
5418,r335,All institutions -> Northern Kentucky U.,All institutions,Northern Kentucky U.,2,334,"['2,693', '']","['1,462', '']","['86', '']","['854', '']","['5', '']","['286', '']","['0', '']"
5418,r336,All institutions -> Central Washington U.,All institutions,Central Washington U.,2,335,"['2,674', '']","['1,701', '']","['242', '']","['336', '']","['102', '']","['211', '']","['82', '']"
5418,r337,"All institutions -> U. Nebraska, Kearney",All institutions,"U. Nebraska, Kearney",2,336,"['2,640', '']","['1,259', '']","['330', '']","['961', '']","['39', '']","['17', '']","['34', '']"
5418,r338,All institutions -> Christopher Newport U.,All institutions,Christopher Newport U.,2,337,"['2,608', '']","['1,365', '']","['17', '']","['903', '']","['108', '']","['98', '']","['117', '']"
5418,r339,"All institutions -> U. South Carolina, Aiken",All institutions,"U. South Carolina, Aiken",2,338,"['2,590', '']","['2,328', '']","['0', '']","['255', '']","['0', '']","['7', '']","['0', '']"
5418,r340,All institutions -> Alabama State U.,All institutions,Alabama State U.,2,339,"['2,582', '']","['2,582', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5418,r341,All institutions -> Western Illinois U.,All institutions,Western Illinois U.,2,340,"['2,461', '']","['1,801', '']","['168', '']","['254', '']","['217', '']","['0', '']","['21', '']"
5418,r342,All institutions -> Grambling State U.,All institutions,Grambling State U.,2,341,"['2,427', '']","['787', '']","['560', '']","['1,080', '']","['0', '']","['0', '']","['0', '']"
