table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_domestic_r_d_total,field_domestic_r_d_structures,field_domestic_r_d_equipment,field_domestic_r_d_capitalized_software,field_domestic_r_d_all_other
1422,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['2,300', '  ']","['150', 'i ']","['5', 'i ']","['110', 'i ']","['35', 'i ']","['*', 'i']"
1422,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['19,040', '  ']","['228', 'i ']","['1', 'i ']","['64', 'i ']","['160', 'i ']","['3', 'i']"
1422,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['560,900', '  ']","['25,248', '  ']","['3,072', '  ']","['11,839', '  ']","['6,793', '  ']","['3,543', ' ']"
1422,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1422,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,"['556', 'i ']","['75', '  ']","['9', '  ']","['44', '  ']","['6', 'i ']","['16', ' ']"
1422,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1422,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['2,967', 'i ']","['315', '  ']","['20', '  ']","['186', '  ']","['26', 'i ']","['83', ' ']"
1422,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['8,005', 'i ']","['542', 'i ']","['41', 'i ']","['283', 'i ']","['119', 'i ']","['99', ' ']"
1422,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1422,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['13,984', 'i ']","['520', '  ']","['60', '  ']","['254', '  ']","['102', '  ']","['104', ' ']"
1422,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['20,113', 'i ']","['1,212', '  ']","['86', '  ']","['489', '  ']","['170', 'i ']","['468', ' ']"
1422,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1422,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['26,216', 'i ']","['1,337', '  ']","['116', '  ']","['597', '  ']","['371', '  ']","['253', ' ']"
1422,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['17,807', '  ']","['1,110', '  ']","['66', 'i ']","['546', '  ']","['279', '  ']","['218', ' ']"
1422,r085,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['64,733', '  ']","['4,208', '  ']","['606', '  ']","['1,967', '  ']","['1,136', '  ']","['499', ' ']"
1422,r086,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['53,985', '  ']","['2,849', '  ']","['445', '  ']","['1,466', '  ']","['587', 'i ']","['351', ' ']"
1422,r087,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['105,334', '  ']","['5,326', '  ']","['804', '  ']","['1,928', '  ']","['1,532', '  ']","['1,062', 'i']"
1422,r088,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['247,200', '  ']","['7,754', '  ']","['820', '  ']","['4,079', '  ']","['2,465', '  ']","['390', 'i']"
