table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
8797,r102,All business activities -> Administrative and support services,All business activities,Administrative and support services,2,56100,"['3,806', '  ']"
8797,r103,All business activities -> Waste management and remediation services,All business activities,Waste management and remediation services,2,56200,"['0 - 18,774', '  ']"
8797,r104,All business activities -> Offices of physicians,All business activities,Offices of physicians,2,62110,"['195', '  ']"
8797,r105,All business activities -> Medical and diagnostic laboratories,All business activities,Medical and diagnostic laboratories,2,62150,"['1,633', 'i ']"
8797,r106,"All business activities -> Other ambulatory health care services (ambulance, dental, home health care)",All business activities,"Other ambulatory health care services (ambulance, dental, home health care)",2,62199,"['83', '  ']"
8797,r107,All business activities -> Hospitals and nursing care facilities,All business activities,Hospitals and nursing care facilities,2,62200,"['0 - 18,774', '  ']"
8797,r108,All business activities -> Social assistance services,All business activities,Social assistance services,2,62400,"['0 - 18,774', '  ']"
8797,r109,"All business activities -> Arts, entertainment, and recreation",All business activities,"Arts, entertainment, and recreation",2,71000,"['0 - 18,774', '  ']"
8797,r110,All business activities -> Accommodation and food services,All business activities,Accommodation and food services,2,72000,"['120 - 4,079', '  ']"
8797,r111,All business activities -> Other services (not listed elsewhere),All business activities,Other services (not listed elsewhere),2,81000,"['584', '  ']"
8797,r112,All business activities -> Undistributed,All business activities,Undistributed,2,–,"['0', '&nbsp;']"
