table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_capital_expenditures_total,field_worldwide_capital_expenditures_property_plant_and_equipment,field_worldwide_capital_expenditures_identifiable_intangible_assets,field_foreign_capital_expenditures_total,field_foreign_capital_expenditures_property_plant_and_equipment,field_foreign_capital_expenditures_identifiable_intangible_assets,field_domestic_capital_expenditures_total,field_domestic_capital_expenditures_property_plant_and_equipment,field_domestic_capital_expenditures_identifiable_intangible_assets,field_domestic_capital_expenditures_for_r_d_total,field_domestic_capital_expenditures_for_r_d_property_plant_and_equipment,field_domestic_capital_expenditures_for_r_d_identifiable_intangible_assets,field_domestic_capital_expenditures_for_r_d_type_of_property_land_acquisition,field_domestic_capital_expenditures_for_r_d_type_of_property_buildings_and_land_improvement,field_domestic_capital_expenditures_for_r_d_type_of_property_machinery_and_equipment,field_domestic_capital_expenditures_for_r_d_type_of_property_capitalized_software,field_domestic_capital_expenditures_for_r_d_type_of_property_other_intellectual_property,field_domestic_capital_expenditures_for_r_d_type_of_property_all_other
12316,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['47', '  ']","['32', '  ']","['15', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['47', '  ']","['32', '  ']","['15', '  ']","['1', 'i ']","['1', 'i ']","['*', 'r ']","['0', '  ']","['0', '  ']","['*', 'i ']","['1', 'i ']","['0', '  ']","['*', 'i ']"
12316,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['52,919', '  ']","['38,296', '  ']","['14,623', '  ']","['20,806', '  ']","['16,972', '  ']","['3,834', '  ']","['32,114', '  ']","['21,324', '  ']","['10,789', '  ']","['2,915', '  ']","['2,813', '  ']","['103', 'i ']","['9', 'i ']","['67', 'i ']","['2,477', '  ']","['214', '  ']","['D', '  ']","['D', '  ']"
12316,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['93,881', '  ']","['78,985', '  ']","['14,897', '  ']","['464', '  ']","['426', '  ']","['38', 'i ']","['93,417', '  ']","['78,558', '  ']","['14,859', '  ']","['487', 'i ']","['178', 'i ']","['309', 'i ']","['0', '  ']","['61', 'i ']","['116', 'i ']","['309', 'i ']","['0', '  ']","['*', '  ']"
12316,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['27,744', '  ']","['21,566', '  ']","['6,178', '  ']","['6,190', '  ']","['5,251', '  ']","['939', 'i ']","['21,554', '  ']","['16,315', '  ']","['5,239', '  ']","['1,053', '  ']","['686', '  ']","['367', 'i ']","['4', '  ']","['188', '  ']","['368', '  ']","['304', '  ']","['138', 'i ']","['52', 'i ']"
12316,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['81,962', '  ']","['77,756', '  ']","['4,206', '  ']","['10,839', '  ']","['9,840', '  ']","['999', '  ']","['71,123', '  ']","['67,916', '  ']","['3,207', '  ']","['3,433', 'i ']","['3,410', 'i ']","['23', '  ']","['*', 'i ']","['449', 'i ']","['2,101', '  ']","['50', '  ']","['D', '&nbsp;']","['D', '  ']"
12316,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['29,255', '  ']","['20,891', '  ']","['8,363', '  ']","['2,614', '  ']","['2,377', '  ']","['237', '  ']","['26,641', '  ']","['18,515', '  ']","['8,126', '  ']","['59', 'i ']","['48', 'i ']","['11', '  ']","['0', '  ']","['6', '  ']","['39', '  ']","['5', 'i ']","['8', '  ']","['1', 'i ']"
12316,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['22,173', 'i ']","['22,134', 'i ']","['39', '  ']","['1,088', 'i ']","['1,088', 'i ']","['0', '  ']","['21,085', 'i ']","['21,046', 'i ']","['39', '  ']","['145', 'i ']","['143', 'i ']","['2', 'i ']","['0', '  ']","['7', 'i ']","['135', 'i ']","['3', 'i ']","['0', '  ']","['*', 'i ']"
12316,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['9', 'i ']","['5', 'i ']","['4', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['9', 'i ']","['5', 'i ']","['4', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']"
12316,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['22,164', 'i ']","['22,129', 'i ']","['35', '  ']","['1,088', 'i ']","['1,088', 'i ']","['0', '  ']","['21,076', 'i ']","['21,041', 'i ']","['35', '  ']","['145', 'i ']","['142', 'i ']","['2', 'i ']","['0', '  ']","['7', 'i ']","['135', 'i ']","['3', 'i ']","['0', '  ']","['*', 'i ']"
12316,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['32,407', '  ']","['24,935', '  ']","['7,473', '  ']","['4,886', 'i ']","['4,705', 'i ']","['181', '  ']","['27,522', '  ']","['20,230', '  ']","['7,292', '  ']","['2,370', '  ']","['2,102', '  ']","['269', '  ']","['42', 'i ']","['479', '  ']","['1,311', '  ']","['216', 'i ']","['165', '  ']","['158', '  ']"
12316,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['3,685', '  ']","['3,316', '  ']","['368', 'i ']","['210', '  ']","['209', '  ']","['1', '  ']","['3,475', '  ']","['3,107', '  ']","['368', 'i ']","['91', 'i ']","['83', 'i ']","['8', 'i ']","['0', '  ']","['5', 'i ']","['62', 'i ']","['11', 'i ']","['2', 'i ']","['11', 'i ']"
12316,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['12,835', '  ']","['10,563', '  ']","['2,272', '  ']","['2,417', '  ']","['2,279', '  ']","['139', '  ']","['10,418', '  ']","['8,284', '  ']","['2,133', '  ']","['528', '  ']","['456', '  ']","['72', '  ']","['0', '  ']","['19', '  ']","['362', '  ']","['81', '  ']","['27', '  ']","['40', '  ']"
12316,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['11,166', '  ']","['8,310', 'i ']","['2,856', 'i ']","['1,901', 'i ']","['1,884', 'i ']","['17', 'i ']","['9,266', 'i ']","['6,426', 'i ']","['2,839', 'i ']","['1,423', '  ']","['1,324', '  ']","['98', '  ']","['41', 'i ']","['426', '  ']","['737', '  ']","['54', '  ']","['68', '  ']","['97', '  ']"
12316,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in nanotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in nanotechnology,5,541713,"['157', '  ']","['143', '  ']","['14', 'i ']","['30', 'i ']","['22', '  ']","['8', 'i ']","['127', '  ']","['121', '  ']","['5', '  ']","['21', '  ']","['17', '  ']","['4', '  ']","['*', '  ']","['*', '  ']","['16', '  ']","['*', '  ']","['4', '  ']","['0', '  ']"
12316,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),5,541714,"['3,093', '  ']","['1,466', '  ']","['1,628', '  ']","['26', 'i ']","['26', 'i ']","['0', '  ']","['3,067', '  ']","['1,440', '  ']","['1,628', '  ']","['345', '  ']","['340', '  ']","['5', '  ']","['8', 'i ']","['130', '  ']","['161', '  ']","['26', '  ']","['2', '  ']","['17', '  ']"
12316,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",5,541715,"['7,897', 'i ']","['6,689', 'i ']","['1,208', 'i ']","['1,845', 'i ']","['1,836', 'i ']","['9', 'i ']","['6,052', 'i ']","['4,854', 'i ']","['1,199', 'i ']","['1,055', '  ']","['966', '  ']","['90', '  ']","['32', 'i ']","['295', '  ']","['558', '  ']","['28', 'i ']","['61', '  ']","['80', 'i ']"
12316,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['19', '  ']","['12', '  ']","['7', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['19', '  ']","['12', '  ']","['7', '  ']","['2', '  ']","['2', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['2', '  ']","['0', '  ']","['*', '  ']","['0', '  ']"
12316,r071,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['4,721', '  ']","['2,746', '  ']","['1,976', '  ']","['357', 'i ']","['333', 'i ']","['24', 'i ']","['4,364', '  ']","['2,412', '  ']","['1,952', '  ']","['329', 'i ']","['239', 'i ']","['89', '  ']","['1', 'i ']","['29', 'i ']","['150', '  ']","['70', 'i ']","['68', 'i ']","['10', 'i ']"
12316,r072,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['2,660', '  ']","['2,412', '  ']","['248', '  ']","['87', '  ']","['77', '  ']","['10', '  ']","['2,573', '  ']","['2,336', '  ']","['238', '  ']","['38', '  ']","['34', '  ']","['3', 'i ']","['0', '  ']","['*', 'i ']","['20', 'i ']","['2', 'i ']","['15', '  ']","['*', '  ']"
12316,r073,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['D', '  ']","['D', '  ']","['1,654', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['1', 'i ']","['0', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['2', 'i ']","['D', '&nbsp;']","['19', 'i ']"
12316,r074,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['1,088,280', '  ']","['993,314', '  ']","['94,965', '  ']","['218,741', '  ']","['203,823', '  ']","['14,919', '  ']","['869,538', '  ']","['789,492', '  ']","['80,047', '  ']","['36,069', '  ']","['31,655', '  ']","['4,414', '  ']","['155', '  ']","['5,135', '  ']","['22,228', '  ']","['2,743', '  ']","['3,726', '  ']","['2,082', '  ']"
12316,r075,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12316,r076,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['1,446', 'i ']","['1,177', 'i ']","['269', 'i ']","['97', 'i ']","['67', 'i ']","['30', 'i ']","['1,349', 'i ']","['1,110', 'i ']","['239', 'i ']","['204', 'i ']","['171', 'i ']","['33', '  ']","['2', 'i ']","['26', '  ']","['122', 'i ']","['23', 'i ']","['13', '  ']","['17', '  ']"
12316,r077,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['7,440', '  ']","['6,250', '  ']","['1,190', '  ']","['742', '  ']","['707', '  ']","['35', '  ']","['6,698', '  ']","['5,543', '  ']","['1,154', '  ']","['847', '  ']","['734', '  ']","['114', '  ']","['18', '  ']","['87', '  ']","['583', '  ']","['48', 'i ']","['50', '  ']","['62', '  ']"
12316,r078,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12316,r079,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['10,908', '  ']","['9,326', '  ']","['1,582', 'i ']","['270', '  ']","['246', '  ']","['25', '  ']","['10,638', '  ']","['9,080', '  ']","['1,558', 'i ']","['887', '  ']","['826', '  ']","['61', 'i ']","['16', '  ']","['186', '  ']","['541', '  ']","['65', 'i ']","['27', 'i ']","['52', '  ']"
12316,r080,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['18,109', '  ']","['15,656', '  ']","['2,453', '  ']","['2,810', '  ']","['2,727', '  ']","['83', '  ']","['15,299', '  ']","['12,928', '  ']","['2,371', '  ']","['1,540', '  ']","['1,351', '  ']","['190', '  ']","['8', 'i ']","['268', '  ']","['949', '  ']","['125', '  ']","['110', '  ']","['80', '  ']"
12316,r081,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12316,r082,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['19,195', '  ']","['16,566', '  ']","['2,629', '  ']","['3,808', '  ']","['3,598', '  ']","['210', '  ']","['15,387', '  ']","['12,967', '  ']","['2,419', '  ']","['1,322', '  ']","['1,155', '  ']","['167', '  ']","['3', 'i ']","['262', '  ']","['724', '  ']","['132', '  ']","['123', '  ']","['78', '  ']"
12316,r083,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['30,289', '  ']","['26,822', '  ']","['3,467', '  ']","['2,712', '  ']","['2,270', '  ']","['442', '  ']","['27,577', '  ']","['24,552', '  ']","['3,025', '  ']","['1,729', '  ']","['1,496', '  ']","['233', '  ']","['22', '  ']","['234', '  ']","['974', '  ']","['178', '  ']","['115', '  ']","['206', '  ']"
12316,r084,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['112,088', '  ']","['102,051', '  ']","['10,036', '  ']","['20,756', '  ']","['19,330', '  ']","['1,426', '  ']","['91,332', '  ']","['82,722', '  ']","['8,611', '  ']","['4,944', '  ']","['4,421', '  ']","['523', '  ']","['40', '  ']","['878', '  ']","['2,933', 'i ']","['473', 'i ']","['325', '  ']","['296', '  ']"
12316,r085,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['122,426', '  ']","['115,102', '  ']","['7,324', '  ']","['36,736', '  ']","['33,976', '  ']","['2,761', '  ']","['85,689', '  ']","['81,126', '  ']","['4,563', '  ']","['3,152', '  ']","['2,886', '  ']","['266', 'i ']","['5', 'i ']","['301', '  ']","['2,254', '  ']","['360', '  ']","['113', 'i ']","['119', '  ']"
12316,r086,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['251,493', '  ']","['230,683', '  ']","['20,810', '  ']","['46,829', '  ']","['42,073', '  ']","['4,756', '  ']","['204,664', '  ']","['188,610', '  ']","['16,054', '  ']","['7,313', '  ']","['6,066', '  ']","['1,246', '  ']","['26', '  ']","['1,226', '  ']","['4,286', '  ']","['429', '  ']","['999', '  ']","['346', '  ']"
12316,r087,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['514,887', '  ']","['469,682', '  ']","['45,204', '  ']","['103,981', '  ']","['98,830', '  ']","['5,151', '  ']","['410,906', '  ']","['370,853', '  ']","['40,053', '  ']","['14,131', 'i ']","['12,551', 'i ']","['1,581', '  ']","['16', 'i ']","['1,666', 'i ']","['8,863', '  ']","['909', 'i ']","['1,850', 'i ']","['826', '  ']"
