table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_level_5,sex_and_field_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latinoa,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race,field_temporary_visa_holders
1135,r092,All S&E graduate students -> Female -> Science -> Communication,All S&E graduate students,Female,Science,Communication,,4,8200,707,34,290,952,13,4051,215,388,1550
1135,r093,All S&E graduate students -> Female -> Science -> Computer sciences,All S&E graduate students,Female,Science,Computer sciences,,4,26921,646,31,1652,1316,16,3595,243,867,18555
1135,r094,"All S&E graduate students -> Female -> Science -> Earth, atmospheric, and ocean sciences",All S&E graduate students,Female,Science,"Earth, atmospheric, and ocean sciences",,4,6916,540,32,253,157,15,4102,170,321,1326
1135,r095,"All S&E graduate students -> Female -> Science -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",All S&E graduate students,Female,Science,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,5,533,34,1,27,21,1,282,8,13,146
1135,r096,"All S&E graduate students -> Female -> Science -> Earth, atmospheric, and ocean sciences -> Geosciences",All S&E graduate students,Female,Science,"Earth, atmospheric, and ocean sciences",Geosciences,5,3554,227,19,123,75,7,2124,94,161,724
1135,r097,"All S&E graduate students -> Female -> Science -> Earth, atmospheric, and ocean sciences -> Ocean sciences",All S&E graduate students,Female,Science,"Earth, atmospheric, and ocean sciences",Ocean sciences,5,1603,120,8,60,18,1,1068,37,90,201
1135,r098,"All S&E graduate students -> Female -> Science -> Earth, atmospheric, and ocean sciences -> Earth, atmospheric, and ocean sciences nec",All S&E graduate students,Female,Science,"Earth, atmospheric, and ocean sciences","Earth, atmospheric, and ocean sciences nec",5,1226,159,4,43,43,6,628,31,57,255
1135,r099,All S&E graduate students -> Female -> Science -> Family and consumer sciences and human sciences,All S&E graduate students,Female,Science,Family and consumer sciences and human sciences,,4,3120,277,21,100,441,3,1747,91,96,344
1135,r100,All S&E graduate students -> Female -> Science -> Mathematics and statistics,All S&E graduate students,Female,Science,Mathematics and statistics,,4,10191,364,10,716,258,9,2931,121,283,5499
1135,r101,All S&E graduate students -> Female -> Science -> Mathematics and statistics -> Mathematics and applied mathematics,All S&E graduate students,Female,Science,Mathematics and statistics,Mathematics and applied mathematics,5,6727,302,7,417,203,9,2310,101,229,3149
1135,r102,All S&E graduate students -> Female -> Science -> Mathematics and statistics -> Statistics,All S&E graduate students,Female,Science,Mathematics and statistics,Statistics,5,3464,62,3,299,55,0,621,20,54,2350
1135,r103,All S&E graduate students -> Female -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,Female,Science,Multidisciplinary and interdisciplinary studies,,4,4497,335,27,310,356,11,2114,109,231,1004
1135,r104,All S&E graduate students -> Female -> Science -> Neurobiology and neuroscience,All S&E graduate students,Female,Science,Neurobiology and neuroscience,,4,2791,264,13,290,104,2,1535,64,93,426
1135,r105,All S&E graduate students -> Female -> Science -> Physical sciences,All S&E graduate students,Female,Science,Physical sciences,,4,13240,740,26,807,413,14,5349,199,363,5329
1135,r106,All S&E graduate students -> Female -> Science -> Physical sciences -> Astronomy and astrophysics,All S&E graduate students,Female,Science,Physical sciences,Astronomy and astrophysics,5,482,27,3,33,8,1,260,11,15,124
1135,r107,All S&E graduate students -> Female -> Science -> Physical sciences -> Chemistry,All S&E graduate students,Female,Science,Physical sciences,Chemistry,5,9277,563,19,586,343,11,3799,142,243,3571
1135,r108,All S&E graduate students -> Female -> Science -> Physical sciences -> Physics,All S&E graduate students,Female,Science,Physical sciences,Physics,5,3204,127,3,175,47,2,1167,44,98,1541
1135,r109,All S&E graduate students -> Female -> Science -> Physical sciences -> Physical sciences nec,All S&E graduate students,Female,Science,Physical sciences,Physical sciences nec,5,277,23,1,13,15,0,123,2,7,93
1135,r110,All S&E graduate students -> Female -> Science -> Psychology,All S&E graduate students,Female,Science,Psychology,,4,35492,5206,162,1758,2880,68,20107,1050,1968,2293
1135,r111,All S&E graduate students -> Female -> Science -> Psychology -> Clinical psychology,All S&E graduate students,Female,Science,Psychology,Clinical psychology,5,6473,1164,31,360,423,12,3586,191,447,259
1135,r112,"All S&E graduate students -> Female -> Science -> Psychology -> Psychology, general",All S&E graduate students,Female,Science,Psychology,"Psychology, general",5,8633,1037,34,472,751,18,4957,252,422,690
1135,r113,All S&E graduate students -> Female -> Science -> Psychology -> Psychology nec,All S&E graduate students,Female,Science,Psychology,Psychology nec,5,20386,3005,97,926,1706,38,11564,607,1099,1344
1135,r114,All S&E graduate students -> Female -> Science -> Social sciences,All S&E graduate students,Female,Science,Social sciences,,4,54074,5500,348,2616,6508,143,23777,1380,2663,11139
1135,r115,All S&E graduate students -> Female -> Science -> Social sciences -> Agricultural economics,All S&E graduate students,Female,Science,Social sciences,Agricultural economics,5,770,30,1,25,20,0,260,8,18,408
1135,r116,All S&E graduate students -> Female -> Science -> Social sciences -> Anthropology,All S&E graduate students,Female,Science,Social sciences,Anthropology,5,4806,405,56,158,170,11,2918,176,328,584
1135,r117,All S&E graduate students -> Female -> Science -> Social sciences -> Economics (except agricultural),All S&E graduate students,Female,Science,Social sciences,Economics (except agricultural),5,5313,163,3,272,141,0,1018,59,154,3503
1135,r118,All S&E graduate students -> Female -> Science -> Social sciences -> Geography,All S&E graduate students,Female,Science,Social sciences,Geography,5,1924,137,17,71,71,1,1053,38,104,432
1135,r119,All S&E graduate students -> Female -> Science -> Social sciences -> History and philosophy of science,All S&E graduate students,Female,Science,Social sciences,History and philosophy of science,5,185,4,0,7,4,1,123,3,4,39
1135,r120,All S&E graduate students -> Female -> Science -> Social sciences -> Linguistics,All S&E graduate students,Female,Science,Social sciences,Linguistics,5,1914,163,15,135,52,1,808,45,75,620
1135,r121,All S&E graduate students -> Female -> Science -> Social sciences -> Political science and government,All S&E graduate students,Female,Science,Social sciences,Political science and government,5,24392,2654,139,1331,3660,83,10922,588,1316,3699
1135,r122,All S&E graduate students -> Female -> Science -> Social sciences -> Sociology,All S&E graduate students,Female,Science,Social sciences,Sociology,5,5048,601,29,241,612,10,2485,146,212,712
1135,r123,All S&E graduate students -> Female -> Science -> Social sciences -> Sociology and anthropology,All S&E graduate students,Female,Science,Social sciences,Sociology and anthropology,5,145,16,1,4,29,1,60,1,24,9
1135,r124,All S&E graduate students -> Female -> Science -> Social sciences -> Social sciences nec,All S&E graduate students,Female,Science,Social sciences,Social sciences nec,5,9577,1327,87,372,1749,35,4130,316,428,1133
1135,r125,All S&E graduate students -> Female -> Engineering,All S&E graduate students,Female,Engineering,,,3,41355,1780,71,2812,1069,24,10314,522,1028,23735
1135,r126,All S&E graduate students -> Female -> Engineering -> Aerospace engineering,All S&E graduate students,Female,Engineering,Aerospace engineering,,4,794,38,1,62,17,1,331,9,15,320
1135,r127,All S&E graduate students -> Female -> Engineering -> Agricultural engineering,All S&E graduate students,Female,Engineering,Agricultural engineering,,4,649,20,4,28,23,0,199,9,11,355
1135,r128,All S&E graduate students -> Female -> Engineering -> Architecture,All S&E graduate students,Female,Engineering,Architecture,,4,804,54,3,46,42,0,274,4,21,360
1135,r129,All S&E graduate students -> Female -> Engineering -> Biomedical engineering,All S&E graduate students,Female,Engineering,Biomedical engineering,,4,4207,247,7,554,134,3,1573,91,163,1435
1135,r130,All S&E graduate students -> Female -> Engineering -> Chemical engineering,All S&E graduate students,Female,Engineering,Chemical engineering,,4,3273,110,5,281,81,0,818,36,81,1861
1135,r131,All S&E graduate students -> Female -> Engineering -> Civil engineering,All S&E graduate students,Female,Engineering,Civil engineering,,4,6200,394,13,338,130,4,2000,102,193,3026
