table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11232,r988,All institutions -> Florida Southern C.,All institutions,Florida Southern C.,2,987,143,0,0,0,0,143
11232,r989,All institutions -> Mercyhurst U.,All institutions,Mercyhurst U.,2,988,142,142,0,0,0,0
11232,r990,All institutions -> Andrews U.,All institutions,Andrews U.,2,989,138,138,0,0,0,0
11232,r991,All institutions -> Harrisburg U. Science and Technology,All institutions,Harrisburg U. Science and Technology,2,990,135,135,0,0,0,0
11232,r992,All institutions -> Saint Michael's C.,All institutions,Saint Michael's C.,2,991,134,134,0,0,0,0
11232,r993,All institutions -> Salem State U.,All institutions,Salem State U.,2,992,134,134,0,0,0,0
11232,r994,"All institutions -> Emmanuel C., Boston",All institutions,"Emmanuel C., Boston",2,993,129,129,0,0,0,0
11232,r995,All institutions -> Macalester C.,All institutions,Macalester C.,2,994,128,128,0,0,0,0
11232,r996,All institutions -> Virginia Union U.,All institutions,Virginia Union U.,2,995,125,125,0,0,0,0
11232,r997,All institutions -> Concord U.,All institutions,Concord U.,2,996,125,3,0,0,123,0
11232,r998,All institutions -> Texas Wesleyan U.,All institutions,Texas Wesleyan U.,2,996,125,3,0,0,123,0
11232,r999,All institutions -> Northwest Missouri State U.,All institutions,Northwest Missouri State U.,2,998,120,120,0,0,0,0
11232,r1000,All institutions -> Centre C.,All institutions,Centre C.,2,999,120,120,0,0,0,0
11232,r1001,"All institutions -> Augustana U., Sioux Falls",All institutions,"Augustana U., Sioux Falls",2,1000,120,120,0,0,0,0
11232,r1002,All institutions -> Northland Community and Technical C.,All institutions,Northland Community and Technical C.,2,1001,119,24,0,0,95,0
11232,r1003,All institutions -> Eastern Mennonite U.,All institutions,Eastern Mennonite U.,2,1002,117,0,0,0,117,0
11232,r1004,"All institutions -> Central Lakes C., Brainerd",All institutions,"Central Lakes C., Brainerd",2,1003,115,23,0,0,92,0
11232,r1005,All institutions -> Forsyth Technical Community C.,All institutions,Forsyth Technical Community C.,2,1004,113,23,0,0,90,0
11232,r1006,All institutions -> Chatham U.,All institutions,Chatham U.,2,1005,112,112,0,0,0,0
11232,r1007,All institutions -> Harding U.,All institutions,Harding U.,2,1006,111,111,0,0,0,0
11232,r1008,All institutions -> Fitchburg State U.,All institutions,Fitchburg State U.,2,1007,109,109,0,0,0,0
11232,r1009,All institutions -> Nicholls State U.,All institutions,Nicholls State U.,2,1008,104,104,0,0,0,0
11232,r1010,All institutions -> Elon U.,All institutions,Elon U.,2,1009,102,102,0,0,0,0
11232,r1011,All institutions -> Lewis and Clark Community C.,All institutions,Lewis and Clark Community C.,2,1010,100,100,0,0,0,0
11232,r1012,All institutions -> Texas C.,All institutions,Texas C.,2,1011,100,100,0,0,0,0
11232,r1013,All institutions -> U. Houston-Victoria,All institutions,U. Houston-Victoria,2,1011,100,25,0,0,75,0
11232,r1014,All institutions -> Western Colorado U.,All institutions,Western Colorado U.,2,1011,100,100,0,0,0,0
11232,r1015,All institutions -> Florida Memorial U.,All institutions,Florida Memorial U.,2,1014,100,50,0,0,50,0
11232,r1016,"All institutions -> California State U., system office",All institutions,"California State U., system office",2,1015,97,89,0,0,8,0
11232,r1017,All institutions -> Universities Research Association,All institutions,Universities Research Association,2,1016,96,96,0,0,0,0
11232,r1018,"All institutions -> Wheaton C., Wheaton",All institutions,"Wheaton C., Wheaton",2,1017,96,96,0,0,0,0
11232,r1019,All institutions -> U. Wisconsin-Superior,All institutions,U. Wisconsin-Superior,2,1018,93,93,0,0,0,0
11232,r1020,All institutions -> Quincy U.,All institutions,Quincy U.,2,1019,92,23,0,0,69,0
11232,r1021,All institutions -> Oregon Institute of Technology,All institutions,Oregon Institute of Technology,2,1020,89,89,0,0,0,0
11232,r1022,All institutions -> Jacksonville U.,All institutions,Jacksonville U.,2,1021,88,65,0,0,0,24
11232,r1023,All institutions -> Grand View U.,All institutions,Grand View U.,2,1022,87,80,0,0,7,0
11232,r1024,All institutions -> Moraine Valley Community C.,All institutions,Moraine Valley Community C.,2,1023,86,17,0,0,69,0
11232,r1025,All institutions -> Jackson State Community C.,All institutions,Jackson State Community C.,2,1024,86,0,0,0,86,0
11232,r1026,"All institutions -> State U. New York, Cobleskill, C. Agriculture",All institutions,"State U. New York, Cobleskill, C. Agriculture",2,1025,86,86,0,0,0,0
11232,r1027,"All institutions -> SUNY, Monroe Community C.",All institutions,"SUNY, Monroe Community C.",2,1026,84,17,0,0,67,0
11232,r1028,All institutions -> Hobart and William Smith Colleges,All institutions,Hobart and William Smith Colleges,2,1027,83,83,0,0,0,0
11232,r1029,All institutions -> Hamline U.,All institutions,Hamline U.,2,1028,80,80,0,0,0,0
11232,r1030,All institutions -> Salt Lake Community C.,All institutions,Salt Lake Community C.,2,1029,78,78,0,0,0,0
11232,r1031,All institutions -> Central Connecticut State U.,All institutions,Central Connecticut State U.,2,1030,75,75,0,0,0,0
