table_id,row_id,highest_degree_and_occupation_full_path,highest_degree_and_occupation_level_1,highest_degree_and_occupation_level_2,highest_degree_and_occupation_level_3,highest_degree_and_occupation_level_4,highest_degree_and_occupation_level_5,highest_degree_and_occupation_level_6,highest_degree_and_occupation_hierarchy_depth,field_all_ethnicities_and_races,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
3313,r113,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Biological/ life scientist -> Forestry and conservation scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Biological/ life scientist,Forestry and conservation scientist,6,8000,,,,,,7000,
3313,r114,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Biological/ life scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Biological/ life scientist,Postsecondary teacher,6,19000,1000,,4000,,,13000,
3313,r115,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Computer and information scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Computer and information scientist,,5,1014000,40000,,409000,46000,,502000,16000
3313,r116,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Computer and information scientist -> Computer/ information scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Computer and information scientist,Computer/ information scientist,6,1001000,39000,,406000,46000,,494000,15000
3313,r117,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Computer and information scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Computer and information scientist,Postsecondary teacher,6,13000,,,3000,,,8000,
3313,r118,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Mathematical scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Mathematical scientist,,5,154000,8000,,31000,S,,100000,1000
3313,r119,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Mathematical scientist -> Mathematical scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Mathematical scientist,Mathematical scientist,6,115000,7000,,27000,S,,68000,1000
3313,r120,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Mathematical scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Mathematical scientist,Postsecondary teacher,6,39000,1000,,5000,0.05,,32000,
3313,r121,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Physical scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Physical scientist,,5,97000,6000,,10000,6000,,71000,2000
3313,r122,"All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Physical scientist -> Chemist, except biochemist",All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Physical scientist,"Chemist, except biochemist",6,32000,2000,,3000,1000,,26000,
3313,r123,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Physical scientist -> Earth scientist/ geologist/ oceanographer,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Physical scientist,Earth scientist/ geologist/ oceanographer,6,25000,1000,,1000,,,22000,S
3313,r124,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Physical scientist -> Physicist/ astronomer,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Physical scientist,Physicist/ astronomer,6,11000,0.05,,2000,,,6000,
3313,r125,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Physical scientist -> Other physical scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Physical scientist,Other physical scientist,6,17000,S,,S,S,,12000,
3313,r126,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Physical scientist -> Postsecondary teachers,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Physical scientist,Postsecondary teachers,6,12000,2000,,2000,,,6000,
3313,r127,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Psychologist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Psychologist,,5,101000,11000,,3000,S,,78000,2000
3313,r128,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Psychologist -> Psychologist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Psychologist,Psychologist,6,91000,10000,,2000,S,,71000,S
3313,r129,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Psychologist -> Postsecondary teacher,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Psychologist,Postsecondary teacher,6,11000,S,,,,,7000,
3313,r130,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Social scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Social scientist,,5,148000,15000,,18000,11000,S,99000,4000
3313,r131,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Social scientist -> Economist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Social scientist,Economist,6,18000,2000,,4000,S,,11000,0.05
3313,r132,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Social scientist -> Political scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Social scientist,Political scientist,6,15000,1000,,S,,,13000,
3313,r133,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Social scientist -> Sociologist/ anthropologist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Social scientist,Sociologist/ anthropologist,6,5000,0.05,,,,,3000,
3313,r134,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Social scientist -> Other social scientist,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Social scientist,Other social scientist,6,60000,8000,,6000,7000,,37000,S
3313,r135,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Science occupation -> Social scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Master's,S&E occupations,Science occupation,Social scientist,Postsecondary teacher,6,50000,3000,,8000,S,,35000,S
3313,r136,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Engineering occupations,All degrees<sup>b</sup>,Master's,S&E occupations,Engineering occupations,,,4,619000,42000,S,148000,25000,2000,392000,10000
3313,r137,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Engineering occupations -> Aerospace engineer,All degrees<sup>b</sup>,Master's,S&E occupations,Engineering occupations,Aerospace engineer,,5,51000,4000,,7000,S,,37000,S
3313,r138,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Engineering occupations -> Chemical engineer,All degrees<sup>b</sup>,Master's,S&E occupations,Engineering occupations,Chemical engineer,,5,20000,1000,,3000,S,,14000,
3313,r139,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Engineering occupations -> Civil engineer,All degrees<sup>b</sup>,Master's,S&E occupations,Engineering occupations,Civil engineer,,5,94000,9000,,22000,3000,,58000,1000
3313,r140,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Engineering occupations -> Electrical engineer,All degrees<sup>b</sup>,Master's,S&E occupations,Engineering occupations,Electrical engineer,,5,153000,8000,,59000,7000,,77000,1000
3313,r141,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Engineering occupations -> Industrial engineer,All degrees<sup>b</sup>,Master's,S&E occupations,Engineering occupations,Industrial engineer,,5,32000,4000,,5000,S,,21000,1000
3313,r142,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Engineering occupations -> Mechanical engineer,All degrees<sup>b</sup>,Master's,S&E occupations,Engineering occupations,Mechanical engineer,,5,114000,7000,,28000,1000,,74000,3000
3313,r143,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Engineering occupations -> Other engineer,All degrees<sup>b</sup>,Master's,S&E occupations,Engineering occupations,Other engineer,,5,139000,9000,,19000,5000,,103000,2000
3313,r144,All degrees<sup>b</sup> -> Master's -> S&E occupations -> Engineering occupations -> Postsecondary teacher,All degrees<sup>b</sup>,Master's,S&E occupations,Engineering occupations,Postsecondary teacher,,5,16000,,,5000,,,8000,
3313,r145,All degrees<sup>b</sup> -> Master's -> S&E-related occupations,All degrees<sup>b</sup>,Master's,S&E-related occupations,,,,3,2332000,175000,S,278000,176000,2000,1641000,52000
3313,r146,All degrees<sup>b</sup> -> Master's -> S&E-related occupations -> Health occupations,All degrees<sup>b</sup>,Master's,S&E-related occupations,Health occupations,,,4,1213000,70000,S,113000,112000,S,871000,39000
3313,r147,"All degrees<sup>b</sup> -> Master's -> S&E-related occupations -> S&E managers, including health",All degrees<sup>b</sup>,Master's,S&E-related occupations,"S&E managers, including health",,,4,347000,37000,S,62000,23000,,220000,3000
3313,r148,All degrees<sup>b</sup> -> Master's -> S&E-related occupations -> S&E pre-college teacher,All degrees<sup>b</sup>,Master's,S&E-related occupations,S&E pre-college teacher,,,4,493000,46000,0.05,18000,26000,,399000,4000
3313,r149,All degrees<sup>b</sup> -> Master's -> S&E-related occupations -> S&E technician/ technologist,All degrees<sup>b</sup>,Master's,S&E-related occupations,S&E technician/ technologist,,,4,193000,13000,,64000,14000,,97000,5000
3313,r150,All degrees<sup>b</sup> -> Master's -> S&E-related occupations -> Other S&E-related occupation,All degrees<sup>b</sup>,Master's,S&E-related occupations,Other S&E-related occupation,,,4,86000,8000,,20000,2000,,54000,S
3313,r151,All degrees<sup>b</sup> -> Master's -> Non-S&E occupations<sup>c</sup>,All degrees<sup>b</sup>,Master's,Non-S&E occupations<sup>c</sup>,,,,3,4005000,351000,12000,397000,400000,6000,2743000,96000
3313,r152,"All degrees<sup>b</sup> -> Master's -> Non-S&E occupations<sup>c</sup> -> Arts, humanities, and related occupation",All degrees<sup>b</sup>,Master's,Non-S&E occupations<sup>c</sup>,"Arts, humanities, and related occupation",,,4,123000,11000,,9000,1000,,94000,8000
3313,r153,All degrees<sup>b</sup> -> Master's -> Non-S&E occupations<sup>c</sup> -> Management-related occupation,All degrees<sup>b</sup>,Master's,Non-S&E occupations<sup>c</sup>,Management-related occupation,,,4,907000,90000,2000,129000,111000,S,561000,13000
3313,r154,All degrees<sup>b</sup> -> Master's -> Non-S&E occupations<sup>c</sup> -> Non-S&E manager,All degrees<sup>b</sup>,Master's,Non-S&E occupations<sup>c</sup>,Non-S&E manager,,,4,778000,58000,4000,89000,44000,,567000,15000
3313,r155,All degrees<sup>b</sup> -> Master's -> Non-S&E occupations<sup>c</sup> -> Non-S&E postsecondary teacher,All degrees<sup>b</sup>,Master's,Non-S&E occupations<sup>c</sup>,Non-S&E postsecondary teacher,,,4,61000,8000,,5000,5000,,43000,1000
3313,r156,All degrees<sup>b</sup> -> Master's -> Non-S&E occupations<sup>c</sup> -> Non-S&E precollege teacher,All degrees<sup>b</sup>,Master's,Non-S&E occupations<sup>c</sup>,Non-S&E precollege teacher,,,4,534000,49000,S,31000,50000,,395000,6000
3313,r157,All degrees<sup>b</sup> -> Master's -> Non-S&E occupations<sup>c</sup> -> Sales and marketing occupation,All degrees<sup>b</sup>,Master's,Non-S&E occupations<sup>c</sup>,Sales and marketing occupation,,,4,320000,24000,,41000,20000,,226000,9000
3313,r158,All degrees<sup>b</sup> -> Master's -> Non-S&E occupations<sup>c</sup> -> Social service and related occupation,All degrees<sup>b</sup>,Master's,Non-S&E occupations<sup>c</sup>,Social service and related occupation,,,4,582000,56000,S,27000,87000,,386000,21000
3313,r159,All degrees<sup>b</sup> -> Master's -> Non-S&E occupations<sup>c</sup> -> Other non-S&E occupation,All degrees<sup>b</sup>,Master's,Non-S&E occupations<sup>c</sup>,Other non-S&E occupation,,,4,701000,56000,0.05,66000,81000,S,471000,22000
3313,r160,All degrees<sup>b</sup> -> Doctorate,All degrees<sup>b</sup>,Doctorate,,,,,2,1761000,115000,3000,399000,110000,S,1104000,29000
3313,r161,All degrees<sup>b</sup> -> Doctorate -> S&E occupations,All degrees<sup>b</sup>,Doctorate,S&E occupations,,,,3,938000,49000,1000,243000,40000,,596000,10000
3313,r162,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,,,4,799000,43000,1000,194000,37000,,517000,8000
3313,r163,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Biological/ life scientist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Biological/ life scientist,,5,254000,12000,,86000,5000,,149000,2000
3313,r164,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Biological/ life scientist -> Agricultural/ food science,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Biological/ life scientist,Agricultural/ food science,6,13000,,,S,S,,7000,
3313,r165,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Biological/ life scientist -> Biological/ scientist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Biological/ life scientist,Biological/ scientist,6,174000,7000,,69000,3000,,92000,2000
3313,r166,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Biological/ life scientist -> Forestry and conservation scientist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Biological/ life scientist,Forestry and conservation scientist,6,3000,,,,,,3000,
3313,r167,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Biological/ life scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Biological/ life scientist,Postsecondary teacher,6,64000,4000,,11000,2000,,47000,
3313,r168,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Computer and information scientist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Computer and information scientist,,5,107000,3000,,45000,3000,,55000,0.05
3313,r169,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Computer and information scientist -> Computer/ information scientist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Computer and information scientist,Computer/ information scientist,6,95000,3000,,41000,2000,,49000,
3313,r170,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Computer and information scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Computer and information scientist,Postsecondary teacher,6,11000,S,,4000,,,6000,
3313,r171,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Mathematical scientist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Mathematical scientist,,5,82000,S,,23000,S,,50000,S
3313,r172,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Mathematical scientist -> Mathematical scientist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Mathematical scientist,Mathematical scientist,6,51000,S,,15000,S,,29000,
3313,r173,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Mathematical scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Mathematical scientist,Postsecondary teacher,6,31000,,,8000,S,,20000,
3313,r174,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Physical scientist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Physical scientist,,5,121000,6000,,26000,2000,,86000,1000
3313,r175,"All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Physical scientist -> Chemist, except biochemist",All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Physical scientist,"Chemist, except biochemist",6,29000,1000,,8000,1000,,19000,
3313,r176,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Physical scientist -> Earth scientist/ geologist/ oceanographer,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Physical scientist,Earth scientist/ geologist/ oceanographer,6,13000,S,,3000,,,9000,
3313,r177,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Physical scientist -> Physicist/ astronomer,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Physical scientist,Physicist/ astronomer,6,24000,S,,6000,,,17000,
3313,r178,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Physical scientist -> Other physical scientist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Physical scientist,Other physical scientist,6,9000,,,1000,,,7000,
3313,r179,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Physical scientist -> Postsecondary teachers,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Physical scientist,Postsecondary teachers,6,46000,2000,,9000,1000,,34000,
3313,r180,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Psychologist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Psychologist,,5,100000,8000,0.05,3000,6000,,80000,2000
3313,r181,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Psychologist -> Psychologist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Psychologist,Psychologist,6,75000,7000,0.05,2000,5000,,60000,
3313,r182,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Psychologist -> Postsecondary teacher,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Psychologist,Postsecondary teacher,6,25000,1000,,S,1000,,20000,S
3313,r183,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Social scientist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Social scientist,,5,135000,9000,,10000,16000,,97000,2000
3313,r184,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Social scientist -> Economist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Social scientist,Economist,6,16000,2000,,3000,0.05,,11000,
3313,r185,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Social scientist -> Political scientist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Social scientist,Political scientist,6,4000,,,,,,S,
3313,r186,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Social scientist -> Sociologist/ anthropologist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Social scientist,Sociologist/ anthropologist,6,7000,,,,,,7000,
3313,r187,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Social scientist -> Other social scientist,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Social scientist,Other social scientist,6,21000,2000,,2000,,,14000,
3313,r188,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Science occupation -> Social scientist -> Postsecondary teacher,All degrees<sup>b</sup>,Doctorate,S&E occupations,Science occupation,Social scientist,Postsecondary teacher,6,87000,6000,,5000,12000,,64000,S
3313,r189,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Engineering occupations,All degrees<sup>b</sup>,Doctorate,S&E occupations,Engineering occupations,,,4,139000,6000,,49000,3000,,79000,2000
3313,r190,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Engineering occupations -> Aerospace engineer,All degrees<sup>b</sup>,Doctorate,S&E occupations,Engineering occupations,Aerospace engineer,,5,8000,,,2000,,,6000,
3313,r191,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Engineering occupations -> Chemical engineer,All degrees<sup>b</sup>,Doctorate,S&E occupations,Engineering occupations,Chemical engineer,,5,13000,,,7000,,,6000,
3313,r192,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Engineering occupations -> Civil engineer,All degrees<sup>b</sup>,Doctorate,S&E occupations,Engineering occupations,Civil engineer,,5,9000,1000,,1000,,,7000,
3313,r193,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Engineering occupations -> Electrical engineer,All degrees<sup>b</sup>,Doctorate,S&E occupations,Engineering occupations,Electrical engineer,,5,32000,1000,,15000,,,16000,
3313,r194,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Engineering occupations -> Industrial engineer,All degrees<sup>b</sup>,Doctorate,S&E occupations,Engineering occupations,Industrial engineer,,5,S,,,0.05,,,,
3313,r195,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Engineering occupations -> Mechanical engineer,All degrees<sup>b</sup>,Doctorate,S&E occupations,Engineering occupations,Mechanical engineer,,5,13000,0.05,,6000,,,6000,
3313,r196,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Engineering occupations -> Other engineer,All degrees<sup>b</sup>,Doctorate,S&E occupations,Engineering occupations,Other engineer,,5,24000,1000,,8000,,,14000,
3313,r197,All degrees<sup>b</sup> -> Doctorate -> S&E occupations -> Engineering occupations -> Postsecondary teacher,All degrees<sup>b</sup>,Doctorate,S&E occupations,Engineering occupations,Postsecondary teacher,,5,38000,2000,,11000,1000,,24000,
3313,r198,All degrees<sup>b</sup> -> Doctorate -> S&E-related occupations,All degrees<sup>b</sup>,Doctorate,S&E-related occupations,,,,3,387000,35000,,89000,S,,216000,12000
3313,r199,All degrees<sup>b</sup> -> Doctorate -> S&E-related occupations -> Health occupations,All degrees<sup>b</sup>,Doctorate,S&E-related occupations,Health occupations,,,4,259000,23000,,52000,S,,146000,3000
3313,r200,"All degrees<sup>b</sup> -> Doctorate -> S&E-related occupations -> S&E managers, including health",All degrees<sup>b</sup>,Doctorate,S&E-related occupations,"S&E managers, including health",,,4,61000,5000,,13000,,,41000,2000
3313,r201,All degrees<sup>b</sup> -> Doctorate -> S&E-related occupations -> S&E pre-college teacher,All degrees<sup>b</sup>,Doctorate,S&E-related occupations,S&E pre-college teacher,,,4,27000,2000,,2000,0.05,,16000,
3313,r202,All degrees<sup>b</sup> -> Doctorate -> S&E-related occupations -> S&E technician/ technologist,All degrees<sup>b</sup>,Doctorate,S&E-related occupations,S&E technician/ technologist,,,4,39000,5000,,21000,S,,13000,
3313,r203,All degrees<sup>b</sup> -> Doctorate -> S&E-related occupations -> Other S&E-related occupation,All degrees<sup>b</sup>,Doctorate,S&E-related occupations,Other S&E-related occupation,,,4,1000,,,S,,,,
3313,r204,All degrees<sup>b</sup> -> Doctorate -> Non-S&E occupations<sup>c</sup>,All degrees<sup>b</sup>,Doctorate,Non-S&E occupations<sup>c</sup>,,,,3,436000,31000,,67000,36000,,292000,8000
3313,r205,"All degrees<sup>b</sup> -> Doctorate -> Non-S&E occupations<sup>c</sup> -> Arts, humanities, and related occupation",All degrees<sup>b</sup>,Doctorate,Non-S&E occupations<sup>c</sup>,"Arts, humanities, and related occupation",,,4,14000,,,2000,,,11000,
3313,r206,All degrees<sup>b</sup> -> Doctorate -> Non-S&E occupations<sup>c</sup> -> Management-related occupation,All degrees<sup>b</sup>,Doctorate,Non-S&E occupations<sup>c</sup>,Management-related occupation,,,4,69000,3000,,16000,5000,,45000,1000
3313,r207,All degrees<sup>b</sup> -> Doctorate -> Non-S&E occupations<sup>c</sup> -> Non-S&E manager,All degrees<sup>b</sup>,Doctorate,Non-S&E occupations<sup>c</sup>,Non-S&E manager,,,4,137000,8000,,18000,10000,,100000,1000
3313,r208,All degrees<sup>b</sup> -> Doctorate -> Non-S&E occupations<sup>c</sup> -> Non-S&E postsecondary teacher,All degrees<sup>b</sup>,Doctorate,Non-S&E occupations<sup>c</sup>,Non-S&E postsecondary teacher,,,4,91000,7000,,11000,6000,,66000,S
3313,r209,All degrees<sup>b</sup> -> Doctorate -> Non-S&E occupations<sup>c</sup> -> Non-S&E precollege teacher,All degrees<sup>b</sup>,Doctorate,Non-S&E occupations<sup>c</sup>,Non-S&E precollege teacher,,,4,10000,S,,,,,7000,
3313,r210,All degrees<sup>b</sup> -> Doctorate -> Non-S&E occupations<sup>c</sup> -> Sales and marketing occupation,All degrees<sup>b</sup>,Doctorate,Non-S&E occupations<sup>c</sup>,Sales and marketing occupation,,,4,12000,S,,3000,,,7000,
3313,r211,All degrees<sup>b</sup> -> Doctorate -> Non-S&E occupations<sup>c</sup> -> Social service and related occupation,All degrees<sup>b</sup>,Doctorate,Non-S&E occupations<sup>c</sup>,Social service and related occupation,,,4,37000,5000,,2000,10000,,18000,
3313,r212,All degrees<sup>b</sup> -> Doctorate -> Non-S&E occupations<sup>c</sup> -> Other non-S&E occupation,All degrees<sup>b</sup>,Doctorate,Non-S&E occupations<sup>c</sup>,Other non-S&E occupation,,,4,66000,4000,,16000,5000,,38000,
