table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_level_3,_b_state_and_outlying_area_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
7308,r131,All states and outlying areas -> Tennessee -> Obligations ($thousands),All states and outlying areas,Tennessee,Obligations ($thousands),3,785552.9,725048.9,909.6,35.6,49358.8,1389.6,8810.5
7308,r132,All states and outlying areas -> Tennessee -> Institutions (number),All states and outlying areas,Tennessee,Institutions (number),3,25,23,4,1,18,4,6
7308,r133,All states and outlying areas -> Texas,All states and outlying areas,Texas,,2,,,,,,,
7308,r134,All states and outlying areas -> Texas -> Obligations ($thousands),All states and outlying areas,Texas,Obligations ($thousands),3,2432708.0,2307379.0,17672.6,1680.2,73421.1,7428.6,25126.4
7308,r135,All states and outlying areas -> Texas -> Institutions (number),All states and outlying areas,Texas,Institutions (number),3,64,62,11,2,47,8,17
7308,r136,All states and outlying areas -> Utah,All states and outlying areas,Utah,,2,,,,,,,
7308,r137,All states and outlying areas -> Utah -> Obligations ($thousands),All states and outlying areas,Utah,Obligations ($thousands),3,489657.2,466983.1,524.8,0.0,19314.2,517.2,2317.9
7308,r138,All states and outlying areas -> Utah -> Institutions (number),All states and outlying areas,Utah,Institutions (number),3,10,10,1,0,6,1,2
7308,r139,All states and outlying areas -> Vermont,All states and outlying areas,Vermont,,2,,,,,,,
7308,r140,All states and outlying areas -> Vermont -> Obligations ($thousands),All states and outlying areas,Vermont,Obligations ($thousands),3,99580.1,86599.0,6079.3,0.0,4522.2,152.8,2226.8
7308,r141,All states and outlying areas -> Vermont -> Institutions (number),All states and outlying areas,Vermont,Institutions (number),3,6,5,2,0,2,1,3
7308,r142,All states and outlying areas -> Virginia,All states and outlying areas,Virginia,,2,,,,,,,
7308,r143,All states and outlying areas -> Virginia -> Obligations ($thousands),All states and outlying areas,Virginia,Obligations ($thousands),3,619535.3,563260.1,5086.0,0.0,29711.5,959.1,20518.6
7308,r144,All states and outlying areas -> Virginia -> Institutions (number),All states and outlying areas,Virginia,Institutions (number),3,25,24,3,0,15,2,9
7308,r145,All states and outlying areas -> Washington,All states and outlying areas,Washington,,2,,,,,,,
7308,r146,All states and outlying areas -> Washington -> Obligations ($thousands),All states and outlying areas,Washington,Obligations ($thousands),3,908379.7,835323.2,1988.5,99.4,57276.6,343.8,13348.1
7308,r147,All states and outlying areas -> Washington -> Institutions (number),All states and outlying areas,Washington,Institutions (number),3,19,18,3,1,13,1,3
7308,r148,All states and outlying areas -> West Virginia,All states and outlying areas,West Virginia,,2,,,,,,,
7308,r149,All states and outlying areas -> West Virginia -> Obligations ($thousands),All states and outlying areas,West Virginia,Obligations ($thousands),3,91425.7,75681.2,1722.5,221.6,10095.5,599.7,3105.2
7308,r150,All states and outlying areas -> West Virginia -> Institutions (number),All states and outlying areas,West Virginia,Institutions (number),3,8,7,1,1,6,1,1
7308,r151,All states and outlying areas -> Wisconsin,All states and outlying areas,Wisconsin,,2,,,,,,,
