table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_job_categories_all,field_all_job_categories_researchers,field_all_job_categories_r_d_technicians,field_all_job_categories_r_d_support_staff,field_federal_employees_and_military_personnel_all,field_federal_employees_and_military_personnel_researchers,field_federal_employees_and_military_personnel_r_d_technicians,field_federal_employees_and_military_personnel_r_d_support_staff,field_contractors_all,field_contractors_researchers,field_contractors_r_d_technicians,field_contractors_r_d_support_staff,field_all_other_r_d_personnel_all,field_all_other_r_d_personnel_researchers,field_all_other_r_d_personnel_r_d_technicians,field_all_other_r_d_personnel_r_d_support_staff
12496,r094,All agencies -> Department of Defense -> Department of the Air Force,All agencies,Department of Defense,Department of the Air Force,,,,3,,,,,,,,,,,,,,,,
12496,r095,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command,All agencies,Department of Defense,Department of the Air Force,Materiel Command,,,4,,,,,,,,,,,,,,,,
12496,r096,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Civil Engineer Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Civil Engineer Center,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r097,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Life Cycle Management Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Life Cycle Management Center,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r098,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Nuclear Weapons Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Nuclear Weapons Center,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r099,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Research Laboratory,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Research Laboratory,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r100,All agencies -> Department of Defense -> Department of the Air Force -> Materiel Command -> Air Force Test Center,All agencies,Department of Defense,Department of the Air Force,Materiel Command,Air Force Test Center,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r101,All agencies -> Department of Defense -> Department of the Army,All agencies,Department of Defense,Department of the Army,,,,3,,,,,,,,,,,,,,,,
12496,r102,All agencies -> Department of Defense -> Department of the Army -> Army Cyber Command,All agencies,Department of Defense,Department of the Army,Army Cyber Command,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r103,All agencies -> Department of Defense -> Department of the Army -> Army Engineer Research and Development Center,All agencies,Department of Defense,Department of the Army,Army Engineer Research and Development Center,,,4,2073,1472,261,340,1811,1403,177,231,262,69,84,109,0,0,0,0
12496,r104,All agencies -> Department of Defense -> Department of the Army -> Army Medical Research and Development Command,All agencies,Department of Defense,Department of the Army,Army Medical Research and Development Command,,,4,4775,2554,268,1953,2320,1135,143,1042,2455,1419,125,911,0,0,0,0
12496,r105,All agencies -> Department of Defense -> Department of the Army -> Army Research Institute for the Behavioral and Social Sciences,All agencies,Department of Defense,Department of the Army,Army Research Institute for the Behavioral and Social Sciences,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r106,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM),All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),,,4,,,,,,,,,,,,,,,,
12496,r107,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Armaments Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Armaments Center,,5,2281,251,1634,396,1910,210,1368,332,371,41,266,64,0,0,0,0
12496,r108,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Army Research Laboratory,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Army Research Laboratory,,5,1504,1075,132,297,1503,1074,132,297,0,0,0,0,1,1,0,0
12496,r109,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Aviation and Missile Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Aviation and Missile Center,,5,2856,2450,97,309,2856,2450,97,309,0,0,0,0,0,0,0,0
12496,r110,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Chemical Biological Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Chemical Biological Center,,5,356,157,136,63,240,117,85,38,101,33,43,25,15,7,8,0
12496,r111,"All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Command, Control, Communications, Computers, Cyber, Intelligence, Surveillance, and Reconnaissance Center",All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),"Command, Control, Communications, Computers, Cyber, Intelligence, Surveillance, and Reconnaissance Center",,5,3709,3086,182,441,1683,1404,81,198,2026,1682,101,243,0,0,0,0
12496,r112,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Data and Analysis Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Data and Analysis Center,,5,28,28,0,0,25,25,0,0,3,3,0,0,0,0,0,0
12496,r113,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> DEVCOM Headquarters,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),DEVCOM Headquarters,,5,81,0,0,81,81,0,0,81,0,0,0,0,0,0,0,0
12496,r114,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Ground Vehicle Systems Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Ground Vehicle Systems Center,,5,2215,NA,NA,NA,1777,NA,NA,NA,438,NA,NA,NA,0,0,0,0
12496,r115,All agencies -> Department of Defense -> Department of the Army -> Combat Capabilities Development Command (DEVCOM) -> Soldier Center,All agencies,Department of Defense,Department of the Army,Combat Capabilities Development Command (DEVCOM),Soldier Center,,5,692,435,59,198,688,431,59,198,0,0,0,0,4,4,0,0
12496,r116,All agencies -> Department of Defense -> Department of the Army -> Space and Missile Defense Command,All agencies,Department of Defense,Department of the Army,Space and Missile Defense Command,,,4,650,582,1,67,183,135,1,47,467,447,0,20,0,0,0,0
12496,r117,All agencies -> Department of Defense -> Department of the Navy,All agencies,Department of Defense,Department of the Navy,,,,3,,,,,,,,,,,,,,,,
12496,r118,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,,,4,,,,,,,,,,,,,,,,
12496,r119,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup>,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,,5,327,66,106,155,140,41,17,82,187,25,89,73,0,0,0,0
12496,r120,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Health Research Center,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Health Research Center,6,367,131,153,83,74,31,2,41,293,100,151,42,0,0,0,0
12496,r121,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - Dayton,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - Dayton,6,167,52,74,41,58,22,8,28,73,18,42,13,36,12,24,0
12496,r122,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - INDO PACIFIC,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - INDO PACIFIC,6,22,9,0,13,22,9,0,13,0,0,0,0,0,0,0,0
12496,r123,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - San Antonio,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - San Antonio,6,106,46,19,41,47,18,5,24,53,23,14,16,6,5,0,1
12496,r124,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Medical Research Unit - South,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Medical Research Unit - South,6,261,25,121,115,192,18,94,80,69,7,27,35,0,0,0,0
12496,r125,All agencies -> Department of Defense -> Department of the Navy -> Bureau of Medicine and Surgery -> Naval Medical Research Command<sup>a</sup> -> Naval Submarine Medical Research Laboratory,All agencies,Department of Defense,Department of the Navy,Bureau of Medicine and Surgery,Naval Medical Research Command<sup>a</sup>,Naval Submarine Medical Research Laboratory,6,74,23,16,35,42,13,2,27,32,10,14,8,0,0,0,0
12496,r126,All agencies -> Department of Defense -> Department of the Navy -> Marine Corps,All agencies,Department of Defense,Department of the Navy,Marine Corps,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r127,All agencies -> Department of Defense -> Department of the Navy -> Naval Air Warfare Center Aircraft Division,All agencies,Department of Defense,Department of the Navy,Naval Air Warfare Center Aircraft Division,,,4,11743,8731,1414,1598,7088,5113,557,1418,4655,3618,857,180,0,0,0,0
12496,r128,All agencies -> Department of Defense -> Department of the Navy -> Naval Air Warfare Center Weapon Division,All agencies,Department of Defense,Department of the Navy,Naval Air Warfare Center Weapon Division,,,4,4391,2950,829,612,4112,2742,773,597,279,208,56,15,0,0,0,0
12496,r129,All agencies -> Department of Defense -> Department of the Navy -> Naval Facilities Engineering and Expeditionary Warfare Center,All agencies,Department of Defense,Department of the Navy,Naval Facilities Engineering and Expeditionary Warfare Center,,,4,943,297,44,602,916,270,44,602,27,27,0,0,0,0,0,0
12496,r130,All agencies -> Department of Defense -> Department of the Navy -> Naval Information Warfare Systems Command,All agencies,Department of Defense,Department of the Navy,Naval Information Warfare Systems Command,,,4,,,,,,,,,,,,,,,,
12496,r131,All agencies -> Department of Defense -> Department of the Navy -> Naval Information Warfare Systems Command -> Naval Information Warfare Center Atlantic,All agencies,Department of Defense,Department of the Navy,Naval Information Warfare Systems Command,Naval Information Warfare Center Atlantic,,5,1669,299,1239,131,1606,293,1187,126,63,6,52,5,0,0,0,0
12496,r132,All agencies -> Department of Defense -> Department of the Navy -> Naval Information Warfare Systems Command -> Naval Information Warfare Center Pacific,All agencies,Department of Defense,Department of the Navy,Naval Information Warfare Systems Command,Naval Information Warfare Center Pacific,,5,4141,1999,109,2033,2441,1999,109,333,1700,0,0,1700,0,0,0,0
12496,r133,All agencies -> Department of Defense -> Department of the Navy -> Naval Observatory,All agencies,Department of Defense,Department of the Navy,Naval Observatory,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r134,All agencies -> Department of Defense -> Department of the Navy -> Naval Oceanographic Office,All agencies,Department of Defense,Department of the Navy,Naval Oceanographic Office,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r135,All agencies -> Department of Defense -> Department of the Navy -> Naval Sea Systems Command Warfare Centers,All agencies,Department of Defense,Department of the Navy,Naval Sea Systems Command Warfare Centers,,,4,,,,,,,,,,,,,,,,
12496,r136,All agencies -> Department of Defense -> Department of the Navy -> Naval Sea Systems Command Warfare Centers -> Naval Surface Warfare Center,All agencies,Department of Defense,Department of the Navy,Naval Sea Systems Command Warfare Centers,Naval Surface Warfare Center,,5,12413,12413,0,0,12413,12413,0,0,0,0,0,0,0,0,0,0
12496,r137,All agencies -> Department of Defense -> Department of the Navy -> Naval Sea Systems Command Warfare Centers -> Naval Undersea Warfare Center,All agencies,Department of Defense,Department of the Navy,Naval Sea Systems Command Warfare Centers,Naval Undersea Warfare Center,,5,3195,3195,0,0,3195,3195,0,0,0,0,0,0,0,0,0,0
12496,r138,All agencies -> Department of Defense -> Department of the Navy -> Office of Naval Research,All agencies,Department of Defense,Department of the Navy,Office of Naval Research,,,4,,,,,,,,,,,,,,,,
12496,r139,All agencies -> Department of Defense -> Department of the Navy -> Office of Naval Research -> Naval Research Laboratory,All agencies,Department of Defense,Department of the Navy,Office of Naval Research,Naval Research Laboratory,,5,4902,1732,1756,1414,2091,1732,72,287,2356,0,1684,672,455,0,0,455
12496,r140,All agencies -> Department of Defense -> Missile Defense Agency,All agencies,Department of Defense,Missile Defense Agency,,,,3,11146,0,5291,5855,3021,0,2468,553,8111,0,2809,5302,14,0,14,0
12496,r141,All agencies -> Department of Defense -> Space Force,All agencies,Department of Defense,Space Force,,,,3,,,,,,,,,,,,,,,,
12496,r142,All agencies -> Department of Defense -> Space Force -> Advanced Extremely High Frequency Military Satellite Communications (MILSATCOM) Space Modernization Initiative,All agencies,Department of Defense,Space Force,Advanced Extremely High Frequency Military Satellite Communications (MILSATCOM) Space Modernization Initiative,,,4,14,6,8,0,14,6,8,0,0,0,0,0,0,0,0,0
12496,r143,All agencies -> Department of Defense -> Space Force -> Commercial Satellite Communications (SATCOM),All agencies,Department of Defense,Space Force,Commercial Satellite Communications (SATCOM),,,4,12,6,6,0,12,6,6,0,0,0,0,0,0,0,0,0
12496,r144,All agencies -> Department of Defense -> Space Force -> Counter Communications System,All agencies,Department of Defense,Space Force,Counter Communications System,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r145,All agencies -> Department of Defense -> Space Force -> Electro-Optical/ Infrared Weather Systems,All agencies,Department of Defense,Space Force,Electro-Optical/ Infrared Weather Systems,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r146,All agencies -> Department of Defense -> Space Force -> Evolved Strategic SATCOM,All agencies,Department of Defense,Space Force,Evolved Strategic SATCOM,,,4,36,16,20,0,36,16,20,0,0,0,0,0,0,0,0,0
12496,r147,All agencies -> Department of Defense -> Space Force -> Global Positioning Systems III Follow-on,All agencies,Department of Defense,Space Force,Global Positioning Systems III Follow-on,,,4,10,3,7,0,10,3,7,0,0,0,0,0,0,0,0,0
12496,r148,All agencies -> Department of Defense -> Space Force -> Ground Based Optical Sensor System,All agencies,Department of Defense,Space Force,Ground Based Optical Sensor System,,,4,22,0,17,5,11,0,9,2,11,0,8,3,0,0,0,0
12496,r149,All agencies -> Department of Defense -> Space Force -> Joint Execution and Tasking System for Space,All agencies,Department of Defense,Space Force,Joint Execution and Tasking System for Space,,,4,7,0,3,4,2,0,1,1,5,0,2,3,0,0,0,0
12496,r150,All agencies -> Department of Defense -> Space Force -> National Security Space Launch,All agencies,Department of Defense,Space Force,National Security Space Launch,,,4,18,11,6,1,18,11,6,1,0,0,0,0,0,0,0,0
12496,r151,All agencies -> Department of Defense -> Space Force -> NAVSTAR Global Positioning System (User Equipment),All agencies,Department of Defense,Space Force,NAVSTAR Global Positioning System (User Equipment),,,4,28,21,5,2,28,21,5,2,0,0,0,0,0,0,0,0
12496,r152,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Block 0 Geosynchronous,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Block 0 Geosynchronous,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r153,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Block 0 Polar,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Block 0 Polar,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r154,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Ground (aka Future Operationally Resilient Ground Evolution),All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Ground (aka Future Operationally Resilient Ground Evolution),,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r155,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Integration,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Integration,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r156,All agencies -> Department of Defense -> Space Force -> Next-Generation Overhead Persistent Infrared Space Mod Initiative,All agencies,Department of Defense,Space Force,Next-Generation Overhead Persistent Infrared Space Mod Initiative,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r157,All agencies -> Department of Defense -> Space Force -> Polar MILSATCOM Enhanced Polar System Recapitalization,All agencies,Department of Defense,Space Force,Polar MILSATCOM Enhanced Polar System Recapitalization,,,4,10,7,3,0,10,7,3,0,0,0,0,0,0,0,0,0
12496,r158,All agencies -> Department of Defense -> Space Force -> Protected Tactical Enterprise Service,All agencies,Department of Defense,Space Force,Protected Tactical Enterprise Service,,,4,12,7,5,0,12,7,5,0,0,0,0,0,0,0,0,0
12496,r159,All agencies -> Department of Defense -> Space Force -> Protected Tactical Service,All agencies,Department of Defense,Space Force,Protected Tactical Service,,,4,19,12,7,0,19,12,7,0,0,0,0,0,0,0,0,0
12496,r160,All agencies -> Department of Defense -> Space Force -> Rocket System Launch Program,All agencies,Department of Defense,Space Force,Rocket System Launch Program,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r161,All agencies -> Department of Defense -> Space Force -> Space Control Technology,All agencies,Department of Defense,Space Force,Space Control Technology,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r162,All agencies -> Department of Defense -> Space Force -> Space Rapid Capabilities Office,All agencies,Department of Defense,Space Force,Space Rapid Capabilities Office,,,4,195,195,0,0,63,63,0,0,132,132,0,0,0,0,0,0
12496,r163,All agencies -> Department of Defense -> Space Force -> Space Situation Awareness Systems,All agencies,Department of Defense,Space Force,Space Situation Awareness Systems,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r164,All agencies -> Department of Defense -> Space Force -> Space Situational Awareness Environmental Monitoring,All agencies,Department of Defense,Space Force,Space Situational Awareness Environmental Monitoring,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r165,All agencies -> Department of Defense -> Space Force -> Space Systems Prototype Transitions Assault Breaker II,All agencies,Department of Defense,Space Force,Space Systems Prototype Transitions Assault Breaker II,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r166,All agencies -> Department of Defense -> Space Force -> Space Test and Training Range Development,All agencies,Department of Defense,Space Force,Space Test and Training Range Development,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r167,All agencies -> Department of Defense -> Space Force -> Space Test Program,All agencies,Department of Defense,Space Force,Space Test Program,,,4,36,0,29,7,36,0,29,7,0,0,0,0,0,0,0,0
12496,r168,All agencies -> Department of Defense -> Space Force -> Weather System Follow-On,All agencies,Department of Defense,Space Force,Weather System Follow-On,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r169,All agencies -> Department of Energy,All agencies,Department of Energy,,,,,2,,,,,,,,,,,,,,,,
12496,r170,All agencies -> Department of Energy -> National Energy Technology Laboratory,All agencies,Department of Energy,National Energy Technology Laboratory,,,,3,523,448,15,60,155,130,0,25,365,315,15,35,3,3,0,0
12496,r171,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,,,,,2,,,,,,,,,,,,,,,,
12496,r172,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,,,,3,,,,,,,,,,,,,,,,
12496,r173,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center for Emerging and Zoonotic Infectious Diseases,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Center for Emerging and Zoonotic Infectious Diseases,,,4,598,228,262,108,435,213,154,68,115,8,70,37,48,7,38,3
12496,r174,"All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center for HIV, Viral Hepatitis, STD, and Tuberculosis Prevention",All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,"National Center for HIV, Viral Hepatitis, STD, and Tuberculosis Prevention",,,4,205,50,83,72,146,50,60,36,10,0,10,0,49,0,13,36
12496,r175,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center for Immunization and Respiratory Diseases,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Center for Immunization and Respiratory Diseases,,,4,208,67,125,16,139,42,86,11,52,20,27,5,17,5,12,0
12496,r176,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Center on Birth Defects and Developmental Disabilities,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Center on Birth Defects and Developmental Disabilities,,,4,9,6,1,2,9,6,1,2,0,0,0,0,0,0,0,0
12496,r177,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention -> National Institute for Occupational Safety and Health,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,National Institute for Occupational Safety and Health,,,4,602,351,190,61,514,333,141,40,38,11,19,8,50,7,30,13
12496,r178,All agencies -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Department of Health and Human Services,Food and Drug Administration,,,,3,,,,,,,,,,,,,,,,
12496,r179,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Biologics Evaluation and Research,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Biologics Evaluation and Research,,,4,398,260,112,26,322,260,36,26,11,0,11,0,65,0,65,0
12496,r180,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Devices and Radiological Health,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Devices and Radiological Health,,,4,260,130,100,30,160,130,0,30,0,0,0,0,100,0,100,0
12496,r181,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Drug Evaluation and Research,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Drug Evaluation and Research,,,4,1528,1290,132,106,1498,1273,125,100,30,17,7,6,0,0,0,0
12496,r182,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Food Safety and Applied Nutrition,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Food Safety and Applied Nutrition,,,4,260,210,40,10,210,170,30,10,50,40,10,0,0,0,0,0
12496,r183,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Tobacco Products,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Tobacco Products,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r184,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Center for Veterinary Medicine,All agencies,Department of Health and Human Services,Food and Drug Administration,Center for Veterinary Medicine,,,4,79,71,0,8,78,70,0,8,1,1,0,0,0,0,0,0
12496,r185,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> National Center for Toxicological Research,All agencies,Department of Health and Human Services,Food and Drug Administration,National Center for Toxicological Research,,,4,309,149,126,34,243,149,60,34,66,0,66,0,0,0,0,0
12496,r186,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Office of Regulatory Affairs,All agencies,Department of Health and Human Services,Food and Drug Administration,Office of Regulatory Affairs,,,4,70,70,0,0,60,60,0,0,10,10,0,0,0,0,0,0
12496,r187,All agencies -> Department of Health and Human Services -> Food and Drug Administration -> Oncology Center of Excellence,All agencies,Department of Health and Human Services,Food and Drug Administration,Oncology Center of Excellence,,,4,15,11,0,4,13,9,0,4,2,2,0,0,0,0,0,0
12496,r188,All agencies -> Department of Health and Human Services -> National Institutes of Health,All agencies,Department of Health and Human Services,National Institutes of Health,,,,3,,,,,,,,,,,,,,,,
12496,r189,All agencies -> Department of Health and Human Services -> National Institutes of Health -> Clinical Center,All agencies,Department of Health and Human Services,National Institutes of Health,Clinical Center,,,4,3683,30,3512,141,2156,30,1999,127,705,0,691,14,822,0,822,0
12496,r190,All agencies -> Department of Health and Human Services -> National Institutes of Health -> Eunice Kennedy Shriver National Institute of Child Health and Human Development,All agencies,Department of Health and Human Services,National Institutes of Health,Eunice Kennedy Shriver National Institute of Child Health and Human Development,,,4,728,72,533,123,292,72,143,77,107,0,61,46,329,0,329,0
12496,r191,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Cancer Institute,All agencies,Department of Health and Human Services,National Institutes of Health,National Cancer Institute,,,4,366,23,289,54,5,5,0,0,361,18,289,54,0,0,0,0
12496,r192,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Center for Advancing Translational Sciences,All agencies,Department of Health and Human Services,National Institutes of Health,National Center for Advancing Translational Sciences,,,4,232,86,138,8,95,33,59,3,84,0,79,5,53,53,0,0
12496,r193,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Center for Complementary and Integrative Health,All agencies,Department of Health and Human Services,National Institutes of Health,National Center for Complementary and Integrative Health,,,4,44,7,7,30,13,7,4,2,3,0,3,0,28,0,0,28
12496,r194,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Eye Institute,All agencies,Department of Health and Human Services,National Institutes of Health,National Eye Institute,,,4,491,81,322,88,192,75,107,10,158,6,74,78,141,0,141,0
12496,r195,"All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Heart, Lung, and Blood Institute",All agencies,Department of Health and Human Services,National Institutes of Health,"National Heart, Lung, and Blood Institute",,,4,823,823,0,0,452,452,0,0,199,199,0,0,172,172,0,0
12496,r196,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Human Genome Research Institute,All agencies,Department of Health and Human Services,National Institutes of Health,National Human Genome Research Institute,,,4,607,43,513,51,254,43,181,30,90,0,69,21,263,0,263,0
12496,r197,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Allergy and Infectious Diseases,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Allergy and Infectious Diseases,,,4,1927,654,1115,158,871,388,388,95,512,1,448,63,544,265,279,0
12496,r198,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Arthritis and Musculoskeletal and Skin Diseases,,,4,273,135,105,33,134,87,22,25,37,5,24,8,102,43,59,0
12496,r199,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Biomedical Imaging and Bioengineering,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Biomedical Imaging and Bioengineering,,,4,52,30,4,18,34,30,0,4,4,0,4,0,14,0,0,14
