table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_argentina,field_brazil,field_chile,field_mexico,field_other_latin_american_locations,field_australia,field_china,field_hong_kong,field_india,field_indonesia,field_japan,field_malaysia_,field_new_zealand,field_singapore,field_south_korea,field_taiwan,field_thailand,field_other_asian_or_pacific_locations,field_israel,field_other_middle_eastern_locations,field_south_africa,field_other_african_locations,field_undistributed
8838,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8838,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['7,683', '']","['0 - 10', '']","['20', '']","['7', '']","['11', '']","['15', '']","['135', '']","['817', '']","['0 - 165', '']","['1,290', '']","['1', '']","['130', '']","['3', '']","['0 - 53', '']","['84', '']","['36', '']","['0 - 175', '']","['0 - 138', '']","['118', '']","['579', '']","['10', '']","['4', '']","['30', '']","['0 - 33', 'i']"
8838,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['94', '']","['0', '']","['*', '']","['0', '']","['0 - 6', '']","['1', '']","['*', '']","['2', '']","['1', '']","['10', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']","['5', '']","['0', '']","['0', '']","['0', '']","['6', '']","['0', '']","['*', '']","['0', '']","['0 - 42', 'i']"
8838,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['8,147', '']","['104', '']","['23', '']","['1', '']","['107', '']","['62', '']","['168', '']","['296', '']","['0 - 165', '']","['1,990', '']","['3', 'i']","['58', '']","['4', '']","['27', '']","['45', '']","['12', '']","['0 - 172', '']","['0 - 138', '']","['50', '']","['648', '']","['4', '']","['17', '']","['2', '']","['0 - 118', 'i']"
8838,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['6,976', '']","['0 - 10', '']","['33 - 82', '']","['0 - 42', '']","['0 - 6', '']","['*', '']","['185', '']","['153', '']","['0 - 165', '']","['279', '']","['0 - 24', '']","['0 - 259', '']","['1', '']","['1', '']","['203', '']","['0 - 226', '']","['228 - 577', '']","['0 - 138', '']","['4', '']","['516', '']","['1', '']","['0 - 46', '']","['0 - 8', '']","['0 - 118', 'i']"
8838,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['1,541', '']","['1', 'i']","['2', '']","['0 - 42', 'i']","['0 - 25', '']","['14', '']","['22', 'i']","['46', '']","['0 - 88', '']","['0 - 1,040', '']","['0', '']","['0 - 671', 'i']","['1', 'i']","['0 - 53', 'i']","['0 - 332', '']","['5', '']","['0 - 24', '']","['0 - 138', '']","['0 - 54', '']","['0 - 198', '']","['0 - 92', 'i']","['0 - 46', 'i']","['0 - 8', 'i']","['0 - 81', 'i']"
8838,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['163', '']","['*', '']","['0 - 86', '']","['*', '']","['0 - 25', '']","['0 - 26', '']","['0 - 151', '']","['0 - 151', '']","['*', '']","['0 - 151', '']","['*', '']","['0 - 151', '']","['*', '']","['0', '']","['0 - 151', '']","['0 - 151', '']","['*', '']","['*', '']","['*', '']","['*', '']","['0', '']","['*', '']","['*', '']","['0', '']"
8838,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['0 - 15', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8838,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['148 - 164', '']","['*', '']","['0 - 86', '']","['*', '']","['0 - 25', '']","['0 - 26', '']","['0 - 151', '']","['0 - 151', '']","['*', '']","['0 - 151', '']","['*', '']","['0 - 151', '']","['*', '']","['0', '']","['0 - 151', '']","['0 - 151', '']","['*', '']","['*', '']","['*', '']","['*', '']","['0', '']","['*', '']","['*', '']","['0', '']"
8838,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['13,744', 'i']","['123', 'i']","['138', 'i']","['25', 'i']","['114', 'i']","['73', 'i']","['260', 'i']","['728', '']","['0 - 68', 'i']","['1,032', '']","['1', 'i']","['734', 'i']","['16', 'i']","['84', 'i']","['195', 'i']","['144', 'i']","['209', '']","['0 - 80', 'i']","['4 - 59', 'i']","['478', '']","['29', 'i']","['102', 'i']","['10', 'i']","['33 - 53', 'i']"
8838,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['20', '']","['0', '']","['*', '']","['0', '']","['*', '']","['0', '']","['8', '']","['0 - 6', 'i']","['*', '']","['2', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']","['*', '']","['0 - 6', '']","['0 - 6', '']","['*', '']","['*', '']","['*', '']","['*', '']","['0', '']","['2', 'i']"
8838,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['3,324', '']","['1', '']","['19', '']","['*', 'i']","['48', '']","['18', 'i']","['52', '']","['210', '']","['*', '']","['687', '']","['0', '']","['72', '']","['3', '']","['9', '']","['10', '']","['1', '']","['113', '']","['0 - 29', '']","['0 - 29', 'i']","['379', '']","['3', '']","['12', '']","['3', '']","['0 - 20', 'i']"
8838,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['10,070', 'i']","['122', 'i']","['111', 'i']","['22', 'i']","['66', 'i']","['54', 'i']","['196', 'i']","['495', '']","['0 - 66', 'i']","['313', 'i']","['1', 'i']","['659', 'i']","['12', 'i']","['75', 'i']","['184', 'i']","['139', 'i']","['74', 'i']","['0 - 66', 'i']","['4 - 59', 'i']","['80', 'i']","['26', 'i']","['90', 'i']","['7', 'i']","['31', 'i']"
8838,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in nanotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in nanotechnology,5,541713,"['0 - 3', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8838,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),5,541714,"['2,929', '']","['28', '']","['23', '']","['8', '']","['27', '']","['12', '']","['82', '']","['252', '']","['0 - 34', '']","['111', '']","['0', '']","['147', '']","['2', '']","['10', '']","['13', '']","['45', '']","['17', '']","['0 - 34', '']","['5', '']","['23', '']","['0', '']","['3', '']","['0', '']","['0 - 32', 'i']"
8838,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",5,541715,"['7,135', 'i']","['94', 'i']","['88', 'i']","['14', 'i']","['38', 'i']","['41', 'i']","['113', 'i']","['244', 'i']","['0 - 66', 'i']","['202', 'i']","['1', 'i']","['511', 'i']","['10', 'i']","['65', 'i']","['172', 'i']","['94', 'i']","['57', 'i']","['0 - 66', 'i']","['0 - 54', 'i']","['58', 'i']","['26', 'i']","['86', 'i']","['7', 'i']","['0 - 32', 'i']"
8838,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['1 - 7', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 6', '']","['0', '']","['0', '']","['0', '']","['1', '']","['0', '']","['0 - 6', 'i']"
8838,r071,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['330', '']","['*', '']","['8', '']","['3', '']","['*', '']","['1', '']","['4', '']","['16 - 24', '']","['*', '']","['30', '']","['0', '']","['3', '']","['*', '']","['1', '']","['1', '']","['3', '']","['15 - 24', '']","['0', '']","['0 - 30', '']","['18', '']","['0', '']","['0', '']","['0', '']","['2', 'i']"
8838,r072,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['18 - 22', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 22', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 22', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 2', '']","['0', '']","['*', 'i']"
8838,r073,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['1 - 4,789', 'i']","['0', '']","['*', '']","['0 - 42', 'i']","['*', '']","['0 - 26', '']","['0 - 285', '']","['0 - 398', '']","['0 - 88', '']","['0 - 1,136', '']","['0', '']","['*', '']","['0 - 5', '']","['0', '']","['0 - 332', '']","['0 - 226', '']","['0', '']","['0 - 138', 'i']","['0 - 54', '']","['0 - 198', '']","['0 - 92', '']","['0', '']","['0', '']","['0 - 81', 'i']"
8838,r074,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['109,705', '']","['390', '']","['1,199', '']","['188', '']","['1,087', '']","['1,729', 'i']","['2,167', '']","['8,985', '']","['493', '']","['11,067', '']","['31', '']","['4,490', '']","['925', '']","['250', '']","['2,624', '']","['1,650', '']","['2,232', '']","['370', '']","['786', '']","['6,827', '']","['347', '']","['249', 'i']","['232', '']","['645', 'i']"
8838,r075,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8838,r076,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['290', '']","['*', '']","['*', '']","['0', '']","['*', '']","['2', '']","['5', '']","['27', '']","['*', '']","['26', '']","['0', '']","['1', '']","['2', 'i']","['0', '']","['2', '']","['10', '']","['3', '']","['0', '']","['3', 'i']","['1', '']","['0', '']","['0', '']","['0', '']","['27', 'i']"
8838,r077,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['606', '']","['*', '']","['1', '']","['0', '']","['7', '']","['2', '']","['16', '']","['159', '']","['6', '']","['33', '']","['1', 'i']","['11', '']","['*', '']","['0', '']","['2', '']","['13', '']","['69', '']","['1', '']","['12', '']","['12', '']","['*', '']","['5', '']","['10', '']","['5 - 78', 'i']"
8838,r078,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8838,r079,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['798', '']","['1', '']","['1', '']","['1', '']","['2', 'i']","['1', '']","['20', '']","['46', '']","['3', '']","['200', '']","['0', '']","['1', '']","['*', '']","['*', '']","['4', '']","['*', '']","['21', '']","['0', '']","['5', '']","['97', '']","['*', '']","['*', '']","['0', '']","['17', 'i']"
8838,r080,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['2,072', '']","['4', '']","['1', '']","['1', '']","['26', '']","['26', 'i']","['19', '']","['151', '']","['12', '']","['139', '']","['*', '']","['27', '']","['*', '']","['1', '']","['47', '']","['8', '']","['92', '']","['2', '']","['11', '']","['190', '']","['2', '']","['3', '']","['1', '']","['23', 'i']"
8838,r081,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8838,r082,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,866', '']","['10', '']","['3', '']","['1', '']","['20', '']","['12', '']","['40', '']","['216', '']","['40', '']","['188', '']","['*', '']","['68', '']","['3', '']","['24', '']","['83', '']","['124', '']","['109', '']","['2', '']","['45', '']","['310', 'i']","['*', '']","['1', '']","['0', '']","['0 - 36', 'i']"
8838,r083,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['3,187', '']","['9', '']","['24', '']","['9', 'i']","['65', '']","['5', '']","['64', '']","['200', '']","['25', '']","['393', '']","['*', '']","['35', '']","['4', '']","['5', '']","['52', '']","['16', '']","['34', '']","['13', '']","['14', '']","['175', '']","['4', '']","['4', '']","['2', '']","['0 - 110', 'i']"
8838,r084,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['18,520', '']","['65', '']","['100', '']","['8', '']","['165', '']","['34', '']","['358', '']","['1,716', '']","['55', 'i']","['2,360', '']","['8', '']","['350', '']","['66', '']","['36', '']","['397', '']","['118', '']","['254', '']","['79', 'i']","['379', '']","['935', '']","['23', '']","['16', '']","['2', '']","['127', 'i']"
8838,r085,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['11,845', '']","['26', 'i']","['118', '']","['32', '']","['125', 'i']","['987', 'i']","['108', 'i']","['850', '']","['31', 'i']","['855', 'i']","['2', '']","['465', 'i']","['290', 'i']","['29', '']","['231', '']","['158', '']","['144', 'i']","['183', '']","['36', '']","['269', '']","['24', '']","['30', '']","['5', '']","['213', 'i']"
8838,r086,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['23,186', '']","['165', 'i']","['352', '']","['25', 'i']","['206', '']","['167', 'i']","['307', '']","['1,922', '']","['43', '']","['2,240', '']","['5', '']","['1,740', '']","['44', '']","['98', 'i']","['932', '']","['371', 'i']","['570', '']","['32', '']","['141', '']","['430', 'i']","['100', '']","['111', 'i']","['81', 'i']","['*', 'i']"
8838,r087,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['46,336', '']","['111', '']","['598', '']","['111', '']","['470', '']","['493', '']","['1,229', '']","['3,699', '']","['277', '']","['4,633', '']","['14', '']","['1,792', '']","['515', '']","['56', '']","['874', '']","['831', '']","['935', '']","['58', '']","['141', '']","['4,408', '']","['193', '']","['79', 'i']","['130', '']","['92 - 236', 'i']"
