table_id,row_id,state_and_department_or_agency_full_path,state_and_department_or_agency_level_1,state_and_department_or_agency_level_2,state_and_department_or_agency_level_3,state_and_department_or_agency_hierarchy_depth,field_all_r_d_expenditures,field_intramural_performersa,field_extramural_performersb_total,field_extramural_performersb_academic_institutions,field_extramural_performersb_companies_and_individualsc,field_extramural_performersb_otherd
2468,r165,United States<sup>e</sup> -> Maine,United States<sup>e</sup>,Maine,,2,32592625,3051263,29541362,3208546,23392740,2940076
2468,r166,"United States<sup>e</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>e</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,650363,329763,320600,0,320600,0
2468,r167,"United States<sup>e</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>e</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,719045,0,719045,719045,0,0
2468,r168,"United States<sup>e</sup> -> Maine -> Marine Resources, Department of",United States<sup>e</sup>,Maine,"Marine Resources, Department of",3,2341500,2236500,105000,0,105000,0
2468,r169,United States<sup>e</sup> -> Maine -> Technology Institute,United States<sup>e</sup>,Maine,Technology Institute,3,27745717,0,27745717,1838501,22967140,2940076
2468,r170,"United States<sup>e</sup> -> Maine -> Transportation, Department of ",United States<sup>e</sup>,Maine,"Transportation, Department of ",3,1136000,485000,651000,651000,0,0
2468,r171,United States<sup>e</sup> -> Maryland,United States<sup>e</sup>,Maryland,,2,29107768,989368,28118400,25174517,1702691,1241192
2468,r172,"United States<sup>e</sup> -> Maryland -> Education, Department of",United States<sup>e</sup>,Maryland,"Education, Department of",3,638402,0,638402,638402,0,0
2468,r173,United States<sup>e</sup> -> Maryland -> Energy Administration,United States<sup>e</sup>,Maryland,Energy Administration,3,1032429,0,1032429,7429,0,1025000
2468,r174,"United States<sup>e</sup> -> Maryland -> Health and Mental Hygiene, Department of",United States<sup>e</sup>,Maryland,"Health and Mental Hygiene, Department of",3,13000000,0,13000000,13000000,0,0
2468,r175,"United States<sup>e</sup> -> Maryland -> Natural Resources, Department of",United States<sup>e</sup>,Maryland,"Natural Resources, Department of",3,1476425,586649,889776,835467,54309,0
2468,r176,United States<sup>e</sup> -> Maryland -> Technology Development Corporation,United States<sup>e</sup>,Maryland,Technology Development Corporation,3,10620513,0,10620513,9241839,1378674,0
2468,r177,"United States<sup>e</sup> -> Maryland -> Transportation, Department of",United States<sup>e</sup>,Maryland,"Transportation, Department of",3,2339999,402719,1937280,1451380,269708,216192
2468,r178,United States<sup>e</sup> -> Massachusetts,United States<sup>e</sup>,Massachusetts,,2,28425439,8798238,19627201,8959924,9122538,1544739
2468,r179,United States<sup>e</sup> -> Massachusetts -> Clean Energy Technology Center,United States<sup>e</sup>,Massachusetts,Clean Energy Technology Center,3,4999247,0,4999247,1004327,3737625,257295
2468,r180,"United States<sup>e</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>e</sup>,Massachusetts,"Environmental Protection, Department of ",3,288925,223238,65687,31291,34396,0
2468,r181,"United States<sup>e</sup> -> Massachusetts -> Fish and Game, Department of ",United States<sup>e</sup>,Massachusetts,"Fish and Game, Department of ",3,8550000,8050000,500000,250000,0,250000
2468,r182,United States<sup>e</sup> -> Massachusetts -> Gaming Commission,United States<sup>e</sup>,Massachusetts,Gaming Commission,3,2125000,0,2125000,2095000,30000,0
2468,r183,United States<sup>e</sup> -> Massachusetts -> Life Sciences Center,United States<sup>e</sup>,Massachusetts,Life Sciences Center,3,1000000,0,1000000,0,1000000,0
2468,r184,United States<sup>e</sup> -> Massachusetts -> Massventures,United States<sup>e</sup>,Massachusetts,Massventures,3,3300000,0,3300000,0,3300000,0
2468,r185,"United States<sup>e</sup> -> Massachusetts -> Mental Health, Department of",United States<sup>e</sup>,Massachusetts,"Mental Health, Department of",3,1300000,0,1300000,1300000,0,0
2468,r186,"United States<sup>e</sup> -> Massachusetts -> Public Health, Department of ",United States<sup>e</sup>,Massachusetts,"Public Health, Department of ",3,2237267,0,2237267,1179306,1020517,37444
2468,r187,"United States<sup>e</sup> -> Massachusetts -> Transportation, Department of",United States<sup>e</sup>,Massachusetts,"Transportation, Department of",3,4425000,425000,4000000,3000000,0,1000000
2468,r188,United States<sup>e</sup> -> Massachusetts -> Water Resources Authority,United States<sup>e</sup>,Massachusetts,Water Resources Authority,3,200000,100000,100000,100000,0,0
2468,r189,United States<sup>e</sup> -> Michigan,United States<sup>e</sup>,Michigan,,2,8023318,336227,7687091,4128401,732368,2826322
2468,r190,"United States<sup>e</sup> -> Michigan -> Agriculture and Rural Development, Department of",United States<sup>e</sup>,Michigan,"Agriculture and Rural Development, Department of",3,1246732,0,1246732,862914,46896,336922
2468,r191,"United States<sup>e</sup> -> Michigan -> Environmental, Great Lakes and Energy, Department of",United States<sup>e</sup>,Michigan,"Environmental, Great Lakes and Energy, Department of",3,639875,336227,303648,241876,61772,0
2468,r192,United States<sup>e</sup> -> Michigan -> Health and Human Services,United States<sup>e</sup>,Michigan,Health and Human Services,3,88488,0,88488,88488,0,0
2468,r193,"United States<sup>e</sup> -> Michigan -> Natural Resources, Department of",United States<sup>e</sup>,Michigan,"Natural Resources, Department of",3,916023,0,916023,916023,0,0
2468,r194,"United States<sup>e</sup> -> Michigan -> Transportation, Department of",United States<sup>e</sup>,Michigan,"Transportation, Department of",3,5132200,0,5132200,2019100,623700,2489400
2468,r195,United States<sup>e</sup> -> Minnesota,United States<sup>e</sup>,Minnesota,,2,20150907,2027757,18123150,11789528,3284164,3049458
2468,r196,"United States<sup>e</sup> -> Minnesota -> Agriculture, Department of",United States<sup>e</sup>,Minnesota,"Agriculture, Department of",3,6177224,520093,5657131,4740601,247494,669036
2468,r197,United States<sup>e</sup> -> Minnesota -> Forest Resources Council,United States<sup>e</sup>,Minnesota,Forest Resources Council,3,140000,30000,110000,110000,0,0
2468,r198,"United States<sup>e</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>e</sup>,Minnesota,"Natural Resources, Department of",3,1462164,1462164,0,0,0,0
2468,r199,United States<sup>e</sup> -> Minnesota -> Pollution Control Agency,United States<sup>e</sup>,Minnesota,Pollution Control Agency,3,100277,0,100277,16038,79381,4858
2468,r200,"United States<sup>e</sup> -> Minnesota -> Transportation, Department of",United States<sup>e</sup>,Minnesota,"Transportation, Department of",3,12271242,15500,12255742,6922889,2957289,2375564
2468,r201,United States<sup>e</sup> -> Mississippi,United States<sup>e</sup>,Mississippi,,2,12170278,1755759,10414519,5478277,2776582,2159660
2468,r202,"United States<sup>e</sup> -> Mississippi -> Agriculture and Commerce, Department of ",United States<sup>e</sup>,Mississippi,"Agriculture and Commerce, Department of ",3,97454,0,97454,97454,0,0
2468,r203,"United States<sup>e</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>e</sup>,Mississippi,"Environmental Quality, Department of",3,1157390,83910,1073480,1073480,0,0
2468,r204,United States<sup>e</sup> -> Mississippi -> Gulf States Marine Fisheries Commission,United States<sup>e</sup>,Mississippi,Gulf States Marine Fisheries Commission,3,661034,0,661034,545483,0,115551
2468,r205,"United States<sup>e</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>e</sup>,Mississippi,"Marine Resources, Department of",3,2141085,224205,1916880,1916880,0,0
2468,r206,"United States<sup>e</sup> -> Mississippi -> Transportation, Department of",United States<sup>e</sup>,Mississippi,"Transportation, Department of",3,5991596,462995,5528601,790000,2776582,1962019
2468,r207,"United States<sup>e</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>e</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,2121719,984649,1137070,1054980,0,82090
2468,r208,United States<sup>e</sup> -> Missouri,United States<sup>e</sup>,Missouri,,2,15055845,8242424,6813421,5232623,1430015,150783
2468,r209,"United States<sup>e</sup> -> Missouri -> Agriculture, Department of",United States<sup>e</sup>,Missouri,"Agriculture, Department of",3,79966,0,79966,79966,0,0
2468,r210,"United States<sup>e</sup> -> Missouri -> Conservation, Department of",United States<sup>e</sup>,Missouri,"Conservation, Department of",3,11163017,8200487,2962530,2554575,407955,0
2468,r211,United States<sup>e</sup> -> Missouri -> Health and Senior Services,United States<sup>e</sup>,Missouri,Health and Senior Services,3,28760,28760,0,0,0,0
2468,r212,"United States<sup>e</sup> -> Missouri -> Natural Resources, Department of",United States<sup>e</sup>,Missouri,"Natural Resources, Department of",3,792133,13177,778956,648173,0,130783
2468,r213,United States<sup>e</sup> -> Missouri -> Technology Corporation,United States<sup>e</sup>,Missouri,Technology Corporation,3,615000,0,615000,0,615000,0
2468,r214,"United States<sup>e</sup> -> Missouri -> Transportation, Department of",United States<sup>e</sup>,Missouri,"Transportation, Department of",3,1430194,0,1430194,1003134,407060,20000
2468,r215,United States<sup>e</sup> -> Missouri -> Wine and Grape Board,United States<sup>e</sup>,Missouri,Wine and Grape Board,3,946775,0,946775,946775,0,0
2468,r216,United States<sup>e</sup> -> Montana,United States<sup>e</sup>,Montana,,2,8794140,2993604,5800536,4974426,660846,165264
2468,r217,"United States<sup>e</sup> -> Montana -> Agriculture, Department of",United States<sup>e</sup>,Montana,"Agriculture, Department of",3,3132570,0,3132570,3132570,0,0
2468,r218,"United States<sup>e</sup> -> Montana -> Environmental Quality, Department of",United States<sup>e</sup>,Montana,"Environmental Quality, Department of",3,153592,98756,54836,2666,156,52014
2468,r219,"United States<sup>e</sup> -> Montana -> Fish, Wildlife and Parks",United States<sup>e</sup>,Montana,"Fish, Wildlife and Parks",3,3833321,2740906,1092415,1092415,0,0
2468,r220,"United States<sup>e</sup> -> Montana -> Natural Resources and Conservation, Department of",United States<sup>e</sup>,Montana,"Natural Resources and Conservation, Department of",3,59620,59620,0,0,0,0
2468,r221,"United States<sup>e</sup> -> Montana -> Research and Commercialization, Board of",United States<sup>e</sup>,Montana,"Research and Commercialization, Board of",3,794510,0,794510,162500,632010,0
2468,r222,"United States<sup>e</sup> -> Montana -> Transportation, Department of",United States<sup>e</sup>,Montana,"Transportation, Department of",3,820527,94322,726205,584275,28680,113250
2468,r223,United States<sup>e</sup> -> Nebraska,United States<sup>e</sup>,Nebraska,,2,28167688,770104,27397584,25378861,579453,1439270
2468,r224,"United States<sup>e</sup> -> Nebraska -> Agriculture, Department of",United States<sup>e</sup>,Nebraska,"Agriculture, Department of",3,1193067,752988,440079,0,357242,82837
2468,r225,United States<sup>e</sup> -> Nebraska -> Corn Board,United States<sup>e</sup>,Nebraska,Corn Board,3,1107026,0,1107026,957026,0,150000
2468,r226,United States<sup>e</sup> -> Nebraska -> Dry Bean Commission,United States<sup>e</sup>,Nebraska,Dry Bean Commission,3,192000,0,192000,192000,0,0
2468,r227,"United States<sup>e</sup> -> Nebraska -> Economic Development, Department of",United States<sup>e</sup>,Nebraska,"Economic Development, Department of",3,1111752,0,1111752,964259,147493,0
2468,r228,United States<sup>e</sup> -> Nebraska -> Game and Parks Commission,United States<sup>e</sup>,Nebraska,Game and Parks Commission,3,2857952,5000,2852952,2852952,0,0
2468,r229,United States<sup>e</sup> -> Nebraska -> Grain Sorghum Board,United States<sup>e</sup>,Nebraska,Grain Sorghum Board,3,15000,0,15000,15000,0,0
2468,r230,United States<sup>e</sup> -> Nebraska -> Health and Human Services,United States<sup>e</sup>,Nebraska,Health and Human Services,3,18562794,0,18562794,18562794,0,0
2468,r231,"United States<sup>e</sup> -> Nebraska -> Natural Resources, Department of",United States<sup>e</sup>,Nebraska,"Natural Resources, Department of",3,1346572,12116,1334456,58305,74718,1201433
2468,r232,"United States<sup>e</sup> -> Nebraska -> Transportation, Department of",United States<sup>e</sup>,Nebraska,"Transportation, Department of",3,1453039,0,1453039,1453039,0,0
2468,r233,United States<sup>e</sup> -> Nebraska -> Wheat Board,United States<sup>e</sup>,Nebraska,Wheat Board,3,328486,0,328486,323486,0,5000
2468,r234,United States<sup>e</sup> -> Nevada,United States<sup>e</sup>,Nevada,,2,7871899,184774,7687125,5576601,200360,1910164
2468,r235,"United States<sup>e</sup> -> Nevada -> Agriculture, Department of",United States<sup>e</sup>,Nevada,"Agriculture, Department of",3,184774,184774,0,0,0,0
2468,r236,"United States<sup>e</sup> -> Nevada -> Economic Development, Governor's office of",United States<sup>e</sup>,Nevada,"Economic Development, Governor's office of",3,6584759,0,6584759,4919976,0,1664783
2468,r237,"United States<sup>e</sup> -> Nevada -> Transportation, Department of",United States<sup>e</sup>,Nevada,"Transportation, Department of",3,1102366,0,1102366,656625,200360,245381
2468,r238,United States<sup>e</sup> -> New Hampshire,United States<sup>e</sup>,New Hampshire,,2,8432696,131672,8301024,759619,7060142,481263
2468,r239,"United States<sup>e</sup> -> New Hampshire -> Agriculture, Markets and Food, Department of",United States<sup>e</sup>,New Hampshire,"Agriculture, Markets and Food, Department of",3,154699,0,154699,114949,0,39750
2468,r240,United States<sup>e</sup> -> New Hampshire -> Business and Economic Affairs,United States<sup>e</sup>,New Hampshire,Business and Economic Affairs,3,7275000,0,7275000,275000,7000000,0
2468,r241,"United States<sup>e</sup> -> New Hampshire -> Natural & Cultural Resources, Department of",United States<sup>e</sup>,New Hampshire,"Natural & Cultural Resources, Department of",3,61465,0,61465,61465,0,0
2468,r242,"United States<sup>e</sup> -> New Hampshire -> Transportation, Department of",United States<sup>e</sup>,New Hampshire,"Transportation, Department of",3,941532,131672,809860,308205,60142,441513
2468,r243,United States<sup>e</sup> -> New Jersey,United States<sup>e</sup>,New Jersey,,2,23886758,2796233,21090525,15454335,818969,4817221
2468,r244,"United States<sup>e</sup> -> New Jersey -> Community Affairs, Department of ",United States<sup>e</sup>,New Jersey,"Community Affairs, Department of ",3,310000,75000,235000,235000,0,0
2468,r245,"United States<sup>e</sup> -> New Jersey -> Corrections, Department of",United States<sup>e</sup>,New Jersey,"Corrections, Department of",3,301979,301979,0,0,0,0
2468,r246,"United States<sup>e</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>e</sup>,New Jersey,"Environmental Protection, Department of",3,2474000,1772000,702000,554000,148000,0
2468,r247,"United States<sup>e</sup> -> New Jersey -> Health, Department of",United States<sup>e</sup>,New Jersey,"Health, Department of",3,1936431,0,1936431,1751848,184583,0
2468,r248,United States<sup>e</sup> -> New Jersey -> Pinelands Commission,United States<sup>e</sup>,New Jersey,Pinelands Commission,3,647254,647254,0,0,0,0
2468,r249,"United States<sup>e</sup> -> New Jersey -> Research Initiatives, Office of",United States<sup>e</sup>,New Jersey,"Research Initiatives, Office of",3,13000000,0,13000000,8182779,0,4817221
2468,r250,"United States<sup>e</sup> -> New Jersey -> Secretary of Higher Education, Office of",United States<sup>e</sup>,New Jersey,"Secretary of Higher Education, Office of",3,2500000,0,2500000,2500000,0,0
2468,r251,"United States<sup>e</sup> -> New Jersey -> Transit, New Jersey",United States<sup>e</sup>,New Jersey,"Transit, New Jersey",3,103000,0,103000,103000,0,0
2468,r252,"United States<sup>e</sup> -> New Jersey -> Transportation, Department of",United States<sup>e</sup>,New Jersey,"Transportation, Department of",3,2614094,0,2614094,2127708,486386,0
2468,r253,United States<sup>e</sup> -> New Mexico,United States<sup>e</sup>,New Mexico,,2,3585944,900212,2685732,1402821,1033472,249439
2468,r254,"United States<sup>e</sup> -> New Mexico -> Cultural Affairs, Department of",United States<sup>e</sup>,New Mexico,"Cultural Affairs, Department of",3,17000,17000,0,0,0,0
2468,r255,"United States<sup>e</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>e</sup>,New Mexico,"Game and Fish, Department of",3,1000000,500000,500000,500000,0,0
2468,r256,"United States<sup>e</sup> -> New Mexico -> Transportation, Department of",United States<sup>e</sup>,New Mexico,"Transportation, Department of",3,1659400,383212,1276188,832230,194519,249439
2468,r257,United States<sup>e</sup> -> New Mexico -> Western State Air Resources Council,United States<sup>e</sup>,New Mexico,Western State Air Resources Council,3,909544,0,909544,70591,838953,0
2468,r258,United States<sup>e</sup> -> New York,United States<sup>e</sup>,New York,,2,448501735,276773893,171727842,109787947,28123417,33816478
2468,r259,"United States<sup>e</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>e</sup>,New York,"Agriculture and Markets, Department of ",3,9864543,1965000,7899543,7539543,0,360000
2468,r260,"United States<sup>e</sup> -> New York -> Economic Development, Department of",United States<sup>e</sup>,New York,"Economic Development, Department of",3,39780251,0,39780251,39780251,0,0
2468,r261,United States<sup>e</sup> -> New York -> Energy Research and Development Authority,United States<sup>e</sup>,New York,Energy Research and Development Authority,3,53546621,7889945,45656676,7612185,23794417,14250074
2468,r262,"United States<sup>e</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>e</sup>,New York,"Environmental Conservation, Department of ",3,8942166,4306743,4635423,3408391,1138833,88199
2468,r263,"United States<sup>e</sup> -> New York -> Health, Department of ",United States<sup>e</sup>,New York,"Health, Department of ",3,82781352,34197760,48583592,34104316,1201465,13277811
2468,r264,"United States<sup>e</sup> -> New York -> Mental Health, Office of ",United States<sup>e</sup>,New York,"Mental Health, Office of ",3,156275133,139961648,16313485,15147134,0,1166351
2468,r265,"United States<sup>e</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>e</sup>,New York,"People with Developmental Disabilities, Office of",3,1849940,1849940,0,0,0,0
2468,r266,United States<sup>e</sup> -> New York -> Power Authority,United States<sup>e</sup>,New York,Power Authority,3,8707710,3913638,4794072,120029,0,4674043
2468,r267,United States<sup>e</sup> -> New York -> Roswell Park Cancer Institute,United States<sup>e</sup>,New York,Roswell Park Cancer Institute,3,71920211,71920211,0,0,0,0
2468,r268,United States<sup>e</sup> -> New York -> State Museum,United States<sup>e</sup>,New York,State Museum,3,10022519,9124024,898495,898495,0,0
2468,r269,United States<sup>e</sup> -> New York -> Thoroughbred Breeding and Development Fund Corp.,United States<sup>e</sup>,New York,Thoroughbred Breeding and Development Fund Corp.,3,388449,0,388449,388449,0,0
2468,r270,"United States<sup>e</sup> -> New York -> Transportation, Department of ",United States<sup>e</sup>,New York,"Transportation, Department of ",3,4422840,1644984,2777856,789154,1988702,0
2468,r271,United States<sup>e</sup> -> North Carolina,United States<sup>e</sup>,North Carolina,,2,32754090,18400435,14353655,11216518,1446990,1690147
2468,r272,"United States<sup>e</sup> -> North Carolina -> Agriculture and Consumer Services, Department of",United States<sup>e</sup>,North Carolina,"Agriculture and Consumer Services, Department of",3,15422911,13922911,1500000,1300000,200000,0
2468,r273,"United States<sup>e</sup> -> North Carolina -> Environmental Quality, Department of",United States<sup>e</sup>,North Carolina,"Environmental Quality, Department of",3,3460387,1158611,2301776,1479318,0,822458
2468,r274,"United States<sup>e</sup> -> North Carolina -> Golden Leaf, The",United States<sup>e</sup>,North Carolina,"Golden Leaf, The",3,65000,0,65000,65000,0,0
2468,r275,"United States<sup>e</sup> -> North Carolina -> Natural and Cultural Resources, Department of",United States<sup>e</sup>,North Carolina,"Natural and Cultural Resources, Department of",3,3473399,2605710,867689,0,0,867689
2468,r276,"United States<sup>e</sup> -> North Carolina -> Science, Technology & Innovation, Board of",United States<sup>e</sup>,North Carolina,"Science, Technology & Innovation, Board of",3,1201990,0,1201990,0,1201990,0
2468,r277,"United States<sup>e</sup> -> North Carolina -> Transportation, Department of",United States<sup>e</sup>,North Carolina,"Transportation, Department of",3,9010403,713203,8297200,8297200,0,0
2468,r278,United States<sup>e</sup> -> North Carolina -> Wine and Grape Growers Council,United States<sup>e</sup>,North Carolina,Wine and Grape Growers Council,3,120000,0,120000,75000,45000,0
2468,r279,United States<sup>e</sup> -> North Dakota,United States<sup>e</sup>,North Dakota,,2,12140358,421989,11718369,9153941,1328298,1236130
2468,r280,"United States<sup>e</sup> -> North Dakota -> Agriculture, Department of",United States<sup>e</sup>,North Dakota,"Agriculture, Department of",3,299153,0,299153,290744,8409,0
2468,r281,United States<sup>e</sup> -> North Dakota -> Dairy Promotion Commission,United States<sup>e</sup>,North Dakota,Dairy Promotion Commission,3,155170,0,155170,0,0,155170
2468,r282,United States<sup>e</sup> -> North Dakota -> Dry Pea and Lentil Commission,United States<sup>e</sup>,North Dakota,Dry Pea and Lentil Commission,3,135023,0,135023,135023,0,0
2468,r283,"United States<sup>e</sup> -> North Dakota -> Game and Fish, Department of",United States<sup>e</sup>,North Dakota,"Game and Fish, Department of",3,1375151,0,1375151,1251281,123870,0
2468,r284,United States<sup>e</sup> -> North Dakota -> Industrial Commission,United States<sup>e</sup>,North Dakota,Industrial Commission,3,6226265,344482,5881783,4808160,1073623,0
2468,r285,United States<sup>e</sup> -> North Dakota -> Soybean Council,United States<sup>e</sup>,North Dakota,Soybean Council,3,1573679,0,1573679,1550179,23500,0
2468,r286,"United States<sup>e</sup> -> North Dakota -> Transportation, Department of",United States<sup>e</sup>,North Dakota,"Transportation, Department of",3,1279171,77507,1201664,71808,98896,1030960
2468,r287,United States<sup>e</sup> -> North Dakota -> Wheat Commission,United States<sup>e</sup>,North Dakota,Wheat Commission,3,1096746,0,1096746,1046746,0,50000
2468,r288,United States<sup>e</sup> -> Ohio,United States<sup>e</sup>,Ohio,,2,97758379,18343328,79415051,30769933,47834732,810386
2468,r289,United States<sup>e</sup> -> Ohio -> Development Services Agency,United States<sup>e</sup>,Ohio,Development Services Agency,3,85774800,17610002,68164798,21623992,46540806,0
2468,r290,"United States<sup>e</sup> -> Ohio -> Education, Department of",United States<sup>e</sup>,Ohio,"Education, Department of",3,615000,0,615000,450000,0,165000
2468,r291,United States<sup>e</sup> -> Ohio -> Environmental Protection Agency,United States<sup>e</sup>,Ohio,Environmental Protection Agency,3,20174,0,20174,0,20174,0
2468,r292,"United States<sup>e</sup> -> Ohio -> Natural Resources, Department of",United States<sup>e</sup>,Ohio,"Natural Resources, Department of",3,2940286,733326,2206960,2104313,51646,51001
2468,r293,"United States<sup>e</sup> -> Ohio -> Transportation, Department of",United States<sup>e</sup>,Ohio,"Transportation, Department of",3,6886442,0,6886442,5544971,1222106,119365
2468,r294,United States<sup>e</sup> -> Ohio -> Water Development Authority,United States<sup>e</sup>,Ohio,Water Development Authority,3,1521677,0,1521677,1046657,0,475020
2468,r295,United States<sup>e</sup> -> Oklahoma,United States<sup>e</sup>,Oklahoma,,2,29607888,1685458,27922430,20226951,1260669,6434810
2468,r296,"United States<sup>e</sup> -> Oklahoma -> Advancement of Science and Technology, Center for the ",United States<sup>e</sup>,Oklahoma,"Advancement of Science and Technology, Center for the ",3,5753552,0,5753552,4012857,1253421,487274
2468,r297,"United States<sup>e</sup> -> Oklahoma -> Agriculture, Food, and Forestry, Department of",United States<sup>e</sup>,Oklahoma,"Agriculture, Food, and Forestry, Department of",3,634804,0,634804,634804,0,0
2468,r298,"United States<sup>e</sup> -> Oklahoma -> Environmental Quality, Department of",United States<sup>e</sup>,Oklahoma,"Environmental Quality, Department of",3,80399,0,80399,30399,0,50000
2468,r299,"United States<sup>e</sup> -> Oklahoma -> Health, Department of",United States<sup>e</sup>,Oklahoma,"Health, Department of",3,608140,608140,0,0,0,0
2468,r300,"United States<sup>e</sup> -> Oklahoma -> Human Services, Department of",United States<sup>e</sup>,Oklahoma,"Human Services, Department of",3,134244,134244,0,0,0,0
2468,r301,United States<sup>e</sup> -> Oklahoma -> Tobacco Settlement Endowment Trust,United States<sup>e</sup>,Oklahoma,Tobacco Settlement Endowment Trust,3,12300000,0,12300000,9300000,0,3000000
2468,r302,"United States<sup>e</sup> -> Oklahoma -> Transportation, Department of",United States<sup>e</sup>,Oklahoma,"Transportation, Department of",3,6511466,943074,5568392,3998892,0,1569500
2468,r303,"United States<sup>e</sup> -> Oklahoma -> Wildlife Conservation, Department of",United States<sup>e</sup>,Oklahoma,"Wildlife Conservation, Department of",3,3585283,0,3585283,2249999,7248,1328036
2468,r304,United States<sup>e</sup> -> Oregon,United States<sup>e</sup>,Oregon,,2,44222659,24761784,19460875,13099132,5359291,1002452
2468,r305,"United States<sup>e</sup> -> Oregon -> Agriculture, Department of",United States<sup>e</sup>,Oregon,"Agriculture, Department of",3,388762,0,388762,388762,0,0
2468,r306,United States<sup>e</sup> -> Oregon -> Business Oregon,United States<sup>e</sup>,Oregon,Business Oregon,3,14800000,0,14800000,10000000,4800000,0
2468,r307,"United States<sup>e</sup> -> Oregon -> Education, Department of",United States<sup>e</sup>,Oregon,"Education, Department of",3,657595,657595,0,0,0,0
2468,r308,"United States<sup>e</sup> -> Oregon -> Environmental Quality, Department of",United States<sup>e</sup>,Oregon,"Environmental Quality, Department of",3,458000,41000,417000,417000,0,0
2468,r309,"United States<sup>e</sup> -> Oregon -> Fish and Wildlife, Department of",United States<sup>e</sup>,Oregon,"Fish and Wildlife, Department of",3,14235414,12974798,1260616,1260616,0,0
2468,r310,"United States<sup>e</sup> -> Oregon -> Forestry, Department of",United States<sup>e</sup>,Oregon,"Forestry, Department of",3,522777,383592,139185,44915,74565,19705
2468,r311,"United States<sup>e</sup> -> Oregon -> Geology and Mineral Industries, Department of",United States<sup>e</sup>,Oregon,"Geology and Mineral Industries, Department of",3,814431,814431,0,0,0,0
2468,r312,"United States<sup>e</sup> -> Oregon -> Human Services, Department of",United States<sup>e</sup>,Oregon,"Human Services, Department of",3,5535728,5535728,0,0,0,0
2468,r313,"United States<sup>e</sup> -> Oregon -> Transportation, Department of",United States<sup>e</sup>,Oregon,"Transportation, Department of",3,5090034,3901901,1188133,987839,109573,90721
2468,r314,United States<sup>e</sup> -> Oregon -> Water Resources Department,United States<sup>e</sup>,Oregon,Water Resources Department,3,810484,435331,375153,0,375153,0
2468,r315,United States<sup>e</sup> -> Oregon -> Watershed Enhancement Board,United States<sup>e</sup>,Oregon,Watershed Enhancement Board,3,909434,17408,892026,0,0,892026
2468,r316,United States<sup>e</sup> -> Pennsylvania,United States<sup>e</sup>,Pennsylvania,,2,85050999,8579205,76471794,56916243,2330059,17225492
2468,r317,"United States<sup>e</sup> -> Pennsylvania -> Agriculture, Department of",United States<sup>e</sup>,Pennsylvania,"Agriculture, Department of",3,2187000,0,2187000,1459449,727551,0
2468,r318,"United States<sup>e</sup> -> Pennsylvania -> Community and Economic Development, Department of",United States<sup>e</sup>,Pennsylvania,"Community and Economic Development, Department of",3,21600000,0,21600000,4600000,0,17000000
2468,r319,"United States<sup>e</sup> -> Pennsylvania -> Conservation and Natural Resources, Department of",United States<sup>e</sup>,Pennsylvania,"Conservation and Natural Resources, Department of",3,42124,42124,0,0,0,0
2468,r320,"United States<sup>e</sup> -> Pennsylvania -> Environmental Protection, Department of",United States<sup>e</sup>,Pennsylvania,"Environmental Protection, Department of",3,1445473,50000,1395473,1184471,150000,61002
2468,r321,United States<sup>e</sup> -> Pennsylvania -> Fish and Boat Commission,United States<sup>e</sup>,Pennsylvania,Fish and Boat Commission,3,131845,93639,38206,38206,0,0
2468,r322,United States<sup>e</sup> -> Pennsylvania -> Game Commission,United States<sup>e</sup>,Pennsylvania,Game Commission,3,9287658,7796543,1491115,384117,952508,154490
2468,r323,"United States<sup>e</sup> -> Pennsylvania -> Health, Department of",United States<sup>e</sup>,Pennsylvania,"Health, Department of",3,46293000,0,46293000,46293000,0,0
2468,r324,United States<sup>e</sup> -> Pennsylvania -> Susquehanna River Basin Commission,United States<sup>e</sup>,Pennsylvania,Susquehanna River Basin Commission,3,150000,130000,20000,10000,0,10000
2468,r325,"United States<sup>e</sup> -> Pennsylvania -> Transportation, Department of",United States<sup>e</sup>,Pennsylvania,"Transportation, Department of",3,3913899,466899,3447000,2947000,500000,0
2468,r326,United States<sup>e</sup> -> Rhode Island,United States<sup>e</sup>,Rhode Island,,2,5512380,2767111,2745269,555519,1622583,567167
2468,r327,United States<sup>e</sup> -> Rhode Island -> Commerce Corporation,United States<sup>e</sup>,Rhode Island,Commerce Corporation,3,1203652,0,1203652,381069,822583,0
