table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
8802,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['264', '  ']","['3', '  ']","['20', '  ']","['0', '  ']",0,,"['0', '  ']","['15', '  ']","['54', '  ']","['0 - 140', '  ']","['0 - 140', '  ']","['34 - 175', '  ']"
8802,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,058', '  ']","['64', '  ']","['269', '  ']","['132', '  ']",300,i ,"['123', 'i ']","['107', 'i ']","['34', 'i ']","['3', 'i ']","['19', '  ']","['9', 'i ']"
8802,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['3,840 - 19,390', 'i ']","['3', '  ']","['14', '  ']","['2 - 581', '  ']",0 - 280,,"['105', '  ']","['2', '  ']","['0 - 568', '  ']","['0 - 1,049', '  ']","['0 - 3,512', '  ']","['0 - 17,731', 'i ']"
8802,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['4,957', 'i ']","['0', '  ']","['1', '  ']","['81', '  ']",11,,"['1', '  ']","['40', '  ']","['2,141', 'i ']","['9', '  ']","['0 - 2,676', 'i ']","['0 - 2,676', '  ']"
8802,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['129,463', '  ']","['727', '  ']","['1,860', '  ']","['1,362', '  ']",4554,,"['6,130', '  ']","['4,638', '  ']","['24,753', '  ']","['7,317', '  ']","['5,373', '  ']","['72,748', '  ']"
8802,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['35,025', '  ']","['472', '  ']","['679', '  ']","['570', '  ']",1178,,"['525', '  ']","['786', '  ']","['8,610', '  ']","['1,791', '  ']","['1,267', '  ']","['19,147', '  ']"
8802,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['60', '  ']","['* ', '  ']","['1', '  ']","['6', '  ']",* ,,"['53', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
8802,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['34,965', '  ']","['472', '  ']","['678', '  ']","['564', '  ']",1178,,"['472', '  ']","['786', '  ']","['8,610', '  ']","['1,791', '  ']","['1,267', '  ']","['19,147', '  ']"
8802,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['3,425 - 3,437', '  ']","['0 - 200', '  ']","['0 - 200', '  ']","['52', '  ']",178,,"['106', '  ']","['103', '  ']","['89', 'i ']","['29', '  ']","['0 - 200', '  ']","['2,684', '  ']"
8802,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['41,551', '  ']","['48 - 251', '  ']","['896', '  ']","['678', '  ']",2576,,"['5,331', '  ']","['2,724', '  ']","['12,382', '  ']","['4,994', '  ']","['2,316 - 2,527', '  ']","['9,399', '  ']"
