table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
5783,r206,2019 -> Total  -> Turkey,S&E,Physical sciences,2,30
5783,r207,2019 -> Total  -> Turkey,S&E,Psychology,2,90
5783,r208,2019 -> Total  -> Turkey,S&E,Social sciences,2,230
5783,r209,2019 -> Total  -> Turkey,Non-S&E,,1,1700
5783,r210,2019 -> Total  -> Oman,All fields,,1,2170
5783,r211,2019 -> Total  -> Oman,S&E,All S&E fields,2,1360
5783,r212,2019 -> Total  -> Oman,S&E,Engineering,2,990
5783,r213,2019 -> Total  -> Oman,S&E,Agricultural sciences,2,10
5783,r214,2019 -> Total  -> Oman,S&E,Biological sciences,2,40
5783,r215,2019 -> Total  -> Oman,S&E,Computer sciences,2,100
5783,r216,2019 -> Total  -> Oman,S&E,Mathematics and statistics,2,20
5783,r217,2019 -> Total  -> Oman,S&E,Physical sciences,2,100
5783,r218,2019 -> Total  -> Oman,S&E,Psychology,2,10
5783,r219,2019 -> Total  -> Oman,S&E,Social sciences,2,90
5783,r220,2019 -> Total  -> Oman,Non-S&E,,1,820
5783,r221,2019 -> Total  -> Hong Kong,All fields,,1,3680
5783,r222,2019 -> Total  -> Hong Kong,S&E,All S&E fields,2,1340
5783,r223,2019 -> Total  -> Hong Kong,S&E,Engineering,2,240
5783,r224,2019 -> Total  -> Hong Kong,S&E,Agricultural sciences,2,50
5783,r225,2019 -> Total  -> Hong Kong,S&E,Biological sciences,2,110
5783,r226,2019 -> Total  -> Hong Kong,S&E,Computer sciences,2,290
5783,r227,2019 -> Total  -> Hong Kong,S&E,Mathematics and statistics,2,110
5783,r228,2019 -> Total  -> Hong Kong,S&E,Physical sciences,2,70
5783,r229,2019 -> Total  -> Hong Kong,S&E,Psychology,2,150
5783,r230,2019 -> Total  -> Hong Kong,S&E,Social sciences,2,330
5783,r231,2019 -> Total  -> Hong Kong,Non-S&E,,1,2340
5783,r232,2019 -> Total  -> Other locations,All fields,,1,104770
5783,r233,2019 -> Total  -> Other locations,S&E,All S&E fields,2,37420
5783,r234,2019 -> Total  -> Other locations,S&E,Engineering,2,11550
5783,r235,2019 -> Total  -> Other locations,S&E,Agricultural sciences,2,780
5783,r236,2019 -> Total  -> Other locations,S&E,Biological sciences,2,5350
5783,r237,2019 -> Total  -> Other locations,S&E,Computer sciences,2,7340
5783,r238,2019 -> Total  -> Other locations,S&E,Mathematics and statistics,2,1480
5783,r239,2019 -> Total  -> Other locations,S&E,Physical sciences,2,1510
5783,r240,2019 -> Total  -> Other locations,S&E,Psychology,2,2880
5783,r241,2019 -> Total  -> Other locations,S&E,Social sciences,2,6520
5783,r242,2019 -> Total  -> Other locations,Non-S&E,,1,67350
5783,r243,2020 -> Total,All fields,,1,314560
5783,r244,2020 -> Total,S&E,All S&E fields,2,137620
5783,r245,2020 -> Total,S&E,Engineering,2,37430
5783,r246,2020 -> Total,S&E,Agricultural sciences,2,2260
5783,r247,2020 -> Total,S&E,Biological sciences,2,14330
5783,r248,2020 -> Total,S&E,Computer sciences,2,32380
5783,r249,2020 -> Total,S&E,Mathematics and statistics,2,13340
5783,r250,2020 -> Total,S&E,Physical sciences,2,5990
5783,r251,2020 -> Total,S&E,Psychology,2,8780
5783,r252,2020 -> Total,S&E,Social sciences,2,23120
5783,r253,2020 -> Total,Non-S&E,,1,176930
5783,r254,2020 -> Total -> China,All fields,,1,98130
5783,r255,2020 -> Total -> China,S&E,All S&E fields,2,47760
5783,r256,2020 -> Total -> China,S&E,Engineering,2,7770
5783,r257,2020 -> Total -> China,S&E,Agricultural sciences,2,830
5783,r258,2020 -> Total -> China,S&E,Biological sciences,2,3220
5783,r259,2020 -> Total -> China,S&E,Computer sciences,2,10280
5783,r260,2020 -> Total -> China,S&E,Mathematics and statistics,2,9620
5783,r261,2020 -> Total -> China,S&E,Physical sciences,2,2420
