table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_level_3,_b_total_b_hierarchy_depth,value
11314,r221,2016,Federally financed,Applied research,Amount,3,7373
11314,r222,2016,Federally financed,Applied research,Percent,3,39.1
11314,r223,2016,Federally financed,Experimental development,Amount,3,7347
11314,r224,2016,Federally financed,Experimental development,Percent,3,39.0
11314,r225,2017,Total,All R&D expenditures,,2,20038
11314,r226,2017,Total,Basic research,Amount,3,4111
11314,r227,2017,Total,Basic research,Percent,3,20.5
11314,r228,2017,Total,Applied research,Amount,3,7931
11314,r229,2017,Total,Applied research,Percent,3,39.6
11314,r230,2017,Total,Experimental development,Amount,3,7996
11314,r231,2017,Total,Experimental development,Percent,3,39.9
11314,r232,2017,Federally financed,All R&D expenditures,,2,19668
11314,r233,2017,Federally financed,Basic research,Amount,3,4039
11314,r234,2017,Federally financed,Basic research,Percent,3,20.5
11314,r235,2017,Federally financed,Applied research,Amount,3,7756
11314,r236,2017,Federally financed,Applied research,Percent,3,39.4
11314,r237,2017,Federally financed,Experimental development,Amount,3,7873
11314,r238,2017,Federally financed,Experimental development,Percent,3,40.0
11314,r239,2018,Total,All R&D expenditures,,2,21172
11314,r240,2018,Total,Basic research,Amount,3,4180
11314,r241,2018,Total,Basic research,Percent,3,19.7
11314,r242,2018,Total,Applied research,Amount,3,8391
11314,r243,2018,Total,Applied research,Percent,3,39.6
11314,r244,2018,Total,Experimental development,Amount,3,8600
11314,r245,2018,Total,Experimental development,Percent,3,40.6
11314,r246,2018,Federally financed,All R&D expenditures,,2,20770
11314,r247,2018,Federally financed,Basic research,Amount,3,4099
11314,r248,2018,Federally financed,Basic research,Percent,3,19.7
11314,r249,2018,Federally financed,Applied research,Amount,3,8205
11314,r250,2018,Federally financed,Applied research,Percent,3,39.5
11314,r251,2018,Federally financed,Experimental development,Amount,3,8466
11314,r252,2018,Federally financed,Experimental development,Percent,3,40.8
11314,r253,2019,Total,All R&D expenditures,,2,22738
11314,r254,2019,Total,Basic research,Amount,3,4536
11314,r255,2019,Total,Basic research,Percent,3,19.9
11314,r256,2019,Total,Applied research,Amount,3,9200
11314,r257,2019,Total,Applied research,Percent,3,40.5
11314,r258,2019,Total,Experimental development,Amount,3,9002
11314,r259,2019,Total,Experimental development,Percent,3,39.6
11314,r260,2019,Federally financed,All R&D expenditures,,2,22339
11314,r261,2019,Federally financed,Basic research,Amount,3,4455
11314,r262,2019,Federally financed,Basic research,Percent,3,19.9
11314,r263,2019,Federally financed,Applied research,Amount,3,9014
11314,r264,2019,Federally financed,Applied research,Percent,3,40.4
11314,r265,2019,Federally financed,Experimental development,Amount,3,8869
11314,r266,2019,Federally financed,Experimental development,Percent,3,39.7
11314,r267,2020,Total,All R&D expenditures,,2,23514
11314,r268,2020,Total,Basic research,Amount,3,4712
11314,r269,2020,Total,Basic research,Percent,3,20.0
11314,r270,2020,Total,Applied research,Amount,3,9433
11314,r271,2020,Total,Applied research,Percent,3,40.1
