table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015
788,r085,"All business activities -> Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",All business activities,"Securities, commodity contracts, and other financial investments and related activities, including funds and trusts",2,52310,"['NA', '&nbsp;']","['678', '&nbsp;']","['903', '&nbsp;']","['1,347', '&nbsp;']","['1,110', '&nbsp;']","['1,323', '&nbsp;']","['1,147', '&nbsp;']","['1,527', '&nbsp;']"
788,r086,All business activities -> Insurance carriers and related activities,All business activities,Insurance carriers and related activities,2,52400,"['NA', '&nbsp;']","['798', '&nbsp;']","['611', '&nbsp;']","['872', '&nbsp;']","['1,429', '&nbsp;']","['1,772', '&nbsp;']","['1,069', '&nbsp;']","['1,574', '&nbsp;']"
788,r087,All business activities -> Real estate,All business activities,Real estate,2,53100,"['20', '&nbsp;']","['32', '&nbsp;']","['3', '&nbsp;']","['13', '&nbsp;']","['27', '&nbsp;']","['105', '&nbsp;']","['199', '&nbsp;']","['288', '&nbsp;']"
788,r088,All business activities -> Rental and leasing services,All business activities,Rental and leasing services,2,53200,"['NA', '&nbsp;']","['129', '&nbsp;']","['146', '&nbsp;']","['51', '&nbsp;']","['59', '&nbsp;']","['94', '&nbsp;']","['80', '&nbsp;']","['81', '&nbsp;']"
788,r089,"All business activities -> Lessors of nonfinancial intangible assets, including patent licensing",All business activities,"Lessors of nonfinancial intangible assets, including patent licensing",2,53300,"['80', '&nbsp;']","['259', '&nbsp;']","['268', '&nbsp;']","['369', '&nbsp;']","['437', '&nbsp;']","['100', '&nbsp;']","['97', '&nbsp;']","['104', '&nbsp;']"
788,r090,"All business activities -> Legal, accounting, tax preparation, bookkeeping, and payroll services",All business activities,"Legal, accounting, tax preparation, bookkeeping, and payroll services",2,54111,"['NA', '&nbsp;']","['D', '&nbsp;']","['505', '&nbsp;']","['705', 'i']","['535', '&nbsp;']","['696', '&nbsp;']","['1,128', '&nbsp;']","['1,588', '&nbsp;']"
788,r091,"All business activities -> Architectural, engineering, and related services",All business activities,"Architectural, engineering, and related services",2,54130,"['1,742', '&nbsp;']","['1,115', '&nbsp;']","['1,390', '&nbsp;']","['1,380', '&nbsp;']","['1,232', '&nbsp;']","['1,495', '&nbsp;']","['1,649', '&nbsp;']","['2,449', '&nbsp;']"
788,r092,All business activities -> Specialized design services,All business activities,Specialized design services,2,54140,"['75', '&nbsp;']","['76', '&nbsp;']","['65', '&nbsp;']","['283', '&nbsp;']","['157', 'i']","['81', '&nbsp;']","['42', '&nbsp;']","['13', '&nbsp;']"
788,r093,All business activities -> Computer systems design and related services<sup>e</sup>,All business activities,Computer systems design and related services<sup>e</sup>,2,54150,"['11,476', '&nbsp;']","['12,292', '&nbsp;']","['11,528', '&nbsp;']","['13,673', '&nbsp;']","['13,909', 'i']","['12,577', '&nbsp;']","['13,288', '&nbsp;']","['14,090', '&nbsp;']"
788,r094,"All business activities -> Management, scientific, and technical consulting services",All business activities,"Management, scientific, and technical consulting services",2,54160,"['1,110', '&nbsp;']","['2,246', '&nbsp;']","['1,380', '&nbsp;']","['1,618', '&nbsp;']","['2,066', 'i']","['1,428', '&nbsp;']","['1,681', '&nbsp;']","['1,530', '&nbsp;']"
788,r095,All business activities -> Research and development services in social sciences and humanities,All business activities,Research and development services in social sciences and humanities,2,54172,"['NA', '&nbsp;']","['96', '&nbsp;']","['8', '&nbsp;']","['19', '&nbsp;']","['64', '&nbsp;']","['36', '&nbsp;']","['47', '&nbsp;']","['15', '&nbsp;']"
788,r096,All business activities -> Research and development services in biotechnology<sup>c</sup>,All business activities,Research and development services in biotechnology<sup>c</sup>,2,54173,"['NA', '&nbsp;']","['6,850', '&nbsp;']","['2,601', '&nbsp;']","['6,238', '&nbsp;']","['6,294', '&nbsp;']","['1,723', '&nbsp;']","['1,344', '&nbsp;']","['2,414', '&nbsp;']"
788,r097,"All business activities -> Research and development services in physical, engineering, and life sciences (except biotechnology)",All business activities,"Research and development services in physical, engineering, and life sciences (except biotechnology)",2,54174,"['NA', '&nbsp;']","['3,208', '&nbsp;']","['1,447', '&nbsp;']","['2,751', '&nbsp;']","['3,166', '&nbsp;']","['2,143', '&nbsp;']","['3,040', '&nbsp;']","['3,210', '&nbsp;']"
788,r098,All business activities -> Advertising and related services,All business activities,Advertising and related services,2,54180,"['37', '&nbsp;']","['1,950', '&nbsp;']","['422', '&nbsp;']","['97', '&nbsp;']","['375', 'i']","['390', '&nbsp;']","['424', '&nbsp;']","['453', '&nbsp;']"
788,r099,"All business activities -> Professional, scientific, and technical services (not listed elsewhere)",All business activities,"Professional, scientific, and technical services (not listed elsewhere)",2,54190,"['439', '&nbsp;']","['1,036', '&nbsp;']","['543', '&nbsp;']","['1,242', '&nbsp;']","['1,199', '&nbsp;']","['1,627', '&nbsp;']","['810', '&nbsp;']","['860', '&nbsp;']"
788,r100,All business activities -> Management of companies and enterprises,All business activities,Management of companies and enterprises,2,55100,"['11', '&nbsp;']","['40', '&nbsp;']","['23', '&nbsp;']","['43', '&nbsp;']","['18', '&nbsp;']","['76', '&nbsp;']","['43', '&nbsp;']","['D', '&nbsp;']"
788,r101,All business activities -> Administrative and support services,All business activities,Administrative and support services,2,56100,"['NA', '&nbsp;']","['419', '&nbsp;']","['640', '&nbsp;']","['348', '&nbsp;']","['609', '&nbsp;']","['589', '&nbsp;']","['459', '&nbsp;']","['369', '&nbsp;']"
788,r102,All business activities -> Waste management and remediation services,All business activities,Waste management and remediation services,2,56200,"['NA', '&nbsp;']","['15', '&nbsp;']","['684', '&nbsp;']","['20', '&nbsp;']","['D', '&nbsp;']","['23', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
788,r103,All business activities -> Offices of physicians,All business activities,Offices of physicians,2,62110,"['40', '&nbsp;']","['37', '&nbsp;']","['371', '&nbsp;']","['36', '&nbsp;']","['42', 'i']","['43', '&nbsp;']","['39', '&nbsp;']","['28', '&nbsp;']"
788,r104,All business activities -> Medical and diagnostic laboratories,All business activities,Medical and diagnostic laboratories,2,62150,"['903', '&nbsp;']","['246', '&nbsp;']","['409', '&nbsp;']","['287', '&nbsp;']","['364', '&nbsp;']","['347', '&nbsp;']","['410', '&nbsp;']","['424', '&nbsp;']"
788,r105,"All business activities -> Other ambulatory health care services (ambulance, dental, home health care)",All business activities,"Other ambulatory health care services (ambulance, dental, home health care)",2,62199,"['NA', '&nbsp;']","['47', '&nbsp;']","['145', 'i']","['15', '&nbsp;']","['45', 'i']","['52', '&nbsp;']","['37', '&nbsp;']","['39', '&nbsp;']"
788,r106,All business activities -> Hospitals and nursing care facilities,All business activities,Hospitals and nursing care facilities,2,62200,"['NA', '&nbsp;']","['62', 'i']","['68', '&nbsp;']","['2', '&nbsp;']","['2', 'i']","['2', '&nbsp;']","['2', '&nbsp;']","['4', '&nbsp;']"
788,r107,All business activities -> Social assistance services,All business activities,Social assistance services,2,62400,"['NA', '&nbsp;']","['D', '&nbsp;']","['15', '&nbsp;']","['13', '&nbsp;']","['36', '&nbsp;']","['47', '&nbsp;']","['17', '&nbsp;']","['2', '&nbsp;']"
788,r108,"All business activities -> Arts, entertainment, and recreation",All business activities,"Arts, entertainment, and recreation",2,71000,"['NA', '&nbsp;']","['161', '&nbsp;']","['137', '&nbsp;']","['85', '&nbsp;']","['70', '&nbsp;']","['29', '&nbsp;']","['103', 'i']","['51', '&nbsp;']"
788,r109,All business activities -> Accommodation and food services,All business activities,Accommodation and food services,2,72000,"['NA', '&nbsp;']","['50', '&nbsp;']","['119', '&nbsp;']","['84', '&nbsp;']","['149', 'i']","['163', '&nbsp;']","['D', '&nbsp;']","['97', '&nbsp;']"
788,r110,All business activities -> Other services (not listed elsewhere),All business activities,Other services (not listed elsewhere),2,81000,"['NA', '&nbsp;']","['89', '&nbsp;']","['465', '&nbsp;']","['345', '&nbsp;']","['484', '&nbsp;']","['405', '&nbsp;']","['550', '&nbsp;']","['732', '&nbsp;']"
788,r111,All business activities -> Undistributed,All business activities,Undistributed,2,–,"['10,660', '&nbsp;']","['14,175', '&nbsp;']","['5,373', 'i']","['D', '&nbsp;']","['491', '&nbsp;']","['359', 'i']","['69', '&nbsp;']","['0', '&nbsp;']"
