table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
10411,r171,All HHE institutions -> Houston Baptist U.,All HHE institutions,Houston Baptist U.,2,170,132,0,0,0,0,0,0,0,0,0,0,132,0,0
10411,r172,All HHE institutions -> North Shore Community C.,All HHE institutions,North Shore Community C.,2,171,130,0,0,0,0,0,0,0,0,130,0,0,0,0
10411,r173,All HHE institutions -> Cerritos C.,All HHE institutions,Cerritos C.,2,172,129,0,0,0,129,0,0,0,0,0,0,0,0,0
10411,r174,All HHE institutions -> Springfield Technical Community C.,All HHE institutions,Springfield Technical Community C.,2,173,122,0,0,0,0,0,0,0,0,0,0,122,0,0
10411,r175,"All HHE institutions -> Carlos Albizu U., San Juan",All HHE institutions,"Carlos Albizu U., San Juan",2,174,118,0,0,0,0,0,0,0,0,118,0,0,0,0
10411,r176,All HHE institutions -> C. DuPage,All HHE institutions,C. DuPage,2,175,93,0,0,0,0,0,0,0,0,0,0,93,0,0
10411,r177,All HHE institutions -> Humboldt State U.<sup>b</sup>,All HHE institutions,Humboldt State U.<sup>b</sup>,2,176,79,0,0,0,0,79,0,0,0,0,0,0,0,0
10411,r178,All HHE institutions -> Mt. San Antonio C.,All HHE institutions,Mt. San Antonio C.,2,177,68,0,0,0,0,0,0,0,0,0,0,68,0,0
10411,r179,"All HHE institutions -> CUNY, New York City C. Technology",All HHE institutions,"CUNY, New York City C. Technology",2,178,50,0,0,0,0,0,0,0,0,0,0,50,0,0
10411,r180,"All HHE institutions -> State Center Community C. District, Fresno City C.",All HHE institutions,"State Center Community C. District, Fresno City C.",2,179,50,0,0,0,0,0,0,0,0,0,0,50,0,0
10411,r181,All HHE institutions -> Mills C.,All HHE institutions,Mills C.,2,180,39,0,0,0,0,0,0,0,0,0,0,39,0,0
10411,r182,All HHE institutions -> Dominican U. California,All HHE institutions,Dominican U. California,2,181,22,0,0,0,0,0,0,0,0,0,0,0,22,0
10411,r183,All HHE institutions -> Del Mar C.,All HHE institutions,Del Mar C.,2,182,20,0,0,0,0,0,0,0,0,0,0,20,0,0
10411,r184,All HHE institutions -> Manhattan C.,All HHE institutions,Manhattan C.,2,183,16,0,0,0,0,0,0,0,0,0,0,16,0,0
10411,r185,All HHE institutions -> Mohave Community C.,All HHE institutions,Mohave Community C.,2,184,10,0,0,0,0,0,0,0,0,0,0,10,0,0
10411,r186,All HHE institutions -> U. Houston-Clear Lake,All HHE institutions,U. Houston-Clear Lake,2,185,5,0,0,0,0,0,0,0,0,0,5,0,0,0
