table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_level_5,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_design,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
7772,r141,All degree levels -> Master's -> Non-S&E occupations -> Social services and related occupations,All degree levels,Master's,Non-S&E occupations,Social services and related occupations,,4,1094000,,S,152000,23000,108000,807000
7772,r142,All degree levels -> Master's -> Non-S&E occupations -> Sales and marketing occupations,All degree levels,Master's,Non-S&E occupations,Sales and marketing occupations,,4,714000,S,12000,605000,21000,,61000
7772,r143,"All degree levels -> Master's -> Non-S&E occupations -> Art, humanities, and related occupations",All degree levels,Master's,Non-S&E occupations,"Art, humanities, and related occupations",,4,348000,,46000,76000,62000,S,140000
7772,r144,All degree levels -> Master's -> Non-S&E occupations -> Other non-S&E occupations,All degree levels,Master's,Non-S&E occupations,Other non-S&E occupations,,4,1351000,13000,18000,632000,103000,151000,434000
7772,r145,All degree levels -> Doctorate,All degree levels,Doctorate,,,,2,2141000,80000,40000,408000,681000,515000,416000
7772,r146,All degree levels -> Doctorate -> S&E occupations,All degree levels,Doctorate,S&E occupations,,,3,962000,59000,25000,94000,483000,198000,104000
7772,r147,"All degree levels -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",,4,291000,2000,2000,28000,210000,35000,14000
7772,r148,"All degree levels -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All degree levels,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,5,17000,,,2000,14000,,S
7772,r149,"All degree levels -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All degree levels,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,5,206000,2000,1000,20000,170000,1000,12000
7772,r150,"All degree levels -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All degree levels,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,5,S,,,,S,,
7772,r151,"All degree levels -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All degree levels,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,5,65000,,,6000,25000,34000,
7772,r152,All degree levels -> Doctorate -> S&E occupations -> Computer and mathematical scientists,All degree levels,Doctorate,S&E occupations,Computer and mathematical scientists,,4,185000,46000,8000,21000,67000,36000,7000
7772,r153,All degree levels -> Doctorate -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All degree levels,Doctorate,S&E occupations,Computer and mathematical scientists,Computer and information scientists,5,96000,41000,6000,15000,31000,,3000
7772,r154,All degree levels -> Doctorate -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All degree levels,Doctorate,S&E occupations,Computer and mathematical scientists,Mathematical scientists,5,35000,4000,3000,2000,22000,,3000
7772,r155,All degree levels -> Doctorate -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All degree levels,Doctorate,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,5,53000,,,4000,14000,35000,
7772,r156,All degree levels -> Doctorate -> S&E occupations -> Physical and related scientists,All degree levels,Doctorate,S&E occupations,Physical and related scientists,,4,125000,3000,S,11000,70000,34000,5000
7772,r157,"All degree levels -> Doctorate -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All degree levels,Doctorate,S&E occupations,Physical and related scientists,"Chemists, except biochemists",5,30000,,,3000,24000,,2000
7772,r158,"All degree levels -> Doctorate -> S&E occupations -> Physical and related scientists -> Earth, atmospheric, and ocean scientists",All degree levels,Doctorate,S&E occupations,Physical and related scientists,"Earth, atmospheric, and ocean scientists",5,17000,S,,S,13000,,S
7772,r159,All degree levels -> Doctorate -> S&E occupations -> Physical and related scientists -> Physicists,All degree levels,Doctorate,S&E occupations,Physical and related scientists,Physicists,5,20000,S,S,S,16000,,1000
7772,r160,"All degree levels -> Doctorate -> S&E occupations -> Physical and related scientists -> Other physical and related scientists, including astronomers",All degree levels,Doctorate,S&E occupations,Physical and related scientists,"Other physical and related scientists, including astronomers",5,10000,,,,6000,,
7772,r161,All degree levels -> Doctorate -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All degree levels,Doctorate,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,5,47000,,,2000,11000,33000,
7772,r162,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists,All degree levels,Doctorate,S&E occupations,Social and related scientists,,4,221000,S,1000,10000,65000,75000,69000
7772,r163,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists -> Economists,All degree levels,Doctorate,S&E occupations,Social and related scientists,Economists,5,15000,,,2000,12000,,1000
7772,r164,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists -> Political scientists,All degree levels,Doctorate,S&E occupations,Social and related scientists,Political scientists,5,2000,,,,1000,,
7772,r165,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists -> Psychologists,All degree levels,Doctorate,S&E occupations,Social and related scientists,Psychologists,5,75000,,,4000,5000,,64000
7772,r166,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists -> Anthropologists,All degree levels,Doctorate,S&E occupations,Social and related scientists,Anthropologists,5,3000,,,,2000,,
7772,r167,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists -> Other social and related scientists,All degree levels,Doctorate,S&E occupations,Social and related scientists,Other social and related scientists,5,17000,,,1000,14000,,1000
7772,r168,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists -> Postsecondary teachers - social and related sciences,All degree levels,Doctorate,S&E occupations,Social and related scientists,Postsecondary teachers - social and related sciences,5,110000,,,3000,31000,74000,2000
7772,r169,All degree levels -> Doctorate -> S&E occupations -> Engineers,All degree levels,Doctorate,S&E occupations,Engineers,,4,141000,7000,12000,24000,70000,18000,10000
7772,r170,"All degree levels -> Doctorate -> S&E occupations -> Engineers -> Aerospace, aeronautical, and astronautical engineers",All degree levels,Doctorate,S&E occupations,Engineers,"Aerospace, aeronautical, and astronautical engineers",5,9000,S,S,S,5000,,
7772,r171,All degree levels -> Doctorate -> S&E occupations -> Engineers -> Chemical engineers,All degree levels,Doctorate,S&E occupations,Engineers,Chemical engineers,5,8000,,1000,1000,6000,,
7772,r172,"All degree levels -> Doctorate -> S&E occupations -> Engineers -> Civil, architectural, and sanitary engineers",All degree levels,Doctorate,S&E occupations,Engineers,"Civil, architectural, and sanitary engineers",5,10000,,2000,3000,3000,,3000
7772,r173,All degree levels -> Doctorate -> S&E occupations -> Engineers -> Electrical and computer hardware engineers,All degree levels,Doctorate,S&E occupations,Engineers,Electrical and computer hardware engineers,5,32000,3000,5000,4000,19000,,2000
7772,r174,All degree levels -> Doctorate -> S&E occupations -> Engineers -> Industrial engineers,All degree levels,Doctorate,S&E occupations,Engineers,Industrial engineers,5,1000,,,,,,
7772,r175,All degree levels -> Doctorate -> S&E occupations -> Engineers -> Mechanical engineers,All degree levels,Doctorate,S&E occupations,Engineers,Mechanical engineers,5,14000,,2000,2000,10000,,0.05
7772,r176,All degree levels -> Doctorate -> S&E occupations -> Engineers -> Other engineers,All degree levels,Doctorate,S&E occupations,Engineers,Other engineers,5,32000,1000,2000,6000,18000,,4000
7772,r177,All degree levels -> Doctorate -> S&E occupations -> Engineers -> Postsecondary teachers - engineering,All degree levels,Doctorate,S&E occupations,Engineers,Postsecondary teachers - engineering,5,34000,,,6000,11000,17000,0.05
7772,r178,All degree levels -> Doctorate -> S&E-related occupations,All degree levels,Doctorate,S&E-related occupations,,,3,374000,11000,6000,60000,74000,53000,169000
7772,r179,All degree levels -> Doctorate -> S&E-related occupations -> Health-related occupations,All degree levels,Doctorate,S&E-related occupations,Health-related occupations,,4,237000,,,15000,32000,29000,159000
7772,r180,All degree levels -> Doctorate -> S&E-related occupations -> S&E managers,All degree levels,Doctorate,S&E-related occupations,S&E managers,,4,63000,3000,2000,39000,16000,,5000
7772,r181,All degree levels -> Doctorate -> S&E-related occupations -> S&E precollege teachers,All degree levels,Doctorate,S&E-related occupations,S&E precollege teachers,,4,25000,,,,,24000,S
7772,r182,All degree levels -> Doctorate -> S&E-related occupations -> S&E technicians and technologists,All degree levels,Doctorate,S&E-related occupations,S&E technicians and technologists,,4,46000,7000,3000,7000,25000,,4000
7772,r183,All degree levels -> Doctorate -> S&E-related occupations -> Other S&E-related occupations,All degree levels,Doctorate,S&E-related occupations,Other S&E-related occupations,,4,2000,,,,S,,
7772,r184,All degree levels -> Doctorate -> Non-S&E occupations,All degree levels,Doctorate,Non-S&E occupations,,,3,805000,10000,10000,254000,124000,264000,143000
7772,r185,All degree levels -> Doctorate -> Non-S&E occupations -> Non-S&E managers,All degree levels,Doctorate,Non-S&E occupations,Non-S&E managers,,4,212000,4000,3000,140000,36000,S,23000
7772,r186,All degree levels -> Doctorate -> Non-S&E occupations -> Management-related occupations,All degree levels,Doctorate,Non-S&E occupations,Management-related occupations,,4,116000,S,3000,50000,25000,4000,31000
7772,r187,All degree levels -> Doctorate -> Non-S&E occupations -> Non-S&E precollege teachers,All degree levels,Doctorate,Non-S&E occupations,Non-S&E precollege teachers,,4,27000,,,S,,24000,
7772,r188,All degree levels -> Doctorate -> Non-S&E occupations -> Non-S&E postsecondary teachers,All degree levels,Doctorate,Non-S&E occupations,Non-S&E postsecondary teachers,,4,230000,,,12000,30000,183000,4000
7772,r189,All degree levels -> Doctorate -> Non-S&E occupations -> Social services and related occupations,All degree levels,Doctorate,Non-S&E occupations,Social services and related occupations,,4,62000,,,16000,,18000,23000
7772,r190,All degree levels -> Doctorate -> Non-S&E occupations -> Sales and marketing occupations,All degree levels,Doctorate,Non-S&E occupations,Sales and marketing occupations,,4,23000,,,16000,4000,,2000
7772,r191,"All degree levels -> Doctorate -> Non-S&E occupations -> Art, humanities, and related occupations",All degree levels,Doctorate,Non-S&E occupations,"Art, humanities, and related occupations",,4,38000,,,S,8000,,22000
7772,r192,All degree levels -> Doctorate -> Non-S&E occupations -> Other non-S&E occupations,All degree levels,Doctorate,Non-S&E occupations,Other non-S&E occupations,,4,97000,S,,11000,17000,30000,38000
7772,r193,All degree levels -> Professional,All degree levels,Professional,,,,2,3246000,7000,5000,450000,88000,110000,2587000
7772,r194,All degree levels -> Professional -> S&E occupations,All degree levels,Professional,S&E occupations,,,3,82000,6000,S,13000,15000,8000,39000
7772,r195,All degree levels -> Professional -> S&E-related occupations,All degree levels,Professional,S&E-related occupations,,,3,1538000,,,65000,35000,48000,1389000
7772,r196,All degree levels -> Professional -> Non-S&E occupations,All degree levels,Professional,Non-S&E occupations,,,3,1626000,,3000,371000,39000,54000,1159000
