table_id,row_id,_b_field_and_citizenship_status_b_full_path,_b_field_and_citizenship_status_b_level_1,_b_field_and_citizenship_status_b_level_2,_b_field_and_citizenship_status_b_level_3,_b_field_and_citizenship_status_b_level_4,_b_field_and_citizenship_status_b_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field__change_2012_22
9453,r099,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Mathematics and computer sciences,Computer and information sciences,4,870,990,1029,1094,1201,1105,1163,1328,1455,1431,1587,82.4
9453,r100,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,Temporary visa holder,Mathematics and computer sciences,Mathematics and statistics,4,747,843,821,823,852,821,965,975,1020,1041,1154,54.5
9453,r101,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,,3,1601,1634,1549,1622,1753,1668,1768,1915,1834,1904,2071,29.4
9453,r102,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,Psychology,4,254,282,249,260,305,286,284,339,257,338,347,36.6
9453,r103,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,Anthropology,4,74,76,86,68,76,65,70,66,63,81,60,-18.9
9453,r104,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,Economics,4,656,615,627,606,656,641,707,708,690,731,760,15.9
9453,r105,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,Political science and government,4,150,163,145,178,128,140,159,173,152,139,187,24.7
9453,r106,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,Sociology,4,85,92,90,101,89,93,88,104,102,83,109,28.2
9453,r107,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,Temporary visa holder,Psychology and social sciences,Other social sciences,4,382,406,352,409,499,443,460,525,570,532,608,59.2
9453,r108,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,,3,4355,4759,4961,5108,4842,5037,5575,5680,5950,5673,6253,43.6
