table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_united_states,field_companies_outside_united_states_company_s_parent,field_companies_outside_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_foreign_government_agencies,field_all_other_in_united_states,field_all_other_outside_united_states,field_undistributeda
758,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['4', 'i']","['2', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['*', 'i']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', 'i']"
758,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['37', '&nbsp;']","['27', '&nbsp;']","['0', '&nbsp;']","['7', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['4', 'i']"
758,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['25', 'i']","['17', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['4', 'i']"
758,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['108', 'i']","['39', '&nbsp;']","['D', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['7', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
758,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['38,683', '&nbsp;']","['32,121', '&nbsp;']","['414', '&nbsp;']","['3,829', '&nbsp;']","['156', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']","['479', '&nbsp;']","['158', '&nbsp;']","['1,516', 'i']"
758,r074,All companies (number of domestic employees) -> Micro companies<sup>b</sup>,All companies (number of domestic employees),Micro companies<sup>b</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
758,r075,All companies (number of domestic employees) -> Micro companies<sup>b</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>b</sup>,5&#8211;9,,,3,–,"['403', 'i']","['203', '&nbsp;']","['*', 'i']","['51', '&nbsp;']","['1', 'i']","['*', 'i']","['0', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['147', 'i']"
758,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
758,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['872', '&nbsp;']","['583', '&nbsp;']","['D', '&nbsp;']","['31', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['16', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']"
758,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['1,458', '&nbsp;']","['987', '&nbsp;']","['D', '&nbsp;']","['84', '&nbsp;']","['4', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['71', '&nbsp;']","['6', '&nbsp;']","['D', '&nbsp;']"
758,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
758,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['1,551', '&nbsp;']","['1,219', '&nbsp;']","['D', '&nbsp;']","['155', '&nbsp;']","['1', 'i']","['D', '&nbsp;']","['*', 'i']","['4', '&nbsp;']","['26', '&nbsp;']","['D', '&nbsp;']"
758,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,735', '&nbsp;']","['1,390', '&nbsp;']","['10', '&nbsp;']","['179', '&nbsp;']","['10', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['11', '&nbsp;']","['*', 'i']","['133', 'i']"
758,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
758,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['1,156', '&nbsp;']","['835', '&nbsp;']","['19', '&nbsp;']","['133', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['4', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
758,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['869', '&nbsp;']","['616', '&nbsp;']","['47', '&nbsp;']","['72', 'i']","['*', '&nbsp;']","['1', 'i']","['*', '&nbsp;']","['10', '&nbsp;']","['26', '&nbsp;']","['98', 'i']"
758,r085,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['5,594', '&nbsp;']","['5,234', '&nbsp;']","['150', '&nbsp;']","['85', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['48', '&nbsp;']","['6', '&nbsp;']","['D', '&nbsp;']"
758,r086,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['4,501', '&nbsp;']","['4,171', '&nbsp;']","['D', '&nbsp;']","['61', '&nbsp;']","['12', 'i']","['D', '&nbsp;']","['*', '&nbsp;']","['44', '&nbsp;']","['4', '&nbsp;']","['D', '&nbsp;']"
758,r087,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['11,113', '&nbsp;']","['9,534', '&nbsp;']","['7', '&nbsp;']","['1,316', '&nbsp;']","['2', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['175', '&nbsp;']","['67', '&nbsp;']","['9', 'i']"
758,r088,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['9,430', '&nbsp;']","['7,349', '&nbsp;']","['D', '&nbsp;']","['1,662', '&nbsp;']","['122', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['95', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
