table_id,row_id,_b_field_and_institution_b_full_path,_b_field_and_institution_b_level_1,_b_field_and_institution_b_level_2,_b_field_and_institution_b_level_3,_b_field_and_institution_b_level_4,_b_field_and_institution_b_hierarchy_depth,field_rank,field_totala,field_male,field_female
11708,r095,"Science and engineering ->  Engineering -> From top 20 institutions -> Purdue U., West Lafayette",Science and engineering, Engineering,From top 20 institutions,"Purdue U., West Lafayette",4,1,327,244,83
11708,r096,Science and engineering ->  Engineering -> From top 20 institutions -> Georgia Institute of Technology,Science and engineering, Engineering,From top 20 institutions,Georgia Institute of Technology,4,2,305,221,84
11708,r097,"Science and engineering ->  Engineering -> From top 20 institutions -> Texas A&M U., College Station",Science and engineering, Engineering,From top 20 institutions,"Texas A&M U., College Station",4,3,299,246,53
11708,r098,Science and engineering ->  Engineering -> From top 20 institutions -> Massachusetts Institute of Technology,Science and engineering, Engineering,From top 20 institutions,Massachusetts Institute of Technology,4,4,252,170,82
11708,r099,"Science and engineering ->  Engineering -> From top 20 institutions -> U. Michigan, Ann Arbor",Science and engineering, Engineering,From top 20 institutions,"U. Michigan, Ann Arbor",4,5,237,174,63
11708,r100,Science and engineering ->  Engineering -> From top 20 institutions -> Stanford U.,Science and engineering, Engineering,From top 20 institutions,Stanford U.,4,6,217,140,77
11708,r101,"Science and engineering ->  Engineering -> From top 20 institutions -> U. Illinois, Urbana-Champaign",Science and engineering, Engineering,From top 20 institutions,"U. Illinois, Urbana-Champaign",4,7,215,165,50
11708,r102,Science and engineering ->  Engineering -> From top 20 institutions -> Virginia Polytechnic Institute and State U.,Science and engineering, Engineering,From top 20 institutions,Virginia Polytechnic Institute and State U.,4,8,211,151,60
11708,r103,"Science and engineering ->  Engineering -> From top 20 institutions -> U. Texas, Austin",Science and engineering, Engineering,From top 20 institutions,"U. Texas, Austin",4,9,210,168,42
11708,r104,Science and engineering ->  Engineering -> From top 20 institutions -> North Carolina State U.,Science and engineering, Engineering,From top 20 institutions,North Carolina State U.,4,10,173,118,55
11708,r105,"Science and engineering ->  Engineering -> From top 20 institutions -> U. California, Berkeley",Science and engineering, Engineering,From top 20 institutions,"U. California, Berkeley",4,11,162,106,56
11708,r106,"Science and engineering ->  Engineering -> From top 20 institutions -> Ohio State U., Columbus",Science and engineering, Engineering,From top 20 institutions,"Ohio State U., Columbus",4,12,161,126,35
11708,r107,Science and engineering ->  Engineering -> From top 20 institutions -> Pennsylvania State U.,Science and engineering, Engineering,From top 20 institutions,Pennsylvania State U.,4,13,158,129,29
11708,r108,Science and engineering ->  Engineering -> From top 20 institutions -> Carnegie Mellon U.,Science and engineering, Engineering,From top 20 institutions,Carnegie Mellon U.,4,14,153,113,40
11708,r109,"Science and engineering ->  Engineering -> From top 20 institutions -> U. California, Los Angeles",Science and engineering, Engineering,From top 20 institutions,"U. California, Los Angeles",4,15,145,119,26
11708,r110,"Science and engineering ->  Engineering -> From top 20 institutions -> U. California, San Diego",Science and engineering, Engineering,From top 20 institutions,"U. California, San Diego",4,15,145,114,31
11708,r111,"Science and engineering ->  Engineering -> From top 20 institutions -> U. Maryland, College Park",Science and engineering, Engineering,From top 20 institutions,"U. Maryland, College Park",4,17,144,106,38
11708,r112,"Science and engineering ->  Engineering -> From top 20 institutions -> Arizona State U., Tempe",Science and engineering, Engineering,From top 20 institutions,"Arizona State U., Tempe",4,18,140,104,36
11708,r113,Science and engineering ->  Engineering -> From top 20 institutions -> U. Florida,Science and engineering, Engineering,From top 20 institutions,U. Florida,4,18,140,100,40
11708,r114,Science and engineering ->  Engineering -> From top 20 institutions -> U. Wisconsin-Madison,Science and engineering, Engineering,From top 20 institutions,U. Wisconsin-Madison,4,20,125,97,28
11708,r115,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences",Science and engineering," Geosciences, atmospheric, and ocean sciences",,,2,-,1216,668,547
11708,r116,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,,3,-,466,243,222
11708,r117,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Texas A&M U., College Station",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"Texas A&M U., College Station",4,1,41,25,16
