table_id,row_id,time_period,broad_occupation_category_n2ocprbg_n2ocblst_level_1,broad_occupation_category_n2ocprbg_n2ocblst_level_2,broad_occupation_category_n2ocprbg_n2ocblst_hierarchy_depth,value
5311,r097_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,742820
5311,r097_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Postsecondary teachers - Foreign language
5311,r098_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,742830
5311,r098_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Postsecondary teachers - History
5311,r099_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,742880
5311,r099_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Postsecondary teachers - Physical education
5311,r100_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,742990
5311,r100_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Postsecondary teachers - Other postsecondary fields
5311,r101_4,,"Minor occupational code and label (N3OCPRNG, N3OCNLST)",Code,2,75
5311,r101_5,,"Minor occupational code and label (N3OCPRNG, N3OCNLST)",Label,2,Social services and related occupations
5311,r101_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,750400
5311,r101_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Clergy and other religious workers
5311,r102_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,750700
5311,r102_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,"Counselors, educational, vocational, mental health, and substance abuse"
5311,r103_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,752400
5311,r103_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Social workers
5311,r104_4,,"Minor occupational code and label (N3OCPRNG, N3OCNLST)",Code,2,76
5311,r104_5,,"Minor occupational code and label (N3OCPRNG, N3OCNLST)",Label,2,Sales and marketing occupations
5311,r104_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,762000
5311,r104_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,"Insurance, securities, real estate, and business services"
5311,r105_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,762010
5311,r105_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,"Sales occupations, commodities, except retail"
5311,r106_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,762020
5311,r106_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,"Sales occupations, retail"
5311,r107_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,762030
5311,r107_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Other marketing and sales occupations
5311,r108_4,,"Minor occupational code and label (N3OCPRNG, N3OCNLST)",Code,2,77
5311,r108_5,,"Minor occupational code and label (N3OCPRNG, N3OCNLST)",Label,2,"Art, humanities, and related occupations"
5311,r108_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,770100
5311,r108_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,"Writers, editors, public relations specialists, artists, entertainers, and broadcasters"
5311,r109_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,772330
5311,r109_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Historians
5311,r110_4,,"Minor occupational code and label (N3OCPRNG, N3OCNLST)",Code,2,78
5311,r110_5,,"Minor occupational code and label (N3OCPRNG, N3OCNLST)",Label,2,Other non-S&E occupations
5311,r110_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,780310
5311,r110_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,"Accounting clerks, and bookkeepers"
5311,r111_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,780320
5311,r111_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,"Secretaries, receptionists, and typists"
5311,r112_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,780330
5311,r112_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Other administrative occupations
5311,r113_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,781100
5311,r113_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,"Farmers, foresters, and fishermen"
5311,r114_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,781200
5311,r114_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Lawyers and judges
5311,r115_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,781300
5311,r115_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,"Librarians, archivists, and curators"
5311,r116_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,782210
5311,r116_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Food preparation and service occupations
5311,r117_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,782220
5311,r117_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Protective services
5311,r118_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,782230
5311,r118_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,"Other service occupations, except health"
5311,r119_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,783000
5311,r119_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Other teachers and instructors
5311,r120_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,784010
5311,r120_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Construction and extraction occupations
5311,r121_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,784020
5311,r121_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,"Installation, maintenance, and repair occupations"
5311,r122_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,784030
5311,r122_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Precision/ production occupations
5311,r123_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,784050
5311,r123_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Transportation and material moving occupations
5311,r124_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,785000
5311,r124_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Other occupations
