table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008c,field_2009d,field_2010d,field_2011,field_2012,field_2013,field_2014,field_2015
802,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['3,526', '&nbsp;']","['2,850', '&nbsp;']","['2,703', '&nbsp;']","['2,826', 'i']","['3,012', '&nbsp;']"
802,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['136', '&nbsp;']","['177', '&nbsp;']","['183', '&nbsp;']","['295', '&nbsp;']","['240', '&nbsp;']"
802,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,106', '&nbsp;']","['1,568', 'i']","['D', '&nbsp;']"
802,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['212', 'i']","['176', 'i']","['214', 'i']","['251', '&nbsp;']","['282', '&nbsp;']"
802,r060,"All business activities -> Military armored vehicle, tank, and tank components manufacturing",All business activities,"Military armored vehicle, tank, and tank components manufacturing",2,33692,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['122', '&nbsp;']","['215', '&nbsp;']","['358', '&nbsp;']","['335', '&nbsp;']"
802,r061,All business activities -> All other transportation equipment manufacturing,All business activities,All other transportation equipment manufacturing,2,33699,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['415', '&nbsp;']","['D', '&nbsp;']","['362', '&nbsp;']","['428', '&nbsp;']","['D', '&nbsp;']"
802,r062,All business activities -> Furniture and related products manufacturing,All business activities,Furniture and related products manufacturing,2,33700,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['300', '&nbsp;']","['382', '&nbsp;']","['383', '&nbsp;']","['389', '&nbsp;']","['458', '&nbsp;']"
802,r063,All business activities -> Medical equipment and supplies manufacturing,All business activities,Medical equipment and supplies manufacturing,2,33910,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['10,141', '&nbsp;']","['10,703', '&nbsp;']","['11,797', '&nbsp;']","['10,987', '&nbsp;']","['11,372', '&nbsp;']"
802,r064,"All business activities -> Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",All business activities,"Miscellaneous manufacturing not listed elsewhere (games, office supplies, slot machines, etc.)",2,33990,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['2,593', '&nbsp;']","['D', '&nbsp;']","['2,544', '&nbsp;']","['2,387', '&nbsp;']","['2,456', 'i']"
802,r065,"All business activities -> Merchant wholesalers, durable goods",All business activities,"Merchant wholesalers, durable goods",2,42300,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['505', '&nbsp;']","['1,461', 'i']","['449', 'i']","['414', 'i']","['1,584', 'i']"
802,r066,"All business activities -> Merchant wholesalers, nondurable goods",All business activities,"Merchant wholesalers, nondurable goods",2,42400,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['429', '&nbsp;']","['651', 'i']","['272', 'i']","['D', '&nbsp;']","['545', 'i']"
802,r067,All business activities -> Wholesale electronic markets and agents and brokers (business to business),All business activities,Wholesale electronic markets and agents and brokers (business to business),2,42500,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['54', '&nbsp;']","['182', 'i']","['D', '&nbsp;']","['139', '&nbsp;']","['34', 'i']"
802,r068,All business activities -> Retail trade (except electronic shopping and electronic auctions),All business activities,Retail trade (except electronic shopping and electronic auctions),2,44000,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['52', '&nbsp;']","['101', 'i']","['96', 'i']","['58', 'i']","['98', '&nbsp;']"
802,r069,All business activities -> Electronic shopping and electronic auctions,All business activities,Electronic shopping and electronic auctions,2,45411,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['940', 'i']","['1,239', '&nbsp;']","['993', '&nbsp;']","['1,051', '&nbsp;']","['1,547', 'i']"
802,r070,All business activities -> Transportation,All business activities,Transportation,2,48000,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['123', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['388', '&nbsp;']","['217', 'i']"
802,r071,"All business activities -> Couriers, messengers, and express delivery services",All business activities,"Couriers, messengers, and express delivery services",2,49200,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['344', '&nbsp;']","['D', '&nbsp;']"
802,r072,All business activities -> Warehousing and storage,All business activities,Warehousing and storage,2,49300,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['15', '&nbsp;']","['15', '&nbsp;']","['15', '&nbsp;']","['3', '&nbsp;']","['3', '&nbsp;']"
802,r073,"All business activities -> Newspaper, periodical, book, and directory publishers (except Internet)",All business activities,"Newspaper, periodical, book, and directory publishers (except Internet)",2,51110,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['345', 'i']","['229', 'i']","['316', 'i']","['89', 'i']","['99', 'i']"
