table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008a,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1464,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['NA', '&nbsp;']","['9,708', '&nbsp;']","['4,086', '&nbsp;']","['D', '&nbsp;']","['4,674', '&nbsp;']","['5,158', '&nbsp;']","['4,172', 'i']","['4,240', '&nbsp;']","['3,874', ' ']"
1464,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['708', 'i']","['535', 'i']","['501', 'i']","['771', 'i']","['1,002', ' ']"
1464,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', ' ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', ' ']"
1464,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['NA', '&nbsp;']","['336,571', '&nbsp;']","['338,451', '&nbsp;']","['359,490', '&nbsp;']","['374,916', '&nbsp;']","['396,352', '&nbsp;']","['416,343', '&nbsp;']","['429,174', '&nbsp;']","['451,831', ' ']"
1464,r074,All companies (number of domestic employees) -> Micro companies<sup>b</sup>,All companies (number of domestic employees),Micro companies<sup>b</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1464,r075,All companies (number of domestic employees) -> Micro companies<sup>b</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>b</sup>,5&#8211;9,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['3,792', '&nbsp;']","['4,143', '&nbsp;']","['3,025', 'i']","['3,442', 'i']","['3,409', 'i']","['3,101', 'i']","['1,726', 'i']"
1464,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1464,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['5,750', 'i']","['5,059', 'i']"
1464,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['10,654', 'i']","['10,000', 'i']"
1464,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1464,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['NA', '&nbsp;']","['13,785', '&nbsp;']","['9,470', '&nbsp;']","['9,834', '&nbsp;']","['9,728', '&nbsp;']","['9,289', '&nbsp;']","['10,677', '&nbsp;']","['11,946', '&nbsp;']","['9,662', ' ']"
1464,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['NA', '&nbsp;']","['14,365', '&nbsp;']","['12,989', '&nbsp;']","['13,354', '&nbsp;']","['13,665', '&nbsp;']","['14,980', '&nbsp;']","['15,081', '&nbsp;']","['14,964', '&nbsp;']","['16,194', ' ']"
1464,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1464,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['NA', '&nbsp;']","['12,315', '&nbsp;']","['11,439', '&nbsp;']","['14,573', '&nbsp;']","['12,693', '&nbsp;']","['13,379', '&nbsp;']","['13,675', '&nbsp;']","['14,837', '&nbsp;']","['14,866', ' ']"
1464,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['NA', '&nbsp;']","['12,124', '&nbsp;']","['11,794', '&nbsp;']","['11,388', '&nbsp;']","['12,955', '&nbsp;']","['13,663', '&nbsp;']","['15,422', '&nbsp;']","['17,442', '&nbsp;']","['16,609', ' ']"
1464,r085,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['NA', '&nbsp;']","['54,600', '&nbsp;']","['60,782', '&nbsp;']","['63,801', '&nbsp;']","['62,729', '&nbsp;']","['69,212', '&nbsp;']","['71,679', '&nbsp;']","['71,259', '&nbsp;']","['79,597', ' ']"
1464,r086,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['NA', '&nbsp;']","['27,461', '&nbsp;']","['34,453', '&nbsp;']","['32,578', '&nbsp;']","['41,006', '&nbsp;']","['43,087', '&nbsp;']","['51,305', '&nbsp;']","['48,399', '&nbsp;']","['49,620', ' ']"
1464,r087,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['NA', '&nbsp;']","['61,681', '&nbsp;']","['50,710', '&nbsp;']","['61,593', '&nbsp;']","['60,544', '&nbsp;']","['60,844', '&nbsp;']","['63,818', '&nbsp;']","['70,864', '&nbsp;']","['80,255', ' ']"
1464,r088,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['NA', '&nbsp;']","['118,424', '&nbsp;']","['125,067', '&nbsp;']","['132,719', '&nbsp;']","['144,097', '&nbsp;']","['152,547', '&nbsp;']","['155,180', '&nbsp;']","['159,959', '&nbsp;']","['168,243', ' ']"
