table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
9649,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['39,152', '  ']","['25,248', '  ']","['5,299', '  ']","['1,834', '  ']","['370', '  ']","['621', '  ']","['402', '  ']","['486', '  ']","['149', '  ']","['1,551', '  ']","['3,190', '  ']"
9649,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['103', '  ']","['90', '  ']","['0', '  ']","['2', '  ']","['*', 'i ']","['2', 'r ']","['*', 'i ']","['*', '  ']","['0', '  ']","['7', 'r ']","['3', 'i ']"
9649,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['39,049', '  ']","['25,159', '  ']","['5,299', '  ']","['1,832', '  ']","['370', '  ']","['619', '  ']","['402', '  ']","['486', '  ']","['149', '  ']","['1,544', '  ']","['3,187', '  ']"
9649,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['3,835', '  ']","['2,928', '  ']","['31', 'i ']","['111', '  ']","['15', '  ']","['53', '  ']","['18', '  ']","['9', '  ']","['11', '  ']","['633', 'i ']","['26', '  ']"
9649,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['45,192', '  ']","['28,653', '  ']","['7,886', '  ']","['1,180', '  ']","['691', '  ']","['326', '  ']","['669', '  ']","['551', '  ']","['182', '  ']","['803', '  ']","['4,251', '  ']"
9649,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['59,676', '  ']","['31,099', '  ']","['16,176', '  ']","['4,493', '  ']","['1,871', '  ']","['103', '  ']","['870', 'i ']","['1,878', 'i ']","['22', '  ']","['183', '  ']","['2,981', '  ']"
9649,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['20,947', '  ']","['11,128', '  ']","['4,792', '  ']","['2,012', '  ']","['658', '  ']","['193', '  ']","['157', '  ']","['643', '  ']","['52', '  ']","['301', 'i ']","['1,011', '  ']"
9649,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['2,096', '  ']","['1,034', '  ']","['669', '  ']","[' 0 - 228', '  ']","['27', '  ']","['4', '  ']","['6', '  ']","['20', '  ']","[' 0 - 29', '  ']","['8', '  ']","[' 68 - 332', '  ']"
9649,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"[' 5 - 8', '  ']","['1', '  ']","['0', '  ']","['*', '  ']","[' 0 - 6', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","[' 0 - 6', '  ']"
9649,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['2,088 - 2,091', '  ']","['1,033', '  ']","['669', '  ']","[' 0 - 228', '  ']","[' 20 - 28', '  ']","['3', '  ']","['6', '  ']","['20', '  ']","[' 0 - 29', '  ']","['7', '  ']","[' 63 - 332', '  ']"
