table_id,row_id,field_and_degree_full_path,field_and_degree_level_1,field_and_degree_level_2,field_and_degree_level_3,field_and_degree_level_4,field_and_degree_hierarchy_depth,field_all_institutions_number_all_s_e_graduate_students,field_all_institutions_number_female,field_all_institutions_number_male,field_hbcus_number_all_s_e_graduate_students,field_hbcus_number_female,field_hbcus_number_male,field_hbcus_all_s_e_graduate_students,field_hbcus_female,field_hbcus_male
3239,r059,All S&E graduate students -> All S&E doctoral students,All S&E graduate students,All S&E doctoral students,,,2,8701,4963,3738,999,601,398,11.48,12.11,10.65
3239,r060,All S&E graduate students -> All S&E doctoral students -> Science,All S&E graduate students,All S&E doctoral students,Science,,3,7284,4446,2838,871,554,317,11.96,12.46,11.17
3239,r061,All S&E graduate students -> All S&E doctoral students -> Science -> Agricultural sciences,All S&E graduate students,All S&E doctoral students,Science,Agricultural sciences,4,106,58,48,24,16,8,22.64,27.59,16.67
3239,r062,All S&E graduate students -> All S&E doctoral students -> Science -> Biological and biomedical sciences,All S&E graduate students,All S&E doctoral students,Science,Biological and biomedical sciences,4,2096,1357,739,264,169,95,12.6,12.45,12.86
3239,r063,All S&E graduate students -> All S&E doctoral students -> Science -> Computer and information sciences,All S&E graduate students,All S&E doctoral students,Science,Computer and information sciences,4,388,133,255,35,8,27,9.02,6.02,10.59
3239,r064,"All S&E graduate students -> All S&E doctoral students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,All S&E doctoral students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,100,53,47,9,7,2,9.0,13.21,4.26
3239,r065,All S&E graduate students -> All S&E doctoral students -> Science -> Mathematics and statistics,All S&E graduate students,All S&E doctoral students,Science,Mathematics and statistics,4,215,66,149,20,8,12,9.3,12.12,8.05
3239,r066,All S&E graduate students -> All S&E doctoral students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,All S&E doctoral students,Science,Multidisciplinary and interdisciplinary studies,4,155,95,60,5,3,2,3.23,3.16,3.33
3239,r067,All S&E graduate students -> All S&E doctoral students -> Science -> Natural resources and conservation,All S&E graduate students,All S&E doctoral students,Science,Natural resources and conservation,4,145,90,55,74,43,31,51.03,47.78,56.36
3239,r068,All S&E graduate students -> All S&E doctoral students -> Science -> Physical sciences,All S&E graduate students,All S&E doctoral students,Science,Physical sciences,4,680,283,397,63,30,33,9.26,10.6,8.31
3239,r069,All S&E graduate students -> All S&E doctoral students -> Science -> Psychology,All S&E graduate students,All S&E doctoral students,Science,Psychology,4,1442,1073,369,148,113,35,10.26,10.53,9.49
3239,r070,All S&E graduate students -> All S&E doctoral students -> Science -> Social sciences,All S&E graduate students,All S&E doctoral students,Science,Social sciences,4,1957,1238,719,229,157,72,11.7,12.68,10.01
3239,r071,All S&E graduate students -> All S&E doctoral students -> Engineering,All S&E graduate students,All S&E doctoral students,Engineering,,3,1417,517,900,128,47,81,9.03,9.09,9.0
3239,r072,"All S&E graduate students -> All S&E doctoral students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,All S&E doctoral students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,35,9,26,0,0,0,0.0,0.0,0.0
3239,r073,All S&E graduate students -> All S&E doctoral students -> Engineering -> Agricultural engineering,All S&E graduate students,All S&E doctoral students,Engineering,Agricultural engineering,4,18,9,9,0,0,0,0.0,0.0,0.0
3239,r074,All S&E graduate students -> All S&E doctoral students -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,All S&E doctoral students,Engineering,Bioengineering and biomedical engineering,4,226,108,118,2,1,1,0.88,0.93,0.85
3239,r075,All S&E graduate students -> All S&E doctoral students -> Engineering -> Biological and biosystems engineering,All S&E graduate students,All S&E doctoral students,Engineering,Biological and biosystems engineering,4,3,3,0,0,0,0,0.0,0.0,0.0
