table_id,row_id,source_of_primary_support_and_field_full_path,source_of_primary_support_and_field_level_1,source_of_primary_support_and_field_level_2,source_of_primary_support_and_field_level_3,source_of_primary_support_and_field_level_4,source_of_primary_support_and_field_hierarchy_depth,field_totala,field_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_total,field_u_s_citizens_and_permanent_residents_male,field_u_s_citizens_and_permanent_residents_female,field_u_s_citizens_and_permanent_residents_hispanic_or_latinob,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
1559,r098,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,Non-S&E (number),Fellowship or traineeship,,3,20.4,29.7,20.0,21.8,18.8,22.8,17.1,31.3,17.0,19.4,26.2,23.3,5.7
1559,r099,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,Non-S&E (number),Grant<sup>d</sup>,,3,0.9,1.1,1.0,0.8,1.1,0.9,s,0.8,1.0,1.0,1.2,s,0.2
1559,r100,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,Non-S&E (number),Teaching assistantship,,3,22.6,28.2,23.3,25.0,22.1,21.5,16.4,22.6,10.7,25.8,22.6,16.1,5.2
1559,r101,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Research assistantship,All fields (number)<sup>c</sup>,Non-S&E (number),Research assistantship,,3,9.2,17.0,8.3,7.2,9.1,7.5,s,13.4,7.2,8.4,8.0,s,1.8
1559,r102,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Personal,All fields (number)<sup>c</sup>,Non-S&E (number),Personal,,3,27.7,9.1,33.6,31.0,35.3,34.4,45.2,20.7,47.5,33.4,33.3,24.0,9.4
1559,r103,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Other,All fields (number)<sup>c</sup>,Non-S&E (number),Other,,3,6.2,7.6,6.4,7.0,5.9,4.5,6.2,4.3,6.2,6.9,5.1,4.3,2.2
1559,r104,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Unknown,All fields (number)<sup>c</sup>,Non-S&E (number),Unknown,,3,13.0,7.4,7.5,7.3,7.6,8.5,10.3,6.8,10.3,5.1,3.6,24.7,75.5
1559,r105,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Education (number),All fields (number)<sup>c</sup>,Non-S&E (number),Education (number),,3,15067,1638,12544,3814,8730,966,80,629,1866,8396,274,93,240
1559,r106,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Education (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,Non-S&E (number),Education (number),Fellowship or traineeship,4,9.9,17.8,9.5,8.3,10.1,13.9,s,18.4,12.1,7.7,s,16.1,4.2
1559,r107,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Education (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,Non-S&E (number),Education (number),Grant<sup>d</sup>,4,1.3,1.2,1.4,1.0,1.5,0.9,s,s,1.0,1.5,s,s,0.4
1559,r108,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Education (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,Non-S&E (number),Education (number),Teaching assistantship,4,10.4,19.4,9.9,9.6,10.0,8.2,7.5,14.1,6.1,10.8,11.3,7.5,1.7
1559,r109,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Education (number) -> Research assistantship,All fields (number)<sup>c</sup>,Non-S&E (number),Education (number),Research assistantship,4,13.7,27.4,12.8,12.1,13.2,13.3,s,20.8,9.6,13.3,s,s,2.5
1559,r110,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Education (number) -> Personal,All fields (number)<sup>c</sup>,Non-S&E (number),Education (number),Personal,4,40.8,12.9,47.0,47.1,47.0,48.4,51.3,29.1,53.2,47.9,47.8,35.5,12.9
1559,r111,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Education (number) -> Other,All fields (number)<sup>c</sup>,Non-S&E (number),Education (number),Other,4,10.9,14.0,11.2,14.0,10.0,6.7,s,s,7.6,13.1,6.9,10.8,3.8
1559,r112,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Education (number) -> Unknown,All fields (number)<sup>c</sup>,Non-S&E (number),Education (number),Unknown,4,12.9,7.4,8.1,7.9,8.2,8.6,11.3,7.9,10.4,5.6,4.4,21.5,74.6
1559,r113,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Humanities and arts (number),All fields (number)<sup>c</sup>,Non-S&E (number),Humanities and arts (number),,3,15653,2015,12646,6161,6485,969,53,541,443,9937,326,135,242
1559,r114,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Humanities and arts (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,Non-S&E (number),Humanities and arts (number),Fellowship or traineeship,4,30.4,42.6,30.6,30.4,30.7,32.3,15.1,42.0,38.8,29.8,38.0,31.1,6.6
1559,r115,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Humanities and arts (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,Non-S&E (number),Humanities and arts (number),Grant<sup>d</sup>,4,0.7,1.3,0.6,0.7,0.6,s,0.0,s,1.4,0.6,s,0.0,0.0
1559,r116,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Humanities and arts (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,Non-S&E (number),Humanities and arts (number),Teaching assistantship,4,35.1,35.8,37.6,36.6,38.6,36.3,34.0,34.9,24.8,39.4,33.7,23.0,9.5
1559,r117,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Humanities and arts (number) -> Research assistantship,All fields (number)<sup>c</sup>,Non-S&E (number),Humanities and arts (number),Research assistantship,4,1.6,1.8,1.7,1.4,2.0,1.1,0.0,s,1.4,1.8,s,2.2,0.0
1559,r118,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Humanities and arts (number) -> Personal,All fields (number)<sup>c</sup>,Non-S&E (number),Humanities and arts (number),Personal,4,18.2,6.8,21.4,22.0,20.8,20.4,35.8,15.9,27.1,21.8,22.1,17.8,7.4
1559,r119,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Humanities and arts (number) -> Other,All fields (number)<sup>c</sup>,Non-S&E (number),Humanities and arts (number),Other,4,2.1,4.4,1.9,2.5,1.5,s,5.7,s,1.4,2.1,2.5,0.0,0.8
1559,r120,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Humanities and arts (number) -> Unknown,All fields (number)<sup>c</sup>,Non-S&E (number),Humanities and arts (number),Unknown,4,11.8,7.3,6.2,6.5,5.9,7.2,9.4,4.1,5.2,4.4,2.1,25.9,75.6
1559,r121,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Other (number),All fields (number)<sup>c</sup>,Non-S&E (number),Other (number),,3,8640,2574,5354,2393,2961,333,13,558,565,3592,129,51,113
1559,r122,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Other (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,Non-S&E (number),Other (number),Fellowship or traineeship,4,20.4,27.2,19.5,20.9,18.4,20.7,s,35.5,16.1,17.8,s,15.7,7.1
1559,r123,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Other (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,Non-S&E (number),Other (number),Grant<sup>d</sup>,4,0.7,0.8,0.8,0.7,0.8,s,0.0,s,0.9,0.8,s,0.0,0.0
1559,r124,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Other (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,Non-S&E (number),Other (number),Teaching assistantship,4,21.3,27.9,20.8,20.0,21.5,16.8,0.0,20.1,14.9,23.0,18.6,13.7,3.5
1559,r125,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Other (number) -> Research assistantship,All fields (number)<sup>c</sup>,Non-S&E (number),Other (number),Research assistantship,4,15.2,22.3,13.5,14.2,13.0,9.6,s,s,4.1,15.1,15.5,19.6,4.4
1559,r126,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Other (number) -> Personal,All fields (number)<sup>c</sup>,Non-S&E (number),Other (number),Personal,4,21.9,8.4,31.0,28.6,32.9,34.2,46.2,15.9,44.8,31.7,31.0,19.6,6.2
1559,r127,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Other (number) -> Other,All fields (number)<sup>c</sup>,Non-S&E (number),Other (number),Other,4,5.2,6.0,5.5,7.4,3.9,s,s,3.0,5.5,5.8,7.8,3.9,1.8
1559,r128,All fields (number)<sup>c</sup> -> Non-S&E (number) -> Other (number) -> Unknown,All fields (number)<sup>c</sup>,Non-S&E (number),Other (number),Unknown,4,15.3,7.5,8.9,8.2,9.5,11.7,7.7,8.2,13.8,5.7,5.4,27.5,77.0
