table_id,row_id,_b_field_and_primary_source_of_support_b_full_path,_b_field_and_primary_source_of_support_b_level_1,_b_field_and_primary_source_of_support_b_level_2,_b_field_and_primary_source_of_support_b_level_3,_b_field_and_primary_source_of_support_b_level_4,_b_field_and_primary_source_of_support_b_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
7550,r080,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number)","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),,,2,9315,3977,5338,7082,2176,627,28,448,863,4755,238,73,50
7550,r081,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Teaching assistantships,,3,25.3,26.6,24.4,24.6,27.6,23.8,,26.3,9.7,27.2,27.7,,26.0
7550,r082,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Research assistantships or traineeships<sup>b</sup>,,3,10.6,10.3,10.8,8.0,18.7,6.4,,10.0,6.8,8.5,6.3,,6.0
7550,r083,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),"Fellowships, scholarships, or dissertation grants",,3,25.4,27.7,23.7,22.3,35.7,23.0,35.7,32.6,16.3,22.0,26.5,20.5,26.0
7550,r084,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Own resources,,3,31.6,28.3,34.1,37.5,12.3,41.1,46.4,26.8,57.4,34.5,34.9,42.5,38.0
7550,r085,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Employer or other sources,,3,7.1,7.1,7.0,7.5,5.7,5.7,3.6,4.2,9.7,7.9,4.6,6.8,4.0
7550,r086,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Business (number)","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Business (number),,3,1132,627,505,528,588,28,,74,102,298,18,,4
7550,r087,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Business (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Business (number),Teaching assistantships,4,16.3,14.4,18.6,10.2,21.6,,0.0,16.2,,10.7,,,0.0
7550,r088,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Business (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Business (number),Research assistantships or traineeships<sup>b</sup>,4,20.8,,,15.9,25.3,,0.0,12.2,9.8,19.5,,33.3,0.0
7550,r089,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Business (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Business (number),"Fellowships, scholarships, or dissertation grants",4,30.6,32.2,28.5,22.2,37.9,25.0,0.0,44.6,4.9,21.1,38.9,0.0,50.0
7550,r090,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Business (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Business (number),Own resources,4,26.9,24.4,30.1,43.6,12.1,46.4,,23.0,73.5,39.3,,33.3,25.0
7550,r091,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Business (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Business (number),Employer or other sources,4,5.4,,,8.1,3.1,,0.0,4.1,,9.4,0.0,0.0,25.0
7550,r092,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Education (number)","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Education (number),,3,3156,929,2227,2697,443,259,16,151,445,1697,88,23,18
7550,r093,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Education (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Education (number),Teaching assistantships,4,11.5,11.9,11.3,10.2,18.7,7.3,0.0,12.6,5.8,11.7,11.4,13.0,0.0
7550,r094,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Education (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Education (number),Research assistantships or traineeships<sup>b</sup>,4,15.0,15.4,14.8,12.5,30.2,10.0,,17.9,,13.8,11.4,4.3,5.6
7550,r095,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Education (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Education (number),"Fellowships, scholarships, or dissertation grants",4,12.7,11.4,13.3,11.5,21.0,14.7,,18.5,,9.8,14.8,8.7,16.7
7550,r096,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Education (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Education (number),Own resources,4,48.1,47.1,48.5,52.9,18.3,58.3,50.0,42.4,61.1,50.6,52.3,60.9,72.2
7550,r097,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Education (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Education (number),Employer or other sources,4,12.7,14.1,12.1,12.9,11.7,9.7,6.3,8.6,13.0,14.1,10.2,13.0,5.6
7550,r098,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Humanities (number)","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Humanities (number),,3,2668,1403,1265,2150,510,200,,108,94,1630,75,,13
7550,r099,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Humanities (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Humanities (number),Teaching assistantships,4,40.7,37.9,43.7,41.7,36.5,44.5,,37.0,,42.5,44.0,,46.2
7550,r100,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Humanities (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Humanities (number),Research assistantships or traineeships<sup>b</sup>,4,1.2,1.1,1.4,1.1,1.8,,0.0,,,1.0,0.0,,0.0
7550,r101,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Humanities (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Humanities (number),"Fellowships, scholarships, or dissertation grants",4,36.5,37.0,36.0,33.3,50.4,30.5,,,40.4,32.2,37.3,40.7,38.5
7550,r102,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Humanities (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Humanities (number),Own resources,4,18.6,20.2,16.7,21.3,6.9,22.0,0.0,18.5,27.7,21.3,17.3,22.2,15.4
7550,r103,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Humanities (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Humanities (number),Employer or other sources,4,3.0,3.8,2.1,2.6,4.5,,0.0,1.9,,2.9,1.3,0.0,0.0
7550,r104,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Visual and performing arts (number)","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Visual and performing arts (number),,3,670,301,369,530,135,42,,31,16,410,22,,4
7550,r105,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Visual and performing arts (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Visual and performing arts (number),Teaching assistantships,4,36.4,39.9,33.6,37.4,32.6,,0.0,54.8,,37.6,36.4,,75.0
7550,r106,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Visual and performing arts (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Visual and performing arts (number),Research assistantships or traineeships<sup>b</sup>,4,1.9,,,1.3,4.4,,0.0,,0.0,1.2,0.0,0.0,0.0
7550,r107,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Visual and performing arts (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Visual and performing arts (number),"Fellowships, scholarships, or dissertation grants",4,39.3,36.9,41.2,36.6,50.4,38.1,0.0,,,35.9,,33.3,25.0
7550,r108,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Visual and performing arts (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Visual and performing arts (number),Own resources,4,21.0,18.6,23.0,23.6,10.4,26.2,,,37.5,23.9,,33.3,0.0
7550,r109,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Visual and performing arts (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Visual and performing arts (number),Employer or other sources,4,1.3,,,1.1,2.2,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
7550,r110,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Other (number)<sup>c</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Other (number)<sup>c</sup>,,3,1689,717,972,1177,500,98,6,84,206,720,35,17,11
7550,r111,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Other (number)<sup>c</sup> -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Other (number)<sup>c</sup>,Teaching assistantships,4,28.6,28.6,28.6,27.2,32.0,23.5,16.7,35.7,14.6,29.9,34.3,29.4,36.4
7550,r112,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Other (number)<sup>c</sup> -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Other (number)<sup>c</sup>,Research assistantships or traineeships<sup>b</sup>,4,13.6,13.5,13.7,10.1,21.6,8.2,0.0,8.3,5.3,12.4,5.7,0.0,18.2
7550,r113,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Other (number)<sup>c</sup> -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Other (number)<sup>c</sup>,"Fellowships, scholarships, or dissertation grants",4,22.4,22.7,22.2,20.5,27.2,22.4,50.0,36.9,17.0,19.9,11.4,5.9,18.2
7550,r114,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Other (number)<sup>c</sup> -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Other (number)<sup>c</sup>,Own resources,4,28.9,27.1,30.2,35.5,13.4,39.8,33.3,17.9,56.3,30.3,45.7,52.9,27.3
7550,r115,"All doctorate recipients reporting primary source of support, all fields (number) -> Non-science and engineering (number) -> Other (number)<sup>c</sup> -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Non-science and engineering (number),Other (number)<sup>c</sup>,Employer or other sources,4,6.5,8.1,5.2,6.7,5.8,6.1,0.0,1.2,6.8,7.6,2.9,11.8,0.0
