table_id,row_id,state_and_department_or_agency_full_path,state_and_department_or_agency_level_1,state_and_department_or_agency_level_2,state_and_department_or_agency_level_3,state_and_department_or_agency_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
2466,r185,"United States<sup>b</sup> -> Massachusetts -> Mental Health, Department of",United States<sup>b</sup>,Massachusetts,"Mental Health, Department of",3,1300000,0,1300000
2466,r186,"United States<sup>b</sup> -> Massachusetts -> Public Health, Department of ",United States<sup>b</sup>,Massachusetts,"Public Health, Department of ",3,2237267,1986984,250283
2466,r187,"United States<sup>b</sup> -> Massachusetts -> Transportation, Department of",United States<sup>b</sup>,Massachusetts,"Transportation, Department of",3,4425000,3740000,685000
2466,r188,United States<sup>b</sup> -> Massachusetts -> Water Resources Authority,United States<sup>b</sup>,Massachusetts,Water Resources Authority,3,200000,0,200000
2466,r189,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,,2,8023318,4579680,3443638
2466,r190,"United States<sup>b</sup> -> Michigan -> Agriculture and Rural Development, Department of",United States<sup>b</sup>,Michigan,"Agriculture and Rural Development, Department of",3,1246732,281580,965152
2466,r191,"United States<sup>b</sup> -> Michigan -> Environmental, Great Lakes and Energy, Department of",United States<sup>b</sup>,Michigan,"Environmental, Great Lakes and Energy, Department of",3,639875,0,639875
2466,r192,United States<sup>b</sup> -> Michigan -> Health and Human Services,United States<sup>b</sup>,Michigan,Health and Human Services,3,88488,0,88488
2466,r193,"United States<sup>b</sup> -> Michigan -> Natural Resources, Department of",United States<sup>b</sup>,Michigan,"Natural Resources, Department of",3,916023,0,916023
2466,r194,"United States<sup>b</sup> -> Michigan -> Transportation, Department of",United States<sup>b</sup>,Michigan,"Transportation, Department of",3,5132200,4298100,834100
2466,r195,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,,2,20150907,6020868,14130039
2466,r196,"United States<sup>b</sup> -> Minnesota -> Agriculture, Department of",United States<sup>b</sup>,Minnesota,"Agriculture, Department of",3,6177224,809882,5367342
2466,r197,United States<sup>b</sup> -> Minnesota -> Forest Resources Council,United States<sup>b</sup>,Minnesota,Forest Resources Council,3,140000,0,140000
2466,r198,"United States<sup>b</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>b</sup>,Minnesota,"Natural Resources, Department of",3,1462164,1462164,0
2466,r199,United States<sup>b</sup> -> Minnesota -> Pollution Control Agency,United States<sup>b</sup>,Minnesota,Pollution Control Agency,3,100277,0,100277
2466,r200,"United States<sup>b</sup> -> Minnesota -> Transportation, Department of",United States<sup>b</sup>,Minnesota,"Transportation, Department of",3,12271242,3748822,8522420
2466,r201,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,,2,12170278,8869165,3301113
2466,r202,"United States<sup>b</sup> -> Mississippi -> Agriculture and Commerce, Department of ",United States<sup>b</sup>,Mississippi,"Agriculture and Commerce, Department of ",3,97454,97454,0
2466,r203,"United States<sup>b</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>b</sup>,Mississippi,"Environmental Quality, Department of",3,1157390,1157390,0
2466,r204,United States<sup>b</sup> -> Mississippi -> Gulf States Marine Fisheries Commission,United States<sup>b</sup>,Mississippi,Gulf States Marine Fisheries Commission,3,661034,661034,0
2466,r205,"United States<sup>b</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>b</sup>,Mississippi,"Marine Resources, Department of",3,2141085,261173,1879912
2466,r206,"United States<sup>b</sup> -> Mississippi -> Transportation, Department of",United States<sup>b</sup>,Mississippi,"Transportation, Department of",3,5991596,5185681,805915
2466,r207,"United States<sup>b</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>b</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,2121719,1506433,615286
2466,r208,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,,2,15055845,5102079,9953766
2466,r209,"United States<sup>b</sup> -> Missouri -> Agriculture, Department of",United States<sup>b</sup>,Missouri,"Agriculture, Department of",3,79966,79966,0
2466,r210,"United States<sup>b</sup> -> Missouri -> Conservation, Department of",United States<sup>b</sup>,Missouri,"Conservation, Department of",3,11163017,3230514,7932503
2466,r211,United States<sup>b</sup> -> Missouri -> Health and Senior Services,United States<sup>b</sup>,Missouri,Health and Senior Services,3,28760,12331,16429
2466,r212,"United States<sup>b</sup> -> Missouri -> Natural Resources, Department of",United States<sup>b</sup>,Missouri,"Natural Resources, Department of",3,792133,196797,595336
2466,r213,United States<sup>b</sup> -> Missouri -> Technology Corporation,United States<sup>b</sup>,Missouri,Technology Corporation,3,615000,440000,175000
2466,r214,"United States<sup>b</sup> -> Missouri -> Transportation, Department of",United States<sup>b</sup>,Missouri,"Transportation, Department of",3,1430194,1142471,287723
2466,r215,United States<sup>b</sup> -> Missouri -> Wine and Grape Board,United States<sup>b</sup>,Missouri,Wine and Grape Board,3,946775,0,946775
2466,r216,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,,2,8794140,4577231,4216909
2466,r217,"United States<sup>b</sup> -> Montana -> Agriculture, Department of",United States<sup>b</sup>,Montana,"Agriculture, Department of",3,3132570,1020523,2112047
2466,r218,"United States<sup>b</sup> -> Montana -> Environmental Quality, Department of",United States<sup>b</sup>,Montana,"Environmental Quality, Department of",3,153592,118456,35136
2466,r219,"United States<sup>b</sup> -> Montana -> Fish, Wildlife and Parks",United States<sup>b</sup>,Montana,"Fish, Wildlife and Parks",3,3833321,2949098,884223
2466,r220,"United States<sup>b</sup> -> Montana -> Natural Resources and Conservation, Department of",United States<sup>b</sup>,Montana,"Natural Resources and Conservation, Department of",3,59620,0,59620
2466,r221,"United States<sup>b</sup> -> Montana -> Research and Commercialization, Board of",United States<sup>b</sup>,Montana,"Research and Commercialization, Board of",3,794510,0,794510
2466,r222,"United States<sup>b</sup> -> Montana -> Transportation, Department of",United States<sup>b</sup>,Montana,"Transportation, Department of",3,820527,489154,331373
2466,r223,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,,2,28167688,4371507,23796181
2466,r224,"United States<sup>b</sup> -> Nebraska -> Agriculture, Department of",United States<sup>b</sup>,Nebraska,"Agriculture, Department of",3,1193067,746872,446195
2466,r225,United States<sup>b</sup> -> Nebraska -> Corn Board,United States<sup>b</sup>,Nebraska,Corn Board,3,1107026,0,1107026
2466,r226,United States<sup>b</sup> -> Nebraska -> Dry Bean Commission,United States<sup>b</sup>,Nebraska,Dry Bean Commission,3,192000,0,192000
2466,r227,"United States<sup>b</sup> -> Nebraska -> Economic Development, Department of",United States<sup>b</sup>,Nebraska,"Economic Development, Department of",3,1111752,0,1111752
2466,r228,United States<sup>b</sup> -> Nebraska -> Game and Parks Commission,United States<sup>b</sup>,Nebraska,Game and Parks Commission,3,2857952,2214775,643177
2466,r229,United States<sup>b</sup> -> Nebraska -> Grain Sorghum Board,United States<sup>b</sup>,Nebraska,Grain Sorghum Board,3,15000,0,15000
2466,r230,United States<sup>b</sup> -> Nebraska -> Health and Human Services,United States<sup>b</sup>,Nebraska,Health and Human Services,3,18562794,0,18562794
2466,r231,"United States<sup>b</sup> -> Nebraska -> Natural Resources, Department of",United States<sup>b</sup>,Nebraska,"Natural Resources, Department of",3,1346572,0,1346572
2466,r232,"United States<sup>b</sup> -> Nebraska -> Transportation, Department of",United States<sup>b</sup>,Nebraska,"Transportation, Department of",3,1453039,1409860,43179
2466,r233,United States<sup>b</sup> -> Nebraska -> Wheat Board,United States<sup>b</sup>,Nebraska,Wheat Board,3,328486,0,328486
2466,r234,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,,2,7871899,2370078,5501821
2466,r235,"United States<sup>b</sup> -> Nevada -> Agriculture, Department of",United States<sup>b</sup>,Nevada,"Agriculture, Department of",3,184774,124774,60000
2466,r236,"United States<sup>b</sup> -> Nevada -> Economic Development, Governor's office of",United States<sup>b</sup>,Nevada,"Economic Development, Governor's office of",3,6584759,1334783,5249976
2466,r237,"United States<sup>b</sup> -> Nevada -> Transportation, Department of",United States<sup>b</sup>,Nevada,"Transportation, Department of",3,1102366,910521,191845
2466,r238,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,,2,8432696,715823,7716873
2466,r239,"United States<sup>b</sup> -> New Hampshire -> Agriculture, Markets and Food, Department of",United States<sup>b</sup>,New Hampshire,"Agriculture, Markets and Food, Department of",3,154699,0,154699
2466,r240,United States<sup>b</sup> -> New Hampshire -> Business and Economic Affairs,United States<sup>b</sup>,New Hampshire,Business and Economic Affairs,3,7275000,0,7275000
2466,r241,"United States<sup>b</sup> -> New Hampshire -> Natural & Cultural Resources, Department of",United States<sup>b</sup>,New Hampshire,"Natural & Cultural Resources, Department of",3,61465,49465,12000
2466,r242,"United States<sup>b</sup> -> New Hampshire -> Transportation, Department of",United States<sup>b</sup>,New Hampshire,"Transportation, Department of",3,941532,666358,275174
2466,r243,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,,2,23886758,2890436,20996322
2466,r244,"United States<sup>b</sup> -> New Jersey -> Community Affairs, Department of ",United States<sup>b</sup>,New Jersey,"Community Affairs, Department of ",3,310000,0,310000
2466,r245,"United States<sup>b</sup> -> New Jersey -> Corrections, Department of",United States<sup>b</sup>,New Jersey,"Corrections, Department of",3,301979,0,301979
2466,r246,"United States<sup>b</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>b</sup>,New Jersey,"Environmental Protection, Department of",3,2474000,425000,2049000
2466,r247,"United States<sup>b</sup> -> New Jersey -> Health, Department of",United States<sup>b</sup>,New Jersey,"Health, Department of",3,1936431,0,1936431
2466,r248,United States<sup>b</sup> -> New Jersey -> Pinelands Commission,United States<sup>b</sup>,New Jersey,Pinelands Commission,3,647254,437728,209526
2466,r249,"United States<sup>b</sup> -> New Jersey -> Research Initiatives, Office of",United States<sup>b</sup>,New Jersey,"Research Initiatives, Office of",3,13000000,0,13000000
2466,r250,"United States<sup>b</sup> -> New Jersey -> Secretary of Higher Education, Office of",United States<sup>b</sup>,New Jersey,"Secretary of Higher Education, Office of",3,2500000,0,2500000
2466,r251,"United States<sup>b</sup> -> New Jersey -> Transit, New Jersey",United States<sup>b</sup>,New Jersey,"Transit, New Jersey",3,103000,0,103000
2466,r252,"United States<sup>b</sup> -> New Jersey -> Transportation, Department of",United States<sup>b</sup>,New Jersey,"Transportation, Department of",3,2614094,2027708,586386
2466,r253,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,,2,3585944,2415620,1170324
2466,r254,"United States<sup>b</sup> -> New Mexico -> Cultural Affairs, Department of",United States<sup>b</sup>,New Mexico,"Cultural Affairs, Department of",3,17000,0,17000
2466,r255,"United States<sup>b</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>b</sup>,New Mexico,"Game and Fish, Department of",3,1000000,500000,500000
2466,r256,"United States<sup>b</sup> -> New Mexico -> Transportation, Department of",United States<sup>b</sup>,New Mexico,"Transportation, Department of",3,1659400,1327520,331880
2466,r257,United States<sup>b</sup> -> New Mexico -> Western State Air Resources Council,United States<sup>b</sup>,New Mexico,Western State Air Resources Council,3,909544,588100,321444
2466,r258,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,,2,448501735,156961125,291540610
2466,r259,"United States<sup>b</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>b</sup>,New York,"Agriculture and Markets, Department of ",3,9864543,2734171,7130372
2466,r260,"United States<sup>b</sup> -> New York -> Economic Development, Department of",United States<sup>b</sup>,New York,"Economic Development, Department of",3,39780251,0,39780251
2466,r261,United States<sup>b</sup> -> New York -> Energy Research and Development Authority,United States<sup>b</sup>,New York,Energy Research and Development Authority,3,53546621,0,53546621
2466,r262,"United States<sup>b</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>b</sup>,New York,"Environmental Conservation, Department of ",3,8942166,2025184,6916982
2466,r263,"United States<sup>b</sup> -> New York -> Health, Department of ",United States<sup>b</sup>,New York,"Health, Department of ",3,82781352,21146363,61634989
2466,r264,"United States<sup>b</sup> -> New York -> Mental Health, Office of ",United States<sup>b</sup>,New York,"Mental Health, Office of ",3,156275133,84359723,71915410
2466,r265,"United States<sup>b</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>b</sup>,New York,"People with Developmental Disabilities, Office of",3,1849940,1087592,762348
2466,r266,United States<sup>b</sup> -> New York -> Power Authority,United States<sup>b</sup>,New York,Power Authority,3,8707710,0,8707710
2466,r267,United States<sup>b</sup> -> New York -> Roswell Park Cancer Institute,United States<sup>b</sup>,New York,Roswell Park Cancer Institute,3,71920211,41531303,30388908
2466,r268,United States<sup>b</sup> -> New York -> State Museum,United States<sup>b</sup>,New York,State Museum,3,10022519,188260,9834259
2466,r269,United States<sup>b</sup> -> New York -> Thoroughbred Breeding and Development Fund Corp.,United States<sup>b</sup>,New York,Thoroughbred Breeding and Development Fund Corp.,3,388449,0,388449
2466,r270,"United States<sup>b</sup> -> New York -> Transportation, Department of ",United States<sup>b</sup>,New York,"Transportation, Department of ",3,4422840,3888529,534311
2466,r271,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,,2,32754090,8477781,24276309
2466,r272,"United States<sup>b</sup> -> North Carolina -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,North Carolina,"Agriculture and Consumer Services, Department of",3,15422911,0,15422911
2466,r273,"United States<sup>b</sup> -> North Carolina -> Environmental Quality, Department of",United States<sup>b</sup>,North Carolina,"Environmental Quality, Department of",3,3460387,801212,2659175
2466,r274,"United States<sup>b</sup> -> North Carolina -> Golden Leaf, The",United States<sup>b</sup>,North Carolina,"Golden Leaf, The",3,65000,0,65000
2466,r275,"United States<sup>b</sup> -> North Carolina -> Natural and Cultural Resources, Department of",United States<sup>b</sup>,North Carolina,"Natural and Cultural Resources, Department of",3,3473399,41949,3431450
2466,r276,"United States<sup>b</sup> -> North Carolina -> Science, Technology & Innovation, Board of",United States<sup>b</sup>,North Carolina,"Science, Technology & Innovation, Board of",3,1201990,0,1201990
2466,r277,"United States<sup>b</sup> -> North Carolina -> Transportation, Department of",United States<sup>b</sup>,North Carolina,"Transportation, Department of",3,9010403,7634620,1375783
2466,r278,United States<sup>b</sup> -> North Carolina -> Wine and Grape Growers Council,United States<sup>b</sup>,North Carolina,Wine and Grape Growers Council,3,120000,0,120000
2466,r279,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,,2,12140358,2299808,9840550
2466,r280,"United States<sup>b</sup> -> North Dakota -> Agriculture, Department of",United States<sup>b</sup>,North Dakota,"Agriculture, Department of",3,299153,0,299153
2466,r281,United States<sup>b</sup> -> North Dakota -> Dairy Promotion Commission,United States<sup>b</sup>,North Dakota,Dairy Promotion Commission,3,155170,0,155170
2466,r282,United States<sup>b</sup> -> North Dakota -> Dry Pea and Lentil Commission,United States<sup>b</sup>,North Dakota,Dry Pea and Lentil Commission,3,135023,0,135023
2466,r283,"United States<sup>b</sup> -> North Dakota -> Game and Fish, Department of",United States<sup>b</sup>,North Dakota,"Game and Fish, Department of",3,1375151,1062194,312957
2466,r284,United States<sup>b</sup> -> North Dakota -> Industrial Commission,United States<sup>b</sup>,North Dakota,Industrial Commission,3,6226265,0,6226265
2466,r285,United States<sup>b</sup> -> North Dakota -> Soybean Council,United States<sup>b</sup>,North Dakota,Soybean Council,3,1573679,0,1573679
2466,r286,"United States<sup>b</sup> -> North Dakota -> Transportation, Department of",United States<sup>b</sup>,North Dakota,"Transportation, Department of",3,1279171,1237614,41557
2466,r287,United States<sup>b</sup> -> North Dakota -> Wheat Commission,United States<sup>b</sup>,North Dakota,Wheat Commission,3,1096746,0,1096746
2466,r288,United States<sup>b</sup> -> Ohio,United States<sup>b</sup>,Ohio,,2,97758379,8126122,89632257
2466,r289,United States<sup>b</sup> -> Ohio -> Development Services Agency,United States<sup>b</sup>,Ohio,Development Services Agency,3,85774800,0,85774800
2466,r290,"United States<sup>b</sup> -> Ohio -> Education, Department of",United States<sup>b</sup>,Ohio,"Education, Department of",3,615000,615000,0
2466,r291,United States<sup>b</sup> -> Ohio -> Environmental Protection Agency,United States<sup>b</sup>,Ohio,Environmental Protection Agency,3,20174,0,20174
2466,r292,"United States<sup>b</sup> -> Ohio -> Natural Resources, Department of",United States<sup>b</sup>,Ohio,"Natural Resources, Department of",3,2940286,1941683,998603
2466,r293,"United States<sup>b</sup> -> Ohio -> Transportation, Department of",United States<sup>b</sup>,Ohio,"Transportation, Department of",3,6886442,5569439,1317003
2466,r294,United States<sup>b</sup> -> Ohio -> Water Development Authority,United States<sup>b</sup>,Ohio,Water Development Authority,3,1521677,0,1521677
2466,r295,United States<sup>b</sup> -> Oklahoma,United States<sup>b</sup>,Oklahoma,,2,29607888,10192859,19415029
2466,r296,"United States<sup>b</sup> -> Oklahoma -> Advancement of Science and Technology, Center for the ",United States<sup>b</sup>,Oklahoma,"Advancement of Science and Technology, Center for the ",3,5753552,68517,5685035
2466,r297,"United States<sup>b</sup> -> Oklahoma -> Agriculture, Food, and Forestry, Department of",United States<sup>b</sup>,Oklahoma,"Agriculture, Food, and Forestry, Department of",3,634804,634804,0
2466,r298,"United States<sup>b</sup> -> Oklahoma -> Environmental Quality, Department of",United States<sup>b</sup>,Oklahoma,"Environmental Quality, Department of",3,80399,0,80399
2466,r299,"United States<sup>b</sup> -> Oklahoma -> Health, Department of",United States<sup>b</sup>,Oklahoma,"Health, Department of",3,608140,594140,14000
2466,r300,"United States<sup>b</sup> -> Oklahoma -> Human Services, Department of",United States<sup>b</sup>,Oklahoma,"Human Services, Department of",3,134244,100683,33561
2466,r301,United States<sup>b</sup> -> Oklahoma -> Tobacco Settlement Endowment Trust,United States<sup>b</sup>,Oklahoma,Tobacco Settlement Endowment Trust,3,12300000,0,12300000
2466,r302,"United States<sup>b</sup> -> Oklahoma -> Transportation, Department of",United States<sup>b</sup>,Oklahoma,"Transportation, Department of",3,6511466,6105753,405713
2466,r303,"United States<sup>b</sup> -> Oklahoma -> Wildlife Conservation, Department of",United States<sup>b</sup>,Oklahoma,"Wildlife Conservation, Department of",3,3585283,2688962,896321
2466,r304,United States<sup>b</sup> -> Oregon,United States<sup>b</sup>,Oregon,,2,44222659,17340000,26882659
2466,r305,"United States<sup>b</sup> -> Oregon -> Agriculture, Department of",United States<sup>b</sup>,Oregon,"Agriculture, Department of",3,388762,0,388762
2466,r306,United States<sup>b</sup> -> Oregon -> Business Oregon,United States<sup>b</sup>,Oregon,Business Oregon,3,14800000,1850000,12950000
2466,r307,"United States<sup>b</sup> -> Oregon -> Education, Department of",United States<sup>b</sup>,Oregon,"Education, Department of",3,657595,154853,502742
2466,r308,"United States<sup>b</sup> -> Oregon -> Environmental Quality, Department of",United States<sup>b</sup>,Oregon,"Environmental Quality, Department of",3,458000,458000,0
2466,r309,"United States<sup>b</sup> -> Oregon -> Fish and Wildlife, Department of",United States<sup>b</sup>,Oregon,"Fish and Wildlife, Department of",3,14235414,9519129,4716285
2466,r310,"United States<sup>b</sup> -> Oregon -> Forestry, Department of",United States<sup>b</sup>,Oregon,"Forestry, Department of",3,522777,45014,477763
2466,r311,"United States<sup>b</sup> -> Oregon -> Geology and Mineral Industries, Department of",United States<sup>b</sup>,Oregon,"Geology and Mineral Industries, Department of",3,814431,754133,60298
2466,r312,"United States<sup>b</sup> -> Oregon -> Human Services, Department of",United States<sup>b</sup>,Oregon,"Human Services, Department of",3,5535728,2274733,3260995
2466,r313,"United States<sup>b</sup> -> Oregon -> Transportation, Department of",United States<sup>b</sup>,Oregon,"Transportation, Department of",3,5090034,2278749,2811285
2466,r314,United States<sup>b</sup> -> Oregon -> Water Resources Department,United States<sup>b</sup>,Oregon,Water Resources Department,3,810484,0,810484
2466,r315,United States<sup>b</sup> -> Oregon -> Watershed Enhancement Board,United States<sup>b</sup>,Oregon,Watershed Enhancement Board,3,909434,5389,904045
2466,r316,United States<sup>b</sup> -> Pennsylvania,United States<sup>b</sup>,Pennsylvania,,2,85050999,9903377,75147622
2466,r317,"United States<sup>b</sup> -> Pennsylvania -> Agriculture, Department of",United States<sup>b</sup>,Pennsylvania,"Agriculture, Department of",3,2187000,0,2187000
2466,r318,"United States<sup>b</sup> -> Pennsylvania -> Community and Economic Development, Department of",United States<sup>b</sup>,Pennsylvania,"Community and Economic Development, Department of",3,21600000,0,21600000
2466,r319,"United States<sup>b</sup> -> Pennsylvania -> Conservation and Natural Resources, Department of",United States<sup>b</sup>,Pennsylvania,"Conservation and Natural Resources, Department of",3,42124,0,42124
2466,r320,"United States<sup>b</sup> -> Pennsylvania -> Environmental Protection, Department of",United States<sup>b</sup>,Pennsylvania,"Environmental Protection, Department of",3,1445473,229012,1216461
2466,r321,United States<sup>b</sup> -> Pennsylvania -> Fish and Boat Commission,United States<sup>b</sup>,Pennsylvania,Fish and Boat Commission,3,131845,41137,90708
2466,r322,United States<sup>b</sup> -> Pennsylvania -> Game Commission,United States<sup>b</sup>,Pennsylvania,Game Commission,3,9287658,6044750,3242908
2466,r323,"United States<sup>b</sup> -> Pennsylvania -> Health, Department of",United States<sup>b</sup>,Pennsylvania,"Health, Department of",3,46293000,0,46293000
2466,r324,United States<sup>b</sup> -> Pennsylvania -> Susquehanna River Basin Commission,United States<sup>b</sup>,Pennsylvania,Susquehanna River Basin Commission,3,150000,45000,105000
2466,r325,"United States<sup>b</sup> -> Pennsylvania -> Transportation, Department of",United States<sup>b</sup>,Pennsylvania,"Transportation, Department of",3,3913899,3543478,370421
2466,r326,United States<sup>b</sup> -> Rhode Island,United States<sup>b</sup>,Rhode Island,,2,5512380,2473315,3039065
2466,r327,United States<sup>b</sup> -> Rhode Island -> Commerce Corporation,United States<sup>b</sup>,Rhode Island,Commerce Corporation,3,1203652,0,1203652
2466,r328,"United States<sup>b</sup> -> Rhode Island -> Environmental Management, Department of",United States<sup>b</sup>,Rhode Island,"Environmental Management, Department of",3,3028728,1893315,1135413
2466,r329,"United States<sup>b</sup> -> Rhode Island -> Transportation, Department of",United States<sup>b</sup>,Rhode Island,"Transportation, Department of",3,1225000,580000,645000
2466,r330,United States<sup>b</sup> -> Rhode Island -> Water Resources Board,United States<sup>b</sup>,Rhode Island,Water Resources Board,3,55000,0,55000
2466,r331,United States<sup>b</sup> -> South Carolina,United States<sup>b</sup>,South Carolina,,2,46983243,23400794,23582449
2466,r332,"United States<sup>b</sup> -> South Carolina -> Agriculture, Department of",United States<sup>b</sup>,South Carolina,"Agriculture, Department of",3,1035394,94446,940948
2466,r333,"United States<sup>b</sup> -> South Carolina -> Disabilities and Special Needs, Department of",United States<sup>b</sup>,South Carolina,"Disabilities and Special Needs, Department of",3,12226376,0,12226376
2466,r334,"United States<sup>b</sup> -> South Carolina -> Health and Environmental Control, Department of",United States<sup>b</sup>,South Carolina,"Health and Environmental Control, Department of",3,1585652,1585652,0
2466,r335,"United States<sup>b</sup> -> South Carolina -> Mental Health, Department of",United States<sup>b</sup>,South Carolina,"Mental Health, Department of",3,100884,0,100884
2466,r336,"United States<sup>b</sup> -> South Carolina -> Natural Resources, Department of",United States<sup>b</sup>,South Carolina,"Natural Resources, Department of",3,26062760,18357022,7705738
2466,r337,United States<sup>b</sup> -> South Carolina -> Public Service Authority,United States<sup>b</sup>,South Carolina,Public Service Authority,3,30000,0,30000
2466,r338,United States<sup>b</sup> -> South Carolina -> Research Authority,United States<sup>b</sup>,South Carolina,Research Authority,3,1401205,0,1401205
2466,r339,United States<sup>b</sup> -> South Carolina -> Sea Grant Consortium,United States<sup>b</sup>,South Carolina,Sea Grant Consortium,3,2381593,1675576,706017
2466,r340,"United States<sup>b</sup> -> South Carolina -> Transportation, Department of",United States<sup>b</sup>,South Carolina,"Transportation, Department of",3,2159379,1688098,471281
2466,r341,United States<sup>b</sup> -> South Dakota,United States<sup>b</sup>,South Dakota,,2,2953214,754880,2198334
2466,r342,United States<sup>b</sup> -> South Dakota -> Corn Utilization Council,United States<sup>b</sup>,South Dakota,Corn Utilization Council,3,250000,0,250000
2466,r343,United States<sup>b</sup> -> South Dakota -> Oilseeds Council,United States<sup>b</sup>,South Dakota,Oilseeds Council,3,216845,0,216845
2466,r344,United States<sup>b</sup> -> South Dakota -> Pulse Crop Council,United States<sup>b</sup>,South Dakota,Pulse Crop Council,3,13352,0,13352
2466,r345,United States<sup>b</sup> -> South Dakota -> Science and Technology Authority,United States<sup>b</sup>,South Dakota,Science and Technology Authority,3,39853,39853,0
2466,r346,United States<sup>b</sup> -> South Dakota -> Soybean Research and Promotion Council,United States<sup>b</sup>,South Dakota,Soybean Research and Promotion Council,3,718122,0,718122
2466,r347,"United States<sup>b</sup> -> South Dakota -> Transportation, Department of",United States<sup>b</sup>,South Dakota,"Transportation, Department of",3,1222798,715027,507771
2466,r348,United States<sup>b</sup> -> South Dakota -> Weed and Pest Control Commission,United States<sup>b</sup>,South Dakota,Weed and Pest Control Commission,3,45314,0,45314
2466,r349,United States<sup>b</sup> -> South Dakota -> Wheat Commission,United States<sup>b</sup>,South Dakota,Wheat Commission,3,446930,0,446930
2466,r350,United States<sup>b</sup> -> Tennessee,United States<sup>b</sup>,Tennessee,,2,7439395,5112715,2326680
2466,r351,"United States<sup>b</sup> -> Tennessee -> Education, Department of",United States<sup>b</sup>,Tennessee,"Education, Department of",3,3319120,2037207,1281913
2466,r352,"United States<sup>b</sup> -> Tennessee -> Environment and Conservation, Department of",United States<sup>b</sup>,Tennessee,"Environment and Conservation, Department of",3,843184,497404,345780
2466,r353,United States<sup>b</sup> -> Tennessee -> Geological Survey,United States<sup>b</sup>,Tennessee,Geological Survey,3,169427,91973,77454
2466,r354,"United States<sup>b</sup> -> Tennessee -> Transportation, Department of",United States<sup>b</sup>,Tennessee,"Transportation, Department of",3,3107664,2486131,621533
2466,r355,United States<sup>b</sup> -> Texas,United States<sup>b</sup>,Texas,,2,233030466,21003405,212027061
2466,r356,"United States<sup>b</sup> -> Texas -> Agriculture, Department of",United States<sup>b</sup>,Texas,"Agriculture, Department of",3,1229300,1229300,0
2466,r357,United States<sup>b</sup> -> Texas -> Alzheimer's Research and Care Consortium (TARCC),United States<sup>b</sup>,Texas,Alzheimer's Research and Care Consortium (TARCC),3,3204342,0,3204342
2466,r358,United States<sup>b</sup> -> Texas -> Cancer Prevention and Research Institute,United States<sup>b</sup>,Texas,Cancer Prevention and Research Institute,3,201159271,0,201159271
2466,r359,"United States<sup>b</sup> -> Texas -> Environmental Quality, Commission on",United States<sup>b</sup>,Texas,"Environmental Quality, Commission on",3,1687165,841005,846160
2466,r360,United States<sup>b</sup> -> Texas -> Parks and Wildlife Department,United States<sup>b</sup>,Texas,Parks and Wildlife Department,3,7378821,5076385,2302436
2466,r361,"United States<sup>b</sup> -> Texas -> State Health Services, Department of ",United States<sup>b</sup>,Texas,"State Health Services, Department of ",3,345000,270000,75000
2466,r362,"United States<sup>b</sup> -> Texas -> Transportation, Department of",United States<sup>b</sup>,Texas,"Transportation, Department of",3,17294677,13586715,3707962
2466,r363,United States<sup>b</sup> -> Texas -> Water Development Board,United States<sup>b</sup>,Texas,Water Development Board,3,731890,0,731890
2466,r364,United States<sup>b</sup> -> Utah,United States<sup>b</sup>,Utah,,2,7985508,2294696,5690812
2466,r365,"United States<sup>b</sup> -> Utah -> Environmental Quality, Department of",United States<sup>b</sup>,Utah,"Environmental Quality, Department of",3,416398,0,416398
2466,r366,"United States<sup>b</sup> -> Utah -> Health, Department of",United States<sup>b</sup>,Utah,"Health, Department of",3,12780,0,12780
2466,r367,"United States<sup>b</sup> -> Utah -> Natural Resources, Department of",United States<sup>b</sup>,Utah,"Natural Resources, Department of",3,4121261,0,4121261
