table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_female,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_female,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_female,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_female,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_female
8321,r077,All detailed fields -> Science -> Social sciences -> Public policy analysis,All detailed fields,Science,Social sciences,Public policy analysis,4,10030,58.5,7290,60.7,2740,52.7,213,59.2,358,57.3
8321,r078,All detailed fields -> Science -> Social sciences -> Sociology and population studies,All detailed fields,Science,Social sciences,Sociology and population studies,4,7206,66.6,2331,70.7,4875,64.7,168,61.9,145,60.7
8321,r079,All detailed fields -> Science -> Social sciences -> Urban studies and affairs ,All detailed fields,Science,Social sciences,Urban studies and affairs ,4,1218,61.2,827,62.5,391,58.3,10,70.0,28,57.1
8321,r080,"All detailed fields -> Science -> Social sciences -> Social sciences, other",All detailed fields,Science,Social sciences,"Social sciences, other",4,2404,59.8,1768,61.5,636,55.2,191,52.9,253,59.3
8321,r081,All detailed fields -> Engineering,All detailed fields,Engineering,,,2,168050,27.7,95126,27.0,72924,28.7,8340,26.3,3992,24.1
8321,r082,"All detailed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All detailed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,7838,18.7,5065,17.9,2773,20.1,277,17.3,144,17.4
8321,r083,"All detailed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All detailed fields,Engineering,"Biological, biomedical, and biosystems engineering",,3,14059,46.5,5192,48.7,8867,45.2,1616,37.1,589,36.3
8321,r084,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,10696,33.4,2983,33.3,7713,33.4,1167,25.8,307,30.9
8321,r085,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Chemical engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Chemical engineering,4,9670,34.8,2555,35.7,7115,34.4,1133,26.3,257,33.9
8321,r086,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Petroleum engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Petroleum engineering,4,1026,20.6,428,18.9,598,21.7,34,8.8,50,16.0
8321,r087,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",,3,19608,34.9,11730,34.8,7878,35.1,968,30.5,479,25.7
8321,r088,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Civil engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",Civil engineering,4,16112,32.7,9352,32.5,6760,33.1,879,30.1,446,24.7
8321,r089,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Architectural, environmental, construction and surveying engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields","Architectural, environmental, construction and surveying engineering",4,3496,44.9,2378,43.6,1118,47.7,89,33.7,33,39.4
8321,r090,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",,3,45265,22.8,27695,24.0,17570,20.7,1275,18.7,755,14.2
8321,r091,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Electrical, electronics, and communications engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering","Electrical, electronics, and communications engineering",4,32633,21.2,17866,21.6,14767,20.6,1186,18.6,684,14.0
8321,r092,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",Computer engineering,4,12632,26.9,9829,28.5,2803,21.3,89,19.1,71,15.5
8321,r093,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,15870,29.9,11949,29.1,3921,32.2,127,26.8,107,24.3
8321,r094,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research -> Industrial and manufacturing engineering",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",Industrial and manufacturing engineering,4,7606,28.9,5284,26.5,2322,34.5,73,27.4,53,20.8
8321,r095,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research -> Systems engineering and operations research",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",Systems engineering and operations research,4,8264,30.7,6665,31.2,1599,28.7,54,25.9,54,27.8
8321,r096,All detailed fields -> Engineering -> Mechanical engineering,All detailed fields,Engineering,Mechanical engineering,,3,27258,18.6,15718,17.2,11540,20.4,1200,19.5,529,19.7
8321,r097,"All detailed fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All detailed fields,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,7422,31.7,2518,32.8,4904,31.2,562,23.0,259,23.6
8321,r098,All detailed fields -> Engineering -> Other engineering,All detailed fields,Engineering,Other engineering,,3,20034,28.4,12276,28.4,7758,28.3,1148,27.6,823,25.2
8321,r099,All detailed fields -> Engineering -> Other engineering -> Agricultural engineering,All detailed fields,Engineering,Other engineering,Agricultural engineering,4,1187,41.4,519,43.0,668,40.1,112,42.0,55,36.4
8321,r100,"All detailed fields -> Engineering -> Other engineering -> Engineering mechanics, physics, and science",All detailed fields,Engineering,Other engineering,"Engineering mechanics, physics, and science",4,2239,27.7,782,30.3,1457,26.3,253,24.1,193,15.5
8321,r101,All detailed fields -> Engineering -> Other engineering -> Nuclear engineering,All detailed fields,Engineering,Other engineering,Nuclear engineering,4,1516,20.1,484,18.4,1032,20.8,99,25.3,40,25.0
8321,r102,"All detailed fields -> Engineering -> Other engineering -> Engineering, other",All detailed fields,Engineering,Other engineering,"Engineering, other",4,15092,28.3,10491,28.0,4601,28.8,684,26.9,535,27.5
8321,r103,All detailed fields -> Health,All detailed fields,Health,,,2,82322,77.1,65691,79.0,16631,69.4,17799,50.7,7828,53.6
8321,r104,All detailed fields -> Health -> Clinical medicine<sup>a</sup>,All detailed fields,Health,Clinical medicine<sup>a</sup>,,3,39633,76.4,34021,77.2,5612,71.7,15561,50.3,6751,53.1
8321,r105,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Medical clinical sciences and clinical and medical laboratory sciences ,All detailed fields,Health,Clinical medicine<sup>a</sup>,Medical clinical sciences and clinical and medical laboratory sciences ,4,1964,63.5,1287,61.9,677,66.6,345,47.5,134,57.5
8321,r106,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Public health,All detailed fields,Health,Clinical medicine<sup>a</sup>,Public health,4,37669,77.1,32734,77.8,4935,72.4,880,62.8,656,64.0
8321,r107,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Anesthesiology,All detailed fields,Health,Clinical medicine<sup>a</sup>,Anesthesiology,4,ne,ne,ne,ne,ne,ne,414,48.1,108,43.5
8321,r108,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Cardiology and cardiovascular disease,All detailed fields,Health,Clinical medicine<sup>a</sup>,Cardiology and cardiovascular disease,4,ne,ne,ne,ne,ne,ne,660,43.9,215,45.6
8321,r109,"All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Endocrinology, diabetes, and metabolism",All detailed fields,Health,Clinical medicine<sup>a</sup>,"Endocrinology, diabetes, and metabolism",4,ne,ne,ne,ne,ne,ne,319,53.6,103,54.4
8321,r110,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Gastroenterology,All detailed fields,Health,Clinical medicine<sup>a</sup>,Gastroenterology,4,ne,ne,ne,ne,ne,ne,315,43.8,112,50.9
8321,r111,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Hematology,All detailed fields,Health,Clinical medicine<sup>a</sup>,Hematology,4,ne,ne,ne,ne,ne,ne,362,47.2,180,52.2
8321,r112,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Neurology and neurosurgery,All detailed fields,Health,Clinical medicine<sup>a</sup>,Neurology and neurosurgery,4,ne,ne,ne,ne,ne,ne,1522,50.6,527,52.0
8321,r113,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Obstetrics and gynecology,All detailed fields,Health,Clinical medicine<sup>a</sup>,Obstetrics and gynecology,4,ne,ne,ne,ne,ne,ne,230,66.5,106,68.9
8321,r114,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Oncology and cancer research,All detailed fields,Health,Clinical medicine<sup>a</sup>,Oncology and cancer research,4,ne,ne,ne,ne,ne,ne,1504,50.7,549,53.0
8321,r115,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Ophthalmology,All detailed fields,Health,Clinical medicine<sup>a</sup>,Ophthalmology,4,ne,ne,ne,ne,ne,ne,464,49.8,259,48.6
8321,r116,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Otorhinolaryngology,All detailed fields,Health,Clinical medicine<sup>a</sup>,Otorhinolaryngology,4,ne,ne,ne,ne,ne,ne,279,49.1,119,47.9
8321,r117,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Pediatrics,All detailed fields,Health,Clinical medicine<sup>a</sup>,Pediatrics,4,ne,ne,ne,ne,ne,ne,1143,60.2,632,54.4
8321,r118,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Psychiatry,All detailed fields,Health,Clinical medicine<sup>a</sup>,Psychiatry,4,ne,ne,ne,ne,ne,ne,1109,58.3,279,61.6
8321,r119,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Pulmonary disease,All detailed fields,Health,Clinical medicine<sup>a</sup>,Pulmonary disease,4,ne,ne,ne,ne,ne,ne,232,51.3,100,57.0
8321,r120,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Radiological sciences,All detailed fields,Health,Clinical medicine<sup>a</sup>,Radiological sciences,4,ne,ne,ne,ne,ne,ne,1100,38.9,381,34.9
8321,r121,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Surgery,All detailed fields,Health,Clinical medicine<sup>a</sup>,Surgery,4,ne,ne,ne,ne,ne,ne,1197,42.0,561,43.0
