table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_total,field_paid_for_by_the_company,field_paid_for_by_others
1395,r086,All business activities -> Insurance carriers and related activities,All business activities,Insurance carriers and related activities,2,52400,"['1,216', '  ']","['1,216', '  ']","['0', '&nbsp;']"
1395,r087,All business activities -> Real estate,All business activities,Real estate,2,53100,"['438', '  ']","['438', '  ']","['0', '&nbsp;']"
1395,r088,All business activities -> Rental and leasing services,All business activities,Rental and leasing services,2,53200,"['22', '  ']","['22', '  ']","['0', '&nbsp;']"
1395,r089,"All business activities -> Lessors of nonfinancial intangible assets, including patent licensing",All business activities,"Lessors of nonfinancial intangible assets, including patent licensing",2,53300,"['40', '  ']","['40', '  ']","['*', '&nbsp;']"
1395,r090,"All business activities -> Legal, accounting, tax preparation, bookkeeping, and payroll services",All business activities,"Legal, accounting, tax preparation, bookkeeping, and payroll services",2,54111,"['891', '  ']","['887', '  ']","['4', '&nbsp;']"
1395,r091,"All business activities -> Architectural, engineering, and related services",All business activities,"Architectural, engineering, and related services",2,54130,"['3,424', '  ']","['1,823', '  ']","['1,601', '&nbsp;']"
1395,r092,All business activities -> Specialized design services,All business activities,Specialized design services,2,54140,"['78', '  ']","['26', '  ']","['52', '&nbsp;']"
1395,r093,All business activities -> Computer systems design and related services,All business activities,Computer systems design and related services,2,54150,"['14,431', '  ']","['12,008', '  ']","['2,424', '&nbsp;']"
1395,r094,"All business activities -> Management, scientific, and technical consulting services",All business activities,"Management, scientific, and technical consulting services",2,54160,"['2,137', 'i ']","['1,602', '  ']","['535', 'i']"
1395,r095,All business activities -> Research and development services in social sciences and humanities,All business activities,Research and development services in social sciences and humanities,2,54172,"['D', '  ']","['D', '  ']","['D', '&nbsp;']"
1395,r096,All business activities -> Research and development services in biotechnology,All business activities,Research and development services in biotechnology,2,54173,"['3,939', 'i ']","['835', 'i ']","['3,104', 'i']"
1395,r097,"All business activities -> Research and development services in physical, engineering, and life sciences (except biotechnology)",All business activities,"Research and development services in physical, engineering, and life sciences (except biotechnology)",2,54174,"['10,667', '  ']","['2,296', '  ']","['8,371', 'i']"
1395,r098,All business activities -> Advertising and related services,All business activities,Advertising and related services,2,54180,"['344', '  ']","['344', '  ']","['0', '&nbsp;']"
