table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_level_4,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10857,r218,Hawaii -> Departments -> Department of Homeland Security,Hawaii,Departments,Department of Homeland Security,,3,994,0,0,994,0,0,0
10857,r219,Hawaii -> Departments -> Department of the Interior,Hawaii,Departments,Department of the Interior,,3,7519,7504,0,0,0,15,0
10857,r220,Hawaii -> Departments -> Department of Transportation,Hawaii,Departments,Department of Transportation,,3,1510,0,0,0,400,0,1110
10857,r221,Hawaii -> Departments -> Department of Veterans Affairs,Hawaii,Departments,Department of Veterans Affairs,,3,2096,2096,0,0,0,0,0
10857,r222,Hawaii -> Other agencies,Hawaii,Other agencies,,,2,,,,,,,
10857,r223,Hawaii -> Other agencies -> National Aeronautics and Space Administration,Hawaii,Other agencies,National Aeronautics and Space Administration,,3,29896,389,0,931,23526,5049,1
10857,r224,Hawaii -> Other agencies -> National Science Foundation,Hawaii,Other agencies,National Science Foundation,,3,40569,0,0,1219,38631,474,245
10857,r225,Idaho,Idaho,,,,1,702352,65585,491824,69275,62207,893,12567
10857,r226,Idaho -> Departments,Idaho,Departments,,,2,,,,,,,
10857,r227,Idaho -> Departments -> Department of Agriculture,Idaho,Departments,Department of Agriculture,,3,38496,21756,0,13,16618,109,0
10857,r228,Idaho -> Departments -> Department of Defense,Idaho,Departments,Department of Defense,,3,126682,31283,34435,55106,3129,0,2729
10857,r229,Idaho -> Departments -> Department of Energy,Idaho,Departments,Department of Energy,,3,461377,270,448543,9373,3131,33,26
10857,r230,Idaho -> Departments -> Department of Health and Human Services,Idaho,Departments,Department of Health and Human Services,,3,23642,0,0,1172,15377,751,6342
10857,r231,Idaho -> Departments -> Department of Homeland Security,Idaho,Departments,Department of Homeland Security,,3,3928,0,1000,2928,0,0,0
10857,r232,Idaho -> Departments -> Department of the Interior,Idaho,Departments,Department of the Interior,,3,11201,10329,0,25,847,0,0
10857,r233,Idaho -> Departments -> Department of Transportation,Idaho,Departments,Department of Transportation,,3,1134,0,0,65,0,0,1069
10857,r234,Idaho -> Departments -> Department of Veterans Affairs,Idaho,Departments,Department of Veterans Affairs,,3,1948,1948,0,0,0,0,0
10857,r235,Idaho -> Other agencies,Idaho,Other agencies,,,2,,,,,,,
10857,r236,Idaho -> Other agencies -> Environmental Protection Agency,Idaho,Other agencies,Environmental Protection Agency,,3,215,0,215,0,0,0,0
10857,r237,Idaho -> Other agencies -> National Aeronautics and Space Administration,Idaho,Other agencies,National Aeronautics and Space Administration,,3,3312,0,250,348,2713,0,0
10857,r238,Idaho -> Other agencies -> National Science Foundation,Idaho,Other agencies,National Science Foundation,,3,22000,0,0,246,19354,0,2400
10857,r239,Idaho -> Other agencies -> Nuclear Regulatory Commission,Idaho,Other agencies,Nuclear Regulatory Commission,,3,8419,0,7382,0,1037,0,0
10857,r240,Illinois,Illinois,,,,1,3468724,266842,1113441,350975,1575978,146398,15090
10857,r241,Illinois -> Departments,Illinois,Departments,,,2,,,,,,,
10857,r242,Illinois -> Departments -> Department of Agriculture,Illinois,Departments,Department of Agriculture,,3,64980,44634,0,1256,18680,411,0
10857,r243,Illinois -> Departments -> Department of Commerce,Illinois,Departments,Department of Commerce,,3,8060,0,0,6430,1430,200,0
10857,r244,Illinois -> Departments -> Department of Defense,Illinois,Departments,Department of Defense,,3,471169,148967,969,192708,115035,13489,0
10857,r245,Illinois -> Departments -> Department of Education,Illinois,Departments,Department of Education,,3,13448,0,0,2000,2626,1689,7134
10857,r246,Illinois -> Departments -> Department of Energy,Illinois,Departments,Department of Energy,,3,1258264,154,1099433,31463,104932,22060,222
10857,r247,Illinois -> Departments -> Department of Health and Human Services,Illinois,Departments,Department of Health and Human Services,,3,1208255,0,4228,89155,1017790,95088,1993
10857,r248,Illinois -> Departments -> Department of Homeland Security,Illinois,Departments,Department of Homeland Security,,3,15614,9764,5795,55,0,0,0
10857,r249,Illinois -> Departments -> Department of the Interior,Illinois,Departments,Department of the Interior,,3,7890,7589,0,194,107,0,0
10857,r250,Illinois -> Departments -> Department of Justice,Illinois,Departments,Department of Justice,,3,3110,0,0,0,626,2484,0
10857,r251,Illinois -> Departments -> Department of Transportation,Illinois,Departments,Department of Transportation,,3,14197,0,445,2987,3138,1886,5741
10857,r252,Illinois -> Departments -> Department of Veterans Affairs,Illinois,Departments,Department of Veterans Affairs,,3,53756,53756,0,0,0,0,0
10857,r253,Illinois -> Other agencies,Illinois,Other agencies,,,2,,,,,,,
10857,r254,Illinois -> Other agencies -> Agency for International Development,Illinois,Other agencies,Agency for International Development,,3,1000,0,0,0,1000,0,0
10857,r255,Illinois -> Other agencies -> Appalachian Regional Commission,Illinois,Other agencies,Appalachian Regional Commission,,3,25,0,0,0,0,25,0
10857,r256,Illinois -> Other agencies -> Environmental Protection Agency,Illinois,Other agencies,Environmental Protection Agency,,3,2306,0,430,775,1101,0,0
10857,r257,Illinois -> Other agencies -> National Aeronautics and Space Administration,Illinois,Other agencies,National Aeronautics and Space Administration,,3,41164,1977,449,13042,24548,1148,0
10857,r258,Illinois -> Other agencies -> National Science Foundation,Illinois,Other agencies,National Science Foundation,,3,302831,0,0,10434,284757,7640,0
10857,r259,Illinois -> Other agencies -> Nuclear Regulatory Commission,Illinois,Other agencies,Nuclear Regulatory Commission,,3,2404,0,1693,409,25,278,0
10857,r260,Illinois -> Other agencies -> Social Security Administration,Illinois,Other agencies,Social Security Administration,,3,250,0,0,66,184,0,0
10857,r261,Indiana,Indiana,,,,1,1277050,326926,5,276340,660168,1466,12144
10857,r262,Indiana -> Departments,Indiana,Departments,,,2,,,,,,,
10857,r263,Indiana -> Departments -> Department of Agriculture,Indiana,Departments,Department of Agriculture,,3,33693,7024,0,1010,25445,50,165
10857,r264,Indiana -> Departments -> Department of Commerce,Indiana,Departments,Department of Commerce,,3,7822,0,0,0,7822,0,0
10857,r265,Indiana -> Departments -> Department of Defense,Indiana,Departments,Department of Defense,,3,618469,284105,0,247383,86591,340,50
10857,r266,Indiana -> Departments -> Department of Education,Indiana,Departments,Department of Education,,3,2479,0,0,0,2479,0,0
10857,r267,Indiana -> Departments -> Department of Energy,Indiana,Departments,Department of Energy,,3,35861,0,0,5521,30186,154,0
10857,r268,Indiana -> Departments -> Department of Health and Human Services,Indiana,Departments,Department of Health and Human Services,,3,361163,0,0,8411,344071,670,8011
10857,r269,Indiana -> Departments -> Department of Homeland Security,Indiana,Departments,Department of Homeland Security,,3,255,0,5,0,250,0,0
10857,r270,Indiana -> Departments -> Department of the Interior,Indiana,Departments,Department of the Interior,,3,9221,7841,0,0,1380,0,0
10857,r271,Indiana -> Departments -> Department of Transportation,Indiana,Departments,Department of Transportation,,3,4658,0,0,740,0,0,3918
10857,r272,Indiana -> Departments -> Department of Veterans Affairs,Indiana,Departments,Department of Veterans Affairs,,3,27682,27682,0,0,0,0,0
10857,r273,Indiana -> Other agencies,Indiana,Other agencies,,,2,,,,,,,
10857,r274,Indiana -> Other agencies -> Agency for International Development,Indiana,Other agencies,Agency for International Development,,3,2190,0,0,0,2190,0,0
10857,r275,Indiana -> Other agencies -> Environmental Protection Agency,Indiana,Other agencies,Environmental Protection Agency,,3,862,0,0,36,826,0,0
10857,r276,Indiana -> Other agencies -> National Aeronautics and Space Administration,Indiana,Other agencies,National Aeronautics and Space Administration,,3,19769,274,0,8095,11274,126,0
10857,r277,Indiana -> Other agencies -> National Science Foundation,Indiana,Other agencies,National Science Foundation,,3,151918,0,0,4815,146976,126,0
10857,r278,Indiana -> Other agencies -> Nuclear Regulatory Commission,Indiana,Other agencies,Nuclear Regulatory Commission,,3,1009,0,0,329,680,0,0
10857,r279,Iowa,Iowa,,,,1,760960,91346,32616,193452,425588,2020,15938
10857,r280,Iowa -> Departments,Iowa,Departments,,,2,,,,,,,
10857,r281,Iowa -> Departments -> Department of Agriculture,Iowa,Departments,Department of Agriculture,,3,85612,60937,0,825,23124,720,6
10857,r282,Iowa -> Departments -> Department of Commerce,Iowa,Departments,Department of Commerce,,3,238,0,0,238,0,0,0
10857,r283,Iowa -> Departments -> Department of Defense,Iowa,Departments,Department of Defense,,3,201554,551,0,185010,15993,0,0
10857,r284,Iowa -> Departments -> Department of Energy,Iowa,Departments,Department of Energy,,3,48501,0,32616,200,15621,0,64
10857,r285,Iowa -> Departments -> Department of Health and Human Services,Iowa,Departments,Department of Health and Human Services,,3,217244,0,0,5005,200839,1300,10100
10857,r286,Iowa -> Departments -> Department of Homeland Security,Iowa,Departments,Department of Homeland Security,,3,250,0,0,0,250,0,0
10857,r287,Iowa -> Departments -> Department of the Interior,Iowa,Departments,Department of the Interior,,3,1076,1076,0,0,0,0,0
10857,r288,Iowa -> Departments -> Department of Transportation,Iowa,Departments,Department of Transportation,,3,16384,0,0,475,10140,0,5769
10857,r289,Iowa -> Departments -> Department of Veterans Affairs,Iowa,Departments,Department of Veterans Affairs,,3,28781,28781,0,0,0,0,0
10857,r290,Iowa -> Other agencies,Iowa,Other agencies,,,2,,,,,,,
10857,r291,Iowa -> Other agencies -> Environmental Protection Agency,Iowa,Other agencies,Environmental Protection Agency,,3,5210,0,0,151,5058,0,0
10857,r292,Iowa -> Other agencies -> National Aeronautics and Space Administration,Iowa,Other agencies,National Aeronautics and Space Administration,,3,108293,0,0,524,107770,0,0
10857,r293,Iowa -> Other agencies -> National Science Foundation,Iowa,Other agencies,National Science Foundation,,3,47818,0,0,1024,46794,0,0
10857,r294,Kansas,Kansas,,,,1,445052,149333,0,21219,264257,8675,1567
10857,r295,Kansas -> Departments,Kansas,Departments,,,2,,,,,,,
10857,r296,Kansas -> Departments -> Department of Agriculture,Kansas,Departments,Department of Agriculture,,3,163811,142197,0,0,21535,0,79
10857,r297,Kansas -> Departments -> Department of Commerce,Kansas,Departments,Department of Commerce,,3,6773,0,0,0,6773,0,0
10857,r298,Kansas -> Departments -> Department of Defense,Kansas,Departments,Department of Defense,,3,61836,1464,0,5266,55107,0,0
10857,r299,Kansas -> Departments -> Department of Education,Kansas,Departments,Department of Education,,3,6667,0,0,0,6667,0,0
10857,r300,Kansas -> Departments -> Department of Energy,Kansas,Departments,Department of Energy,,3,10065,0,0,1942,5764,2359,0
10857,r301,Kansas -> Departments -> Department of Health and Human Services,Kansas,Departments,Department of Health and Human Services,,3,127810,0,0,6697,120670,251,193
10857,r302,Kansas -> Departments -> Department of Homeland Security,Kansas,Departments,Department of Homeland Security,,3,200,0,0,0,200,0,0
10857,r303,Kansas -> Departments -> Department of the Interior,Kansas,Departments,Department of the Interior,,3,5862,5062,0,0,801,0,0
10857,r304,Kansas -> Departments -> Department of Transportation,Kansas,Departments,Department of Transportation,,3,3242,0,0,820,1230,0,1193
10857,r305,Kansas -> Departments -> Department of Veterans Affairs,Kansas,Departments,Department of Veterans Affairs,,3,492,492,0,0,0,0,0
10857,r306,Kansas -> Other agencies,Kansas,Other agencies,,,2,,,,,,,
10857,r307,Kansas -> Other agencies -> Agency for International Development,Kansas,Other agencies,Agency for International Development,,3,4800,0,0,0,4800,0,0
10857,r308,Kansas -> Other agencies -> National Aeronautics and Space Administration,Kansas,Other agencies,National Aeronautics and Space Administration,,3,14728,119,0,5964,8543,0,102
10857,r309,Kansas -> Other agencies -> National Science Foundation,Kansas,Other agencies,National Science Foundation,,3,38765,0,0,532,32169,6064,0
10857,r310,Kentucky,Kentucky,,,,1,413477,49109,0,36794,311024,7046,9504
10857,r311,Kentucky -> Departments,Kentucky,Departments,,,2,,,,,,,
10857,r312,Kentucky -> Departments -> Department of Agriculture,Kentucky,Departments,Department of Agriculture,,3,30308,5039,0,756,24498,0,15
10857,r313,Kentucky -> Departments -> Department of Commerce,Kentucky,Departments,Department of Commerce,,3,125,0,0,0,125,0,0
10857,r314,Kentucky -> Departments -> Department of Defense,Kentucky,Departments,Department of Defense,,3,30158,3730,0,11272,15156,0,0
10857,r315,Kentucky -> Departments -> Department of Education,Kentucky,Departments,Department of Education,,3,6793,0,0,0,873,5920,0
10857,r316,Kentucky -> Departments -> Department of Energy,Kentucky,Departments,Department of Energy,,3,44593,31048,0,3961,9167,322,95
10857,r317,Kentucky -> Departments -> Department of Health and Human Services,Kentucky,Departments,Department of Health and Human Services,,3,248409,0,0,13615,228042,804,5947
10857,r318,Kentucky -> Departments -> Department of the Interior,Kentucky,Departments,Department of the Interior,,3,2236,1513,0,0,723,0,0
10857,r319,Kentucky -> Departments -> Department of Transportation,Kentucky,Departments,Department of Transportation,,3,3944,0,0,496,0,0,3447
10857,r320,Kentucky -> Departments -> Department of Veterans Affairs,Kentucky,Departments,Department of Veterans Affairs,,3,7779,7779,0,0,0,0,0
10857,r321,Kentucky -> Other agencies,Kentucky,Other agencies,,,2,,,,,,,
10857,r322,Kentucky -> Other agencies -> Environmental Protection Agency,Kentucky,Other agencies,Environmental Protection Agency,,3,27,0,0,0,27,0,0
10857,r323,Kentucky -> Other agencies -> National Aeronautics and Space Administration,Kentucky,Other agencies,National Aeronautics and Space Administration,,3,6890,0,0,5417,1473,0,0
10857,r324,Kentucky -> Other agencies -> National Science Foundation,Kentucky,Other agencies,National Science Foundation,,3,32215,0,0,1276,30939,0,0
10857,r325,Louisiana,Louisiana,,,,1,512246,60230,0,124622,301852,6572,18970
10857,r326,Louisiana -> Departments,Louisiana,Departments,,,2,,,,,,,
10857,r327,Louisiana -> Departments -> Department of Agriculture,Louisiana,Departments,Department of Agriculture,,3,54744,34426,0,820,19498,0,0
10857,r328,Louisiana -> Departments -> Department of Commerce,Louisiana,Departments,Department of Commerce,,3,2505,0,0,0,2505,0,0
10857,r329,Louisiana -> Departments -> Department of Defense,Louisiana,Departments,Department of Defense,,3,117749,1015,0,106540,9155,690,349
10857,r330,Louisiana -> Departments -> Department of Education,Louisiana,Departments,Department of Education,,3,3298,0,0,0,2746,0,552
10857,r331,Louisiana -> Departments -> Department of Energy,Louisiana,Departments,Department of Energy,,3,8964,292,0,0.05,8493,99,79
10857,r332,Louisiana -> Departments -> Department of Health and Human Services,Louisiana,Departments,Department of Health and Human Services,,3,227508,854,0,7592,205310,2103,11648
10857,r333,Louisiana -> Departments -> Department of the Interior,Louisiana,Departments,Department of the Interior,,3,24231,17658,0,2493,3374,142,564
10857,r334,Louisiana -> Departments -> Department of Transportation,Louisiana,Departments,Department of Transportation,,3,5027,0,0,0,502,0,4525
10857,r335,Louisiana -> Departments -> Department of Veterans Affairs,Louisiana,Departments,Department of Veterans Affairs,,3,5984,5984,0,0,0,0,0
10857,r336,Louisiana -> Other agencies,Louisiana,Other agencies,,,2,,,,,,,
10857,r337,Louisiana -> Other agencies -> Environmental Protection Agency,Louisiana,Other agencies,Environmental Protection Agency,,3,2814,0,0,2814,0,0,0
10857,r338,Louisiana -> Other agencies -> National Aeronautics and Space Administration,Louisiana,Other agencies,National Aeronautics and Space Administration,,3,5753,0,0,2207,2925,19,602
10857,r339,Louisiana -> Other agencies -> National Science Foundation,Louisiana,Other agencies,National Science Foundation,,3,53468,0,0,2156,47143,3519,649
10857,r340,Louisiana -> Other agencies -> Nuclear Regulatory Commission,Louisiana,Other agencies,Nuclear Regulatory Commission,,3,200,0,0,0,200,0,0
10857,r341,Maine,Maine,,,,1,229928,13921,5,28850,70300,109233,7620
10857,r342,Maine -> Departments,Maine,Departments,,,2,,,,,,,
10857,r343,Maine -> Departments -> Department of Agriculture,Maine,Departments,Department of Agriculture,,3,20588,8565,0,1081,10443,500,0
10857,r344,Maine -> Departments -> Department of Commerce,Maine,Departments,Department of Commerce,,3,6010,192,0,147,3759,1912,0
10857,r345,Maine -> Departments -> Department of Defense,Maine,Departments,Department of Defense,,3,36977,2496,5,16372,18046,57,0
10857,r346,Maine -> Departments -> Department of Energy,Maine,Departments,Department of Energy,,3,991,0,0,543,353,95,0
10857,r347,Maine -> Departments -> Department of Health and Human Services,Maine,Departments,Department of Health and Human Services,,3,115055,0,0,2171,7279,100265,5339
10857,r348,Maine -> Departments -> Department of the Interior,Maine,Departments,Department of the Interior,,3,3441,2122,0,0,0,949,371
10857,r349,Maine -> Departments -> Department of Transportation,Maine,Departments,Department of Transportation,,3,1911,0,0,0,0,0,1911
10857,r350,Maine -> Departments -> Department of Veterans Affairs,Maine,Departments,Department of Veterans Affairs,,3,170,170,0,0,0,0,0
10857,r351,Maine -> Other agencies,Maine,Other agencies,,,2,,,,,,,
10857,r352,Maine -> Other agencies -> National Aeronautics and Space Administration,Maine,Other agencies,National Aeronautics and Space Administration,,3,10584,376,0,8048,1387,773,0
10857,r353,Maine -> Other agencies -> National Science Foundation,Maine,Other agencies,National Science Foundation,,3,34151,0,0,437,29032,4682,0
10857,r354,Maine -> Other agencies -> Nuclear Regulatory Commission,Maine,Other agencies,Nuclear Regulatory Commission,,3,51,0,0,51,0,0,0
10857,r355,Maryland,Maryland,,,,1,20258939,12684205,687893,3743892,2716237,405861,20850
10857,r356,Maryland -> Departments,Maryland,Departments,,,2,,,,,,,
10857,r357,Maryland -> Departments -> Department of Agriculture,Maryland,Departments,Department of Agriculture,,3,207627,186154,0,1348,19675,450,0
10857,r358,Maryland -> Departments -> Department of Commerce,Maryland,Departments,Department of Commerce,,3,1250090,1170990,13058,43976,20919,1147,0
10857,r359,Maryland -> Departments -> Department of Defense,Maryland,Departments,Department of Defense,,3,5472538,2707309,21007,1822024,635673,286011,514
10857,r360,Maryland -> Departments -> Department of Education,Maryland,Departments,Department of Education,,3,12263,0,0,4981,4520,2761,0
10857,r361,Maryland -> Departments -> Department of Energy,Maryland,Departments,Department of Energy,,3,101971,44357,0,32892,23680,94,949
10857,r362,Maryland -> Departments -> Department of Health and Human Services,Maryland,Departments,Department of Health and Human Services,,3,11012733,8468516,644439,655147,1143867,84569,16194
10857,r363,Maryland -> Departments -> Department of Homeland Security,Maryland,Departments,Department of Homeland Security,,3,21667,4055,9388,5190,2648,385,0
10857,r364,Maryland -> Departments -> Department of the Interior,Maryland,Departments,Department of the Interior,,3,44574,43353,0,516,308,141,255
10857,r365,Maryland -> Departments -> Department of Justice,Maryland,Departments,Department of Justice,,3,4640,830,0,1750,531,1529,0
10857,r366,Maryland -> Departments -> Department of Transportation,Maryland,Departments,Department of Transportation,,3,20872,4457,0,8531,1946,3000,2938
10857,r367,Maryland -> Departments -> Department of the Treasury,Maryland,Departments,Department of the Treasury,,3,1010,500,0,0,0,510,0
10857,r368,Maryland -> Departments -> Department of Veterans Affairs,Maryland,Departments,Department of Veterans Affairs,,3,30638,30638,0,0,0,0,0
10857,r369,Maryland -> Other agencies,Maryland,Other agencies,,,2,,,,,,,
10857,r370,Maryland -> Other agencies -> Agency for International Development,Maryland,Other agencies,Agency for International Development,,3,24818,4077,0,4700,0,16040,0
10857,r371,Maryland -> Other agencies -> Consumer Product Safety Commission,Maryland,Other agencies,Consumer Product Safety Commission,,3,165,165,0,0,0,0,0
10857,r372,Maryland -> Other agencies -> Environmental Protection Agency,Maryland,Other agencies,Environmental Protection Agency,,3,7419,0,0,5934,1486,0,0
10857,r373,Maryland -> Other agencies -> National Aeronautics and Space Administration,Maryland,Other agencies,National Aeronautics and Space Administration,,3,1668193,13149,0,922916,730257,1870,0
10857,r374,Maryland -> Other agencies -> National Science Foundation,Maryland,Other agencies,National Science Foundation,,3,372397,4113,0,230228,130703,7352,0
10857,r375,Maryland -> Other agencies -> Nuclear Regulatory Commission,Maryland,Other agencies,Nuclear Regulatory Commission,,3,3422,738,0,2684,0,0,0
10857,r376,Maryland -> Other agencies -> Social Security Administration,Maryland,Other agencies,Social Security Administration,,3,1901,803,0,1074,24,0,0
10857,r377,Massachusetts,Massachusetts,,,,1,8495312,644127,1353857,2237060,2122437,2131202,6629
10857,r378,Massachusetts -> Departments,Massachusetts,Departments,,,2,,,,,,,
10857,r379,Massachusetts -> Departments -> Department of Agriculture,Massachusetts,Departments,Department of Agriculture,,3,41794,9403,0,674,28635,3073,9
10857,r380,Massachusetts -> Departments -> Department of Commerce,Massachusetts,Departments,Department of Commerce,,3,42889,10551,0,11413,20503,412,10
10857,r381,Massachusetts -> Departments -> Department of Defense,Massachusetts,Departments,Department of Defense,,3,3441904,215730,1274305,1438062,361668,152138,0
10857,r382,Massachusetts -> Departments -> Department of Education,Massachusetts,Departments,Department of Education,,3,18597,0,0,250,6622,11409,317
10857,r383,Massachusetts -> Departments -> Department of Energy,Massachusetts,Departments,Department of Energy,,3,177511,2315,0,71312,94441,8585,858
10857,r384,Massachusetts -> Departments -> Department of Health and Human Services,Massachusetts,Departments,Department of Health and Human Services,,3,3638827,0,0,600396,1136152,1899560,2719
10857,r385,Massachusetts -> Departments -> Department of Homeland Security,Massachusetts,Departments,Department of Homeland Security,,3,39749,8530,2573,28646,0,0,0
10857,r386,Massachusetts -> Departments -> Department of the Interior,Massachusetts,Departments,Department of the Interior,,3,16677,14082,0,163,2035,113,284
10857,r387,Massachusetts -> Departments -> Department of Justice,Massachusetts,Departments,Department of Justice,,3,1632,0,0,595,1037,0,0
10857,r388,Massachusetts -> Departments -> Department of Transportation,Massachusetts,Departments,Department of Transportation,,3,216545,114529,76978,18566,3405,634,2433
10857,r389,Massachusetts -> Departments -> Department of Veterans Affairs,Massachusetts,Departments,Department of Veterans Affairs,,3,169031,169031,0,0,0,0,0
10857,r390,Massachusetts -> Other agencies,Massachusetts,Other agencies,,,2,,,,,,,
10857,r391,Massachusetts -> Other agencies -> Agency for International Development,Massachusetts,Other agencies,Agency for International Development,,3,4845,0,0,0,2750,2095,0
10857,r392,Massachusetts -> Other agencies -> Environmental Protection Agency,Massachusetts,Other agencies,Environmental Protection Agency,,3,19820,1789,0,6483,5098,6450,0
10857,r393,Massachusetts -> Other agencies -> National Aeronautics and Space Administration,Massachusetts,Other agencies,National Aeronautics and Space Administration,,3,202476,98167,0,29188,72104,3017,0
10857,r394,Massachusetts -> Other agencies -> National Science Foundation,Massachusetts,Other agencies,National Science Foundation,,3,459686,0,0,30970,386800,41916,0
10857,r395,Massachusetts -> Other agencies -> Nuclear Regulatory Commission,Massachusetts,Other agencies,Nuclear Regulatory Commission,,3,743,0,0,343,400,0,0
10857,r396,Massachusetts -> Other agencies -> Social Security Administration,Massachusetts,Other agencies,Social Security Administration,,3,2585,0,0,0,787,1799,0
10857,r397,Michigan,Michigan,,,,1,2389976,401393,0,499795,1304944,179807,4036
10857,r398,Michigan -> Departments,Michigan,Departments,,,2,,,,,,,
10857,r399,Michigan -> Departments -> Department of Agriculture,Michigan,Departments,Department of Agriculture,,3,29535,2036,0,1599,25787,0,113
10857,r400,Michigan -> Departments -> Department of Commerce,Michigan,Departments,Department of Commerce,,3,8417,879,0,200,7338,0,0
10857,r401,Michigan -> Departments -> Department of Defense,Michigan,Departments,Department of Defense,,3,930149,341922,0,386740,81991,119496,0
10857,r402,Michigan -> Departments -> Department of Education,Michigan,Departments,Department of Education,,3,8503,0,0,1000,6262,1242,0
10857,r403,Michigan -> Departments -> Department of Energy,Michigan,Departments,Department of Energy,,3,179997,0,0,42792,136490,715,0
10857,r404,Michigan -> Departments -> Department of Health and Human Services,Michigan,Departments,Department of Health and Human Services,,3,919445,218,0,48535,810979,58186,1527
10857,r405,Michigan -> Departments -> Department of Homeland Security,Michigan,Departments,Department of Homeland Security,,3,1370,0,0,1020,350,0,0
10857,r406,Michigan -> Departments -> Department of the Interior,Michigan,Departments,Department of the Interior,,3,11276,11230,0,0,46,0,0
10857,r407,Michigan -> Departments -> Department of Justice,Michigan,Departments,Department of Justice,,3,3018,0,0,0,3018,0,0
10857,r408,Michigan -> Departments -> Department of Transportation,Michigan,Departments,Department of Transportation,,3,9160,0,0,4740,2024,0,2395
10857,r409,Michigan -> Departments -> Department of Veterans Affairs,Michigan,Departments,Department of Veterans Affairs,,3,45091,45091,0,0,0,0,0
10857,r410,Michigan -> Other agencies,Michigan,Other agencies,,,2,,,,,,,
10857,r411,Michigan -> Other agencies -> Agency for International Development,Michigan,Other agencies,Agency for International Development,,3,8259,0,0,0,8259,0,0
10857,r412,Michigan -> Other agencies -> Environmental Protection Agency,Michigan,Other agencies,Environmental Protection Agency,,3,1724,0,0,378,1346,0,0
10857,r413,Michigan -> Other agencies -> National Aeronautics and Space Administration,Michigan,Other agencies,National Aeronautics and Space Administration,,3,45338,17,0,6692,38546,82,0.05
10857,r414,Michigan -> Other agencies -> National Science Foundation,Michigan,Other agencies,National Science Foundation,,3,187894,0,0,6099,181707,87,0
10857,r415,Michigan -> Other agencies -> Nuclear Regulatory Commission,Michigan,Other agencies,Nuclear Regulatory Commission,,3,632,0,0,0,632,0,0
10857,r416,Michigan -> Other agencies -> Social Security Administration,Michigan,Other agencies,Social Security Administration,,3,168,0,0,0,168,0,0
10857,r417,Minnesota,Minnesota,,,,1,1239047,73449,0,226291,598213,313761,27332
10857,r418,Minnesota -> Departments,Minnesota,Departments,,,2,,,,,,,
10857,r419,Minnesota -> Departments -> Department of Agriculture,Minnesota,Departments,Department of Agriculture,,3,51761,25410,0,1125,24250,0,976
10857,r420,Minnesota -> Departments -> Department of Commerce,Minnesota,Departments,Department of Commerce,,3,10244,0,0,8918,1326,0,0
10857,r421,Minnesota -> Departments -> Department of Defense,Minnesota,Departments,Department of Defense,,3,203777,3647,0,160244,27550,12336,0
10857,r422,Minnesota -> Departments -> Department of Education,Minnesota,Departments,Department of Education,,3,3830,0,0,0,3830,0,0
10857,r423,Minnesota -> Departments -> Department of Energy,Minnesota,Departments,Department of Energy,,3,29649,0,0,3801,19972,5876,0
10857,r424,Minnesota -> Departments -> Department of Health and Human Services,Minnesota,Departments,Department of Health and Human Services,,3,786531,0,0,39232,433927,292003,21369
10857,r425,Minnesota -> Departments -> Department of Homeland Security,Minnesota,Departments,Department of Homeland Security,,3,96,0,0,96,0,0,0
10857,r426,Minnesota -> Departments -> Department of the Interior,Minnesota,Departments,Department of the Interior,,3,9564,6007,0,0,3383,0,174
10857,r427,Minnesota -> Departments -> Department of Justice,Minnesota,Departments,Department of Justice,,3,475,0,0,0,0,475,0
10857,r428,Minnesota -> Departments -> Department of Transportation,Minnesota,Departments,Department of Transportation,,3,9326,0,0,4089,0,494,4743
10857,r429,Minnesota -> Departments -> Department of Veterans Affairs,Minnesota,Departments,Department of Veterans Affairs,,3,28299,28299,0,0,0,0,0
10857,r430,Minnesota -> Other agencies,Minnesota,Other agencies,,,2,,,,,,,
10857,r431,Minnesota -> Other agencies -> Agency for International Development,Minnesota,Other agencies,Agency for International Development,,3,608,0,0,608,0,0,0
10857,r432,Minnesota -> Other agencies -> Environmental Protection Agency,Minnesota,Other agencies,Environmental Protection Agency,,3,11155,10085,0,253,817,0,0
10857,r433,Minnesota -> Other agencies -> National Aeronautics and Space Administration,Minnesota,Other agencies,National Aeronautics and Space Administration,,3,9171,1,0,2176,6995,0,0
10857,r434,Minnesota -> Other agencies -> National Science Foundation,Minnesota,Other agencies,National Science Foundation,,3,84378,0,0,5716,76014,2577,70
10857,r435,Minnesota -> Other agencies -> Nuclear Regulatory Commission,Minnesota,Other agencies,Nuclear Regulatory Commission,,3,34,0,0,34,0,0,0
10857,r436,Minnesota -> Other agencies -> Social Security Administration,Minnesota,Other agencies,Social Security Administration,,3,150,0,0,0,150,0,0
10857,r437,Mississippi,Mississippi,,,,1,1149978,589504,0,385154,171928,30,3363
10857,r438,Mississippi -> Departments,Mississippi,Departments,,,2,,,,,,,
