table_id,row_id,field_sex_and_degree_full_path,field_sex_and_degree_level_1,field_sex_and_degree_level_2,field_sex_and_degree_level_3,field_sex_and_degree_level_4,field_sex_and_degree_level_5,field_sex_and_degree_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latinoa,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race,field_temporary_visa_holders
3238,r143,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Nuclear engineering,All S&E graduate students,All S&E master's students,Female ,Engineering,Nuclear engineering,5,48,6,0,2,1,0,27,1,2,9
3238,r144,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Petroleum engineering,All S&E graduate students,All S&E master's students,Female ,Engineering,Petroleum engineering,5,140,11,0,4,1,0,17,4,3,100
3238,r145,All S&E graduate students -> All S&E master's students -> Female  -> Engineering -> Engineering nec,All S&E graduate students,All S&E master's students,Female ,Engineering,Engineering nec,5,2024,112,3,152,141,3,825,42,54,692
3238,r146,All S&E graduate students -> All S&E master's students -> Male,All S&E graduate students,All S&E master's students,Male,,,3,188452,12849,427,13762,8888,192,68744,3758,6674,73158
3238,r147,All S&E graduate students -> All S&E master's students -> Male -> Science,All S&E graduate students,All S&E master's students,Male,Science,,4,118413,8748,332,8861,6954,158,46020,2640,4878,39822
3238,r148,All S&E graduate students -> All S&E master's students -> Male -> Science -> Agricultural sciences,All S&E graduate students,All S&E master's students,Male,Science,Agricultural sciences,5,2448,198,9,48,93,7,1471,56,69,497
3238,r149,All S&E graduate students -> All S&E master's students -> Male -> Science -> Biological and biomedical sciences,All S&E graduate students,All S&E master's students,Male,Science,Biological and biomedical sciences,5,13244,1279,36,1482,890,48,6690,413,712,1694
3238,r150,All S&E graduate students -> All S&E master's students -> Male -> Science -> Computer and information sciences,All S&E graduate students,All S&E master's students,Male,Science,Computer and information sciences,5,52896,2493,65,4785,2898,40,13915,844,1552,26304
3238,r151,"All S&E graduate students -> All S&E master's students -> Male -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,All S&E master's students,Male,Science,"Geosciences, atmospheric sciences, and ocean sciences",5,3083,224,18,82,73,4,2170,78,117,317
3238,r152,All S&E graduate students -> All S&E master's students -> Male -> Science -> Mathematics and statistics,All S&E graduate students,All S&E master's students,Male,Science,Mathematics and statistics,5,10212,609,21,764,256,3,3167,158,361,4873
3238,r153,All S&E graduate students -> All S&E master's students -> Male -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,All S&E master's students,Male,Science,Multidisciplinary and interdisciplinary studies,5,3442,272,11,305,219,5,1483,93,107,947
3238,r154,All S&E graduate students -> All S&E master's students -> Male -> Science -> Natural resources and conservation,All S&E graduate students,All S&E master's students,Male,Science,Natural resources and conservation,5,3388,262,33,92,97,8,2319,91,152,334
3238,r155,All S&E graduate students -> All S&E master's students -> Male -> Science -> Physical sciences,All S&E graduate students,All S&E master's students,Male,Science,Physical sciences,5,3749,380,13,211,142,6,1639,109,137,1112
3238,r156,All S&E graduate students -> All S&E master's students -> Male -> Science -> Psychology,All S&E graduate students,All S&E master's students,Male,Science,Psychology,5,7252,1091,29,340,753,13,3851,272,579,324
3238,r157,All S&E graduate students -> All S&E master's students -> Male -> Science -> Social sciences,All S&E graduate students,All S&E master's students,Male,Science,Social sciences,5,18699,1940,97,752,1533,24,9315,526,1092,3420
3238,r158,All S&E graduate students -> All S&E master's students -> Male -> Engineering,All S&E graduate students,All S&E master's students,Male,Engineering,,4,70039,4101,95,4901,1934,34,22724,1118,1796,33336
3238,r159,"All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,All S&E master's students,Male,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,2760,225,6,225,48,2,1488,96,63,607
3238,r160,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Agricultural engineering,All S&E graduate students,All S&E master's students,Male,Engineering,Agricultural engineering,5,235,9,0,14,2,0,122,8,6,74
3238,r161,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,All S&E master's students,Male,Engineering,Bioengineering and biomedical engineering,5,2327,180,2,345,79,2,867,53,65,734
3238,r162,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Biological and biosystems engineering,All S&E graduate students,All S&E master's students,Male,Engineering,Biological and biosystems engineering,5,50,2,0,2,0,0,33,3,2,8
3238,r163,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Chemical engineering,All S&E graduate students,All S&E master's students,Male,Engineering,Chemical engineering,5,2100,87,0,161,44,0,569,32,56,1151
3238,r164,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Civil engineering,All S&E graduate students,All S&E master's students,Male,Engineering,Civil engineering,5,8727,729,23,550,238,8,3111,143,199,3726
3238,r165,"All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,All S&E master's students,Male,Engineering,"Electrical, electronics, and communications engineering",5,21363,1030,18,1498,493,11,4654,274,507,12878
3238,r166,"All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,All S&E master's students,Male,Engineering,"Engineering mechanics, physics, and science",5,564,22,1,31,17,0,253,11,43,186
3238,r167,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,All S&E master's students,Male,Engineering,Industrial and manufacturing engineering,5,9072,501,9,634,296,4,2710,109,304,4505
3238,r168,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Mechanical engineering,All S&E graduate students,All S&E master's students,Male,Engineering,Mechanical engineering,5,13171,798,17,833,233,3,4708,204,296,6079
3238,r169,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,All S&E master's students,Male,Engineering,Metallurgical and materials engineering,5,1437,71,4,88,35,0,473,24,26,716
3238,r170,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Mining engineering,All S&E graduate students,All S&E master's students,Male,Engineering,Mining engineering,5,233,11,1,2,13,1,133,3,5,64
3238,r171,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Nanotechnology,All S&E graduate students,All S&E master's students,Male,Engineering,Nanotechnology,5,35,6,0,6,1,0,13,3,1,5
3238,r172,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Nuclear engineering,All S&E graduate students,All S&E master's students,Male,Engineering,Nuclear engineering,5,359,29,0,14,6,0,218,6,9,77
3238,r173,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Petroleum engineering,All S&E graduate students,All S&E master's students,Male,Engineering,Petroleum engineering,5,614,29,1,32,12,0,149,8,13,370
3238,r174,All S&E graduate students -> All S&E master's students -> Male -> Engineering -> Engineering nec,All S&E graduate students,All S&E master's students,Male,Engineering,Engineering nec,5,6992,372,13,466,417,3,3223,141,201,2156
3238,r175,All S&E graduate students -> All S&E doctoral students,All S&E graduate students,All S&E doctoral students,,,,2,261165,15194,651,15597,8701,211,102108,5372,7351,105980
3238,r176,All S&E graduate students -> All S&E doctoral students -> Science,All S&E graduate students,All S&E doctoral students,Science,,,3,190928,12691,580,11492,7284,181,83654,4431,5915,64700
3238,r177,All S&E graduate students -> All S&E doctoral students -> Science -> Agricultural sciences,All S&E graduate students,All S&E doctoral students,Science,Agricultural sciences,,4,3880,144,12,101,106,3,1559,51,59,1845
3238,r178,All S&E graduate students -> All S&E doctoral students -> Science -> Biological and biomedical sciences,All S&E graduate students,All S&E doctoral students,Science,Biological and biomedical sciences,,4,52627,4123,157,4497,2096,69,25467,1357,1672,13189
3238,r179,All S&E graduate students -> All S&E doctoral students -> Science -> Computer and information sciences,All S&E graduate students,All S&E doctoral students,Science,Computer and information sciences,,4,16127,374,12,902,388,12,3629,218,415,10177
3238,r180,"All S&E graduate students -> All S&E doctoral students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,All S&E doctoral students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,4,6704,377,21,218,100,0,3426,183,230,2149
3238,r181,All S&E graduate students -> All S&E doctoral students -> Science -> Mathematics and statistics,All S&E graduate students,All S&E doctoral students,Science,Mathematics and statistics,,4,13388,520,14,763,215,3,4557,232,363,6721
3238,r182,All S&E graduate students -> All S&E doctoral students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,All S&E doctoral students,Science,Multidisciplinary and interdisciplinary studies,,4,2924,184,9,192,155,5,1433,66,98,782
3238,r183,All S&E graduate students -> All S&E doctoral students -> Science -> Natural resources and conservation,All S&E graduate students,All S&E doctoral students,Science,Natural resources and conservation,,4,3716,231,24,120,145,1,1947,94,196,958
3238,r184,All S&E graduate students -> All S&E doctoral students -> Science -> Physical sciences,All S&E graduate students,All S&E doctoral students,Science,Physical sciences,,4,36000,1928,54,1899,680,13,15134,692,888,14712
3238,r185,All S&E graduate students -> All S&E doctoral students -> Science -> Psychology,All S&E graduate students,All S&E doctoral students,Science,Psychology,,4,20303,2514,99,1206,1442,33,11666,730,766,1847
3238,r186,All S&E graduate students -> All S&E doctoral students -> Science -> Social sciences,All S&E graduate students,All S&E doctoral students,Science,Social sciences,,4,35259,2296,178,1594,1957,42,14836,808,1228,12320
3238,r187,All S&E graduate students -> All S&E doctoral students -> Engineering,All S&E graduate students,All S&E doctoral students,Engineering,,,3,70237,2503,71,4105,1417,30,18454,941,1436,41280
3238,r188,"All S&E graduate students -> All S&E doctoral students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,All S&E doctoral students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,4,2506,109,7,140,35,0,975,53,54,1133
3238,r189,All S&E graduate students -> All S&E doctoral students -> Engineering -> Agricultural engineering,All S&E graduate students,All S&E doctoral students,Engineering,Agricultural engineering,,4,661,19,1,28,18,1,155,14,9,416
3238,r190,All S&E graduate students -> All S&E doctoral students -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,All S&E doctoral students,Engineering,Bioengineering and biomedical engineering,,4,7278,480,8,961,226,11,2876,195,226,2295
3238,r191,All S&E graduate students -> All S&E doctoral students -> Engineering -> Biological and biosystems engineering,All S&E graduate students,All S&E doctoral students,Engineering,Biological and biosystems engineering,,4,203,6,0,3,3,1,66,4,4,116
3238,r192,All S&E graduate students -> All S&E doctoral students -> Engineering -> Chemical engineering,All S&E graduate students,All S&E doctoral students,Engineering,Chemical engineering,,4,6950,241,8,512,127,2,2247,109,132,3572
3238,r193,All S&E graduate students -> All S&E doctoral students -> Engineering -> Civil engineering,All S&E graduate students,All S&E doctoral students,Engineering,Civil engineering,,4,7732,267,7,233,138,4,1612,81,140,5250
3238,r194,"All S&E graduate students -> All S&E doctoral students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,All S&E doctoral students,Engineering,"Electrical, electronics, and communications engineering",,4,18119,387,6,942,295,0,3041,132,309,13007
3238,r195,"All S&E graduate students -> All S&E doctoral students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,All S&E doctoral students,Engineering,"Engineering mechanics, physics, and science",,4,1428,44,3,100,27,1,408,20,24,801
3238,r196,All S&E graduate students -> All S&E doctoral students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,All S&E doctoral students,Engineering,Industrial and manufacturing engineering,,4,3598,83,4,148,120,3,722,25,90,2403
3238,r197,All S&E graduate students -> All S&E doctoral students -> Engineering -> Mechanical engineering,All S&E graduate students,All S&E doctoral students,Engineering,Mechanical engineering,,4,11159,416,14,526,186,1,2979,145,233,6659
3238,r198,All S&E graduate students -> All S&E doctoral students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,All S&E doctoral students,Engineering,Metallurgical and materials engineering,,4,4610,226,7,282,87,2,1481,83,57,2385
3238,r199,All S&E graduate students -> All S&E doctoral students -> Engineering -> Mining engineering,All S&E graduate students,All S&E doctoral students,Engineering,Mining engineering,,4,211,7,0,3,3,0,87,3,2,106
3238,r200,All S&E graduate students -> All S&E doctoral students -> Engineering -> Nanotechnology,All S&E graduate students,All S&E doctoral students,Engineering,Nanotechnology,,4,71,2,0,5,0,0,26,1,3,34
3238,r201,All S&E graduate students -> All S&E doctoral students -> Engineering -> Nuclear engineering,All S&E graduate students,All S&E doctoral students,Engineering,Nuclear engineering,,4,1046,59,2,37,15,0,525,19,29,360
3238,r202,All S&E graduate students -> All S&E doctoral students -> Engineering -> Petroleum engineering,All S&E graduate students,All S&E doctoral students,Engineering,Petroleum engineering,,4,649,6,0,13,13,0,56,3,16,542
3238,r203,All S&E graduate students -> All S&E doctoral students -> Engineering -> Engineering nec,All S&E graduate students,All S&E doctoral students,Engineering,Engineering nec,,4,4016,151,4,172,124,4,1198,54,108,2201
3238,r204,All S&E graduate students -> All S&E doctoral students -> Female ,All S&E graduate students,All S&E doctoral students,Female ,,,3,108249,7581,359,7234,4963,120,45800,2737,3224,36231
3238,r205,All S&E graduate students -> All S&E doctoral students -> Female  -> Science,All S&E graduate students,All S&E doctoral students,Female ,Science,,4,89908,6838,335,5915,4446,108,40935,2404,2827,26100
3238,r206,All S&E graduate students -> All S&E doctoral students -> Female  -> Science -> Agricultural sciences,All S&E graduate students,All S&E doctoral students,Female ,Science,Agricultural sciences,5,1980,77,7,65,58,1,835,26,36,875
3238,r207,All S&E graduate students -> All S&E doctoral students -> Female  -> Science -> Biological and biomedical sciences,All S&E graduate students,All S&E doctoral students,Female ,Science,Biological and biomedical sciences,5,28708,2249,88,2452,1357,38,13765,781,891,7087
3238,r208,All S&E graduate students -> All S&E doctoral students -> Female  -> Science -> Computer and information sciences,All S&E graduate students,All S&E doctoral students,Female ,Science,Computer and information sciences,5,4112,83,5,263,133,7,850,53,112,2606
3238,r209,"All S&E graduate students -> All S&E doctoral students -> Female  -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,All S&E doctoral students,Female ,Science,"Geosciences, atmospheric sciences, and ocean sciences",5,3067,211,11,124,53,0,1664,119,108,777
3238,r210,All S&E graduate students -> All S&E doctoral students -> Female  -> Science -> Mathematics and statistics,All S&E graduate students,All S&E doctoral students,Female ,Science,Mathematics and statistics,5,3906,133,4,237,66,2,1204,55,80,2125
3238,r211,All S&E graduate students -> All S&E doctoral students -> Female  -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,All S&E doctoral students,Female ,Science,Multidisciplinary and interdisciplinary studies,5,1504,96,5,107,95,2,737,41,48,373
3238,r212,All S&E graduate students -> All S&E doctoral students -> Female  -> Science -> Natural resources and conservation,All S&E graduate students,All S&E doctoral students,Female ,Science,Natural resources and conservation,5,1953,137,18,77,90,0,1030,59,111,431
3238,r213,All S&E graduate students -> All S&E doctoral students -> Female  -> Science -> Physical sciences,All S&E graduate students,All S&E doctoral students,Female ,Science,Physical sciences,5,11886,688,15,748,283,7,4770,239,266,4870
3238,r214,All S&E graduate students -> All S&E doctoral students -> Female  -> Science -> Psychology,All S&E graduate students,All S&E doctoral students,Female ,Science,Psychology,5,14640,1838,68,905,1073,27,8336,538,549,1306
3238,r215,All S&E graduate students -> All S&E doctoral students -> Female  -> Science -> Social sciences,All S&E graduate students,All S&E doctoral students,Female ,Science,Social sciences,5,18152,1326,114,937,1238,24,7744,493,626,5650
3238,r216,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering,All S&E graduate students,All S&E doctoral students,Female ,Engineering,,4,18341,743,24,1319,517,12,4865,333,397,10131
3238,r217,"All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,All S&E doctoral students,Female ,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,401,17,1,20,9,0,145,8,15,186
3238,r218,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Agricultural engineering,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Agricultural engineering,5,265,7,1,8,9,1,71,5,6,157
3238,r219,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Bioengineering and biomedical engineering,5,3040,224,6,396,108,2,1174,94,83,953
3238,r220,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Biological and biosystems engineering,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Biological and biosystems engineering,5,76,4,0,0,3,1,26,2,1,39
3238,r221,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Chemical engineering,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Chemical engineering,5,2213,81,3,194,47,1,612,35,41,1199
3238,r222,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Civil engineering,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Civil engineering,5,2528,117,1,95,57,1,662,40,56,1499
3238,r223,"All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,All S&E doctoral students,Female ,Engineering,"Electrical, electronics, and communications engineering",5,3393,53,1,220,62,0,413,29,64,2551
3238,r224,"All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,All S&E doctoral students,Female ,Engineering,"Engineering mechanics, physics, and science",5,355,12,3,35,8,1,100,7,9,180
3238,r225,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Industrial and manufacturing engineering,5,1085,27,1,51,53,2,180,14,28,729
3238,r226,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Mechanical engineering,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Mechanical engineering,5,2052,76,1,133,56,0,574,43,39,1130
3238,r227,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Metallurgical and materials engineering,5,1425,70,3,108,35,1,443,33,18,714
3238,r228,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Mining engineering,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Mining engineering,5,47,1,0,1,1,0,17,0,0,27
3238,r229,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Nanotechnology,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Nanotechnology,5,22,1,0,0,0,0,4,0,1,16
3238,r230,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Nuclear engineering,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Nuclear engineering,5,206,14,0,5,8,0,87,4,5,83
3238,r231,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Petroleum engineering,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Petroleum engineering,5,132,1,0,3,4,0,13,0,4,107
3238,r232,All S&E graduate students -> All S&E doctoral students -> Female  -> Engineering -> Engineering nec,All S&E graduate students,All S&E doctoral students,Female ,Engineering,Engineering nec,5,1101,38,3,50,57,2,344,19,27,561
3238,r233,All S&E graduate students -> All S&E doctoral students -> Male,All S&E graduate students,All S&E doctoral students,Male,,,3,152916,7613,292,8363,3738,91,56308,2635,4127,69749
3238,r234,All S&E graduate students -> All S&E doctoral students -> Male -> Science,All S&E graduate students,All S&E doctoral students,Male,Science,,4,101020,5853,245,5577,2838,73,42719,2027,3088,38600
3238,r235,All S&E graduate students -> All S&E doctoral students -> Male -> Science -> Agricultural sciences,All S&E graduate students,All S&E doctoral students,Male,Science,Agricultural sciences,5,1900,67,5,36,48,2,724,25,23,970
3238,r236,All S&E graduate students -> All S&E doctoral students -> Male -> Science -> Biological and biomedical sciences,All S&E graduate students,All S&E doctoral students,Male,Science,Biological and biomedical sciences,5,23919,1874,69,2045,739,31,11702,576,781,6102
3238,r237,All S&E graduate students -> All S&E doctoral students -> Male -> Science -> Computer and information sciences,All S&E graduate students,All S&E doctoral students,Male,Science,Computer and information sciences,5,12015,291,7,639,255,5,2779,165,303,7571
3238,r238,"All S&E graduate students -> All S&E doctoral students -> Male -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,All S&E doctoral students,Male,Science,"Geosciences, atmospheric sciences, and ocean sciences",5,3637,166,10,94,47,0,1762,64,122,1372
3238,r239,All S&E graduate students -> All S&E doctoral students -> Male -> Science -> Mathematics and statistics,All S&E graduate students,All S&E doctoral students,Male,Science,Mathematics and statistics,5,9482,387,10,526,149,1,3353,177,283,4596
3238,r240,All S&E graduate students -> All S&E doctoral students -> Male -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,All S&E doctoral students,Male,Science,Multidisciplinary and interdisciplinary studies,5,1420,88,4,85,60,3,696,25,50,409
3238,r241,All S&E graduate students -> All S&E doctoral students -> Male -> Science -> Natural resources and conservation,All S&E graduate students,All S&E doctoral students,Male,Science,Natural resources and conservation,5,1763,94,6,43,55,1,917,35,85,527
3238,r242,All S&E graduate students -> All S&E doctoral students -> Male -> Science -> Physical sciences,All S&E graduate students,All S&E doctoral students,Male,Science,Physical sciences,5,24114,1240,39,1151,397,6,10364,453,622,9842
3238,r243,All S&E graduate students -> All S&E doctoral students -> Male -> Science -> Psychology,All S&E graduate students,All S&E doctoral students,Male,Science,Psychology,5,5663,676,31,301,369,6,3330,192,217,541
3238,r244,All S&E graduate students -> All S&E doctoral students -> Male -> Science -> Social sciences,All S&E graduate students,All S&E doctoral students,Male,Science,Social sciences,5,17107,970,64,657,719,18,7092,315,602,6670
3238,r245,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering,All S&E graduate students,All S&E doctoral students,Male,Engineering,,4,51896,1760,47,2786,900,18,13589,608,1039,31149
3238,r246,"All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,All S&E doctoral students,Male,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,2105,92,6,120,26,0,830,45,39,947
3238,r247,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Agricultural engineering,All S&E graduate students,All S&E doctoral students,Male,Engineering,Agricultural engineering,5,396,12,0,20,9,0,84,9,3,259
3238,r248,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,All S&E doctoral students,Male,Engineering,Bioengineering and biomedical engineering,5,4238,256,2,565,118,9,1702,101,143,1342
3238,r249,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Biological and biosystems engineering,All S&E graduate students,All S&E doctoral students,Male,Engineering,Biological and biosystems engineering,5,127,2,0,3,0,0,40,2,3,77
3238,r250,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Chemical engineering,All S&E graduate students,All S&E doctoral students,Male,Engineering,Chemical engineering,5,4737,160,5,318,80,1,1635,74,91,2373
3238,r251,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Civil engineering,All S&E graduate students,All S&E doctoral students,Male,Engineering,Civil engineering,5,5204,150,6,138,81,3,950,41,84,3751
3238,r252,"All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,All S&E doctoral students,Male,Engineering,"Electrical, electronics, and communications engineering",5,14726,334,5,722,233,0,2628,103,245,10456
3238,r253,"All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,All S&E doctoral students,Male,Engineering,"Engineering mechanics, physics, and science",5,1073,32,0,65,19,0,308,13,15,621
3238,r254,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,All S&E doctoral students,Male,Engineering,Industrial and manufacturing engineering,5,2513,56,3,97,67,1,542,11,62,1674
3238,r255,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Mechanical engineering,All S&E graduate students,All S&E doctoral students,Male,Engineering,Mechanical engineering,5,9107,340,13,393,130,1,2405,102,194,5529
3238,r256,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,All S&E doctoral students,Male,Engineering,Metallurgical and materials engineering,5,3185,156,4,174,52,1,1038,50,39,1671
3238,r257,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Mining engineering,All S&E graduate students,All S&E doctoral students,Male,Engineering,Mining engineering,5,164,6,0,2,2,0,70,3,2,79
3238,r258,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Nanotechnology,All S&E graduate students,All S&E doctoral students,Male,Engineering,Nanotechnology,5,49,1,0,5,0,0,22,1,2,18
3238,r259,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Nuclear engineering,All S&E graduate students,All S&E doctoral students,Male,Engineering,Nuclear engineering,5,840,45,2,32,7,0,438,15,24,277
3238,r260,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Petroleum engineering,All S&E graduate students,All S&E doctoral students,Male,Engineering,Petroleum engineering,5,517,5,0,10,9,0,43,3,12,435
3238,r261,All S&E graduate students -> All S&E doctoral students -> Male -> Engineering -> Engineering nec,All S&E graduate students,All S&E doctoral students,Male,Engineering,Engineering nec,5,2915,113,1,122,67,2,854,35,81,1640
