table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_4_employees,field_5_9_employees,field_10_19_employees,field_20_49_employees,field_50_99_employees,field_100_249_employees,field_250_499_employees,field_500_999_employees,field_1_000_4_999_employees,field_5_000_9_999_employees,field_10_000_24_999_employees,field_25_000_or_more_employees
7471,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets <br>  (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets <br>  (except copyrighted works),,4,533,"['15,006,925', '&nbsp;']","['740,953', '&nbsp;']","['410,642', '&nbsp;']","['614,865', 'r']","['1,700,432', 'r']","['1,796,703', 'r']","['776,830', '&nbsp;']","['370,371', '&nbsp;']","['788,383', '&nbsp;']","['7,807,745', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7471,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['687,726,005', '&nbsp;']","['111,879,045', '&nbsp;']","['55,377,191', '&nbsp;']","['40,516,296', '&nbsp;']","['97,223,360', '&nbsp;']","['115,181,384', 'r']","['29,345,311', '&nbsp;']","['27,114,879', '&nbsp;']","['50,604,938', '&nbsp;']","['56,969,440', '&nbsp;']","['11,628,212', '&nbsp;']","['62,764,459', '&nbsp;']","['29,121,489', '&nbsp;']"
7471,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['1,962,907,332', '&nbsp;']","['210,311,002', '&nbsp;']","['166,735,597', '&nbsp;']","['154,491,260', '&nbsp;']","['227,640,144', '&nbsp;']","['196,741,732', '&nbsp;']","['215,024,520', '&nbsp;']","['169,011,205', '&nbsp;']","['95,859,808', '&nbsp;']","['197,895,472', '&nbsp;']","['71,080,631', '&nbsp;']","['125,896,044', '&nbsp;']","['132,219,919', '&nbsp;']"
7471,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['347,457,158', '&nbsp;']","['34,047,499', '&nbsp;']","['25,415,743', '&nbsp;']","['26,896,112', '&nbsp;']","['43,193,436', '&nbsp;']","['52,191,215', 'r']","['79,308,590', 'r']","['19,357,812', '&nbsp;']","['18,206,499', '&nbsp;']","['48,840,252', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7471,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['300,127,584', '&nbsp;']","['42,233,953', '&nbsp;']","['39,163,777', '&nbsp;']","['22,776,471', '&nbsp;']","['23,166,502', '&nbsp;']","['6,012,512', '&nbsp;']","['6,784,087', '&nbsp;']","['75,816,303', 'r']","['14,178,898', '&nbsp;']","['17,918,351', '&nbsp;']","['5,713,659', '&nbsp;']","['2,928,657', '&nbsp;']","['43,434,415', '&nbsp;']"
7471,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['281,873,491', '&nbsp;']","['19,674,852', '&nbsp;']","['26,203,882', '&nbsp;']","['18,940,995', '&nbsp;']","['32,381,998', '&nbsp;']","['23,791,812', '&nbsp;']","['27,350,611', '&nbsp;']","['17,004,739', '&nbsp;']","['15,566,193', '&nbsp;']","['27,059,952', '&nbsp;']","['23,097,437', '&nbsp;']","['17,542,029', '&nbsp;']","['33,258,991', '&nbsp;']"
7471,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['45,091,822', '&nbsp;']","['13,086,502', '&nbsp;']","['7,535,400', 'r']","['3,536,458', '&nbsp;']","['3,503,232', '&nbsp;']","['17,028,340', 'r']","['270,265', 'r']","['26,184', '&nbsp;']","['105,440', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7471,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['335,582,354', '&nbsp;']","['28,263,711', '&nbsp;']","['16,291,756', '&nbsp;']","['19,182,115', '&nbsp;']","['47,959,743', '&nbsp;']","['23,136,180', '&nbsp;']","['43,684,047', '&nbsp;']","['17,521,266', '&nbsp;']","['13,154,253', '&nbsp;']","['36,079,724', '&nbsp;']","['17,348,834', '&nbsp;']","['36,326,740', '&nbsp;']","['36,633,985', '&nbsp;']"
7471,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['231,857,843', '&nbsp;']","['48,869,666', '&nbsp;']","['25,789,328', '&nbsp;']","['25,278,508', '&nbsp;']","['36,764,321', '&nbsp;']","['14,468,718', '&nbsp;']","['19,891,383', '&nbsp;']","['12,065,032', '&nbsp;']","['11,504,282', '&nbsp;']","['16,589,681', '&nbsp;']","['3,789,146', '&nbsp;']","['4,452,399', '&nbsp;']","['12,395,379', '&nbsp;']"
7471,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['191,686,895', '&nbsp;']","['3,274,991', '&nbsp;']","['4,390,032', '&nbsp;']","['5,417,815', '&nbsp;']","['9,138,867', '&nbsp;']","['16,741,944', '&nbsp;']","['24,517,236', '&nbsp;']","['14,565,098', '&nbsp;']","['18,318,295', '&nbsp;']","['30,677,275', '&nbsp;']","['9,084,696', '&nbsp;']","['49,063,497', '&nbsp;']","['6,497,149', '&nbsp;']"
7471,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['81,633,179', '&nbsp;']","['8,255,000', '&nbsp;']","['6,865,383', '&nbsp;']","['5,291,798', '&nbsp;']","['13,712,696', '&nbsp;']","['5,856,677', '&nbsp;']","['6,597,746', '&nbsp;']","['4,847,631', '&nbsp;']","['2,566,357', '&nbsp;']","['15,656,465', '&nbsp;']","['42,876', '&nbsp;']","['11,940,549', '&nbsp;']","['0', '&nbsp;']"
7471,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['147,597,005', '&nbsp;']","['12,604,828', '&nbsp;']","['15,080,296', '&nbsp;']","['27,170,988', '&nbsp;']","['17,819,349', '&nbsp;']","['37,514,333', 'r']","['6,620,556', 'r']","['7,807,141', 'r']","['2,259,590', '&nbsp;']","['5,073,771', '&nbsp;']","['12,003,982', '&nbsp;']","['3,642,172', '&nbsp;']","['0', '&nbsp;']"
7471,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['20,358,122', '&nbsp;']","['4,617,584', 'r']","['429,213', 'r']","['890,735', 'r']","['7,455,852', 'r']","['9,054', 'i']","['283,380', 'r']","['6,602,105', 'r']","['70,199', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7471,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['4,672,495,143', '&nbsp;']","['125,254,804', '&nbsp;']","['116,112,929', '&nbsp;']","['170,464,609', '&nbsp;']","['359,041,944', '&nbsp;']","['309,922,616', '&nbsp;']","['742,483,269', '&nbsp;']","['318,641,701', 'r']","['687,167,236', 'r']","['488,033,367', '&nbsp;']","['229,871,393', '&nbsp;']","['275,283,305', '&nbsp;']","['850,217,969', '&nbsp;']"
7471,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['235,784,643', '&nbsp;']","['14,271,171', '&nbsp;']","['45,241,177', '&nbsp;']","['62,033,451', '&nbsp;']","['73,358,278', '&nbsp;']","['4,510,055', '&nbsp;']","['1,998,744', 'r']","['8,537,015', 'r']","['2,386,097', '&nbsp;']","['12,404,861', '&nbsp;']","['1,393,943', '&nbsp;']","['3,147,975', '&nbsp;']","['6,501,875', '&nbsp;']"
7471,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['4,244,185,492', '&nbsp;']","['148,100,192', '&nbsp;']","['209,317,727', '&nbsp;']","['331,280,938', '&nbsp;']","['603,969,753', '&nbsp;']","['522,373,415', '&nbsp;']","['1,062,395,845', '&nbsp;']","['199,913,042', '&nbsp;']","['200,735,890', '&nbsp;']","['384,403,845', '&nbsp;']","['51,809,042', '&nbsp;']","['380,706,042', '&nbsp;']","['149,179,762', '&nbsp;']"
7471,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['2,778,028,563', '&nbsp;']","['116,963,197', '&nbsp;']","['157,712,232', '&nbsp;']","['208,674,366', '&nbsp;']","['275,756,125', '&nbsp;']","['441,345,457', '&nbsp;']","['695,252,961', '&nbsp;']","['69,126,362', '&nbsp;']","['106,874,880', '&nbsp;']","['162,484,808', '&nbsp;']","['18,290,717', '&nbsp;']","['379,987,211', '&nbsp;']","['145,560,247', '&nbsp;']"
7471,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['1,466,156,929', '&nbsp;']","['31,136,995', '&nbsp;']","['51,605,496', '&nbsp;']","['122,606,571', '&nbsp;']","['328,213,628', '&nbsp;']","['81,027,958', 'r']","['367,142,884', '&nbsp;']","['130,786,680', 'r']","['93,861,010', '&nbsp;']","['221,919,036', '&nbsp;']","['33,518,324', '&nbsp;']","['718,831', '&nbsp;']","['3,619,515', '&nbsp;']"
7471,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['657,390,095', '&nbsp;']","['36,836,317', '&nbsp;']","['21,499,110', '&nbsp;']","['74,828,265', '&nbsp;']","['145,836,759', '&nbsp;']","['38,772,831', 'r']","['168,196,433', 'r']","['76,533,813', 'r']","['8,716,626', '&nbsp;']","['63,265,195', '&nbsp;']","['4,922,163', '&nbsp;']","['11,108,797', '&nbsp;']","['6,873,785', '&nbsp;']"
7471,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['6,920,642,724', '&nbsp;']","['87,314,604', 'i']","['226,875,291', '&nbsp;']","['655,343,814', '&nbsp;']","['1,928,980,919', '&nbsp;']","['1,452,674,585', '&nbsp;']","['1,549,963,610', '&nbsp;']","['253,181,805', 'r']","['87,055,631', '&nbsp;']","['502,824,475', '&nbsp;']","['36,368,874', '&nbsp;']","['53,704,259', '&nbsp;']","['86,354,858', '&nbsp;']"
7471,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['659,792,656', '&nbsp;']","['133,978,695', '&nbsp;']","['138,538,968', '&nbsp;']","['131,374,197', '&nbsp;']","['151,422,324', '&nbsp;']","['40,623,793', 'r']","['16,343,655', '&nbsp;']","['11,302,122', 'r']","['5,778,426', '&nbsp;']","['14,828,142', '&nbsp;']","['8,055,992', '&nbsp;']","['6,529,667', '&nbsp;']","['1,016,675', '&nbsp;']"
