table_id,row_id,state_and_department_or_agency_full_path,state_and_department_or_agency_level_1,state_and_department_or_agency_level_2,state_and_department_or_agency_level_3,state_and_department_or_agency_hierarchy_depth,field_r_d_performersa_all,field_r_d_performersa_intramural,field_r_d_performersa_extramural,field_r_d_plant
2465,r180,"United States<sup>b</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>b</sup>,Massachusetts,"Environmental Protection, Department of ",3,288925,223238,65687,0
2465,r181,"United States<sup>b</sup> -> Massachusetts -> Fish and Game, Department of ",United States<sup>b</sup>,Massachusetts,"Fish and Game, Department of ",3,8550000,8050000,500000,0
2465,r182,United States<sup>b</sup> -> Massachusetts -> Gaming Commission,United States<sup>b</sup>,Massachusetts,Gaming Commission,3,2125000,0,2125000,0
2465,r183,United States<sup>b</sup> -> Massachusetts -> Life Sciences Center,United States<sup>b</sup>,Massachusetts,Life Sciences Center,3,1000000,0,1000000,0
2465,r184,United States<sup>b</sup> -> Massachusetts -> Massventures,United States<sup>b</sup>,Massachusetts,Massventures,3,3300000,0,3300000,0
2465,r185,"United States<sup>b</sup> -> Massachusetts -> Mental Health, Department of",United States<sup>b</sup>,Massachusetts,"Mental Health, Department of",3,1300000,0,1300000,0
2465,r186,"United States<sup>b</sup> -> Massachusetts -> Public Health, Department of ",United States<sup>b</sup>,Massachusetts,"Public Health, Department of ",3,2237267,0,2237267,0
2465,r187,"United States<sup>b</sup> -> Massachusetts -> Transportation, Department of",United States<sup>b</sup>,Massachusetts,"Transportation, Department of",3,4425000,425000,4000000,0
2465,r188,United States<sup>b</sup> -> Massachusetts -> Water Resources Authority,United States<sup>b</sup>,Massachusetts,Water Resources Authority,3,200000,100000,100000,0
2465,r189,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,,2,8023318,336227,7687091,0
2465,r190,"United States<sup>b</sup> -> Michigan -> Agriculture and Rural Development, Department of",United States<sup>b</sup>,Michigan,"Agriculture and Rural Development, Department of",3,1246732,0,1246732,0
2465,r191,"United States<sup>b</sup> -> Michigan -> Environmental, Great Lakes and Energy, Department of",United States<sup>b</sup>,Michigan,"Environmental, Great Lakes and Energy, Department of",3,639875,336227,303648,0
2465,r192,United States<sup>b</sup> -> Michigan -> Health and Human Services,United States<sup>b</sup>,Michigan,Health and Human Services,3,88488,0,88488,0
2465,r193,"United States<sup>b</sup> -> Michigan -> Natural Resources, Department of",United States<sup>b</sup>,Michigan,"Natural Resources, Department of",3,916023,0,916023,0
2465,r194,"United States<sup>b</sup> -> Michigan -> Transportation, Department of",United States<sup>b</sup>,Michigan,"Transportation, Department of",3,5132200,0,5132200,0
2465,r195,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,,2,20150907,2027757,18123150,0
2465,r196,"United States<sup>b</sup> -> Minnesota -> Agriculture, Department of",United States<sup>b</sup>,Minnesota,"Agriculture, Department of",3,6177224,520093,5657131,0
2465,r197,United States<sup>b</sup> -> Minnesota -> Forest Resources Council,United States<sup>b</sup>,Minnesota,Forest Resources Council,3,140000,30000,110000,0
2465,r198,"United States<sup>b</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>b</sup>,Minnesota,"Natural Resources, Department of",3,1462164,1462164,0,0
2465,r199,United States<sup>b</sup> -> Minnesota -> Pollution Control Agency,United States<sup>b</sup>,Minnesota,Pollution Control Agency,3,100277,0,100277,0
2465,r200,"United States<sup>b</sup> -> Minnesota -> Transportation, Department of",United States<sup>b</sup>,Minnesota,"Transportation, Department of",3,12271242,15500,12255742,0
2465,r201,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,,2,12170278,1755759,10414519,0
2465,r202,"United States<sup>b</sup> -> Mississippi -> Agriculture and Commerce, Department of ",United States<sup>b</sup>,Mississippi,"Agriculture and Commerce, Department of ",3,97454,0,97454,0
2465,r203,"United States<sup>b</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>b</sup>,Mississippi,"Environmental Quality, Department of",3,1157390,83910,1073480,0
2465,r204,United States<sup>b</sup> -> Mississippi -> Gulf States Marine Fisheries Commission,United States<sup>b</sup>,Mississippi,Gulf States Marine Fisheries Commission,3,661034,0,661034,0
2465,r205,"United States<sup>b</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>b</sup>,Mississippi,"Marine Resources, Department of",3,2141085,224205,1916880,0
2465,r206,"United States<sup>b</sup> -> Mississippi -> Transportation, Department of",United States<sup>b</sup>,Mississippi,"Transportation, Department of",3,5991596,462995,5528601,0
2465,r207,"United States<sup>b</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>b</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,2121719,984649,1137070,0
2465,r208,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,,2,15055845,8242424,6813421,0
2465,r209,"United States<sup>b</sup> -> Missouri -> Agriculture, Department of",United States<sup>b</sup>,Missouri,"Agriculture, Department of",3,79966,0,79966,0
2465,r210,"United States<sup>b</sup> -> Missouri -> Conservation, Department of",United States<sup>b</sup>,Missouri,"Conservation, Department of",3,11163017,8200487,2962530,0
2465,r211,United States<sup>b</sup> -> Missouri -> Health and Senior Services,United States<sup>b</sup>,Missouri,Health and Senior Services,3,28760,28760,0,0
2465,r212,"United States<sup>b</sup> -> Missouri -> Natural Resources, Department of",United States<sup>b</sup>,Missouri,"Natural Resources, Department of",3,792133,13177,778956,0
2465,r213,United States<sup>b</sup> -> Missouri -> Technology Corporation,United States<sup>b</sup>,Missouri,Technology Corporation,3,615000,0,615000,0
2465,r214,"United States<sup>b</sup> -> Missouri -> Transportation, Department of",United States<sup>b</sup>,Missouri,"Transportation, Department of",3,1430194,0,1430194,0
2465,r215,United States<sup>b</sup> -> Missouri -> Wine and Grape Board,United States<sup>b</sup>,Missouri,Wine and Grape Board,3,946775,0,946775,0
2465,r216,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,,2,8794140,2993604,5800536,5794
2465,r217,"United States<sup>b</sup> -> Montana -> Agriculture, Department of",United States<sup>b</sup>,Montana,"Agriculture, Department of",3,3132570,0,3132570,0
2465,r218,"United States<sup>b</sup> -> Montana -> Environmental Quality, Department of",United States<sup>b</sup>,Montana,"Environmental Quality, Department of",3,153592,98756,54836,0
2465,r219,"United States<sup>b</sup> -> Montana -> Fish, Wildlife and Parks",United States<sup>b</sup>,Montana,"Fish, Wildlife and Parks",3,3833321,2740906,1092415,0
2465,r220,"United States<sup>b</sup> -> Montana -> Natural Resources and Conservation, Department of",United States<sup>b</sup>,Montana,"Natural Resources and Conservation, Department of",3,59620,59620,0,0
2465,r221,"United States<sup>b</sup> -> Montana -> Research and Commercialization, Board of",United States<sup>b</sup>,Montana,"Research and Commercialization, Board of",3,794510,0,794510,0
2465,r222,"United States<sup>b</sup> -> Montana -> Transportation, Department of",United States<sup>b</sup>,Montana,"Transportation, Department of",3,820527,94322,726205,5794
2465,r223,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,,2,28167688,770104,27397584,0
2465,r224,"United States<sup>b</sup> -> Nebraska -> Agriculture, Department of",United States<sup>b</sup>,Nebraska,"Agriculture, Department of",3,1193067,752988,440079,0
2465,r225,United States<sup>b</sup> -> Nebraska -> Corn Board,United States<sup>b</sup>,Nebraska,Corn Board,3,1107026,0,1107026,0
2465,r226,United States<sup>b</sup> -> Nebraska -> Dry Bean Commission,United States<sup>b</sup>,Nebraska,Dry Bean Commission,3,192000,0,192000,0
2465,r227,"United States<sup>b</sup> -> Nebraska -> Economic Development, Department of",United States<sup>b</sup>,Nebraska,"Economic Development, Department of",3,1111752,0,1111752,0
2465,r228,United States<sup>b</sup> -> Nebraska -> Game and Parks Commission,United States<sup>b</sup>,Nebraska,Game and Parks Commission,3,2857952,5000,2852952,0
2465,r229,United States<sup>b</sup> -> Nebraska -> Grain Sorghum Board,United States<sup>b</sup>,Nebraska,Grain Sorghum Board,3,15000,0,15000,0
2465,r230,United States<sup>b</sup> -> Nebraska -> Health and Human Services,United States<sup>b</sup>,Nebraska,Health and Human Services,3,18562794,0,18562794,0
2465,r231,"United States<sup>b</sup> -> Nebraska -> Natural Resources, Department of",United States<sup>b</sup>,Nebraska,"Natural Resources, Department of",3,1346572,12116,1334456,0
2465,r232,"United States<sup>b</sup> -> Nebraska -> Transportation, Department of",United States<sup>b</sup>,Nebraska,"Transportation, Department of",3,1453039,0,1453039,0
2465,r233,United States<sup>b</sup> -> Nebraska -> Wheat Board,United States<sup>b</sup>,Nebraska,Wheat Board,3,328486,0,328486,0
2465,r234,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,,2,7871899,184774,7687125,0
2465,r235,"United States<sup>b</sup> -> Nevada -> Agriculture, Department of",United States<sup>b</sup>,Nevada,"Agriculture, Department of",3,184774,184774,0,0
2465,r236,"United States<sup>b</sup> -> Nevada -> Economic Development, Governor's office of",United States<sup>b</sup>,Nevada,"Economic Development, Governor's office of",3,6584759,0,6584759,0
2465,r237,"United States<sup>b</sup> -> Nevada -> Transportation, Department of",United States<sup>b</sup>,Nevada,"Transportation, Department of",3,1102366,0,1102366,0
2465,r238,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,,2,8432696,131672,8301024,0
2465,r239,"United States<sup>b</sup> -> New Hampshire -> Agriculture, Markets and Food, Department of",United States<sup>b</sup>,New Hampshire,"Agriculture, Markets and Food, Department of",3,154699,0,154699,0
2465,r240,United States<sup>b</sup> -> New Hampshire -> Business and Economic Affairs,United States<sup>b</sup>,New Hampshire,Business and Economic Affairs,3,7275000,0,7275000,0
2465,r241,"United States<sup>b</sup> -> New Hampshire -> Natural & Cultural Resources, Department of",United States<sup>b</sup>,New Hampshire,"Natural & Cultural Resources, Department of",3,61465,0,61465,0
2465,r242,"United States<sup>b</sup> -> New Hampshire -> Transportation, Department of",United States<sup>b</sup>,New Hampshire,"Transportation, Department of",3,941532,131672,809860,0
2465,r243,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,,2,23886758,2796233,21090525,0
2465,r244,"United States<sup>b</sup> -> New Jersey -> Community Affairs, Department of ",United States<sup>b</sup>,New Jersey,"Community Affairs, Department of ",3,310000,75000,235000,0
2465,r245,"United States<sup>b</sup> -> New Jersey -> Corrections, Department of",United States<sup>b</sup>,New Jersey,"Corrections, Department of",3,301979,301979,0,0
2465,r246,"United States<sup>b</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>b</sup>,New Jersey,"Environmental Protection, Department of",3,2474000,1772000,702000,0
2465,r247,"United States<sup>b</sup> -> New Jersey -> Health, Department of",United States<sup>b</sup>,New Jersey,"Health, Department of",3,1936431,0,1936431,0
2465,r248,United States<sup>b</sup> -> New Jersey -> Pinelands Commission,United States<sup>b</sup>,New Jersey,Pinelands Commission,3,647254,647254,0,0
2465,r249,"United States<sup>b</sup> -> New Jersey -> Research Initiatives, Office of",United States<sup>b</sup>,New Jersey,"Research Initiatives, Office of",3,13000000,0,13000000,0
2465,r250,"United States<sup>b</sup> -> New Jersey -> Secretary of Higher Education, Office of",United States<sup>b</sup>,New Jersey,"Secretary of Higher Education, Office of",3,2500000,0,2500000,0
2465,r251,"United States<sup>b</sup> -> New Jersey -> Transit, New Jersey",United States<sup>b</sup>,New Jersey,"Transit, New Jersey",3,103000,0,103000,0
2465,r252,"United States<sup>b</sup> -> New Jersey -> Transportation, Department of",United States<sup>b</sup>,New Jersey,"Transportation, Department of",3,2614094,0,2614094,0
2465,r253,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,,2,3585944,900212,2685732,0
2465,r254,"United States<sup>b</sup> -> New Mexico -> Cultural Affairs, Department of",United States<sup>b</sup>,New Mexico,"Cultural Affairs, Department of",3,17000,17000,0,0
2465,r255,"United States<sup>b</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>b</sup>,New Mexico,"Game and Fish, Department of",3,1000000,500000,500000,0
2465,r256,"United States<sup>b</sup> -> New Mexico -> Transportation, Department of",United States<sup>b</sup>,New Mexico,"Transportation, Department of",3,1659400,383212,1276188,0
2465,r257,United States<sup>b</sup> -> New Mexico -> Western State Air Resources Council,United States<sup>b</sup>,New Mexico,Western State Air Resources Council,3,909544,0,909544,0
2465,r258,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,,2,448501735,276773893,171727842,250000
2465,r259,"United States<sup>b</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>b</sup>,New York,"Agriculture and Markets, Department of ",3,9864543,1965000,7899543,0
2465,r260,"United States<sup>b</sup> -> New York -> Economic Development, Department of",United States<sup>b</sup>,New York,"Economic Development, Department of",3,39780251,0,39780251,0
2465,r261,United States<sup>b</sup> -> New York -> Energy Research and Development Authority,United States<sup>b</sup>,New York,Energy Research and Development Authority,3,53546621,7889945,45656676,0
2465,r262,"United States<sup>b</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>b</sup>,New York,"Environmental Conservation, Department of ",3,8942166,4306743,4635423,0
2465,r263,"United States<sup>b</sup> -> New York -> Health, Department of ",United States<sup>b</sup>,New York,"Health, Department of ",3,82781352,34197760,48583592,0
2465,r264,"United States<sup>b</sup> -> New York -> Mental Health, Office of ",United States<sup>b</sup>,New York,"Mental Health, Office of ",3,156275133,139961648,16313485,250000
2465,r265,"United States<sup>b</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>b</sup>,New York,"People with Developmental Disabilities, Office of",3,1849940,1849940,0,0
2465,r266,United States<sup>b</sup> -> New York -> Power Authority,United States<sup>b</sup>,New York,Power Authority,3,8707710,3913638,4794072,0
2465,r267,United States<sup>b</sup> -> New York -> Roswell Park Cancer Institute,United States<sup>b</sup>,New York,Roswell Park Cancer Institute,3,71920211,71920211,0,0
2465,r268,United States<sup>b</sup> -> New York -> State Museum,United States<sup>b</sup>,New York,State Museum,3,10022519,9124024,898495,0
2465,r269,United States<sup>b</sup> -> New York -> Thoroughbred Breeding and Development Fund Corp.,United States<sup>b</sup>,New York,Thoroughbred Breeding and Development Fund Corp.,3,388449,0,388449,0
2465,r270,"United States<sup>b</sup> -> New York -> Transportation, Department of ",United States<sup>b</sup>,New York,"Transportation, Department of ",3,4422840,1644984,2777856,0
2465,r271,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,,2,32754090,18400435,14353655,1000000
2465,r272,"United States<sup>b</sup> -> North Carolina -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,North Carolina,"Agriculture and Consumer Services, Department of",3,15422911,13922911,1500000,1000000
2465,r273,"United States<sup>b</sup> -> North Carolina -> Environmental Quality, Department of",United States<sup>b</sup>,North Carolina,"Environmental Quality, Department of",3,3460387,1158611,2301776,0
2465,r274,"United States<sup>b</sup> -> North Carolina -> Golden Leaf, The",United States<sup>b</sup>,North Carolina,"Golden Leaf, The",3,65000,0,65000,0
2465,r275,"United States<sup>b</sup> -> North Carolina -> Natural and Cultural Resources, Department of",United States<sup>b</sup>,North Carolina,"Natural and Cultural Resources, Department of",3,3473399,2605710,867689,0
2465,r276,"United States<sup>b</sup> -> North Carolina -> Science, Technology & Innovation, Board of",United States<sup>b</sup>,North Carolina,"Science, Technology & Innovation, Board of",3,1201990,0,1201990,0
2465,r277,"United States<sup>b</sup> -> North Carolina -> Transportation, Department of",United States<sup>b</sup>,North Carolina,"Transportation, Department of",3,9010403,713203,8297200,0
2465,r278,United States<sup>b</sup> -> North Carolina -> Wine and Grape Growers Council,United States<sup>b</sup>,North Carolina,Wine and Grape Growers Council,3,120000,0,120000,0
2465,r279,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,,2,12140358,421989,11718369,0
2465,r280,"United States<sup>b</sup> -> North Dakota -> Agriculture, Department of",United States<sup>b</sup>,North Dakota,"Agriculture, Department of",3,299153,0,299153,0
2465,r281,United States<sup>b</sup> -> North Dakota -> Dairy Promotion Commission,United States<sup>b</sup>,North Dakota,Dairy Promotion Commission,3,155170,0,155170,0
2465,r282,United States<sup>b</sup> -> North Dakota -> Dry Pea and Lentil Commission,United States<sup>b</sup>,North Dakota,Dry Pea and Lentil Commission,3,135023,0,135023,0
2465,r283,"United States<sup>b</sup> -> North Dakota -> Game and Fish, Department of",United States<sup>b</sup>,North Dakota,"Game and Fish, Department of",3,1375151,0,1375151,0
2465,r284,United States<sup>b</sup> -> North Dakota -> Industrial Commission,United States<sup>b</sup>,North Dakota,Industrial Commission,3,6226265,344482,5881783,0
2465,r285,United States<sup>b</sup> -> North Dakota -> Soybean Council,United States<sup>b</sup>,North Dakota,Soybean Council,3,1573679,0,1573679,0
2465,r286,"United States<sup>b</sup> -> North Dakota -> Transportation, Department of",United States<sup>b</sup>,North Dakota,"Transportation, Department of",3,1279171,77507,1201664,0
2465,r287,United States<sup>b</sup> -> North Dakota -> Wheat Commission,United States<sup>b</sup>,North Dakota,Wheat Commission,3,1096746,0,1096746,0
2465,r288,United States<sup>b</sup> -> Ohio,United States<sup>b</sup>,Ohio,,2,97758379,18343328,79415051,0
2465,r289,United States<sup>b</sup> -> Ohio -> Development Services Agency,United States<sup>b</sup>,Ohio,Development Services Agency,3,85774800,17610002,68164798,0
2465,r290,"United States<sup>b</sup> -> Ohio -> Education, Department of",United States<sup>b</sup>,Ohio,"Education, Department of",3,615000,0,615000,0
2465,r291,United States<sup>b</sup> -> Ohio -> Environmental Protection Agency,United States<sup>b</sup>,Ohio,Environmental Protection Agency,3,20174,0,20174,0
2465,r292,"United States<sup>b</sup> -> Ohio -> Natural Resources, Department of",United States<sup>b</sup>,Ohio,"Natural Resources, Department of",3,2940286,733326,2206960,0
2465,r293,"United States<sup>b</sup> -> Ohio -> Transportation, Department of",United States<sup>b</sup>,Ohio,"Transportation, Department of",3,6886442,0,6886442,0
2465,r294,United States<sup>b</sup> -> Ohio -> Water Development Authority,United States<sup>b</sup>,Ohio,Water Development Authority,3,1521677,0,1521677,0
2465,r295,United States<sup>b</sup> -> Oklahoma,United States<sup>b</sup>,Oklahoma,,2,29607888,1685458,27922430,109876
2465,r296,"United States<sup>b</sup> -> Oklahoma -> Advancement of Science and Technology, Center for the ",United States<sup>b</sup>,Oklahoma,"Advancement of Science and Technology, Center for the ",3,5753552,0,5753552,109876
2465,r297,"United States<sup>b</sup> -> Oklahoma -> Agriculture, Food, and Forestry, Department of",United States<sup>b</sup>,Oklahoma,"Agriculture, Food, and Forestry, Department of",3,634804,0,634804,0
2465,r298,"United States<sup>b</sup> -> Oklahoma -> Environmental Quality, Department of",United States<sup>b</sup>,Oklahoma,"Environmental Quality, Department of",3,80399,0,80399,0
2465,r299,"United States<sup>b</sup> -> Oklahoma -> Health, Department of",United States<sup>b</sup>,Oklahoma,"Health, Department of",3,608140,608140,0,0
2465,r300,"United States<sup>b</sup> -> Oklahoma -> Human Services, Department of",United States<sup>b</sup>,Oklahoma,"Human Services, Department of",3,134244,134244,0,0
2465,r301,United States<sup>b</sup> -> Oklahoma -> Tobacco Settlement Endowment Trust,United States<sup>b</sup>,Oklahoma,Tobacco Settlement Endowment Trust,3,12300000,0,12300000,0
2465,r302,"United States<sup>b</sup> -> Oklahoma -> Transportation, Department of",United States<sup>b</sup>,Oklahoma,"Transportation, Department of",3,6511466,943074,5568392,0
2465,r303,"United States<sup>b</sup> -> Oklahoma -> Wildlife Conservation, Department of",United States<sup>b</sup>,Oklahoma,"Wildlife Conservation, Department of",3,3585283,0,3585283,0
2465,r304,United States<sup>b</sup> -> Oregon,United States<sup>b</sup>,Oregon,,2,44222659,24761784,19460875,2000000
2465,r305,"United States<sup>b</sup> -> Oregon -> Agriculture, Department of",United States<sup>b</sup>,Oregon,"Agriculture, Department of",3,388762,0,388762,0
2465,r306,United States<sup>b</sup> -> Oregon -> Business Oregon,United States<sup>b</sup>,Oregon,Business Oregon,3,14800000,0,14800000,2000000
2465,r307,"United States<sup>b</sup> -> Oregon -> Education, Department of",United States<sup>b</sup>,Oregon,"Education, Department of",3,657595,657595,0,0
2465,r308,"United States<sup>b</sup> -> Oregon -> Environmental Quality, Department of",United States<sup>b</sup>,Oregon,"Environmental Quality, Department of",3,458000,41000,417000,0
2465,r309,"United States<sup>b</sup> -> Oregon -> Fish and Wildlife, Department of",United States<sup>b</sup>,Oregon,"Fish and Wildlife, Department of",3,14235414,12974798,1260616,0
2465,r310,"United States<sup>b</sup> -> Oregon -> Forestry, Department of",United States<sup>b</sup>,Oregon,"Forestry, Department of",3,522777,383592,139185,0
2465,r311,"United States<sup>b</sup> -> Oregon -> Geology and Mineral Industries, Department of",United States<sup>b</sup>,Oregon,"Geology and Mineral Industries, Department of",3,814431,814431,0,0
2465,r312,"United States<sup>b</sup> -> Oregon -> Human Services, Department of",United States<sup>b</sup>,Oregon,"Human Services, Department of",3,5535728,5535728,0,0
2465,r313,"United States<sup>b</sup> -> Oregon -> Transportation, Department of",United States<sup>b</sup>,Oregon,"Transportation, Department of",3,5090034,3901901,1188133,0
2465,r314,United States<sup>b</sup> -> Oregon -> Water Resources Department,United States<sup>b</sup>,Oregon,Water Resources Department,3,810484,435331,375153,0
2465,r315,United States<sup>b</sup> -> Oregon -> Watershed Enhancement Board,United States<sup>b</sup>,Oregon,Watershed Enhancement Board,3,909434,17408,892026,0
2465,r316,United States<sup>b</sup> -> Pennsylvania,United States<sup>b</sup>,Pennsylvania,,2,85050999,8579205,76471794,10000
2465,r317,"United States<sup>b</sup> -> Pennsylvania -> Agriculture, Department of",United States<sup>b</sup>,Pennsylvania,"Agriculture, Department of",3,2187000,0,2187000,0
2465,r318,"United States<sup>b</sup> -> Pennsylvania -> Community and Economic Development, Department of",United States<sup>b</sup>,Pennsylvania,"Community and Economic Development, Department of",3,21600000,0,21600000,0
2465,r319,"United States<sup>b</sup> -> Pennsylvania -> Conservation and Natural Resources, Department of",United States<sup>b</sup>,Pennsylvania,"Conservation and Natural Resources, Department of",3,42124,42124,0,0
2465,r320,"United States<sup>b</sup> -> Pennsylvania -> Environmental Protection, Department of",United States<sup>b</sup>,Pennsylvania,"Environmental Protection, Department of",3,1445473,50000,1395473,10000
2465,r321,United States<sup>b</sup> -> Pennsylvania -> Fish and Boat Commission,United States<sup>b</sup>,Pennsylvania,Fish and Boat Commission,3,131845,93639,38206,0
2465,r322,United States<sup>b</sup> -> Pennsylvania -> Game Commission,United States<sup>b</sup>,Pennsylvania,Game Commission,3,9287658,7796543,1491115,0
2465,r323,"United States<sup>b</sup> -> Pennsylvania -> Health, Department of",United States<sup>b</sup>,Pennsylvania,"Health, Department of",3,46293000,0,46293000,0
2465,r324,United States<sup>b</sup> -> Pennsylvania -> Susquehanna River Basin Commission,United States<sup>b</sup>,Pennsylvania,Susquehanna River Basin Commission,3,150000,130000,20000,0
2465,r325,"United States<sup>b</sup> -> Pennsylvania -> Transportation, Department of",United States<sup>b</sup>,Pennsylvania,"Transportation, Department of",3,3913899,466899,3447000,0
2465,r326,United States<sup>b</sup> -> Rhode Island,United States<sup>b</sup>,Rhode Island,,2,5512380,2767111,2745269,0
2465,r327,United States<sup>b</sup> -> Rhode Island -> Commerce Corporation,United States<sup>b</sup>,Rhode Island,Commerce Corporation,3,1203652,0,1203652,0
2465,r328,"United States<sup>b</sup> -> Rhode Island -> Environmental Management, Department of",United States<sup>b</sup>,Rhode Island,"Environmental Management, Department of",3,3028728,2667111,361617,0
2465,r329,"United States<sup>b</sup> -> Rhode Island -> Transportation, Department of",United States<sup>b</sup>,Rhode Island,"Transportation, Department of",3,1225000,100000,1125000,0
2465,r330,United States<sup>b</sup> -> Rhode Island -> Water Resources Board,United States<sup>b</sup>,Rhode Island,Water Resources Board,3,55000,0,55000,0
2465,r331,United States<sup>b</sup> -> South Carolina,United States<sup>b</sup>,South Carolina,,2,46983243,28876294,18106949,430650
2465,r332,"United States<sup>b</sup> -> South Carolina -> Agriculture, Department of",United States<sup>b</sup>,South Carolina,"Agriculture, Department of",3,1035394,0,1035394,0
2465,r333,"United States<sup>b</sup> -> South Carolina -> Disabilities and Special Needs, Department of",United States<sup>b</sup>,South Carolina,"Disabilities and Special Needs, Department of",3,12226376,0,12226376,430650
2465,r334,"United States<sup>b</sup> -> South Carolina -> Health and Environmental Control, Department of",United States<sup>b</sup>,South Carolina,"Health and Environmental Control, Department of",3,1585652,1331451,254201,0
2465,r335,"United States<sup>b</sup> -> South Carolina -> Mental Health, Department of",United States<sup>b</sup>,South Carolina,"Mental Health, Department of",3,100884,0,100884,0
2465,r336,"United States<sup>b</sup> -> South Carolina -> Natural Resources, Department of",United States<sup>b</sup>,South Carolina,"Natural Resources, Department of",3,26062760,25807753,255007,0
2465,r337,United States<sup>b</sup> -> South Carolina -> Public Service Authority,United States<sup>b</sup>,South Carolina,Public Service Authority,3,30000,0,30000,0
2465,r338,United States<sup>b</sup> -> South Carolina -> Research Authority,United States<sup>b</sup>,South Carolina,Research Authority,3,1401205,0,1401205,0
2465,r339,United States<sup>b</sup> -> South Carolina -> Sea Grant Consortium,United States<sup>b</sup>,South Carolina,Sea Grant Consortium,3,2381593,1687833,693760,0
2465,r340,"United States<sup>b</sup> -> South Carolina -> Transportation, Department of",United States<sup>b</sup>,South Carolina,"Transportation, Department of",3,2159379,49257,2110122,0
2465,r341,United States<sup>b</sup> -> South Dakota,United States<sup>b</sup>,South Dakota,,2,2953214,361072,2592142,115000
2465,r342,United States<sup>b</sup> -> South Dakota -> Corn Utilization Council,United States<sup>b</sup>,South Dakota,Corn Utilization Council,3,250000,0,250000,0
2465,r343,United States<sup>b</sup> -> South Dakota -> Oilseeds Council,United States<sup>b</sup>,South Dakota,Oilseeds Council,3,216845,0,216845,0
2465,r344,United States<sup>b</sup> -> South Dakota -> Pulse Crop Council,United States<sup>b</sup>,South Dakota,Pulse Crop Council,3,13352,0,13352,0
2465,r345,United States<sup>b</sup> -> South Dakota -> Science and Technology Authority,United States<sup>b</sup>,South Dakota,Science and Technology Authority,3,39853,0,39853,0
2465,r346,United States<sup>b</sup> -> South Dakota -> Soybean Research and Promotion Council,United States<sup>b</sup>,South Dakota,Soybean Research and Promotion Council,3,718122,12965,705157,0
2465,r347,"United States<sup>b</sup> -> South Dakota -> Transportation, Department of",United States<sup>b</sup>,South Dakota,"Transportation, Department of",3,1222798,348107,874691,0
2465,r348,United States<sup>b</sup> -> South Dakota -> Weed and Pest Control Commission,United States<sup>b</sup>,South Dakota,Weed and Pest Control Commission,3,45314,0,45314,0
2465,r349,United States<sup>b</sup> -> South Dakota -> Wheat Commission,United States<sup>b</sup>,South Dakota,Wheat Commission,3,446930,0,446930,115000
2465,r350,United States<sup>b</sup> -> Tennessee,United States<sup>b</sup>,Tennessee,,2,7439395,1710689,5728706,0
2465,r351,"United States<sup>b</sup> -> Tennessee -> Education, Department of",United States<sup>b</sup>,Tennessee,"Education, Department of",3,3319120,1168921,2150199,0
2465,r352,"United States<sup>b</sup> -> Tennessee -> Environment and Conservation, Department of",United States<sup>b</sup>,Tennessee,"Environment and Conservation, Department of",3,843184,372341,470843,0
2465,r353,United States<sup>b</sup> -> Tennessee -> Geological Survey,United States<sup>b</sup>,Tennessee,Geological Survey,3,169427,169427,0,0
2465,r354,"United States<sup>b</sup> -> Tennessee -> Transportation, Department of",United States<sup>b</sup>,Tennessee,"Transportation, Department of",3,3107664,0,3107664,0
2465,r355,United States<sup>b</sup> -> Texas,United States<sup>b</sup>,Texas,,2,233030466,3855855,229174611,25
2465,r356,"United States<sup>b</sup> -> Texas -> Agriculture, Department of",United States<sup>b</sup>,Texas,"Agriculture, Department of",3,1229300,0,1229300,0
2465,r357,United States<sup>b</sup> -> Texas -> Alzheimer's Research and Care Consortium (TARCC),United States<sup>b</sup>,Texas,Alzheimer's Research and Care Consortium (TARCC),3,3204342,0,3204342,0
