table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_applications_total,field_applications_nonprovisional_utility_patents_total,field_applications_nonprovisional_utility_patents_to_foreign_jurisdictionsa,field_applications_nonprovisional_utility_patents_from_within_organized_r_d_activityb,field_patents_issuedc
8859,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['9,111', '&nbsp;']","['8,438', '&nbsp;']","['1,939', '&nbsp;']","['4,874', '&nbsp;']","['12,239', '&nbsp;']"
8859,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['3,954', '&nbsp;']","['2,332', '&nbsp;']","['1,124', '&nbsp;']","['2,015', '&nbsp;']","['1,474', '&nbsp;']"
8859,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in nanotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in nanotechnology,5,541713,"['122', 'i']","['110', 'i']","['66', 'i']","['107', 'i']","['21', 'i']"
8859,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),5,541714,"['779', '&nbsp;']","['434', '&nbsp;']","['261', '&nbsp;']","['330', '&nbsp;']","['261', '&nbsp;']"
8859,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",5,541715,"['3,039', '&nbsp;']","['1,774', '&nbsp;']","['797', '&nbsp;']","['1,562', '&nbsp;']","['1,192', '&nbsp;']"
8859,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['14', '&nbsp;']","['14', 'i']","['0', '&nbsp;']","['14', 'i']","['0', '&nbsp;']"
8859,r071,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['835', '&nbsp;']","['570', '&nbsp;']","['135', '&nbsp;']","['526', '&nbsp;']","['294', '&nbsp;']"
8859,r072,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['141', '&nbsp;']","['94', '&nbsp;']","['46', '&nbsp;']","['48', '&nbsp;']","['69', '&nbsp;']"
8859,r073,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['232', '&nbsp;']","['160', '&nbsp;']","['48', '&nbsp;']","['127', '&nbsp;']","['167', '&nbsp;']"
8859,r074,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['163,300', '&nbsp;']","['112,959', '&nbsp;']","['53,553', '&nbsp;']","['89,324', '&nbsp;']","['116,651', '&nbsp;']"
8859,r075,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
8859,r076,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>d</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>d</sup>,,,3,–,"['3,448', '&nbsp;']","['1,814', '&nbsp;']","['795', '&nbsp;']","['1,519', '&nbsp;']","['1,255', '&nbsp;']"
8859,r077,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['6,345', '&nbsp;']","['3,708', '&nbsp;']","['1,741', '&nbsp;']","['3,133', '&nbsp;']","['2,309', '&nbsp;']"
8859,r078,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
8859,r079,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['5,924', '&nbsp;']","['3,354', '&nbsp;']","['1,727', '&nbsp;']","['2,892', '&nbsp;']","['1,992', '&nbsp;']"
8859,r080,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['7,482', '&nbsp;']","['4,075', '&nbsp;']","['2,262', '&nbsp;']","['3,674', '&nbsp;']","['3,747', '&nbsp;']"
8859,r081,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
8859,r082,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['5,127', '&nbsp;']","['3,472', '&nbsp;']","['1,727', '&nbsp;']","['3,098', '&nbsp;']","['2,974', '&nbsp;']"
8859,r083,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['6,402', '&nbsp;']","['3,856', '&nbsp;']","['2,537', '&nbsp;']","['3,547', '&nbsp;']","['3,574', '&nbsp;']"
8859,r084,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['24,107', '&nbsp;']","['16,319', '&nbsp;']","['8,004', '&nbsp;']","['13,602', '&nbsp;']","['14,994', '&nbsp;']"
8859,r085,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['14,908', '&nbsp;']","['9,992', '&nbsp;']","['5,666', '&nbsp;']","['8,019', '&nbsp;']","['11,362', '&nbsp;']"
8859,r086,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['34,978', '&nbsp;']","['23,467', '&nbsp;']","['13,844', '&nbsp;']","['21,708', '&nbsp;']","['22,471', '&nbsp;']"
8859,r087,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['54,579', '&nbsp;']","['42,904', '&nbsp;']","['15,250', '&nbsp;']","['28,132', '&nbsp;']","['51,975', '&nbsp;']"
