table_id,row_id,citizenship_field_race_and_ethnicity_full_path,citizenship_field_race_and_ethnicity_level_1,citizenship_field_race_and_ethnicity_level_2,citizenship_field_race_and_ethnicity_level_3,citizenship_field_race_and_ethnicity_level_4,citizenship_field_race_and_ethnicity_level_5,citizenship_field_race_and_ethnicity_level_6,citizenship_field_race_and_ethnicity_level_7,citizenship_field_race_and_ethnicity_level_8,citizenship_field_race_and_ethnicity_level_9,citizenship_field_race_and_ethnicity_level_10,citizenship_field_race_and_ethnicity_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1567,r066,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Mathematics and computer sciences -> Mathematics and statistics","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Mathematics and computer sciences,Mathematics and statistics,,,8,588,525,438,513,508,540,583,645,671,788,863,849,852,912,948,900,982,982
1567,r067,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Medical and other health sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Medical and other health sciences,,,,7,1955,2121,2796,2876,3865,5284,6416,7688,7408,7193,3536,3696,3835,3991,4392,4667,5078,5440
1567,r068,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Medical and other health sciences -> Medical sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Medical and other health sciences,Medical sciences,,,8,615,582,568,577,655,735,816,862,910,848,1142,1108,1248,1393,1656,1945,2090,2319
1567,r069,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Medical and other health sciences -> Other health sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Medical and other health sciences,Other health sciences,,,8,1340,1539,2228,2299,3210,4549,5600,6826,6498,6345,2394,2588,2587,2598,2736,2722,2988,3121
1567,r070,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Physical sciences,,,,7,2148,2156,2044,2060,1969,2036,2183,2266,2307,2486,2489,2652,2709,2774,2823,2974,3016,3015
1567,r071,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Astronomy","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Physical sciences,Astronomy,,,8,76,78,53,79,75,73,73,89,117,98,119,108,124,120,131,118,124,140
1567,r072,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Chemistry","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Physical sciences,Chemistry,,,8,1336,1383,1355,1374,1321,1366,1461,1464,1414,1586,1542,1592,1584,1653,1703,1787,1806,1838
1567,r073,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Physics","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Physical sciences,Physics,,,8,708,677,604,591,562,585,635,696,754,781,808,928,985,970,951,1028,1041,1004
1567,r074,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Other physical sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Natural sciences,Physical sciences,Other physical sciences,,,8,28,18,32,16,11,12,14,17,22,21,20,24,16,31,38,41,45,33
1567,r075,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Social and behavioral sciences","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Social and behavioral sciences,,,,,6,6966,7138,6801,6729,6917,7000,6963,7173,7166,6680,6362,6969,7055,7540,8001,8139,7929,7904
1567,r076,"All citizenships, races, and ethnicities -> U.S. citizen or permanent resident -> All fields -> S&E -> Science -> Social and behavioral sciences -> Psychology","All citizenships, races, and ethnicities",U.S. citizen or permanent resident,All fields,S&E,Science,Social and behavioral sciences,Psychology,,,,7,4042,4381,4042,4059,4191,4452,4230,4450,4359,3770,3334,3694,3616,4017,4320,4261,4292,4217
