table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_employed_scientists_and_engineers,field_highest_degree_in_s_e_all_s_e_highest_degree,field_highest_degree_in_s_e_computer_and_mathematical_sciences,field_highest_degree_in_s_e_biological_agricultural_and_environmental_life_sciences,field_highest_degree_in_s_e_physical_and_related_sciences,field_highest_degree_in_s_e_social_and_related_sciences,field_highest_degree_in_s_e_engineering,field_s_e_related_fields,field_non_s_e_fields
1617,r131,Non-S&E occupations -> Non-S&E postsecondary teachers -> Education,Non-S&E occupations,Non-S&E postsecondary teachers,Education,,3,43000,12000,1000,s,s,10000,s,20000,10000
1617,r132,Non-S&E occupations -> Non-S&E postsecondary teachers -> English,Non-S&E occupations,Non-S&E postsecondary teachers,English,,3,34000,18000,s,s,s,18000,s,s,16000
1617,r133,Non-S&E occupations -> Non-S&E postsecondary teachers -> Foreign language,Non-S&E occupations,Non-S&E postsecondary teachers,Foreign language,,3,10000,8000,s,s,s,8000,s,s,2000
1617,r134,Non-S&E occupations -> Non-S&E postsecondary teachers -> History,Non-S&E occupations,Non-S&E postsecondary teachers,History,,3,9000,3000,s,s,s,3000,s,s,5000
1617,r135,Non-S&E occupations -> Non-S&E postsecondary teachers -> Physical education,Non-S&E occupations,Non-S&E postsecondary teachers,Physical education,,3,6000,s,s,s,s,s,s,s,1000
1617,r136,Non-S&E occupations -> Non-S&E postsecondary teachers -> Other postsecondary fields,Non-S&E occupations,Non-S&E postsecondary teachers,Other postsecondary fields,,3,87000,26000,s,2000,s,13000,2000,33000,28000
1617,r137,Non-S&E occupations -> Social services and related occupations,Non-S&E occupations,Social services and related occupations,,,2,967000,524000,10000,23000,s,483000,6000,137000,307000
1617,r138,Non-S&E occupations -> Social services and related occupations -> Clergy and other religious workers,Non-S&E occupations,Social services and related occupations,Clergy and other religious workers,,3,119000,51000,s,s,s,39000,3000,10000,58000
1617,r139,"Non-S&E occupations -> Social services and related occupations -> Counselors (e.g., educational, vocational, mental health, substance abuse)",Non-S&E occupations,Social services and related occupations,"Counselors (e.g., educational, vocational, mental health, substance abuse)",,3,453000,257000,s,7000,s,243000,s,81000,115000
1617,r140,Non-S&E occupations -> Social services and related occupations -> Social workers,Non-S&E occupations,Social services and related occupations,Social workers,,3,396000,215000,s,12000,s,201000,1000,47000,134000
1617,r141,Non-S&E occupations -> Sales and marketing occupations,Non-S&E occupations,Sales and marketing occupations,,,2,1425000,1025000,105000,155000,38000,603000,124000,209000,191000
1617,r142,"Non-S&E occupations -> Sales and marketing occupations -> Insurance, securities, real estate, and business services",Non-S&E occupations,Sales and marketing occupations,"Insurance, securities, real estate, and business services",,3,371000,275000,30000,13000,s,195000,31000,41000,54000
1617,r143,"Non-S&E occupations -> Sales and marketing occupations -> Sales &#8212; commodities, except retail (e.g., industrial/ medical/ dental machinery, equipment, supplies)",Non-S&E occupations,Sales and marketing occupations,"Sales &#8212; commodities, except retail (e.g., industrial/ medical/ dental machinery, equipment, supplies)",,3,223000,160000,7000,58000,8000,60000,28000,37000,26000
1617,r144,"Non-S&E occupations -> Sales and marketing occupations -> Sales &#8212; retail (e.g., furnishings, clothing, motor vehicles, cosmetics)",Non-S&E occupations,Sales and marketing occupations,"Sales &#8212; retail (e.g., furnishings, clothing, motor vehicles, cosmetics)",,3,393000,289000,43000,49000,16000,157000,25000,66000,38000
1617,r145,Non-S&E occupations -> Sales and marketing occupations -> Other marketing and sales occupations,Non-S&E occupations,Sales and marketing occupations,Other marketing and sales occupations,,3,437000,300000,24000,35000,9000,191000,41000,64000,73000
1617,r146,"Non-S&E occupations -> Arts, humanities, and related occupations",Non-S&E occupations,"Arts, humanities, and related occupations",,,2,385000,252000,16000,22000,11000,179000,23000,30000,104000
1617,r147,"Non-S&E occupations -> Arts, humanities, and related occupations -> Writers, editors, public relations specialists, artists, entertainers, broadcasters",Non-S&E occupations,"Arts, humanities, and related occupations","Writers, editors, public relations specialists, artists, entertainers, broadcasters",,3,379000,249000,15000,22000,11000,177000,23000,29000,102000
1617,r148,"Non-S&E occupations -> Arts, humanities, and related occupations -> Historians",Non-S&E occupations,"Arts, humanities, and related occupations",Historians,,3,7000,s,s,s,s,s,s,s,s
1617,r149,Non-S&E occupations -> Other non-S&E occupations,Non-S&E occupations,Other non-S&E occupations,,,2,4054000,2441000,258000,438000,104000,1325000,316000,544000,1069000
1617,r150,Non-S&E occupations -> Other non-S&E occupations -> Accounting clerks and bookkeepers,Non-S&E occupations,Other non-S&E occupations,Accounting clerks and bookkeepers,,3,192000,143000,15000,17000,s,102000,s,33000,16000
1617,r151,"Non-S&E occupations -> Other non-S&E occupations -> Secretaries, receptionists, typists",Non-S&E occupations,Other non-S&E occupations,"Secretaries, receptionists, typists",,3,227000,160000,14000,21000,s,101000,16000,36000,31000
1617,r152,"Non-S&E occupations -> Other non-S&E occupations -> Other administrative (e.g., record clerks, telephone operators)",Non-S&E occupations,Other non-S&E occupations,"Other administrative (e.g., record clerks, telephone operators)",,3,745000,502000,61000,61000,26000,310000,44000,135000,108000
1617,r153,"Non-S&E occupations -> Other non-S&E occupations -> Farmers, foresters, and fishermen",Non-S&E occupations,Other non-S&E occupations,"Farmers, foresters, and fishermen",,3,127000,109000,s,85000,s,13000,s,12000,7000
1617,r154,"Non-S&E occupations -> Other non-S&E occupations -> Lawyers, judges",Non-S&E occupations,Other non-S&E occupations,"Lawyers, judges",,3,648000,44000,s,4000,s,35000,s,s,602000
1617,r155,"Non-S&E occupations -> Other non-S&E occupations -> Librarians, archivists, curators",Non-S&E occupations,Other non-S&E occupations,"Librarians, archivists, curators",,3,93000,38000,s,s,s,29000,s,s,45000
1617,r156,"Non-S&E occupations -> Other non-S&E occupations -> Food preparation and service (e.g., cooks, waitresses, bartenders)",Non-S&E occupations,Other non-S&E occupations,"Food preparation and service (e.g., cooks, waitresses, bartenders)",,3,196000,160000,16000,47000,s,86000,8000,22000,14000
1617,r157,"Non-S&E occupations -> Other non-S&E occupations -> Protective services (e.g., firefighters, police, guards, wardens, park rangers)",Non-S&E occupations,Other non-S&E occupations,"Protective services (e.g., firefighters, police, guards, wardens, park rangers)",,3,172000,136000,15000,15000,1000,99000,6000,15000,21000
1617,r158,"Non-S&E occupations -> Other non-S&E occupations -> Other service occupations, except health (e.g., probation officer, human services work)",Non-S&E occupations,Other non-S&E occupations,"Other service occupations, except health (e.g., probation officer, human services work)",,3,447000,312000,40000,45000,s,179000,40000,88000,47000
1617,r159,"Non-S&E occupations -> Other non-S&E occupations -> Other teachers and instructors (e.g., private tutors, dance, flying, martial arts)",Non-S&E occupations,Other non-S&E occupations,"Other teachers and instructors (e.g., private tutors, dance, flying, martial arts)",,3,209000,119000,14000,17000,16000,58000,13000,46000,44000
1617,r160,Non-S&E occupations -> Other non-S&E occupations -> Construction and extraction occupations,Non-S&E occupations,Other non-S&E occupations,Construction and extraction occupations,,3,69000,39000,s,11000,s,8000,18000,12000,18000
1617,r161,"Non-S&E occupations -> Other non-S&E occupations -> Installation, maintenance, and repair occupations",Non-S&E occupations,Other non-S&E occupations,"Installation, maintenance, and repair occupations",,3,144000,120000,19000,22000,s,30000,47000,19000,5000
1617,r162,"Non-S&E occupations -> Other non-S&E occupations -> Precision or production occupations (e.g., metal or wood workers, butchers, bakers, assemblers, tailors)",Non-S&E occupations,Other non-S&E occupations,"Precision or production occupations (e.g., metal or wood workers, butchers, bakers, assemblers, tailors)",,3,146000,101000,7000,18000,s,33000,32000,29000,15000
1617,r163,Non-S&E occupations -> Other non-S&E occupations -> Transportation and material moving occupations,Non-S&E occupations,Other non-S&E occupations,Transportation and material moving occupations,,3,184000,144000,12000,27000,9000,63000,32000,27000,14000
1617,r164,Non-S&E occupations -> Other non-S&E occupations -> Other occupations,Non-S&E occupations,Other non-S&E occupations,Other occupations,,3,454000,314000,33000,43000,14000,177000,46000,58000,82000
