table_id,row_id,_b_citizenship_status_and_field_b_full_path,_b_citizenship_status_and_field_b_level_1,_b_citizenship_status_and_field_b_level_2,_b_citizenship_status_and_field_b_level_3,_b_citizenship_status_and_field_b_level_4,_b_citizenship_status_and_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field__change_2010_20
4655,r111,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,Chemical engineering,4,359,379,414,409,482,461,401,426,478,478,482,34.3
4655,r112,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,Civil engineering,4,378,373,303,333,339,359,307,427,442,461,513,35.7
4655,r113,"All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,"Electrical, electronics, and communications engineering",4,1040,1109,1181,1160,1217,1237,1160,1215,1316,1198,1344,29.2
4655,r114,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,Industrial and manufacturing engineering,4,142,152,140,156,185,161,164,157,196,140,200,40.8
4655,r115,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,Materials science engineering,4,326,350,334,435,419,448,494,428,500,461,463,42.0
4655,r116,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,Mechanical engineering,4,519,568,631,664,686,783,652,741,831,879,983,89.4
4655,r117,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,Other engineering,4,713,842,953,1112,1191,1179,1242,1220,1305,1551,1443,102.4
4655,r118,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Education,All doctorate recipients<sup>a</sup>,Temporary visa holder,Education,,3,478,497,460,515,478,539,562,534,611,615,661,38.3
4655,r119,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Education -> Education administration,All doctorate recipients<sup>a</sup>,Temporary visa holder,Education,Education administration,4,35,41,46,44,39,35,33,51,52,54,59,68.6
4655,r120,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Education -> Education research,All doctorate recipients<sup>a</sup>,Temporary visa holder,Education,Education research,4,277,294,278,319,265,327,279,308,366,317,387,39.7
4655,r121,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,Temporary visa holder,Education,Teacher education,4,19,26,13,17,14,13,13,12,8,16,18,-5.3
4655,r122,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,Temporary visa holder,Education,Teaching fields,4,112,96,101,116,134,145,181,132,155,165,163,45.5
4655,r123,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Education -> Other education,All doctorate recipients<sup>a</sup>,Temporary visa holder,Education,Other education,4,35,40,22,19,26,19,56,31,30,63,34,-2.9
4655,r124,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Humanities and arts,All doctorate recipients<sup>a</sup>,Temporary visa holder,Humanities and arts,,3,667,767,761,779,731,713,712,692,739,826,742,11.2
4655,r125,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>a</sup>,Temporary visa holder,Humanities and arts,Foreign languages and literature,4,179,180,160,179,142,151,164,159,181,202,185,3.4
4655,r126,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Humanities and arts -> History,All doctorate recipients<sup>a</sup>,Temporary visa holder,Humanities and arts,History,4,113,131,136,134,147,131,142,125,112,130,120,6.2
4655,r127,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Humanities and arts -> Letters,All doctorate recipients<sup>a</sup>,Temporary visa holder,Humanities and arts,Letters,4,134,157,141,150,140,122,126,122,139,149,131,-2.2
4655,r128,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>a</sup>,Temporary visa holder,Humanities and arts,Other humanities and arts,4,241,299,324,316,302,309,280,286,307,345,306,27.0
4655,r129,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Other<sup>b</sup>,All doctorate recipients<sup>a</sup>,Temporary visa holder,Other<sup>b</sup>,,3,816,786,834,945,905,867,890,940,1029,1105,1076,31.9
4655,r130,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Other<sup>b</sup> -> Business management and administration,All doctorate recipients<sup>a</sup>,Temporary visa holder,Other<sup>b</sup>,Business management and administration,4,499,477,542,600,589,546,553,588,643,688,658,31.9
4655,r131,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Other<sup>b</sup> -> Communication,All doctorate recipients<sup>a</sup>,Temporary visa holder,Other<sup>b</sup>,Communication,4,131,132,107,133,137,137,160,122,165,163,154,17.6
4655,r132,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Other<sup>b</sup> -> Non-S&E fields nec,All doctorate recipients<sup>a</sup>,Temporary visa holder,Other<sup>b</sup>,Non-S&E fields nec,4,186,177,185,212,179,184,177,230,221,254,264,41.9
