table_id,row_id,field_of_doctorate_full_path,field_of_doctorate_level_1,field_of_doctorate_level_2,field_of_doctorate_level_3,field_of_doctorate_level_4,field_of_doctorate_level_5,field_of_doctorate_hierarchy_depth,field_field_levela,field_number,field_percent
7644,r128,"All fields -> Science and engineering -> Engineering -> Engineering, other -> Engineering nec",All fields,Science and engineering,Engineering,"Engineering, other",Engineering nec,5,Detailed,314,0.6
7644,r129,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,,3,Broad,1044,2.0
7644,r130,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,,4,Major,613,1.2
7644,r131,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences -> Geochemistry",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,Geochemistry,5,Detailed,60,0.1
7644,r132,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences -> Geology",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,Geology,5,Detailed,109,0.2
7644,r133,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences -> Geology/ earth science, general",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,"Geology/ earth science, general",5,Detailed,104,0.2
7644,r134,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences -> Geophysics and seismology",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,Geophysics and seismology,5,Detailed,101,0.2
7644,r135,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences -> Hydrology and water resources science",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,Hydrology and water resources science,5,Detailed,81,0.2
7644,r136,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Geological and earth sciences -> Geological and earth sciences nec",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Geological and earth sciences,Geological and earth sciences nec,5,Detailed,158,0.3
7644,r137,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean/ marine sciences and atmospheric science",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Ocean/ marine sciences and atmospheric science,,4,Major,431,0.8
7644,r138,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean/ marine sciences and atmospheric science -> Atmospheric sciences and meteorology, general",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Ocean/ marine sciences and atmospheric science,"Atmospheric sciences and meteorology, general",5,Detailed,94,0.2
7644,r139,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean/ marine sciences and atmospheric science -> Climatology, atmospheric chemistry and physics",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Ocean/ marine sciences and atmospheric science,"Climatology, atmospheric chemistry and physics",5,Detailed,60,0.1
7644,r140,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean/ marine sciences and atmospheric science -> Marine biology and biological oceanography",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Ocean/ marine sciences and atmospheric science,Marine biology and biological oceanography,5,Detailed,89,0.2
7644,r141,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean/ marine sciences and atmospheric science -> Marine sciences",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Ocean/ marine sciences and atmospheric science,Marine sciences,5,Detailed,57,0.1
7644,r142,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean/ marine sciences and atmospheric science -> Oceanography, chemical and physical",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Ocean/ marine sciences and atmospheric science,"Oceanography, chemical and physical",5,Detailed,84,0.2
7644,r143,"All fields -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Ocean/ marine sciences and atmospheric science -> Atmospheric sciences and meteorology nec",All fields,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Ocean/ marine sciences and atmospheric science,Atmospheric sciences and meteorology nec,5,Detailed,47,0.1
7644,r144,All fields -> Science and engineering -> Health sciences,All fields,Science and engineering,Health sciences,,,3,Broad,2582,4.9
7644,r145,All fields -> Science and engineering -> Health sciences -> Nursing and nursing science,All fields,Science and engineering,Health sciences,Nursing and nursing science,,4,Major,603,1.2
7644,r146,All fields -> Science and engineering -> Health sciences -> Nursing and nursing science -> Nursing education,All fields,Science and engineering,Health sciences,Nursing and nursing science,Nursing education,5,Detailed,89,0.2
7644,r147,All fields -> Science and engineering -> Health sciences -> Nursing and nursing science -> Nursing science,All fields,Science and engineering,Health sciences,Nursing and nursing science,Nursing science,5,Detailed,357,0.7
7644,r148,All fields -> Science and engineering -> Health sciences -> Nursing and nursing science -> Nursing specialties and practice,All fields,Science and engineering,Health sciences,Nursing and nursing science,Nursing specialties and practice,5,Detailed,157,0.3
7644,r149,All fields -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences,All fields,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,,4,Major,408,0.8
7644,r150,All fields -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences -> Medicinal and pharmaceutical chemistry,All fields,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,Medicinal and pharmaceutical chemistry,5,Detailed,64,0.1
7644,r151,All fields -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences -> Pharmaceutical sciences,All fields,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,Pharmaceutical sciences,5,Detailed,243,0.5
7644,r152,"All fields -> Science and engineering -> Health sciences -> Pharmacy and pharmaceutical sciences -> Pharmacy, pharmaceutical sciences, and administration nec",All fields,Science and engineering,Health sciences,Pharmacy and pharmaceutical sciences,"Pharmacy, pharmaceutical sciences, and administration nec",5,Detailed,101,0.2
7644,r153,All fields -> Science and engineering -> Health sciences -> Public health,All fields,Science and engineering,Health sciences,Public health,,4,Major,696,1.3
7644,r154,All fields -> Science and engineering -> Health sciences -> Public health -> Environmental health,All fields,Science and engineering,Health sciences,Public health,Environmental health,5,Detailed,66,0.1
7644,r155,All fields -> Science and engineering -> Health sciences -> Public health -> Health services research,All fields,Science and engineering,Health sciences,Public health,Health services research,5,Detailed,86,0.2
7644,r156,All fields -> Science and engineering -> Health sciences -> Public health -> Health/ medical physics,All fields,Science and engineering,Health sciences,Public health,Health/ medical physics,5,Detailed,70,0.1
7644,r157,All fields -> Science and engineering -> Health sciences -> Public health -> Public health education and promotion,All fields,Science and engineering,Health sciences,Public health,Public health education and promotion,5,Detailed,95,0.2
7644,r158,"All fields -> Science and engineering -> Health sciences -> Public health -> Public health, general",All fields,Science and engineering,Health sciences,Public health,"Public health, general",5,Detailed,179,0.3
7644,r159,All fields -> Science and engineering -> Health sciences -> Public health -> Public health nec,All fields,Science and engineering,Health sciences,Public health,Public health nec,5,Detailed,200,0.4
7644,r160,"All fields -> Science and engineering -> Health sciences -> Health sciences, other",All fields,Science and engineering,Health sciences,"Health sciences, other",,4,Major,875,1.7
7644,r161,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Communication disorders sciences",All fields,Science and engineering,Health sciences,"Health sciences, other",Communication disorders sciences,5,Detailed,127,0.2
7644,r162,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Exercise science and kinesiology",All fields,Science and engineering,Health sciences,"Health sciences, other",Exercise science and kinesiology,5,Detailed,92,0.2
7644,r163,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Health sciences, general",All fields,Science and engineering,Health sciences,"Health sciences, other","Health sciences, general",5,Detailed,66,0.1
7644,r164,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Marriage and family therapy/ counseling",All fields,Science and engineering,Health sciences,"Health sciences, other",Marriage and family therapy/ counseling,5,Detailed,58,0.1
7644,r165,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Medical clinical science",All fields,Science and engineering,Health sciences,"Health sciences, other",Medical clinical science,5,Detailed,60,0.1
7644,r166,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Medical, biomedical, and health informatics",All fields,Science and engineering,Health sciences,"Health sciences, other","Medical, biomedical, and health informatics",5,Detailed,61,0.1
7644,r167,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Mental health, counseling, and therapy services and sciences",All fields,Science and engineering,Health sciences,"Health sciences, other","Mental health, counseling, and therapy services and sciences",5,Detailed,91,0.2
7644,r168,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Rehabilitation and therapeutic sciences",All fields,Science and engineering,Health sciences,"Health sciences, other",Rehabilitation and therapeutic sciences,5,Detailed,121,0.2
7644,r169,"All fields -> Science and engineering -> Health sciences -> Health sciences, other -> Health sciences nec",All fields,Science and engineering,Health sciences,"Health sciences, other",Health sciences nec,5,Detailed,199,0.4
7644,r170,All fields -> Science and engineering -> Mathematics and statistics,All fields,Science and engineering,Mathematics and statistics,,,3,Broad,1915,3.7
7644,r171,All fields -> Science and engineering -> Mathematics and statistics -> Applied mathematics,All fields,Science and engineering,Mathematics and statistics,Applied mathematics,,4,Major,475,0.9
7644,r172,"All fields -> Science and engineering -> Mathematics and statistics -> Applied mathematics -> Applied mathematics, general",All fields,Science and engineering,Mathematics and statistics,Applied mathematics,"Applied mathematics, general",5,Detailed,265,0.5
7644,r173,All fields -> Science and engineering -> Mathematics and statistics -> Applied mathematics -> Computational and applied mathematics,All fields,Science and engineering,Mathematics and statistics,Applied mathematics,Computational and applied mathematics,5,Detailed,141,0.3
7644,r174,All fields -> Science and engineering -> Mathematics and statistics -> Applied mathematics -> Applied mathematics nec,All fields,Science and engineering,Mathematics and statistics,Applied mathematics,Applied mathematics nec,5,Detailed,69,0.1
7644,r175,All fields -> Science and engineering -> Mathematics and statistics -> Mathematics,All fields,Science and engineering,Mathematics and statistics,Mathematics,,4,Major,827,1.6
7644,r176,All fields -> Science and engineering -> Mathematics and statistics -> Mathematics -> Algebra and number theory,All fields,Science and engineering,Mathematics and statistics,Mathematics,Algebra and number theory,5,Detailed,69,0.1
7644,r177,"All fields -> Science and engineering -> Mathematics and statistics -> Mathematics -> Mathematics, general",All fields,Science and engineering,Mathematics and statistics,Mathematics,"Mathematics, general",5,Detailed,640,1.2
7644,r178,All fields -> Science and engineering -> Mathematics and statistics -> Mathematics -> Mathematics nec,All fields,Science and engineering,Mathematics and statistics,Mathematics,Mathematics nec,5,Detailed,118,0.2
7644,r179,All fields -> Science and engineering -> Mathematics and statistics -> Statistics,All fields,Science and engineering,Mathematics and statistics,Statistics,,4,Major,613,1.2
7644,r180,"All fields -> Science and engineering -> Mathematics and statistics -> Statistics -> Applied statistics, general",All fields,Science and engineering,Mathematics and statistics,Statistics,"Applied statistics, general",5,Detailed,56,0.1
7644,r181,All fields -> Science and engineering -> Mathematics and statistics -> Statistics -> Mathematics and statistics,All fields,Science and engineering,Mathematics and statistics,Statistics,Mathematics and statistics,5,Detailed,90,0.2
7644,r182,All fields -> Science and engineering -> Mathematics and statistics -> Statistics -> Statistics,All fields,Science and engineering,Mathematics and statistics,Statistics,Statistics,5,Detailed,402,0.8
7644,r183,All fields -> Science and engineering -> Mathematics and statistics -> Statistics -> Statistics nec,All fields,Science and engineering,Mathematics and statistics,Statistics,Statistics nec,5,Detailed,65,0.1
7644,r184,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,,,3,Broad,1299,2.5
7644,r185,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,,4,Major,448,0.9
7644,r186,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences -> Computer science and engineering,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,Computer science and engineering,5,Detailed,119,0.2
7644,r187,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences -> Electrical engineering and computer science,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,Electrical engineering and computer science,5,Detailed,224,0.4
7644,r188,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences -> Interdisciplinary computer sciences nec,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,Interdisciplinary computer sciences nec,5,Detailed,105,0.2
7644,r189,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",,4,Major,851,1.6
7644,r190,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Behavioral and cognitive sciences",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Behavioral and cognitive sciences,5,Detailed,79,0.2
7644,r191,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Computational science and engineering",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Computational science and engineering,5,Detailed,104,0.2
7644,r192,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Data science and data analytics",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Data science and data analytics,5,Detailed,106,0.2
7644,r193,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> History/ philosophy of science, technology and society",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other","History/ philosophy of science, technology and society",5,Detailed,68,0.1
7644,r194,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Nanoscience/ nanoscale science",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Nanoscience/ nanoscale science,5,Detailed,57,0.1
7644,r195,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Nutrition sciences",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Nutrition sciences,5,Detailed,138,0.3
7644,r196,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other -> Multidisciplinary/ interdisciplinary sciences nec",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",Multidisciplinary/ interdisciplinary sciences nec,5,Detailed,299,0.6
7644,r197,All fields -> Science and engineering -> Physical sciences,All fields,Science and engineering,Physical sciences,,,3,Broad,4811,9.2
7644,r198,All fields -> Science and engineering -> Physical sciences -> Astronomy and astrophysics,All fields,Science and engineering,Physical sciences,Astronomy and astrophysics,,4,Major,263,0.5
7644,r199,All fields -> Science and engineering -> Physical sciences -> Astronomy and astrophysics -> Astronomy,All fields,Science and engineering,Physical sciences,Astronomy and astrophysics,Astronomy,5,Detailed,71,0.1
7644,r200,All fields -> Science and engineering -> Physical sciences -> Astronomy and astrophysics -> Astrophysics,All fields,Science and engineering,Physical sciences,Astronomy and astrophysics,Astrophysics,5,Detailed,113,0.2
7644,r201,All fields -> Science and engineering -> Physical sciences -> Astronomy and astrophysics -> Astronomy and astrophysics nec,All fields,Science and engineering,Physical sciences,Astronomy and astrophysics,Astronomy and astrophysics nec,5,Detailed,79,0.2
7644,r202,All fields -> Science and engineering -> Physical sciences -> Chemistry,All fields,Science and engineering,Physical sciences,Chemistry,,4,Major,2369,4.5
7644,r203,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Analytical chemistry,All fields,Science and engineering,Physical sciences,Chemistry,Analytical chemistry,5,Detailed,321,0.6
7644,r204,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Chemical biology,All fields,Science and engineering,Physical sciences,Chemistry,Chemical biology,5,Detailed,151,0.3
7644,r205,"All fields -> Science and engineering -> Physical sciences -> Chemistry -> Chemistry, general",All fields,Science and engineering,Physical sciences,Chemistry,"Chemistry, general",5,Detailed,495,0.9
7644,r206,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Inorganic chemistry,All fields,Science and engineering,Physical sciences,Chemistry,Inorganic chemistry,5,Detailed,283,0.5
7644,r207,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Organic chemistry,All fields,Science and engineering,Physical sciences,Chemistry,Organic chemistry,5,Detailed,454,0.9
7644,r208,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Physical chemistry,All fields,Science and engineering,Physical sciences,Chemistry,Physical chemistry,5,Detailed,293,0.6
7644,r209,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Polymer chemistry,All fields,Science and engineering,Physical sciences,Chemistry,Polymer chemistry,5,Detailed,121,0.2
7644,r210,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Theoretical chemistry,All fields,Science and engineering,Physical sciences,Chemistry,Theoretical chemistry,5,Detailed,108,0.2
7644,r211,All fields -> Science and engineering -> Physical sciences -> Chemistry -> Chemistry nec,All fields,Science and engineering,Physical sciences,Chemistry,Chemistry nec,5,Detailed,143,0.3
7644,r212,All fields -> Science and engineering -> Physical sciences -> Materials sciences,All fields,Science and engineering,Physical sciences,Materials sciences,,4,Major,429,0.8
7644,r213,All fields -> Science and engineering -> Physical sciences -> Materials sciences -> Materials science,All fields,Science and engineering,Physical sciences,Materials sciences,Materials science,5,Detailed,276,0.5
7644,r214,All fields -> Science and engineering -> Physical sciences -> Materials sciences -> Materials chemistry and materials science nec,All fields,Science and engineering,Physical sciences,Materials sciences,Materials chemistry and materials science nec,5,Detailed,153,0.3
7644,r215,All fields -> Science and engineering -> Physical sciences -> Physics,All fields,Science and engineering,Physical sciences,Physics,,4,Major,1750,3.3
7644,r216,All fields -> Science and engineering -> Physical sciences -> Physics -> Applied physics,All fields,Science and engineering,Physical sciences,Physics,Applied physics,5,Detailed,133,0.3
7644,r217,All fields -> Science and engineering -> Physical sciences -> Physics -> Atomic/ molecular physics,All fields,Science and engineering,Physical sciences,Physics,Atomic/ molecular physics,5,Detailed,89,0.2
7644,r218,All fields -> Science and engineering -> Physical sciences -> Physics -> Condensed matter and materials physics,All fields,Science and engineering,Physical sciences,Physics,Condensed matter and materials physics,5,Detailed,358,0.7
7644,r219,All fields -> Science and engineering -> Physical sciences -> Physics -> Elementary particle physics,All fields,Science and engineering,Physical sciences,Physics,Elementary particle physics,5,Detailed,166,0.3
7644,r220,All fields -> Science and engineering -> Physical sciences -> Physics -> Nuclear physics,All fields,Science and engineering,Physical sciences,Physics,Nuclear physics,5,Detailed,79,0.2
7644,r221,All fields -> Science and engineering -> Physical sciences -> Physics -> Optics/ optical sciences,All fields,Science and engineering,Physical sciences,Physics,Optics/ optical sciences,5,Detailed,120,0.2
7644,r222,All fields -> Science and engineering -> Physical sciences -> Physics -> Physics and astronomy,All fields,Science and engineering,Physical sciences,Physics,Physics and astronomy,5,Detailed,193,0.4
7644,r223,"All fields -> Science and engineering -> Physical sciences -> Physics -> Physics, general",All fields,Science and engineering,Physical sciences,Physics,"Physics, general",5,Detailed,339,0.6
7644,r224,All fields -> Science and engineering -> Physical sciences -> Physics -> Plasma and high-temperature physics,All fields,Science and engineering,Physical sciences,Physics,Plasma and high-temperature physics,5,Detailed,57,0.1
7644,r225,All fields -> Science and engineering -> Physical sciences -> Physics -> Theoretical and mathematical physics,All fields,Science and engineering,Physical sciences,Physics,Theoretical and mathematical physics,5,Detailed,99,0.2
7644,r226,All fields -> Science and engineering -> Physical sciences -> Physics -> Physics and physical sciences nec,All fields,Science and engineering,Physical sciences,Physics,Physics and physical sciences nec,5,Detailed,117,0.2
7644,r227,All fields -> Science and engineering -> Psychology,All fields,Science and engineering,Psychology,,,3,Broad,3716,7.1
7644,r228,All fields -> Science and engineering -> Psychology -> Clinical psychology,All fields,Science and engineering,Psychology,Clinical psychology,,4,Major,1256,2.4
7644,r229,All fields -> Science and engineering -> Psychology -> Clinical psychology -> Clinical child psychology,All fields,Science and engineering,Psychology,Clinical psychology,Clinical child psychology,5,Detailed,52,0.1
7644,r230,All fields -> Science and engineering -> Psychology -> Clinical psychology -> Clinical psychology,All fields,Science and engineering,Psychology,Clinical psychology,Clinical psychology,5,Detailed,1204,2.3
7644,r231,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,,4,Major,1338,2.6
7644,r232,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology -> Applied behavior analysis,All fields,Science and engineering,Psychology,Counseling and applied psychology,Applied behavior analysis,5,Detailed,59,0.1
7644,r233,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology -> Counseling psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,Counseling psychology,5,Detailed,365,0.7
7644,r234,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology -> Educational psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,Educational psychology,5,Detailed,229,0.4
7644,r235,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology -> Industrial and organizational psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,Industrial and organizational psychology,5,Detailed,181,0.3
7644,r236,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology -> School psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,School psychology,5,Detailed,259,0.5
7644,r237,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology -> Counseling and applied psychology nec,All fields,Science and engineering,Psychology,Counseling and applied psychology,Counseling and applied psychology nec,5,Detailed,245,0.5
7644,r238,All fields -> Science and engineering -> Psychology -> Research and experimental psychology,All fields,Science and engineering,Psychology,Research and experimental psychology,,4,Major,651,1.2
7644,r239,All fields -> Science and engineering -> Psychology -> Research and experimental psychology -> Behavioral neuroscience,All fields,Science and engineering,Psychology,Research and experimental psychology,Behavioral neuroscience,5,Detailed,87,0.2
7644,r240,All fields -> Science and engineering -> Psychology -> Research and experimental psychology -> Cognitive psychology and psycholinguistics,All fields,Science and engineering,Psychology,Research and experimental psychology,Cognitive psychology and psycholinguistics,5,Detailed,106,0.2
7644,r241,All fields -> Science and engineering -> Psychology -> Research and experimental psychology -> Developmental and child psychology,All fields,Science and engineering,Psychology,Research and experimental psychology,Developmental and child psychology,5,Detailed,78,0.1
7644,r242,All fields -> Science and engineering -> Psychology -> Research and experimental psychology -> Experimental psychology,All fields,Science and engineering,Psychology,Research and experimental psychology,Experimental psychology,5,Detailed,98,0.2
7644,r243,All fields -> Science and engineering -> Psychology -> Research and experimental psychology -> Social psychology,All fields,Science and engineering,Psychology,Research and experimental psychology,Social psychology,5,Detailed,143,0.3
7644,r244,All fields -> Science and engineering -> Psychology -> Research and experimental psychology -> Research and experimental psychology nec,All fields,Science and engineering,Psychology,Research and experimental psychology,Research and experimental psychology nec,5,Detailed,139,0.3
7644,r245,"All fields -> Science and engineering -> Psychology -> Psychology, other",All fields,Science and engineering,Psychology,"Psychology, other",,4,Major,471,0.9
7644,r246,"All fields -> Science and engineering -> Psychology -> Psychology, other -> Human development",All fields,Science and engineering,Psychology,"Psychology, other",Human development,5,Detailed,142,0.3
7644,r247,"All fields -> Science and engineering -> Psychology -> Psychology, other -> Psychology, general",All fields,Science and engineering,Psychology,"Psychology, other","Psychology, general",5,Detailed,261,0.5
7644,r248,"All fields -> Science and engineering -> Psychology -> Psychology, other -> Psychology nec",All fields,Science and engineering,Psychology,"Psychology, other",Psychology nec,5,Detailed,68,0.1
7644,r249,All fields -> Science and engineering -> Social sciences,All fields,Science and engineering,Social sciences,,,3,Broad,4749,9.1
7644,r250,All fields -> Science and engineering -> Social sciences -> Anthropology,All fields,Science and engineering,Social sciences,Anthropology,,4,Major,388,0.7
7644,r251,"All fields -> Science and engineering -> Social sciences -> Anthropology -> Anthropology, general",All fields,Science and engineering,Social sciences,Anthropology,"Anthropology, general",5,Detailed,80,0.2
7644,r252,All fields -> Science and engineering -> Social sciences -> Anthropology -> Cultural anthropology,All fields,Science and engineering,Social sciences,Anthropology,Cultural anthropology,5,Detailed,186,0.4
7644,r253,All fields -> Science and engineering -> Social sciences -> Anthropology -> Physical and biological anthropology,All fields,Science and engineering,Social sciences,Anthropology,Physical and biological anthropology,5,Detailed,71,0.1
7644,r254,All fields -> Science and engineering -> Social sciences -> Anthropology -> Anthropology nec,All fields,Science and engineering,Social sciences,Anthropology,Anthropology nec,5,Detailed,51,0.1
7644,r255,"All fields -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies",All fields,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",,4,Major,383,0.7
7644,r256,"All fields -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies -> Area studies",All fields,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",Area studies,5,Detailed,224,0.4
7644,r257,"All fields -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies -> Ethnic studies",All fields,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",Ethnic studies,5,Detailed,81,0.2
7644,r258,"All fields -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies -> Area, ethnic, cultural, gender, and group studies nec",All fields,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies","Area, ethnic, cultural, gender, and group studies nec",5,Detailed,78,0.1
7644,r259,All fields -> Science and engineering -> Social sciences -> Economics,All fields,Science and engineering,Social sciences,Economics,,4,Major,1317,2.5
7644,r260,All fields -> Science and engineering -> Social sciences -> Economics -> Agricultural economics,All fields,Science and engineering,Social sciences,Economics,Agricultural economics,5,Detailed,76,0.1
7644,r261,All fields -> Science and engineering -> Social sciences -> Economics -> Applied economics,All fields,Science and engineering,Social sciences,Economics,Applied economics,5,Detailed,134,0.3
7644,r262,All fields -> Science and engineering -> Social sciences -> Economics -> Development economics and international development,All fields,Science and engineering,Social sciences,Economics,Development economics and international development,5,Detailed,54,0.1
7644,r263,All fields -> Science and engineering -> Social sciences -> Economics -> Econometrics and quantitative economics,All fields,Science and engineering,Social sciences,Economics,Econometrics and quantitative economics,5,Detailed,145,0.3
7644,r264,"All fields -> Science and engineering -> Social sciences -> Economics -> Economics, general",All fields,Science and engineering,Social sciences,Economics,"Economics, general",5,Detailed,802,1.5
7644,r265,All fields -> Science and engineering -> Social sciences -> Economics -> Environmental/ natural resource economics,All fields,Science and engineering,Social sciences,Economics,Environmental/ natural resource economics,5,Detailed,54,0.1
7644,r266,All fields -> Science and engineering -> Social sciences -> Economics -> Economics nec,All fields,Science and engineering,Social sciences,Economics,Economics nec,5,Detailed,52,0.1
7644,r267,All fields -> Science and engineering -> Social sciences -> Political science and government,All fields,Science and engineering,Social sciences,Political science and government,,4,Major,581,1.1
7644,r268,"All fields -> Science and engineering -> Social sciences -> Political science and government -> Political science and government, general",All fields,Science and engineering,Social sciences,Political science and government,"Political science and government, general",5,Detailed,488,0.9
