table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_fte_r_d_employeesa_total,field_fte_r_d_employeesa_full_time_r_d_employees,field_fte_r_d_employeesa_full_time_employees_working_on_r_d_part_time,field_fte_r_d_employeesa_part_time_employees_working_on_r_d,field_fte_r_d_scientists_and_engineersb_total,field_fte_r_d_scientists_and_engineersb_full_time_r_d_employees,field_fte_r_d_scientists_and_engineersb_full_time_employees_working_on_r_d_part_time,field_fte_r_d_scientists_and_engineersb_part_time_employees_working_on_r_d
6533,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['16', '']","['12', '']","['3', '']","['*', 'i']","['8', 'i']","['7', '']","['1', 'i']","['*', 'i']"
6533,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['799', '']","['635', '']","['156', '']","['8', '']","['536', '']","['444', '']","['87', '']","['4', '']"
6533,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['11', '']","['10', '']","['1', '']","['*', '']","['7', '']","['6', '']","['*', '']","['*', '']"
6533,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['1', '']","['*', '']","['*', '']","['*', '']","['*', '']","['*', '']","['*', '']","['*', '']"
6533,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['10', '']","['5', '']","['4', 'i']","['*', '']","['5', '']","['3', 'i']","['1', 'i']","['*', '']"
6533,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['38 - 64', '']","['13', '']","['25 - 52', '']","['*', '']","['17 - 58', '']","['4 - 14', '']","['8 - 44', '']","['*', 'i']"
6533,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['15', 'i']","['12', 'i']","['3', 'i']","['*', 'i']","['11', 'i']","['10', 'i']","['1', 'i']","['*', 'i']"
6533,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['352', '']","['323', '']","['27', 'i']","['1', '']","['260', '']","['245', '']","['14', 'i']","['1', '']"
6533,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['107', '']","['102', '']","['4', '']","['1', '']","['85', '']","['83', '']","['2', '']","['*', 'i']"
6533,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['1', '']","['*', '']","['*', 'i']","['*', '']","['*', '']","['*', '']","['*', '']","['0', '']"
6533,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['106', '']","['102', '']","['4', '']","['1', '']","['85', '']","['83', '']","['2', '']","['*', 'i']"
6533,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['19', '']","['7', '']","['11', 'i']","['*', '']","['8', 'i']","['3', '']","['5', 'i']","['*', '']"
6533,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['123', '']","['113', '']","['10', '']","['*', '']","['81', '']","['76', '']","['5', '']","['*', '']"
6533,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['103', '']","['101', '']","['2', '']","['*', '']","['85', '']","['84', '']","['1', '']","['*', '']"
6533,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['45', '']","['33', 'i']","['12', '']","['*', 'i']","['25', 'i']","['22', 'i']","['3', 'i']","['*', 'i']"
6533,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['3', '']","['3', '']","['*', '']","['*', '']","['3', '']","['3', '']","['*', '']","['*', 'i']"
6533,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['*', '']","['*', '']","['*', 'i']","['0', '']","['*', '']","['*', '']","['*', '']","['0', '']"
6533,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['3', '']","['3', '']","['*', '']","['*', '']","['3', '']","['3', '']","['*', '']","['*', 'i']"
6533,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['268', '']","['212', '']","['50', '']","['5', '']","['156', '']","['126', '']","['27', '']","['3', '']"
6533,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['41', '']","['18', '']","['21', '']","['2', '']","['27', '']","['13', '']","['13', '']","['1', '']"
6533,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['91', '']","['78', '']","['12', '']","['2', '']","['67', '']","['61', '']","['6', 'i']","['1', '']"
6533,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['95', '']","['89', '']","['4', '']","['2', '']","['41', '']","['39', '']","['2', '']","['1', '']"
6533,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['30', '']","['29', '']","['*', '']","['*', '']","['11', '']","['11', '']","['*', '']","['*', '']"
6533,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['56', '']","['52', '']","['3', '']","['1', '']","['28', 'i']","['26', 'i']","['1', '']","['1', '']"
6533,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['9', 'i']","['8', 'i']","['*', 'i']","['*', 'i']","['2', 'i']","['2', 'i']","['*', 'i']","['*', '']"
