table_id,row_id,field_and_time_to_degree_full_path,field_and_time_to_degree_level_1,field_and_time_to_degree_level_2,field_and_time_to_degree_level_3,field_and_time_to_degree_level_4,field_and_time_to_degree_hierarchy_depth,field_1994,field_1999,field_2004,field_2009,field_2014,field_2019
2823,r163,All fields -> Other<sup>c</sup> -> Since starting graduate school,All fields,Other<sup>c</sup>,Since starting graduate school,,3,10.7,10.2,9.8,9.6,9.0,9.3
2823,r164,All fields -> Other<sup>c</sup> -> Since starting doctoral program<sup>a</sup>,All fields,Other<sup>c</sup>,Since starting doctoral program<sup>a</sup>,,3,na,na,na,na,5.3,5.1
2823,r165,All fields -> Other<sup>c</sup> -> Business management and administration,All fields,Other<sup>c</sup>,Business management and administration,,3,,,,,,
2823,r166,All fields -> Other<sup>c</sup> -> Business management and administration -> Since bachelor's,All fields,Other<sup>c</sup>,Business management and administration,Since bachelor's,4,12.2,12.9,12.1,11.9,10.9,11.0
2823,r167,All fields -> Other<sup>c</sup> -> Business management and administration -> Since starting graduate school,All fields,Other<sup>c</sup>,Business management and administration,Since starting graduate school,4,9.7,9.7,9.7,9.1,8.7,8.9
2823,r168,All fields -> Other<sup>c</sup> -> Business management and administration -> Since starting doctoral program<sup>a</sup>,All fields,Other<sup>c</sup>,Business management and administration,Since starting doctoral program<sup>a</sup>,4,na,na,na,na,5.0,5.0
2823,r169,All fields -> Other<sup>c</sup> -> Communication,All fields,Other<sup>c</sup>,Communication,,3,,,,,,
2823,r170,All fields -> Other<sup>c</sup> -> Communication -> Since bachelor's,All fields,Other<sup>c</sup>,Communication,Since bachelor's,4,12.3,12.0,11.9,11.5,10.5,10.3
2823,r171,All fields -> Other<sup>c</sup> -> Communication -> Since starting graduate school,All fields,Other<sup>c</sup>,Communication,Since starting graduate school,4,9.7,8.9,9.0,8.7,8.4,8.3
2823,r172,All fields -> Other<sup>c</sup> -> Communication -> Since starting doctoral program<sup>a</sup>,All fields,Other<sup>c</sup>,Communication,Since starting doctoral program<sup>a</sup>,4,na,na,na,na,5.3,5.0
2823,r173,All fields -> Other<sup>c</sup> -> Non-S&E fields nec,All fields,Other<sup>c</sup>,Non-S&E fields nec,,3,,,,,,
2823,r174,All fields -> Other<sup>c</sup> -> Non-S&E fields nec -> Since bachelor's,All fields,Other<sup>c</sup>,Non-S&E fields nec,Since bachelor's,4,17.5,16.9,15.0,14.0,13.3,13.4
2823,r175,All fields -> Other<sup>c</sup> -> Non-S&E fields nec -> Since starting graduate school,All fields,Other<sup>c</sup>,Non-S&E fields nec,Since starting graduate school,4,13.9,13.7,11.0,11.2,10.8,11.1
2823,r176,All fields -> Other<sup>c</sup> -> Non-S&E fields nec -> Since starting doctoral program<sup>a</sup>,All fields,Other<sup>c</sup>,Non-S&E fields nec,Since starting doctoral program<sup>a</sup>,4,na,na,na,na,6.0,5.8
