table_id,row_id,_b_debt_level_b_full_path,_b_debt_level_b_level_1,_b_debt_level_b_level_2,_b_debt_level_b_level_3,_b_debt_level_b_hierarchy_depth,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
11690,r043,Cumulative debt -> Undergraduate debt -> No debt,Cumulative debt,Undergraduate debt,No debt,3,"['20,643', '75.4']","['17,455', '70.9']","['21,411', '63.7']","['16,477', '91.0']",1827,56.2,"['52', '55.3']","['2,962', '80.3']","['999', '38.7']","['14,445', '65.0']","['785', '61.2']","['225', '68.2']","['116', '69.5']"
11690,r044,"Cumulative debt -> Undergraduate debt -> $10,000 or less",Cumulative debt,Undergraduate debt,"$10,000 or less",3,"['1,569', '5.7']","['1,478', '6.0']","['2,302', '6.8']","['734', '4.1']",308,9.5,"['8', '8.5']","['210', '5.7']","['212', '8.2']","['1,432', '6.4']","['93', '7.2']","['21', '6.4']","['18', '10.8']"
11690,r045,"Cumulative debt -> Undergraduate debt -> $10,001&#8211;$20,000",Cumulative debt,Undergraduate debt,"$10,001&#8211;$20,000",3,"['1,250', '4.6']","['1,372', '5.6']","['2,311', '6.9']","['300', '1.7']",265,8.2,"['5', '5.3']","['170', '4.6']","['195', '7.5']","['1,554', '7.0']","['97', '7.6']","['19', '5.8']","['6', '3.6']"
11690,r046,"Cumulative debt -> Undergraduate debt -> $20,001&#8211;$30,000",Cumulative debt,Undergraduate debt,"$20,001&#8211;$30,000",3,"['1,169', '4.3']","['1,273', '5.2']","['2,230', '6.6']","['200', '1.1']",278,8.6,"['9', '9.6']","['136', '3.7']","['232', '9.0']","['1,457', '6.6']","['86', '6.7']","['23', '7.0']","['9', '5.4']"
11690,r047,"Cumulative debt -> Undergraduate debt -> $30,001&#8211;$40,000",Cumulative debt,Undergraduate debt,"$30,001&#8211;$40,000",3,"['875', '3.2']","['881', '3.6']","['1,623', '4.8']","['125', '0.7']",177,5.4,"['D', 'D']","['D', 'D']","['195', '7.5']","['1,076', '4.8']","['70', '5.5']","['13', '3.9']","['8', '4.8']"
11690,r048,"Cumulative debt -> Undergraduate debt -> $40,001&#8211;$50,000",Cumulative debt,Undergraduate debt,"$40,001&#8211;$50,000",3,"['490', '1.8']","['536', '2.2']","['934', '2.8']","['92', '0.5']",100,3.1,"['D', 'D']","['D', 'D']","['161', '6.2']","['597', '2.7']","['33', '2.6']","['4', '1.2']","['3', '1.8']"
11690,r049,"Cumulative debt -> Undergraduate debt -> $50,001&#8211;$60,000",Cumulative debt,Undergraduate debt,"$50,001&#8211;$60,000",3,"['385', '1.4']","['450', '1.8']","['765', '2.3']","['64', '0.4']",81,2.5,"['5', '5.3']","['26', '0.7']","['141', '5.5']","['475', '2.1']","['28', '2.2']","['8', '2.4']","['1', '0.6']"
11690,r050,"Cumulative debt -> Undergraduate debt -> $60,001&#8211;$70,000",Cumulative debt,Undergraduate debt,"$60,001&#8211;$70,000",3,"['235', '0.9']","['258', '1.0']","['464', '1.4']","['26', '0.1']",50,1.5,"['D', 'D']","['D', 'D']","['99', '3.8']","['274', '1.2']","['19', '1.5']","['4', '1.2']","['2', '1.2']"
11690,r051,"Cumulative debt -> Undergraduate debt -> $70,001&#8211;$80,000",Cumulative debt,Undergraduate debt,"$70,001&#8211;$80,000",3,"['171', '0.6']","['199', '0.8']","['349', '1.0']","['18', '0.1']",38,1.2,"['D', 'D']","['D', 'D']","['70', '2.7']","['215', '1.0']","['12', '0.9']","['2', '0.6']","['1', '0.6']"
11690,r052,"Cumulative debt -> Undergraduate debt -> $80,001&#8211;$90,000",Cumulative debt,Undergraduate debt,"$80,001&#8211;$90,000",3,"['205', '0.7']","['203', '0.8']","['372', '1.1']","['33', '0.2']",29,0.9,"['D', 'D']","['D', 'D']","['79', '3.1']","['224', '1.0']","['20', '1.6']","['2', '0.6']","['0', '0.0']"
11690,r053,"Cumulative debt -> Undergraduate debt -> $90,001 or more",Cumulative debt,Undergraduate debt,"$90,001 or more",3,"['377', '1.4']","['513', '2.1']","['846', '2.5']","['35', '0.2']",97,3.0,"['D', 'D']","['D', 'D']","['201', '7.8']","['463', '2.1']","['40', '3.1']","['9', '2.7']","['3', '1.8']"
