table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10289,r219,Florida -> Other agencies -> Nuclear Regulatory Commission,Florida,Other agencies,Nuclear Regulatory Commission,3,205,0,0,0,205,0,0
10289,r220,Florida -> Other agencies -> Postal Service,Florida,Other agencies,Postal Service,3,261,0,0,261,0,0,0
10289,r221,Florida -> Other agencies -> Social Security Administration,Florida,Other agencies,Social Security Administration,3,0.05,0,0,0,0.05,0,0
10289,r222,Georgia,Georgia,,,1,1653954,262298,1227,183534,1133753,42809,30334
10289,r223,Georgia -> Departments,Georgia,Departments,,2,,,,,,,
10289,r224,Georgia -> Departments -> Department of Agriculture,Georgia,Departments,Department of Agriculture,3,90103,51658,0,99,38296,0,50
10289,r225,Georgia -> Departments -> Department of Commerce,Georgia,Departments,Department of Commerce,3,4078,136,0,0,3942,0,0
10289,r226,Georgia -> Departments -> Department of Defense,Georgia,Departments,Department of Defense,3,435233,139192,1227,120598,173373,844,0
10289,r227,Georgia -> Departments -> Department of Education,Georgia,Departments,Department of Education,3,2480,0,0,0,2120,246,114
10289,r228,Georgia -> Departments -> Department of Energy,Georgia,Departments,Department of Energy,3,89846,0,0,25148,38538,26160,0
10289,r229,Georgia -> Departments -> Department of Health and Human Services,Georgia,Departments,Department of Health and Human Services,3,801120,22723,0,19984,719953,13333,25127
10289,r230,Georgia -> Departments -> Department of Homeland Security,Georgia,Departments,Department of Homeland Security,3,1041,0.05,0,860,140,0,0
10289,r231,Georgia -> Departments -> Department of the Interior,Georgia,Departments,Department of the Interior,3,3365,2483,0,0.05,664,197,0
10289,r232,Georgia -> Departments -> Department of Justice,Georgia,Departments,Department of Justice,3,1000,0,0,0,1000,0,0
10289,r233,Georgia -> Departments -> Department of Labor,Georgia,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r234,Georgia -> Departments -> Department of Transportation,Georgia,Departments,Department of Transportation,3,13355,0,0,1069,7243,0,5042
10289,r235,Georgia -> Departments -> Department of the Treasury,Georgia,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r236,Georgia -> Departments -> Department of Veterans Affairs,Georgia,Departments,Department of Veterans Affairs,3,38968,38968,0,0,0,0,0
10289,r237,Georgia -> Other agencies,Georgia,Other agencies,,2,,,,,,,
10289,r238,Georgia -> Other agencies -> Consumer Product Safety Commission,Georgia,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r239,Georgia -> Other agencies -> Environmental Protection Agency,Georgia,Other agencies,Environmental Protection Agency,3,11564,6959,0,0,3398,1207,0
10289,r240,Georgia -> Other agencies -> National Aeronautics and Space Administration,Georgia,Other agencies,National Aeronautics and Space Administration,3,24224,130,0,5713,18381,0,0
10289,r241,Georgia -> Other agencies -> National Science Foundation,Georgia,Other agencies,National Science Foundation,3,135765,0,0,8667,126694,404,0
10289,r242,Georgia -> Other agencies -> Nuclear Regulatory Commission,Georgia,Other agencies,Nuclear Regulatory Commission,3,418,0,0,0,0,418,0
10289,r243,Georgia -> Other agencies -> Postal Service,Georgia,Other agencies,Postal Service,3,70,0,0,70,0,0,0
10289,r244,Georgia -> Other agencies -> Social Security Administration,Georgia,Other agencies,Social Security Administration,3,1310,0,0,1300,0.05,0,0
10289,r245,Hawaii,Hawaii,,,1,485890,202246,0,97776,163835,19686,2348
10289,r246,Hawaii -> Departments,Hawaii,Departments,,2,,,,,,,
10289,r247,Hawaii -> Departments -> Department of Agriculture,Hawaii,Departments,Department of Agriculture,3,26553,15151,0,936,9669,796,0
10289,r248,Hawaii -> Departments -> Department of Commerce,Hawaii,Departments,Department of Commerce,3,2082,1451,0,84,390,95,62
10289,r249,Hawaii -> Departments -> Department of Defense,Hawaii,Departments,Department of Defense,3,304728,176409,0,79829,34592,13898,0
10289,r250,Hawaii -> Departments -> Department of Energy,Hawaii,Departments,Department of Energy,3,6986,0,0,5478,1508,0,0
10289,r251,Hawaii -> Departments -> Department of Health and Human Services,Hawaii,Departments,Department of Health and Human Services,3,58614,0,0,3129,50430,4117,939
10289,r252,Hawaii -> Departments -> Department of Homeland Security,Hawaii,Departments,Department of Homeland Security,3,1440,0,0,1440,0,0,0
10289,r253,Hawaii -> Departments -> Department of the Interior,Hawaii,Departments,Department of the Interior,3,6919,6863,0,0,0,56,0
10289,r254,Hawaii -> Departments -> Department of Labor,Hawaii,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r255,Hawaii -> Departments -> Department of Transportation,Hawaii,Departments,Department of Transportation,3,1696,0,0,250,100,0,1346
10289,r256,Hawaii -> Departments -> Department of the Treasury,Hawaii,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r257,Hawaii -> Departments -> Department of Veterans Affairs,Hawaii,Departments,Department of Veterans Affairs,3,2079,2079,0,0,0,0,0
10289,r258,Hawaii -> Other agencies,Hawaii,Other agencies,,2,,,,,,,
10289,r259,Hawaii -> Other agencies -> Consumer Product Safety Commission,Hawaii,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r260,Hawaii -> Other agencies -> Environmental Protection Agency,Hawaii,Other agencies,Environmental Protection Agency,3,638,0,0,638,0,0,0
10289,r261,Hawaii -> Other agencies -> National Aeronautics and Space Administration,Hawaii,Other agencies,National Aeronautics and Space Administration,3,27148,291,0,4690,22167,0,0.05
10289,r262,Hawaii -> Other agencies -> National Science Foundation,Hawaii,Other agencies,National Science Foundation,3,46981,0,0,1280,44978,724,0
10289,r263,Hawaii -> Other agencies -> Postal Service,Hawaii,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r264,Idaho,Idaho,,,1,672104,47872,286824,262764,62150,3851,8643
10289,r265,Idaho -> Departments,Idaho,Departments,,2,,,,,,,
10289,r266,Idaho -> Departments -> Department of Agriculture,Idaho,Departments,Department of Agriculture,3,33352,21341,0,0,11896,0,115
10289,r267,Idaho -> Departments -> Department of Defense,Idaho,Departments,Department of Defense,3,52410,15090,18737,17235,1067,155,125
10289,r268,Idaho -> Departments -> Department of Education,Idaho,Departments,Department of Education,3,2034,0,0,0,0,2034,0
10289,r269,Idaho -> Departments -> Department of Energy,Idaho,Departments,Department of Energy,3,508781,79,258487,241627,7553,240,796
10289,r270,Idaho -> Departments -> Department of Health and Human Services,Idaho,Departments,Department of Health and Human Services,3,23681,0,0,1050,15141,1142,6348
10289,r271,Idaho -> Departments -> Department of Homeland Security,Idaho,Departments,Department of Homeland Security,3,4567,0,3112,1455,0,0,0
10289,r272,Idaho -> Departments -> Department of the Interior,Idaho,Departments,Department of the Interior,3,10127,9428,0,0.05,665,0,0
10289,r273,Idaho -> Departments -> Department of Labor,Idaho,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r274,Idaho -> Departments -> Department of Transportation,Idaho,Departments,Department of Transportation,3,950,0,0,0,0,0,950
10289,r275,Idaho -> Departments -> Department of the Treasury,Idaho,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r276,Idaho -> Departments -> Department of Veterans Affairs,Idaho,Departments,Department of Veterans Affairs,3,1932,1932,0,0,0,0,0
10289,r277,Idaho -> Other agencies,Idaho,Other agencies,,2,,,,,,,
10289,r278,Idaho -> Other agencies -> Consumer Product Safety Commission,Idaho,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r279,Idaho -> Other agencies -> Environmental Protection Agency,Idaho,Other agencies,Environmental Protection Agency,3,319,0,0,319,0,0,0
10289,r280,Idaho -> Other agencies -> National Aeronautics and Space Administration,Idaho,Other agencies,National Aeronautics and Space Administration,3,4201,0,250,756,3195,0,0
10289,r281,Idaho -> Other agencies -> National Science Foundation,Idaho,Other agencies,National Science Foundation,3,23223,0,0,0,22633,280,310
10289,r282,Idaho -> Other agencies -> Nuclear Regulatory Commission,Idaho,Other agencies,Nuclear Regulatory Commission,3,6239,0,6239,0,0,0,0
10289,r283,Idaho -> Other agencies -> Postal Service,Idaho,Other agencies,Postal Service,3,272,0,0,272,0,0,0
10289,r284,Illinois,Illinois,,,1,3532719,227776,955130,649247,1531226,160557,8783
10289,r285,Illinois -> Departments,Illinois,Departments,,2,,,,,,,
10289,r286,Illinois -> Departments -> Department of Agriculture,Illinois,Departments,Department of Agriculture,3,71489,46963,0,675,23675,176,0
10289,r287,Illinois -> Departments -> Department of Commerce,Illinois,Departments,Department of Commerce,3,733,0,0,165,415,153,0
10289,r288,Illinois -> Departments -> Department of Defense,Illinois,Departments,Department of Defense,3,738833,118667,2241,460315,150970,6640,0
10289,r289,Illinois -> Departments -> Department of Education,Illinois,Departments,Department of Education,3,12290,0,0,400,3797,7916,178
10289,r290,Illinois -> Departments -> Department of Energy,Illinois,Departments,Department of Energy,3,1180994,229,945772,71757,117156,46003,77
10289,r291,Illinois -> Departments -> Department of Health and Human Services,Illinois,Departments,Department of Health and Human Services,3,1126582,0.05,4228,89566,946749,84354,1684
10289,r292,Illinois -> Departments -> Department of Homeland Security,Illinois,Departments,Department of Homeland Security,3,60,0,60,0,0,0,0
10289,r293,Illinois -> Departments -> Department of the Interior,Illinois,Departments,Department of the Interior,3,6996,6604,0,277,115,0,0
10289,r294,Illinois -> Departments -> Department of Justice,Illinois,Departments,Department of Justice,3,6195,0,0,108,3878,2210,0
10289,r295,Illinois -> Departments -> Department of Labor,Illinois,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r296,Illinois -> Departments -> Department of Transportation,Illinois,Departments,Department of Transportation,3,15026,0.05,0,1452,4077,2695,6795
10289,r297,Illinois -> Departments -> Department of the Treasury,Illinois,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r298,Illinois -> Departments -> Department of Veterans Affairs,Illinois,Departments,Department of Veterans Affairs,3,53327,53327,0,0,0,0,0
10289,r299,Illinois -> Other agencies,Illinois,Other agencies,,2,,,,,,,
10289,r300,Illinois -> Other agencies -> Consumer Product Safety Commission,Illinois,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r301,Illinois -> Other agencies -> Environmental Protection Agency,Illinois,Other agencies,Environmental Protection Agency,3,199,0,0,125,55,0.05,0
10289,r302,Illinois -> Other agencies -> National Aeronautics and Space Administration,Illinois,Other agencies,National Aeronautics and Space Administration,3,35848,1969,0,13060,20072,746,0
10289,r303,Illinois -> Other agencies -> National Science Foundation,Illinois,Other agencies,National Science Foundation,3,280273,0,0,11040,259590,9593,50
10289,r304,Illinois -> Other agencies -> Nuclear Regulatory Commission,Illinois,Other agencies,Nuclear Regulatory Commission,3,3410,0,2830,0.05,503,52,0
10289,r305,Illinois -> Other agencies -> Postal Service,Illinois,Other agencies,Postal Service,3,210,0,0,210,0,0,0
10289,r306,Illinois -> Other agencies -> Social Security Administration,Illinois,Other agencies,Social Security Administration,3,237,0,0,63,175,0,0
10289,r307,Indiana,Indiana,,,1,1080842,192813,0,176898,695567,1985,13579
10289,r308,Indiana -> Departments,Indiana,Departments,,2,,,,,,,
10289,r309,Indiana -> Departments -> Department of Agriculture,Indiana,Departments,Department of Agriculture,3,33890,5836,0,0,27796,0.05,211
10289,r310,Indiana -> Departments -> Department of Commerce,Indiana,Departments,Department of Commerce,3,5301,171,0,0,5130,0,0
10289,r311,Indiana -> Departments -> Department of Defense,Indiana,Departments,Department of Defense,3,394631,151987,0,136748,105012,882,0.05
10289,r312,Indiana -> Departments -> Department of Education,Indiana,Departments,Department of Education,3,1725,0,0,0,1725,0,0
10289,r313,Indiana -> Departments -> Department of Energy,Indiana,Departments,Department of Energy,3,46830,0.05,0,13217,33606,0,0
10289,r314,Indiana -> Departments -> Department of Health and Human Services,Indiana,Departments,Department of Health and Human Services,3,360522,0,0,8313,343463,706,8039
10289,r315,Indiana -> Departments -> Department of Homeland Security,Indiana,Departments,Department of Homeland Security,3,500,0,0,0,500,0,0
10289,r316,Indiana -> Departments -> Department of the Interior,Indiana,Departments,Department of the Interior,3,8783,7168,0,0,1615,0,0
10289,r317,Indiana -> Departments -> Department of Justice,Indiana,Departments,Department of Justice,3,1458,0,0,0,1458,0,0
10289,r318,Indiana -> Departments -> Department of Labor,Indiana,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r319,Indiana -> Departments -> Department of Transportation,Indiana,Departments,Department of Transportation,3,6100,0,0,0,771,0,5329
10289,r320,Indiana -> Departments -> Department of the Treasury,Indiana,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r321,Indiana -> Departments -> Department of Veterans Affairs,Indiana,Departments,Department of Veterans Affairs,3,27460,27460,0,0,0,0,0
10289,r322,Indiana -> Other agencies,Indiana,Other agencies,,2,,,,,,,
10289,r323,Indiana -> Other agencies -> Agency for International Development,Indiana,Other agencies,Agency for International Development,3,1250,0,0,0,1250,0,0
10289,r324,Indiana -> Other agencies -> Appalachian Regional Commission,Indiana,Other agencies,Appalachian Regional Commission,3,122,0,0,122,0,0,0
10289,r325,Indiana -> Other agencies -> Consumer Product Safety Commission,Indiana,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r326,Indiana -> Other agencies -> Environmental Protection Agency,Indiana,Other agencies,Environmental Protection Agency,3,1335,0,0,0,985,350,0
10289,r327,Indiana -> Other agencies -> National Aeronautics and Space Administration,Indiana,Other agencies,National Aeronautics and Space Administration,3,25831,180,0,13154,12496,0,0
10289,r328,Indiana -> Other agencies -> National Science Foundation,Indiana,Other agencies,National Science Foundation,3,164556,0,0,5296,159260,0,0
10289,r329,Indiana -> Other agencies -> Nuclear Regulatory Commission,Indiana,Other agencies,Nuclear Regulatory Commission,3,500,0,0,0,500,0,0
10289,r330,Indiana -> Other agencies -> Postal Service,Indiana,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r331,Iowa,Iowa,,,1,686259,86138,30517,215567,336602,1441,15995
10289,r332,Iowa -> Departments,Iowa,Departments,,2,,,,,,,
10289,r333,Iowa -> Departments -> Department of Agriculture,Iowa,Departments,Department of Agriculture,3,88787,54809,0,817,33061,50,50
10289,r334,Iowa -> Departments -> Department of Commerce,Iowa,Departments,Department of Commerce,3,285,0,0,195,90,0,0
10289,r335,Iowa -> Departments -> Department of Defense,Iowa,Departments,Department of Defense,3,201288,1674,0.05,179794,19651,165,0
10289,r336,Iowa -> Departments -> Department of Education,Iowa,Departments,Department of Education,3,858,0,0,0,858,0,0
10289,r337,Iowa -> Departments -> Department of Energy,Iowa,Departments,Department of Energy,3,65279,0,30513,22291,12474,0,0
10289,r338,Iowa -> Departments -> Department of Health and Human Services,Iowa,Departments,Department of Health and Human Services,3,227476,0,0,6913,209217,1226,10120
10289,r339,Iowa -> Departments -> Department of Homeland Security,Iowa,Departments,Department of Homeland Security,3,424,0,0,0,424,0,0
10289,r340,Iowa -> Departments -> Department of the Interior,Iowa,Departments,Department of the Interior,3,1284,984,0,0,300,0,0
10289,r341,Iowa -> Departments -> Department of Justice,Iowa,Departments,Department of Justice,3,1456,0,0,0,1456,0,0
10289,r342,Iowa -> Departments -> Department of Labor,Iowa,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r343,Iowa -> Departments -> Department of Transportation,Iowa,Departments,Department of Transportation,3,10878,0,0,194,4904,0,5781
10289,r344,Iowa -> Departments -> Department of the Treasury,Iowa,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r345,Iowa -> Departments -> Department of Veterans Affairs,Iowa,Departments,Department of Veterans Affairs,3,28551,28551,0,0,0,0,0
10289,r346,Iowa -> Other agencies,Iowa,Other agencies,,2,,,,,,,
10289,r347,Iowa -> Other agencies -> Consumer Product Safety Commission,Iowa,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r348,Iowa -> Other agencies -> Environmental Protection Agency,Iowa,Other agencies,Environmental Protection Agency,3,1375,0,0,1375,0,0,0
10289,r349,Iowa -> Other agencies -> National Aeronautics and Space Administration,Iowa,Other agencies,National Aeronautics and Space Administration,3,12197,115,0,951,11131,0,0
10289,r350,Iowa -> Other agencies -> National Science Foundation,Iowa,Other agencies,National Science Foundation,3,46065,0,0,2996,43025,0,0.05
10289,r351,Iowa -> Other agencies -> Postal Service,Iowa,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r352,Iowa -> Other agencies -> Social Security Administration,Iowa,Other agencies,Social Security Administration,3,0.05,0,0,0,0.05,0,0
10289,r353,Kansas,Kansas,,,1,413888,110996,0,27976,269284,2751,2881
10289,r354,Kansas -> Departments,Kansas,Departments,,2,,,,,,,
10289,r355,Kansas -> Departments -> Department of Agriculture,Kansas,Departments,Department of Agriculture,3,125506,103743,0,1127,20471,165,0
10289,r356,Kansas -> Departments -> Department of Commerce,Kansas,Departments,Department of Commerce,3,1400,0,0,0,1400,0,0
10289,r357,Kansas -> Departments -> Department of Defense,Kansas,Departments,Department of Defense,3,76716,1978,0,13565,61146,0.05,0
10289,r358,Kansas -> Departments -> Department of Education,Kansas,Departments,Department of Education,3,6053,0,0,0,6053,0,0
10289,r359,Kansas -> Departments -> Department of Energy,Kansas,Departments,Department of Energy,3,17922,0,0,4204,11188,1097,1432
10289,r360,Kansas -> Departments -> Department of Health and Human Services,Kansas,Departments,Department of Health and Human Services,3,111953,0,0,1348,108851,1463,290
10289,r361,Kansas -> Departments -> Department of the Interior,Kansas,Departments,Department of the Interior,3,5549,4627,0,0,922,0,0
10289,r362,Kansas -> Departments -> Department of Labor,Kansas,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r363,Kansas -> Departments -> Department of Transportation,Kansas,Departments,Department of Transportation,3,25570,0.05,0,4442,19933,0,1159
10289,r364,Kansas -> Departments -> Department of the Treasury,Kansas,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r365,Kansas -> Departments -> Department of Veterans Affairs,Kansas,Departments,Department of Veterans Affairs,3,488,488,0,0,0,0,0
10289,r366,Kansas -> Other agencies,Kansas,Other agencies,,2,,,,,,,
10289,r367,Kansas -> Other agencies -> Consumer Product Safety Commission,Kansas,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r368,Kansas -> Other agencies -> National Aeronautics and Space Administration,Kansas,Other agencies,National Aeronautics and Space Administration,3,7443,117,0,3071,4255,0,0
10289,r369,Kansas -> Other agencies -> National Science Foundation,Kansas,Other agencies,National Science Foundation,3,34346,0,0,200,34146,0,0
10289,r370,Kansas -> Other agencies -> Nuclear Regulatory Commission,Kansas,Other agencies,Nuclear Regulatory Commission,3,918,0,0,0,918,0,0
10289,r371,Kansas -> Other agencies -> Postal Service,Kansas,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r372,Kentucky,Kentucky,,,1,542299,167701,0,41637,313709,7430,11822
10289,r373,Kentucky -> Departments,Kentucky,Departments,,2,,,,,,,
10289,r374,Kentucky -> Departments -> Department of Agriculture,Kentucky,Departments,Department of Agriculture,3,25200,4226,0,107,20539,203,125
10289,r375,Kentucky -> Departments -> Department of Defense,Kentucky,Departments,Department of Defense,3,163425,126324,0,19105,16941,86,969
10289,r376,Kentucky -> Departments -> Department of Education,Kentucky,Departments,Department of Education,3,7239,0,0,0,483,4476,2280
10289,r377,Kentucky -> Departments -> Department of Energy,Kentucky,Departments,Department of Energy,3,34654,28047,0,2997,3491,120,0
10289,r378,Kentucky -> Departments -> Department of Health and Human Services,Kentucky,Departments,Department of Health and Human Services,3,260553,0,0,13405,240070,1421,5656
10289,r379,Kentucky -> Departments -> Department of Homeland Security,Kentucky,Departments,Department of Homeland Security,3,0.05,0,0,0.05,0,0,0
10289,r380,Kentucky -> Departments -> Department of the Interior,Kentucky,Departments,Department of the Interior,3,2222,1384,0,0,838,0,0
10289,r381,Kentucky -> Departments -> Department of Justice,Kentucky,Departments,Department of Justice,3,550,0,0,0,0,550,0
10289,r382,Kentucky -> Departments -> Department of Labor,Kentucky,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r383,Kentucky -> Departments -> Department of Transportation,Kentucky,Departments,Department of Transportation,3,2829,0,0,0.05,0,0,2792
10289,r384,Kentucky -> Departments -> Department of the Treasury,Kentucky,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r385,Kentucky -> Departments -> Department of Veterans Affairs,Kentucky,Departments,Department of Veterans Affairs,3,7717,7717,0,0,0,0,0
10289,r386,Kentucky -> Other agencies,Kentucky,Other agencies,,2,,,,,,,
10289,r387,Kentucky -> Other agencies -> Consumer Product Safety Commission,Kentucky,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r388,Kentucky -> Other agencies -> Environmental Protection Agency,Kentucky,Other agencies,Environmental Protection Agency,3,638,0,0,638,0,0,0
10289,r389,Kentucky -> Other agencies -> National Aeronautics and Space Administration,Kentucky,Other agencies,National Aeronautics and Space Administration,3,6236,0,0,3340,2896,0,0
10289,r390,Kentucky -> Other agencies -> National Science Foundation,Kentucky,Other agencies,National Science Foundation,3,31005,0,0,1980,28451,573,0
10289,r391,Kentucky -> Other agencies -> Postal Service,Kentucky,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r392,Louisiana,Louisiana,,,1,456813,65636,0,91297,266781,7721,25378
10289,r393,Louisiana -> Departments,Louisiana,Departments,,2,,,,,,,
10289,r394,Louisiana -> Departments -> Department of Agriculture,Louisiana,Departments,Department of Agriculture,3,45412,32110,0,100,12952,0,250
10289,r395,Louisiana -> Departments -> Department of Commerce,Louisiana,Departments,Department of Commerce,3,2572,94,0,0,2263,100,115
10289,r396,Louisiana -> Departments -> Department of Defense,Louisiana,Departments,Department of Defense,3,89377,6611,0,75950,5573,1243,0.05
10289,r397,Louisiana -> Departments -> Department of Education,Louisiana,Departments,Department of Education,3,3956,0,0,0,1678,2278,0
10289,r398,Louisiana -> Departments -> Department of Energy,Louisiana,Departments,Department of Energy,3,12517,0,0,3964,8424,0,129
10289,r399,Louisiana -> Departments -> Department of Health and Human Services,Louisiana,Departments,Department of Health and Human Services,3,212571,2832,0,2960,193048,2155,11577
10289,r400,Louisiana -> Departments -> Department of the Interior,Louisiana,Departments,Department of the Interior,3,20658,18050,0,490,862,315,941
10289,r401,Louisiana -> Departments -> Department of Labor,Louisiana,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r402,Louisiana -> Departments -> Department of Transportation,Louisiana,Departments,Department of Transportation,3,6252,0,0,0,2583,0,3669
10289,r403,Louisiana -> Departments -> Department of the Treasury,Louisiana,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r404,Louisiana -> Departments -> Department of Veterans Affairs,Louisiana,Departments,Department of Veterans Affairs,3,5936,5936,0,0,0,0,0
10289,r405,Louisiana -> Other agencies,Louisiana,Other agencies,,2,,,,,,,
10289,r406,Louisiana -> Other agencies -> Consumer Product Safety Commission,Louisiana,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r407,Louisiana -> Other agencies -> Environmental Protection Agency,Louisiana,Other agencies,Environmental Protection Agency,3,7912,0,0,6037,1383,492,0
10289,r408,Louisiana -> Other agencies -> National Aeronautics and Space Administration,Louisiana,Other agencies,National Aeronautics and Space Administration,3,2453,0,0,504,1804,0,145
10289,r409,Louisiana -> Other agencies -> National Science Foundation,Louisiana,Other agencies,National Science Foundation,3,47175,0,0,1273,36211,1139,8552
10289,r410,Louisiana -> Other agencies -> Postal Service,Louisiana,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r411,Maine,Maine,,,1,248866,16710,2040,55631,58224,108068,8193
10289,r412,Maine -> Departments,Maine,Departments,,2,,,,,,,
10289,r413,Maine -> Departments -> Department of Agriculture,Maine,Departments,Department of Agriculture,3,19700,3438,0,873,13808,872,710
10289,r414,Maine -> Departments -> Department of Commerce,Maine,Departments,Department of Commerce,3,3039,0,0,0,2177,862,0
10289,r415,Maine -> Departments -> Department of Defense,Maine,Departments,Department of Defense,3,24985,4196,2040,15898,1885,966,0
10289,r416,Maine -> Departments -> Department of Energy,Maine,Departments,Department of Energy,3,24797,0,0,9393,15276,0,129
10289,r417,Maine -> Departments -> Department of Health and Human Services,Maine,Departments,Department of Health and Human Services,3,110019,0,0,2070,5452,97121,5377
10289,r418,Maine -> Departments -> Department of Homeland Security,Maine,Departments,Department of Homeland Security,3,24942,6966,0,17664,0,0,312
10289,r419,Maine -> Departments -> Department of the Interior,Maine,Departments,Department of the Interior,3,2493,1941,0,0,0,0,552
10289,r420,Maine -> Departments -> Department of Labor,Maine,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r421,Maine -> Departments -> Department of Transportation,Maine,Departments,Department of Transportation,3,5027,0,0,1330,2583,0,1114
10289,r422,Maine -> Departments -> Department of the Treasury,Maine,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r423,Maine -> Departments -> Department of Veterans Affairs,Maine,Departments,Department of Veterans Affairs,3,169,169,0,0,0,0,0
10289,r424,Maine -> Other agencies,Maine,Other agencies,,2,,,,,,,
10289,r425,Maine -> Other agencies -> Consumer Product Safety Commission,Maine,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r426,Maine -> Other agencies -> Environmental Protection Agency,Maine,Other agencies,Environmental Protection Agency,3,128,0,0,128,0,0,0
10289,r427,Maine -> Other agencies -> National Aeronautics and Space Administration,Maine,Other agencies,National Aeronautics and Space Administration,3,9735,0,0,7365,1792,578,0
10289,r428,Maine -> Other agencies -> National Science Foundation,Maine,Other agencies,National Science Foundation,3,23708,0,0,787,15252,7669,0
10289,r429,Maine -> Other agencies -> Nuclear Regulatory Commission,Maine,Other agencies,Nuclear Regulatory Commission,3,79,0,0,79,0,0,0
10289,r430,Maine -> Other agencies -> Postal Service,Maine,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r431,Maryland,Maryland,,,1,17564594,10740753,681970,3108944,2598098,395409,39419
10289,r432,Maryland -> Departments,Maryland,Departments,,2,,,,,,,
10289,r433,Maryland -> Departments -> Department of Agriculture,Maryland,Departments,Department of Agriculture,3,204879,182061,0,830,21965,0.05,0
10289,r434,Maryland -> Departments -> Department of Commerce,Maryland,Departments,Department of Commerce,3,1163430,1101004,19914,30749,11193,570,0
10289,r435,Maryland -> Departments -> Department of Defense,Maryland,Departments,Department of Defense,3,5188173,2767624,5194,1335722,777786,301536,310
10289,r436,Maryland -> Departments -> Department of Education,Maryland,Departments,Department of Education,3,11261,0,0,3470,6054,1738,0
10289,r437,Maryland -> Departments -> Department of Energy,Maryland,Departments,Department of Energy,3,68236,1598,0,31092,15931,2211,17404
10289,r438,Maryland -> Departments -> Department of Health and Human Services,Maryland,Departments,Department of Health and Human Services,3,8905780,6478470,656862,540225,1131700,81767,16757
10289,r439,Maryland -> Departments -> Department of Homeland Security,Maryland,Departments,Department of Homeland Security,3,19383,7941,0,11002,440,0,0
10289,r440,Maryland -> Departments -> Department of the Interior,Maryland,Departments,Department of the Interior,3,39829,37457,0,1157,312,523,380
10289,r441,Maryland -> Departments -> Department of Justice,Maryland,Departments,Department of Justice,3,5690,4521,0,1072,0,0,97
10289,r442,Maryland -> Departments -> Department of Labor,Maryland,Departments,Department of Labor,3,553,438,0,114,0,0,0
