table_id,row_id,_b_field_of_study_b_full_path,_b_field_of_study_b_level_1,_b_field_of_study_b_level_2,_b_field_of_study_b_level_3,_b_field_of_study_b_level_4,_b_field_of_study_b_level_5,_b_field_of_study_b_hierarchy_depth,field_totala,field_male,field_female,field__female
4653,r145,"All fields -> Psychology and social sciences -> Social sciences  -> Anthropology  -> Anthropology, physical and biological",All fields,Psychology and social sciences,Social sciences ,Anthropology ,"Anthropology, physical and biological",5,99,26,73,73.7
4653,r146,All fields -> Psychology and social sciences -> Social sciences  -> Economics ,All fields,Psychology and social sciences,Social sciences ,Economics ,,4,1216,809,407,33.5
4653,r147,"All fields -> Psychology and social sciences -> Social sciences  -> Economics  -> Econometrics, economics",All fields,Psychology and social sciences,Social sciences ,Economics ,"Econometrics, economics",5,1171,785,386,33.0
4653,r148,All fields -> Psychology and social sciences -> Social sciences  -> Economics  -> Natural resources and environmental economics (social sciences),All fields,Psychology and social sciences,Social sciences ,Economics ,Natural resources and environmental economics (social sciences),5,45,24,21,46.7
4653,r149,All fields -> Psychology and social sciences -> Social sciences  -> Political science and government,All fields,Psychology and social sciences,Social sciences ,Political science and government,,4,637,388,249,39.1
4653,r150,All fields -> Psychology and social sciences -> Social sciences  -> Sociology,All fields,Psychology and social sciences,Social sciences ,Sociology,,4,607,243,364,60.0
4653,r151,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences,All fields,Psychology and social sciences,Social sciences ,Other social sciences,,4,2159,921,1238,57.3
4653,r152,"All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> American, U.S. studies",All fields,Psychology and social sciences,Social sciences ,Other social sciences,"American, U.S. studies",5,57,23,34,59.6
4653,r153,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Applied linguistics,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Applied linguistics,5,95,37,58,61.1
4653,r154,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Archaeology (social sciences),All fields,Psychology and social sciences,Social sciences ,Other social sciences,Archaeology (social sciences),5,116,45,71,61.2
4653,r155,"All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Area, ethnic, and cultural studies",All fields,Psychology and social sciences,Social sciences ,Other social sciences,"Area, ethnic, and cultural studies",5,156,58,98,62.8
4653,r156,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Criminal justice and corrections,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Criminal justice and corrections,5,135,54,81,60.0
4653,r157,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Criminology,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Criminology,5,103,39,64,62.1
4653,r158,"All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Demography, gerontology, statistics, urban affairs, social sciences- general, social sciences-other",All fields,Psychology and social sciences,Social sciences ,Other social sciences,"Demography, gerontology, statistics, urban affairs, social sciences- general, social sciences-other",5,295,111,184,62.4
4653,r159,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Gender and women's studies,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Gender and women's studies,5,50,8,42,84.0
4653,r160,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Geography,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Geography,5,301,147,154,51.2
4653,r161,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Health policy analysis,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Health policy analysis,5,56,18,38,67.9
4653,r162,"All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> History, science and technology and society",All fields,Psychology and social sciences,Social sciences ,Other social sciences,"History, science and technology and society",5,61,34,27,44.3
4653,r163,"All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> International relations, international affairs",All fields,Psychology and social sciences,Social sciences ,Other social sciences,"International relations, international affairs",5,131,75,56,42.7
4653,r164,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Linguistics,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Linguistics,5,232,105,127,54.7
4653,r165,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Public policy analysis,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Public policy analysis,5,249,105,144,57.8
4653,r166,"All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences -> Urban, city, community and regional planning",All fields,Psychology and social sciences,Social sciences ,Other social sciences,"Urban, city, community and regional planning",5,122,62,60,49.2
4653,r167,All fields -> Engineering,All fields,Engineering,,,,2,10476,7882,2593,24.8
4653,r168,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,399,329,70,17.5
4653,r169,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,,,3,1083,653,430,39.7
4653,r170,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,,3,994,695,299,30.1
4653,r171,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,,3,796,586,210,26.4
4653,r172,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",,,3,1973,1630,343,17.4
4653,r173,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,,,3,304,209,95,31.3
4653,r174,All fields -> Engineering -> Materials science engineering,All fields,Engineering,Materials science engineering,,,3,880,638,242,27.5
4653,r175,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,,3,1634,1373,261,16.0
4653,r176,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,,3,2413,1769,643,26.6
4653,r177,All fields -> Engineering -> Other engineering -> Computer engineering,All fields,Engineering,Other engineering,Computer engineering,,4,479,377,102,21.3
4653,r178,"All fields -> Engineering -> Other engineering -> Environmental, environmental health engineering",All fields,Engineering,Other engineering,"Environmental, environmental health engineering",,4,242,132,110,45.5
4653,r179,All fields -> Engineering -> Other engineering -> Nuclear engineering,All fields,Engineering,Other engineering,Nuclear engineering,,4,169,134,35,20.7
4653,r180,All fields -> Engineering -> Other engineering -> Robotics,All fields,Engineering,Other engineering,Robotics,,4,144,123,21,14.6
4653,r181,All fields -> Engineering -> Other engineering -> Structural engineering,All fields,Engineering,Other engineering,Structural engineering,,4,113,99,14,12.4
4653,r182,All fields -> Engineering -> Other engineering -> Systems engineering,All fields,Engineering,Other engineering,Systems engineering,,4,119,87,32,26.9
4653,r183,"All fields -> Engineering -> Other engineering -> Other engineering, aggregated",All fields,Engineering,Other engineering,"Other engineering, aggregated",,4,1147,817,329,28.7
4653,r184,All fields -> Education,All fields,Education,,,,2,4716,1456,3259,69.1
4653,r185,All fields -> Education -> Education administration,All fields,Education,Education administration,,,3,927,346,580,62.6
4653,r186,All fields -> Education -> Education administration -> Educational administration and supervision,All fields,Education,Education administration,Educational administration and supervision,,4,150,68,81,54.0
4653,r187,"All fields -> Education -> Education administration -> Educational and human resource studies, development",All fields,Education,Education administration,"Educational and human resource studies, development",,4,44,16,28,63.6
4653,r188,All fields -> Education -> Education administration -> Educational leadership,All fields,Education,Education administration,Educational leadership,,4,673,241,432,64.2
4653,r189,All fields -> Education -> Education administration -> Urban education and leadership,All fields,Education,Education administration,Urban education and leadership,,4,60,21,39,65.0
4653,r190,All fields -> Education -> Education research ,All fields,Education,Education research ,,,3,2279,665,1614,70.8
4653,r191,"All fields -> Education -> Education research  -> Counseling education, counseling and guidance",All fields,Education,Education research ,"Counseling education, counseling and guidance",,4,232,60,172,74.1
4653,r192,"All fields -> Education -> Education research  -> Curriculum, instruction, educational assessment/ measurement",All fields,Education,Education research ,"Curriculum, instruction, educational assessment/ measurement",,4,525,138,387,73.7
4653,r193,All fields -> Education -> Education research  -> Educational policy analysis,All fields,Education,Education research ,Educational policy analysis,,4,123,48,75,61.0
4653,r194,All fields -> Education -> Education research  -> Educational psychology (education),All fields,Education,Education research ,Educational psychology (education),,4,190,45,145,76.3
4653,r195,"All fields -> Education -> Education research  -> Educational statistics, research methods",All fields,Education,Education research ,"Educational statistics, research methods",,4,91,30,61,67.0
4653,r196,"All fields -> Education -> Education research  -> Educational/ instructional technology, media design",All fields,Education,Education research ,"Educational/ instructional technology, media design",,4,197,78,119,60.4
4653,r197,All fields -> Education -> Education research  -> Higher education evaluation and research,All fields,Education,Education research ,Higher education evaluation and research,,4,408,162,246,60.3
4653,r198,All fields -> Education -> Education research  -> Learning sciences,All fields,Education,Education research ,Learning sciences,,4,65,17,48,73.8
4653,r199,All fields -> Education -> Education research  -> School psychology (education),All fields,Education,Education research ,School psychology (education),,4,108,12,96,88.9
4653,r200,All fields -> Education -> Education research  -> Social and philosophical foundations of education,All fields,Education,Education research ,Social and philosophical foundations of education,,4,67,24,43,64.2
4653,r201,All fields -> Education -> Education research  -> Special education,All fields,Education,Education research ,Special education,,4,273,51,222,81.3
4653,r202,All fields -> Education -> Teacher education,All fields,Education,Teacher education,,,3,113,28,85,75.2
4653,r203,All fields -> Education -> Teaching fields ,All fields,Education,Teaching fields ,,,3,940,292,648,68.9
4653,r204,All fields -> Education -> Teaching fields  -> Health education,All fields,Education,Teaching fields ,Health education,,4,50,13,37,74.0
4653,r205,All fields -> Education -> Teaching fields  -> Literacy and reading education,All fields,Education,Teaching fields ,Literacy and reading education,,4,127,24,103,81.1
4653,r206,All fields -> Education -> Teaching fields  -> Mathematics education,All fields,Education,Teaching fields ,Mathematics education,,4,122,49,73,59.8
4653,r207,All fields -> Education -> Teaching fields  -> Music education,All fields,Education,Teaching fields ,Music education,,4,84,48,36,42.9
4653,r208,All fields -> Education -> Teaching fields  -> Science education,All fields,Education,Teaching fields ,Science education,,4,139,34,105,75.5
4653,r209,"All fields -> Education -> Teaching fields  -> Teaching fields, aggregated",All fields,Education,Teaching fields ,"Teaching fields, aggregated",,4,418,124,294,70.3
4653,r210,All fields -> Education -> Other education ,All fields,Education,Other education ,,,3,457,125,332,72.6
4653,r211,"All fields -> Education -> Other education  -> Education, general",All fields,Education,Other education ,"Education, general",,4,258,79,179,69.4
4653,r212,"All fields -> Education -> Other education  -> Other education, aggregated",All fields,Education,Other education ,"Other education, aggregated",,4,199,46,153,76.9
4653,r213,All fields -> Humanities and arts,All fields,Humanities and arts,,,,2,4939,2516,2423,49.1
4653,r214,All fields -> Humanities and arts -> Foreign languages and literature,All fields,Humanities and arts,Foreign languages and literature,,,3,564,223,341,60.5
4653,r215,All fields -> Humanities and arts -> Foreign languages and literature -> French,All fields,Humanities and arts,Foreign languages and literature,French,,4,89,29,60,67.4
4653,r216,All fields -> Humanities and arts -> Foreign languages and literature -> German,All fields,Humanities and arts,Foreign languages and literature,German,,4,49,22,27,55.1
4653,r217,All fields -> Humanities and arts -> Foreign languages and literature -> Spanish,All fields,Humanities and arts,Foreign languages and literature,Spanish,,4,162,63,99,61.1
4653,r218,"All fields -> Humanities and arts -> Foreign languages and literature -> Other languages and literature, aggregated",All fields,Humanities and arts,Foreign languages and literature,"Other languages and literature, aggregated",,4,264,109,155,58.7
4653,r219,All fields -> Humanities and arts -> History,All fields,Humanities and arts,History,,,3,887,512,375,42.3
4653,r220,"All fields -> Humanities and arts -> History -> American history, United States and Canada",All fields,Humanities and arts,History,"American history, United States and Canada",,4,319,195,124,38.9
4653,r221,All fields -> Humanities and arts -> History -> Asian history,All fields,Humanities and arts,History,Asian history,,4,79,43,36,45.6
4653,r222,All fields -> Humanities and arts -> History -> European history,All fields,Humanities and arts,History,European history,,4,148,80,68,45.9
4653,r223,All fields -> Humanities and arts -> History -> Latin American history,All fields,Humanities and arts,History,Latin American history,,4,42,24,18,42.9
4653,r224,"All fields -> Humanities and arts -> History -> Middle, Near East history",All fields,Humanities and arts,History,"Middle, Near East history",,4,46,26,20,43.5
4653,r225,"All fields -> Humanities and arts -> History -> History, general",All fields,Humanities and arts,History,"History, general",,4,132,74,58,43.9
4653,r226,"All fields -> Humanities and arts -> History -> History, aggregated",All fields,Humanities and arts,History,"History, aggregated",,4,121,70,51,42.1
4653,r227,All fields -> Humanities and arts -> Letters,All fields,Humanities and arts,Letters,,,3,1392,589,803,57.7
4653,r228,"All fields -> Humanities and arts -> Letters -> American literature, United States and Canada",All fields,Humanities and arts,Letters,"American literature, United States and Canada",,4,247,119,128,51.8
4653,r229,All fields -> Humanities and arts -> Letters -> Classics,All fields,Humanities and arts,Letters,Classics,,4,85,49,36,42.4
4653,r230,All fields -> Humanities and arts -> Letters -> Comparative literature,All fields,Humanities and arts,Letters,Comparative literature,,4,175,82,93,53.1
4653,r231,All fields -> Humanities and arts -> Letters -> English language,All fields,Humanities and arts,Letters,English language,,4,184,85,99,53.8
4653,r232,"All fields -> Humanities and arts -> Letters -> English literature, British and Commonwealth",All fields,Humanities and arts,Letters,"English literature, British and Commonwealth",,4,335,112,223,66.6
4653,r233,All fields -> Humanities and arts -> Letters -> Rhetoric and composition,All fields,Humanities and arts,Letters,Rhetoric and composition,,4,206,72,134,65.0
4653,r234,All fields -> Humanities and arts -> Letters -> Speech and rhetorical studies,All fields,Humanities and arts,Letters,Speech and rhetorical studies,,4,33,16,17,51.5
4653,r235,"All fields -> Humanities and arts -> Letters -> Letters, aggregated",All fields,Humanities and arts,Letters,"Letters, aggregated",,4,127,54,73,57.5
4653,r236,All fields -> Humanities and arts -> Other humanities and arts,All fields,Humanities and arts,Other humanities and arts,,,3,2096,1192,904,43.1
4653,r237,"All fields -> Humanities and arts -> Other humanities and arts -> African American studies, literature, and history",All fields,Humanities and arts,Other humanities and arts,"African American studies, literature, and history",,4,68,25,43,63.2
4653,r238,"All fields -> Humanities and arts -> Other humanities and arts -> Art history, criticism, and conservation",All fields,Humanities and arts,Other humanities and arts,"Art history, criticism, and conservation",,4,223,45,178,79.8
4653,r239,"All fields -> Humanities and arts -> Other humanities and arts -> Dance, drama",All fields,Humanities and arts,Other humanities and arts,"Dance, drama",,4,92,36,56,60.9
4653,r240,"All fields -> Humanities and arts -> Other humanities and arts -> Film, cinema, video studies",All fields,Humanities and arts,Other humanities and arts,"Film, cinema, video studies",,4,83,40,43,51.8
4653,r241,All fields -> Humanities and arts -> Other humanities and arts -> Music,All fields,Humanities and arts,Other humanities and arts,Music,,4,76,42,34,44.7
4653,r242,All fields -> Humanities and arts -> Other humanities and arts -> Musicology and ethnomusicology,All fields,Humanities and arts,Other humanities and arts,Musicology and ethnomusicology,,4,126,56,70,55.6
4653,r243,All fields -> Humanities and arts -> Other humanities and arts -> Music performance,All fields,Humanities and arts,Other humanities and arts,Music performance,,4,136,71,65,47.8
4653,r244,All fields -> Humanities and arts -> Other humanities and arts -> Music theory and composition,All fields,Humanities and arts,Other humanities and arts,Music theory and composition,,4,116,84,32,27.6
4653,r245,"All fields -> Humanities and arts -> Other humanities and arts -> Philosophy, ethics",All fields,Humanities and arts,Other humanities and arts,"Philosophy, ethics",,4,460,334,126,27.4
4653,r246,"All fields -> Humanities and arts -> Other humanities and arts -> Religion/ religious studies, Jewish/ Judaic studies",All fields,Humanities and arts,Other humanities and arts,"Religion/ religious studies, Jewish/ Judaic studies",,4,227,139,88,38.8
4653,r247,"All fields -> Humanities and arts -> Other humanities and arts -> Theology, religious education",All fields,Humanities and arts,Other humanities and arts,"Theology, religious education",,4,214,163,51,23.8
4653,r248,"All fields -> Humanities and arts -> Other humanities and arts -> Other humanities, aggregated",All fields,Humanities and arts,Other humanities and arts,"Other humanities, aggregated",,4,275,157,118,42.9
4653,r249,All fields -> Other<sup>b</sup>,All fields,Other<sup>b</sup>,,,,2,3006,1417,1589,52.9
4653,r250,All fields -> Other<sup>b</sup> -> Business management and administration,All fields,Other<sup>b</sup>,Business management and administration,,,3,1466,851,615,42.0
4653,r251,All fields -> Other<sup>b</sup> -> Business management and administration -> Accounting,All fields,Other<sup>b</sup>,Business management and administration,Accounting,,4,157,82,75,47.8
4653,r252,All fields -> Other<sup>b</sup> -> Business management and administration -> Business administration and management,All fields,Other<sup>b</sup>,Business management and administration,Business administration and management,,4,302,186,116,38.4
4653,r253,All fields -> Other<sup>b</sup> -> Business management and administration -> Finance,All fields,Other<sup>b</sup>,Business management and administration,Finance,,4,198,148,50,25.3
4653,r254,"All fields -> Other<sup>b</sup> -> Business management and administration -> Human resources, organizational behavior",All fields,Other<sup>b</sup>,Business management and administration,"Human resources, organizational behavior",,4,216,95,121,56.0
4653,r255,"All fields -> Other<sup>b</sup> -> Business management and administration -> Management information systems, business statistics",All fields,Other<sup>b</sup>,Business management and administration,"Management information systems, business statistics",,4,109,65,44,40.4
4653,r256,All fields -> Other<sup>b</sup> -> Business management and administration -> Marketing management and research,All fields,Other<sup>b</sup>,Business management and administration,Marketing management and research,,4,109,58,51,46.8
4653,r257,All fields -> Other<sup>b</sup> -> Business management and administration -> Other aggregated business fields,All fields,Other<sup>b</sup>,Business management and administration,Other aggregated business fields,,4,375,217,158,42.1
4653,r258,All fields -> Other<sup>b</sup> -> Communication,All fields,Other<sup>b</sup>,Communication,,,3,593,230,363,61.2
4653,r259,All fields -> Other<sup>b</sup> -> Communication -> Communication research,All fields,Other<sup>b</sup>,Communication,Communication research,,4,141,45,96,68.1
4653,r260,"All fields -> Other<sup>b</sup> -> Communication -> Mass communication, media studies",All fields,Other<sup>b</sup>,Communication,"Mass communication, media studies",,4,188,85,103,54.8
4653,r261,"All fields -> Other<sup>b</sup> -> Communication -> Communication, general",All fields,Other<sup>b</sup>,Communication,"Communication, general",,4,174,64,110,63.2
4653,r262,"All fields -> Other<sup>b</sup> -> Communication -> Communication, aggregated",All fields,Other<sup>b</sup>,Communication,"Communication, aggregated",,4,90,36,54,60.0
4653,r263,All fields -> Other<sup>b</sup> -> Non-S&E fields nec,All fields,Other<sup>b</sup>,Non-S&E fields nec,,,3,947,336,611,64.5
4653,r264,All fields -> Other<sup>b</sup> -> Non-S&E fields nec -> Architecture and environmental design,All fields,Other<sup>b</sup>,Non-S&E fields nec,Architecture and environmental design,,4,120,47,73,60.8
4653,r265,"All fields -> Other<sup>b</sup> -> Non-S&E fields nec -> Family, consumer sciences and human sciences",All fields,Other<sup>b</sup>,Non-S&E fields nec,"Family, consumer sciences and human sciences",,4,91,26,65,71.4
4653,r266,"All fields -> Other<sup>b</sup> -> Non-S&E fields nec -> Parks, sports, recreation, leisure and fitness",All fields,Other<sup>b</sup>,Non-S&E fields nec,"Parks, sports, recreation, leisure and fitness",,4,57,28,29,50.9
4653,r267,All fields -> Other<sup>b</sup> -> Non-S&E fields nec -> Public administration,All fields,Other<sup>b</sup>,Non-S&E fields nec,Public administration,,4,221,93,128,57.9
4653,r268,All fields -> Other<sup>b</sup> -> Non-S&E fields nec -> Social work,All fields,Other<sup>b</sup>,Non-S&E fields nec,Social work,,4,310,71,239,77.1
4653,r269,"All fields -> Other<sup>b</sup> -> Non-S&E fields nec -> Fields nec, aggregated",All fields,Other<sup>b</sup>,Non-S&E fields nec,"Fields nec, aggregated",,4,148,71,77,52.0
