table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_performersa_all,field_r_d_performersa_intramural,field_r_d_performersa_extramural,field_r_d_plantb
9944,r177,United States<sup>c</sup> -> Maryland -> Technology Development Corporation,United States<sup>c</sup>,Maryland,Technology Development Corporation,3,11227112,0,11227112,0
9944,r178,"United States<sup>c</sup> -> Maryland -> Transportation, Department of",United States<sup>c</sup>,Maryland,"Transportation, Department of",3,2643003,591593,2051410,0
9944,r179,United States<sup>c</sup> -> Massachusetts,United States<sup>c</sup>,Massachusetts,,2,26616423,1636998,24979425,4484231
9944,r180,United States<sup>c</sup> -> Massachusetts -> Clean Energy Technology Center,United States<sup>c</sup>,Massachusetts,Clean Energy Technology Center,3,6848706,0,6848706,0
9944,r181,"United States<sup>c</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>c</sup>,Massachusetts,"Environmental Protection, Department of ",3,1771575,278302,1493273,0
9944,r182,"United States<sup>c</sup> -> Massachusetts -> Fish and Game, Department of ",United States<sup>c</sup>,Massachusetts,"Fish and Game, Department of ",3,1064180,842896,221284,0
9944,r183,United States<sup>c</sup> -> Massachusetts -> Gaming Commission,United States<sup>c</sup>,Massachusetts,Gaming Commission,3,2831240,215800,2615440,0
9944,r184,United States<sup>c</sup> -> Massachusetts -> MassVentures,United States<sup>c</sup>,Massachusetts,MassVentures,3,3400000,0,3400000,0
9944,r185,"United States<sup>c</sup> -> Massachusetts -> Mental Health, Department of",United States<sup>c</sup>,Massachusetts,"Mental Health, Department of",3,2306184,0,2306184,0
9944,r186,"United States<sup>c</sup> -> Massachusetts -> Public Health, Department of ",United States<sup>c</sup>,Massachusetts,"Public Health, Department of ",3,1888570,0,1888570,0
9944,r187,United States<sup>c</sup> -> Massachusetts -> Technology Park Corporation ,United States<sup>c</sup>,Massachusetts,Technology Park Corporation ,3,1805968,0,1805968,4484231
9944,r188,"United States<sup>c</sup> -> Massachusetts -> Transportation, Department of",United States<sup>c</sup>,Massachusetts,"Transportation, Department of",3,4050000,0,4050000,0
9944,r189,United States<sup>c</sup> -> Massachusetts -> Water Resources Authority,United States<sup>c</sup>,Massachusetts,Water Resources Authority,3,650000,300000,350000,0
9944,r190,United States<sup>c</sup> -> Michigan,United States<sup>c</sup>,Michigan,,2,30525914,254848,30271066,0
9944,r191,"United States<sup>c</sup> -> Michigan -> Agriculture and Rural Development, Department of",United States<sup>c</sup>,Michigan,"Agriculture and Rural Development, Department of",3,3198958,68044,3130914,0
9944,r192,"United States<sup>c</sup> -> Michigan -> Environmental, Great Lakes, and Energy, Department of",United States<sup>c</sup>,Michigan,"Environmental, Great Lakes, and Energy, Department of",3,438854,186804,252050,0
9944,r193,United States<sup>c</sup> -> Michigan -> Health and Human Services,United States<sup>c</sup>,Michigan,Health and Human Services,3,662258,0,662258,0
9944,r194,United States<sup>c</sup> -> Michigan -> Licensing and Regulatory Affairs,United States<sup>c</sup>,Michigan,Licensing and Regulatory Affairs,3,20000000,0,20000000,0
9944,r195,"United States<sup>c</sup> -> Michigan -> Transportation, Department of",United States<sup>c</sup>,Michigan,"Transportation, Department of",3,6225844,0,6225844,0
9944,r196,United States<sup>c</sup> -> Minnesota,United States<sup>c</sup>,Minnesota,,2,25093959,3038564,22055395,0
9944,r197,"United States<sup>c</sup> -> Minnesota -> Agriculture, Department of",United States<sup>c</sup>,Minnesota,"Agriculture, Department of",3,5160630,996789,4163841,0
9944,r198,United States<sup>c</sup> -> Minnesota -> Forest Resources Council,United States<sup>c</sup>,Minnesota,Forest Resources Council,3,75000,0,75000,0
9944,r199,"United States<sup>c</sup> -> Minnesota -> Midwest Dairy Association, Minnesota Division",United States<sup>c</sup>,Minnesota,"Midwest Dairy Association, Minnesota Division",3,228492,0,228492,0
9944,r200,"United States<sup>c</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>c</sup>,Minnesota,"Natural Resources, Department of",3,2220492,2041775,178717,0
9944,r201,United States<sup>c</sup> -> Minnesota -> Pollution Control Agency,United States<sup>c</sup>,Minnesota,Pollution Control Agency,3,233164,0,233164,0
9944,r202,"United States<sup>c</sup> -> Minnesota -> Transportation, Department of",United States<sup>c</sup>,Minnesota,"Transportation, Department of",3,17176181,0,17176181,0
9944,r203,United States<sup>c</sup> -> Mississippi,United States<sup>c</sup>,Mississippi,,2,9788541,2820168,6968373,0
9944,r204,"United States<sup>c</sup> -> Mississippi -> Agriculture and Commerce, Department of ",United States<sup>c</sup>,Mississippi,"Agriculture and Commerce, Department of ",3,114017,0,114017,0
9944,r205,"United States<sup>c</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>c</sup>,Mississippi,"Environmental Quality, Department of",3,833599,97936,735663,0
9944,r206,United States<sup>c</sup> -> Mississippi -> Gulf States Marine Fisheries Commission,United States<sup>c</sup>,Mississippi,Gulf States Marine Fisheries Commission,3,927742,91946,835796,0
9944,r207,"United States<sup>c</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>c</sup>,Mississippi,"Marine Resources, Department of",3,2131369,1796095,335274,0
9944,r208,"United States<sup>c</sup> -> Mississippi -> Transportation, Department of",United States<sup>c</sup>,Mississippi,"Transportation, Department of",3,3300333,100000,3200333,0
9944,r209,"United States<sup>c</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>c</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,2481481,734191,1747290,0
9944,r210,United States<sup>c</sup> -> Missouri,United States<sup>c</sup>,Missouri,,2,12430684,4338958,8091726,0
9944,r211,"United States<sup>c</sup> -> Missouri -> Agriculture, Department of",United States<sup>c</sup>,Missouri,"Agriculture, Department of",3,1197350,0,1197350,0
9944,r212,"United States<sup>c</sup> -> Missouri -> Conservation, Department of",United States<sup>c</sup>,Missouri,"Conservation, Department of",3,7039079,4338958,2700121,0
9944,r213,"United States<sup>c</sup> -> Missouri -> Mental Health, Department of",United States<sup>c</sup>,Missouri,"Mental Health, Department of",3,242500,0,242500,0
9944,r214,"United States<sup>c</sup> -> Missouri -> Natural Resources, Department of",United States<sup>c</sup>,Missouri,"Natural Resources, Department of",3,174359,0,174359,0
9944,r215,United States<sup>c</sup> -> Missouri -> Technology Corporation,United States<sup>c</sup>,Missouri,Technology Corporation,3,500000,0,500000,0
9944,r216,"United States<sup>c</sup> -> Missouri -> Transportation, Department of",United States<sup>c</sup>,Missouri,"Transportation, Department of",3,2646956,0,2646956,0
9944,r217,United States<sup>c</sup> -> Missouri -> Wine and Grape Board,United States<sup>c</sup>,Missouri,Wine and Grape Board,3,630440,0,630440,0
9944,r218,United States<sup>c</sup> -> Montana,United States<sup>c</sup>,Montana,,2,9752216,3400729,6351487,0
9944,r219,"United States<sup>c</sup> -> Montana -> Agriculture, Department of",United States<sup>c</sup>,Montana,"Agriculture, Department of",3,3359243,0,3359243,0
9944,r220,"United States<sup>c</sup> -> Montana -> Environmental Quality, Department of",United States<sup>c</sup>,Montana,"Environmental Quality, Department of",3,55000,55000,0,0
9944,r221,"United States<sup>c</sup> -> Montana -> Fish, Wildlife and Parks, Department of",United States<sup>c</sup>,Montana,"Fish, Wildlife and Parks, Department of",3,3824321,2786890,1037431,0
9944,r222,"United States<sup>c</sup> -> Montana -> Natural Resources and Conservation, Department of",United States<sup>c</sup>,Montana,"Natural Resources and Conservation, Department of",3,42740,36794,5946,0
9944,r223,"United States<sup>c</sup> -> Montana -> Transportation, Department of",United States<sup>c</sup>,Montana,"Transportation, Department of",3,2470912,522045,1948867,0
9944,r224,United States<sup>c</sup> -> Nebraska,United States<sup>c</sup>,Nebraska,,2,32687157,2114433,30572724,10000
9944,r225,"United States<sup>c</sup> -> Nebraska -> Agriculture, Department of",United States<sup>c</sup>,Nebraska,"Agriculture, Department of",3,880683,0,880683,0
9944,r226,United States<sup>c</sup> -> Nebraska -> Corn Board,United States<sup>c</sup>,Nebraska,Corn Board,3,798965,0,798965,0
9944,r227,United States<sup>c</sup> -> Nebraska -> Dry Bean Commission,United States<sup>c</sup>,Nebraska,Dry Bean Commission,3,305376,0,305376,0
9944,r228,"United States<sup>c</sup> -> Nebraska -> Economic Development, Department of",United States<sup>c</sup>,Nebraska,"Economic Development, Department of",3,6618124,0,6618124,0
9944,r229,United States<sup>c</sup> -> Nebraska -> Game and Parks Commission,United States<sup>c</sup>,Nebraska,Game and Parks Commission,3,3935042,2021933,1913109,0
9944,r230,United States<sup>c</sup> -> Nebraska -> Grain Sorghum Board,United States<sup>c</sup>,Nebraska,Grain Sorghum Board,3,5000,0,5000,0
9944,r231,"United States<sup>c</sup> -> Nebraska -> Health and Human Services, Department of",United States<sup>c</sup>,Nebraska,"Health and Human Services, Department of",3,18833700,0,18833700,0
9944,r232,"United States<sup>c</sup> -> Nebraska -> Midwest Dairy Association, Nebraska Division",United States<sup>c</sup>,Nebraska,"Midwest Dairy Association, Nebraska Division",3,31158,0,31158,0
9944,r233,"United States<sup>c</sup> -> Nebraska -> Natural Resources, Department of",United States<sup>c</sup>,Nebraska,"Natural Resources, Department of",3,50000,0,50000,0
9944,r234,United States<sup>c</sup> -> Nebraska -> Pea And Lentil Commission,United States<sup>c</sup>,Nebraska,Pea And Lentil Commission,3,1390,0,1390,0
9944,r235,"United States<sup>c</sup> -> Nebraska -> Transportation, Department of",United States<sup>c</sup>,Nebraska,"Transportation, Department of",3,1217719,92500,1125219,10000
9944,r236,United States<sup>c</sup> -> Nebraska -> Wheat Board,United States<sup>c</sup>,Nebraska,Wheat Board,3,10000,0,10000,0
9944,r237,United States<sup>c</sup> -> Nevada,United States<sup>c</sup>,Nevada,,2,3643395,208642,3434753,0
9944,r238,"United States<sup>c</sup> -> Nevada -> Agriculture, Department of",United States<sup>c</sup>,Nevada,"Agriculture, Department of",3,208642,208642,0,0
9944,r239,"United States<sup>c</sup> -> Nevada -> Economic Development, Governor's office of",United States<sup>c</sup>,Nevada,"Economic Development, Governor's office of",3,1327253,0,1327253,0
9944,r240,"United States<sup>c</sup> -> Nevada -> Transportation, Department of",United States<sup>c</sup>,Nevada,"Transportation, Department of",3,2107500,0,2107500,0
9944,r241,United States<sup>c</sup> -> New Hampshire,United States<sup>c</sup>,New Hampshire,,2,9222505,136953,9085552,0
9944,r242,"United States<sup>c</sup> -> New Hampshire -> Agriculture, Markets and Food, Department of",United States<sup>c</sup>,New Hampshire,"Agriculture, Markets and Food, Department of",3,43897,0,43897,0
9944,r243,"United States<sup>c</sup> -> New Hampshire -> Business and Economic Affairs, Department of",United States<sup>c</sup>,New Hampshire,"Business and Economic Affairs, Department of",3,7000000,0,7000000,0
9944,r244,"United States<sup>c</sup> -> New Hampshire -> Environmental Services, Department of",United States<sup>c</sup>,New Hampshire,"Environmental Services, Department of",3,1259624,0,1259624,0
9944,r245,"United States<sup>c</sup> -> New Hampshire -> Transportation, Department of",United States<sup>c</sup>,New Hampshire,"Transportation, Department of",3,918984,136953,782031,0
9944,r246,United States<sup>c</sup> -> New Jersey,United States<sup>c</sup>,New Jersey,,2,65020915,3317395,61703520,0
9944,r247,"United States<sup>c</sup> -> New Jersey -> Agriculture, Department of",United States<sup>c</sup>,New Jersey,"Agriculture, Department of",3,180151,180151,0,0
9944,r248,"United States<sup>c</sup> -> New Jersey -> Children and Families, Department of",United States<sup>c</sup>,New Jersey,"Children and Families, Department of",3,368019,196441,171578,0
9944,r249,"United States<sup>c</sup> -> New Jersey -> Community Affairs, Department of ",United States<sup>c</sup>,New Jersey,"Community Affairs, Department of ",3,22000,5000,17000,0
9944,r250,"United States<sup>c</sup> -> New Jersey -> Corrections, Department of",United States<sup>c</sup>,New Jersey,"Corrections, Department of",3,416034,416034,0,0
9944,r251,"United States<sup>c</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>c</sup>,New Jersey,"Environmental Protection, Department of",3,6493270,2122182,4371088,0
9944,r252,"United States<sup>c</sup> -> New Jersey -> Health, Department of",United States<sup>c</sup>,New Jersey,"Health, Department of",3,45343885,0,45343885,0
9944,r253,United States<sup>c</sup> -> New Jersey -> Pinelands Commission,United States<sup>c</sup>,New Jersey,Pinelands Commission,3,412081,351618,60463,0
9944,r254,"United States<sup>c</sup> -> New Jersey -> Secretary of Higher Education, Office of",United States<sup>c</sup>,New Jersey,"Secretary of Higher Education, Office of",3,4500000,0,4500000,0
9944,r255,"United States<sup>c</sup> -> New Jersey -> State Parole Board, New Jersey",United States<sup>c</sup>,New Jersey,"State Parole Board, New Jersey",3,45969,45969,0,0
9944,r256,"United States<sup>c</sup> -> New Jersey -> Transit, New Jersey",United States<sup>c</sup>,New Jersey,"Transit, New Jersey",3,251362,0,251362,0
9944,r257,"United States<sup>c</sup> -> New Jersey -> Transportation, Department of",United States<sup>c</sup>,New Jersey,"Transportation, Department of",3,6988144,0,6988144,0
9944,r258,United States<sup>c</sup> -> New Mexico,United States<sup>c</sup>,New Mexico,,2,3456227,1110427,2345800,0
9944,r259,"United States<sup>c</sup> -> New Mexico -> Cultural Affairs, Department of",United States<sup>c</sup>,New Mexico,"Cultural Affairs, Department of",3,105527,105527,0,0
9944,r260,"United States<sup>c</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>c</sup>,New Mexico,"Game and Fish, Department of",3,1765554,545000,1220554,0
9944,r261,"United States<sup>c</sup> -> New Mexico -> Transportation, Department of",United States<sup>c</sup>,New Mexico,"Transportation, Department of",3,1400300,459900,940400,0
9944,r262,United States<sup>c</sup> -> New Mexico -> Western State Air Resources Council,United States<sup>c</sup>,New Mexico,Western State Air Resources Council,3,184846,0,184846,0
9944,r263,United States<sup>c</sup> -> New York,United States<sup>c</sup>,New York,,2,506283025,274950816,231332209,70000
9944,r264,"United States<sup>c</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>c</sup>,New York,"Agriculture and Markets, Department of ",3,7728860,2365000,5363860,0
9944,r265,"United States<sup>c</sup> -> New York -> Economic Development, Department of",United States<sup>c</sup>,New York,"Economic Development, Department of",3,103874022,0,103874022,0
9944,r266,United States<sup>c</sup> -> New York -> Energy Research and Development Authority,United States<sup>c</sup>,New York,Energy Research and Development Authority,3,56620719,6494503,50126216,0
9944,r267,"United States<sup>c</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>c</sup>,New York,"Environmental Conservation, Department of ",3,8217418,4399864,3817554,0
9944,r268,"United States<sup>c</sup> -> New York -> Health, Department of ",United States<sup>c</sup>,New York,"Health, Department of ",3,58241006,29578789,28662217,0
9944,r269,"United States<sup>c</sup> -> New York -> Mental Health, Office of ",United States<sup>c</sup>,New York,"Mental Health, Office of ",3,170676444,145294992,25381452,70000
9944,r270,"United States<sup>c</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>c</sup>,New York,"People with Developmental Disabilities, Office of",3,1682143,1682143,0,0
9944,r271,United States<sup>c</sup> -> New York -> Power Authority,United States<sup>c</sup>,New York,Power Authority,3,9714648,1759883,7954765,0
9944,r272,United States<sup>c</sup> -> New York -> Roswell Park Comprehensive Cancer Center,United States<sup>c</sup>,New York,Roswell Park Comprehensive Cancer Center,3,71562773,71562773,0,0
9944,r273,United States<sup>c</sup> -> New York -> State Museum,United States<sup>c</sup>,New York,State Museum,3,10982258,10584848,397410,0
9944,r274,United States<sup>c</sup> -> New York -> Thoroughbred Breeding and Development Fund Corp.,United States<sup>c</sup>,New York,Thoroughbred Breeding and Development Fund Corp.,3,405292,0,405292,0
9944,r275,"United States<sup>c</sup> -> New York -> Transportation, Department of ",United States<sup>c</sup>,New York,"Transportation, Department of ",3,6577442,1228021,5349421,0
9944,r276,United States<sup>c</sup> -> North Carolina,United States<sup>c</sup>,North Carolina,,2,38818576,17505611,21312965,1000000
9944,r277,"United States<sup>c</sup> -> North Carolina -> Agriculture and Consumer Services, Department of",United States<sup>c</sup>,North Carolina,"Agriculture and Consumer Services, Department of",3,15422911,13922911,1500000,1000000
9944,r278,United States<sup>c</sup> -> North Carolina -> Biotechnology Center,United States<sup>c</sup>,North Carolina,Biotechnology Center,3,2841679,0,2841679,0
9944,r279,"United States<sup>c</sup> -> North Carolina -> Environmental Quality, Department of",United States<sup>c</sup>,North Carolina,"Environmental Quality, Department of",3,3275157,1223587,2051570,0
9944,r280,"United States<sup>c</sup> -> North Carolina -> Natural and Cultural Resources, Department of",United States<sup>c</sup>,North Carolina,"Natural and Cultural Resources, Department of",3,2425310,1809113,616197,0
9944,r281,"United States<sup>c</sup> -> North Carolina -> Science Technology & Innovation, Office of",United States<sup>c</sup>,North Carolina,"Science Technology & Innovation, Office of",3,4660090,0,4660090,0
9944,r282,"United States<sup>c</sup> -> North Carolina -> Transportation, Department of",United States<sup>c</sup>,North Carolina,"Transportation, Department of",3,10050000,550000,9500000,0
9944,r283,United States<sup>c</sup> -> North Carolina -> Wine and Grape Growers Council,United States<sup>c</sup>,North Carolina,Wine and Grape Growers Council,3,143429,0,143429,0
9944,r284,United States<sup>c</sup> -> North Dakota,United States<sup>c</sup>,North Dakota,,2,17874336,131121,17743215,0
9944,r285,"United States<sup>c</sup> -> North Dakota -> Agriculture, Department of",United States<sup>c</sup>,North Dakota,"Agriculture, Department of",3,3313396,0,3313396,0
9944,r286,United States<sup>c</sup> -> North Dakota -> Dry Pea and Lentil Commission,United States<sup>c</sup>,North Dakota,Dry Pea and Lentil Commission,3,282308,0,282308,0
9944,r287,"United States<sup>c</sup> -> North Dakota -> Game and Fish, Department of",United States<sup>c</sup>,North Dakota,"Game and Fish, Department of",3,595698,0,595698,0
9944,r288,United States<sup>c</sup> -> North Dakota -> Historical Society of North Dakota,United States<sup>c</sup>,North Dakota,Historical Society of North Dakota,3,93115,93115,0,0
9944,r289,United States<sup>c</sup> -> North Dakota -> Industrial Commission,United States<sup>c</sup>,North Dakota,Industrial Commission,3,9398767,0,9398767,0
9944,r290,"United States<sup>c</sup> -> North Dakota -> Midwest Dairy Association, North Dakota Division",United States<sup>c</sup>,North Dakota,"Midwest Dairy Association, North Dakota Division",3,5193,0,5193,0
9944,r291,United States<sup>c</sup> -> North Dakota -> Soybean Council,United States<sup>c</sup>,North Dakota,Soybean Council,3,1622297,0,1622297,0
9944,r292,"United States<sup>c</sup> -> North Dakota -> Transportation, Department of",United States<sup>c</sup>,North Dakota,"Transportation, Department of",3,1298374,38006,1260368,0
9944,r293,United States<sup>c</sup> -> North Dakota -> Wheat Commission,United States<sup>c</sup>,North Dakota,Wheat Commission,3,1265188,0,1265188,0
9944,r294,United States<sup>c</sup> -> Ohio,United States<sup>c</sup>,Ohio,,2,70471571,1106388,69365183,0
9944,r295,"United States<sup>c</sup> -> Ohio -> Development, Department of",United States<sup>c</sup>,Ohio,"Development, Department of",3,57980338,0,57980338,0
9944,r296,"United States<sup>c</sup> -> Ohio -> Education, Department of",United States<sup>c</sup>,Ohio,"Education, Department of",3,180000,20000,160000,0
9944,r297,United States<sup>c</sup> -> Ohio -> Environmental Protection Agency,United States<sup>c</sup>,Ohio,Environmental Protection Agency,3,379412,379412,0,0
9944,r298,"United States<sup>c</sup> -> Ohio -> Natural Resources, Department of",United States<sup>c</sup>,Ohio,"Natural Resources, Department of",3,3723242,706976,3016266,0
9944,r299,"United States<sup>c</sup> -> Ohio -> Transportation, Department of",United States<sup>c</sup>,Ohio,"Transportation, Department of",3,6349868,0,6349868,0
9944,r300,United States<sup>c</sup> -> Ohio -> Water Development Authority,United States<sup>c</sup>,Ohio,Water Development Authority,3,1858711,0,1858711,0
9944,r301,United States<sup>c</sup> -> Oklahoma,United States<sup>c</sup>,Oklahoma,,2,27646238,1946574,25699664,0
9944,r302,"United States<sup>c</sup> -> Oklahoma -> Advancement of Science and Technology, Center for the ",United States<sup>c</sup>,Oklahoma,"Advancement of Science and Technology, Center for the ",3,8629841,0,8629841,0
9944,r303,"United States<sup>c</sup> -> Oklahoma -> Agriculture, Food, and Forestry, Department of",United States<sup>c</sup>,Oklahoma,"Agriculture, Food, and Forestry, Department of",3,443596,0,443596,0
9944,r304,"United States<sup>c</sup> -> Oklahoma -> Environmental Quality, Department of",United States<sup>c</sup>,Oklahoma,"Environmental Quality, Department of",3,345916,296338,49578,0
9944,r305,United States<sup>c</sup> -> Oklahoma -> Grand River Dam Authority,United States<sup>c</sup>,Oklahoma,Grand River Dam Authority,3,525000,315000,210000,0
9944,r306,"United States<sup>c</sup> -> Oklahoma -> Health, Department of",United States<sup>c</sup>,Oklahoma,"Health, Department of",3,1053610,412095,641515,0
9944,r307,"United States<sup>c</sup> -> Oklahoma -> Human Services, Department of",United States<sup>c</sup>,Oklahoma,"Human Services, Department of",3,459801,459801,0,0
9944,r308,"United States<sup>c</sup> -> Oklahoma -> Midwest Dairy Association, Oklahoma Division",United States<sup>c</sup>,Oklahoma,"Midwest Dairy Association, Oklahoma Division",3,5193,0,5193,0
9944,r309,United States<sup>c</sup> -> Oklahoma -> Tobacco Settlement Endowment Trust,United States<sup>c</sup>,Oklahoma,Tobacco Settlement Endowment Trust,3,10903905,0,10903905,0
9944,r310,"United States<sup>c</sup> -> Oklahoma -> Transportation, Department of",United States<sup>c</sup>,Oklahoma,"Transportation, Department of",3,3568372,460033,3108339,0
9944,r311,"United States<sup>c</sup> -> Oklahoma -> Wildlife Conservation, Department of",United States<sup>c</sup>,Oklahoma,"Wildlife Conservation, Department of",3,1711004,3307,1707697,0
9944,r312,United States<sup>c</sup> -> Oregon,United States<sup>c</sup>,Oregon,,2,33801166,16703743,17097423,0
9944,r313,"United States<sup>c</sup> -> Oregon -> Agriculture, Department of",United States<sup>c</sup>,Oregon,"Agriculture, Department of",3,248348,0,248348,0
9944,r314,United States<sup>c</sup> -> Oregon -> Business Oregon,United States<sup>c</sup>,Oregon,Business Oregon,3,11252148,0,11252148,0
9944,r315,"United States<sup>c</sup> -> Oregon -> Environmental Quality, Department of",United States<sup>c</sup>,Oregon,"Environmental Quality, Department of",3,145000,145000,0,0
9944,r316,"United States<sup>c</sup> -> Oregon -> Fish and Wildlife, Department of",United States<sup>c</sup>,Oregon,"Fish and Wildlife, Department of",3,14109145,11930138,2179007,0
9944,r317,"United States<sup>c</sup> -> Oregon -> Forestry, Department of",United States<sup>c</sup>,Oregon,"Forestry, Department of",3,700000,350000,350000,0
9944,r318,"United States<sup>c</sup> -> Oregon -> Geology and Mineral Industries, Department of",United States<sup>c</sup>,Oregon,"Geology and Mineral Industries, Department of",3,942340,942340,0,0
9944,r319,"United States<sup>c</sup> -> Oregon -> Human Services, Department of",United States<sup>c</sup>,Oregon,"Human Services, Department of",3,778318,778318,0,0
9944,r320,"United States<sup>c</sup> -> Oregon -> Transportation, Department of",United States<sup>c</sup>,Oregon,"Transportation, Department of",3,4292580,1706746,2585834,0
9944,r321,United States<sup>c</sup> -> Oregon -> Water Resources Department,United States<sup>c</sup>,Oregon,Water Resources Department,3,1067424,843686,223738,0
9944,r322,United States<sup>c</sup> -> Oregon -> Watershed Enhancement Board,United States<sup>c</sup>,Oregon,Watershed Enhancement Board,3,265863,7515,258348,0
9944,r323,United States<sup>c</sup> -> Pennsylvania,United States<sup>c</sup>,Pennsylvania,,2,88557830,13041479,75516351,0
9944,r324,"United States<sup>c</sup> -> Pennsylvania -> Agriculture, Department of",United States<sup>c</sup>,Pennsylvania,"Agriculture, Department of",3,3206582,0,3206582,0
9944,r325,"United States<sup>c</sup> -> Pennsylvania -> Community and Economic Development, Department of",United States<sup>c</sup>,Pennsylvania,"Community and Economic Development, Department of",3,22100000,0,22100000,0
9944,r326,"United States<sup>c</sup> -> Pennsylvania -> Conservation and Natural Resources, Department of",United States<sup>c</sup>,Pennsylvania,"Conservation and Natural Resources, Department of",3,505181,158742,346439,0
9944,r327,"United States<sup>c</sup> -> Pennsylvania -> Environmental Protection, Department of",United States<sup>c</sup>,Pennsylvania,"Environmental Protection, Department of",3,196401,46493,149908,0
9944,r328,United States<sup>c</sup> -> Pennsylvania -> Fish and Boat Commission,United States<sup>c</sup>,Pennsylvania,Fish and Boat Commission,3,348312,272099,76213,0
9944,r329,United States<sup>c</sup> -> Pennsylvania -> Game Commission,United States<sup>c</sup>,Pennsylvania,Game Commission,3,12697359,12444145,253214,0
9944,r330,"United States<sup>c</sup> -> Pennsylvania -> Health, Department of",United States<sup>c</sup>,Pennsylvania,"Health, Department of",3,46483760,0,46483760,0
9944,r331,United States<sup>c</sup> -> Pennsylvania -> Susquehanna River Basin Commission,United States<sup>c</sup>,Pennsylvania,Susquehanna River Basin Commission,3,130000,120000,10000,0
9944,r332,"United States<sup>c</sup> -> Pennsylvania -> Transportation, Department of",United States<sup>c</sup>,Pennsylvania,"Transportation, Department of",3,2890235,0,2890235,0
9944,r333,United States<sup>c</sup> -> Rhode Island,United States<sup>c</sup>,Rhode Island,,2,8361413,5438324,2923089,0
9944,r334,United States<sup>c</sup> -> Rhode Island -> Commerce Corporation,United States<sup>c</sup>,Rhode Island,Commerce Corporation,3,986076,0,986076,0
9944,r335,"United States<sup>c</sup> -> Rhode Island -> Fish and Wildlife; Environmental Management, Department of",United States<sup>c</sup>,Rhode Island,"Fish and Wildlife; Environmental Management, Department of",3,4044625,3183962,860663,0
9944,r336,"United States<sup>c</sup> -> Rhode Island -> Marine Fisheries; Environmental Management, Department of",United States<sup>c</sup>,Rhode Island,"Marine Fisheries; Environmental Management, Department of",3,2169953,1905103,264850,0
9944,r337,"United States<sup>c</sup> -> Rhode Island -> Narragansett Bay National Estuarine Research Reserve; Environmental Management, Department of",United States<sup>c</sup>,Rhode Island,"Narragansett Bay National Estuarine Research Reserve; Environmental Management, Department of",3,181937,181937,0,0
9944,r338,"United States<sup>c</sup> -> Rhode Island -> Transportation, Department of",United States<sup>c</sup>,Rhode Island,"Transportation, Department of",3,900000,150000,750000,0
9944,r339,United States<sup>c</sup> -> Rhode Island -> Water Resources Board,United States<sup>c</sup>,Rhode Island,Water Resources Board,3,78822,17322,61500,0
9944,r340,United States<sup>c</sup> -> South Carolina,United States<sup>c</sup>,South Carolina,,2,50056315,29595672,20460643,2000000
9944,r341,"United States<sup>c</sup> -> South Carolina -> Agriculture, Department of",United States<sup>c</sup>,South Carolina,"Agriculture, Department of",3,1180047,0,1180047,0
9944,r342,"United States<sup>c</sup> -> South Carolina -> Disabilities and Special Needs, Department of",United States<sup>c</sup>,South Carolina,"Disabilities and Special Needs, Department of",3,11798260,0,11798260,2000000
9944,r343,"United States<sup>c</sup> -> South Carolina -> Health and Environmental Control, Department of",United States<sup>c</sup>,South Carolina,"Health and Environmental Control, Department of",3,1146936,1146936,0,0
9944,r344,"United States<sup>c</sup> -> South Carolina -> Mental Health, Department of",United States<sup>c</sup>,South Carolina,"Mental Health, Department of",3,39467,39467,0,0
9944,r345,"United States<sup>c</sup> -> South Carolina -> Natural Resources, Department of",United States<sup>c</sup>,South Carolina,"Natural Resources, Department of",3,26580926,26296034,284892,0
9944,r346,United States<sup>c</sup> -> South Carolina -> Public Service Authority,United States<sup>c</sup>,South Carolina,Public Service Authority,3,512345,0,512345,0
9944,r347,United States<sup>c</sup> -> South Carolina -> Research Authority,United States<sup>c</sup>,South Carolina,Research Authority,3,3197270,0,3197270,0
9944,r348,United States<sup>c</sup> -> South Carolina -> Sea Grant Consortium,United States<sup>c</sup>,South Carolina,Sea Grant Consortium,3,3144115,2096811,1047304,0
9944,r349,"United States<sup>c</sup> -> South Carolina -> Transportation, Department of",United States<sup>c</sup>,South Carolina,"Transportation, Department of",3,2456949,16424,2440525,0
9944,r350,United States<sup>c</sup> -> South Dakota,United States<sup>c</sup>,South Dakota,,2,4595753,237313,4358440,500000
