table_id,row_id,time_period,_millions_level_1,_millions_level_2,_millions_hierarchy_depth,value
12588,r389,R&D and R&D plant budget authority -> 2017<sup>b</sup>,% distribution,National defense,2,45.2
12588,r390,R&D and R&D plant budget authority -> 2017<sup>b</sup>,% distribution,Civilian functions,2,54.8
12588,r391,R&D and R&D plant budget authority -> 2018,$millions,Total,2,144459
12588,r392,R&D and R&D plant budget authority -> 2018,$millions,National defense,2,68916
12588,r393,R&D and R&D plant budget authority -> 2018,$millions,Civilian functions,2,75543
12588,r394,R&D and R&D plant budget authority -> 2018,% distribution,Total,2,100.0
12588,r395,R&D and R&D plant budget authority -> 2018,% distribution,National defense,2,47.7
12588,r396,R&D and R&D plant budget authority -> 2018,% distribution,Civilian functions,2,52.3
12588,r397,R&D and R&D plant budget authority -> 2019,$millions,Total,2,149971
12588,r398,R&D and R&D plant budget authority -> 2019,$millions,National defense,2,72027
12588,r399,R&D and R&D plant budget authority -> 2019,$millions,Civilian functions,2,77944
12588,r400,R&D and R&D plant budget authority -> 2019,% distribution,Total,2,100.0
12588,r401,R&D and R&D plant budget authority -> 2019,% distribution,National defense,2,48.0
12588,r402,R&D and R&D plant budget authority -> 2019,% distribution,Civilian functions,2,52.0
12588,r403,R&D and R&D plant budget authority -> 2020<sup>c</sup>,$millions,Total,2,169901
12588,r404,R&D and R&D plant budget authority -> 2020<sup>c</sup>,$millions,National defense,2,81874
12588,r405,R&D and R&D plant budget authority -> 2020<sup>c</sup>,$millions,Civilian functions,2,88027
12588,r406,R&D and R&D plant budget authority -> 2020<sup>c</sup>,% distribution,Total,2,100.0
12588,r407,R&D and R&D plant budget authority -> 2020<sup>c</sup>,% distribution,National defense,2,48.2
12588,r408,R&D and R&D plant budget authority -> 2020<sup>c</sup>,% distribution,Civilian functions,2,51.8
12588,r409,R&D and R&D plant budget authority -> 2021<sup>c</sup>,$millions,Total,2,161885
12588,r410,R&D and R&D plant budget authority -> 2021<sup>c</sup>,$millions,National defense,2,78368
12588,r411,R&D and R&D plant budget authority -> 2021<sup>c</sup>,$millions,Civilian functions,2,83517
12588,r412,R&D and R&D plant budget authority -> 2021<sup>c</sup>,% distribution,Total,2,100.0
12588,r413,R&D and R&D plant budget authority -> 2021<sup>c</sup>,% distribution,National defense,2,48.4
12588,r414,R&D and R&D plant budget authority -> 2021<sup>c</sup>,% distribution,Civilian functions,2,51.6
12588,r415,R&D and R&D plant budget authority -> 2022<sup>c</sup>,$millions,Total,2,186765
12588,r416,R&D and R&D plant budget authority -> 2022<sup>c</sup>,$millions,National defense,2,85299
12588,r417,R&D and R&D plant budget authority -> 2022<sup>c</sup>,$millions,Civilian functions,2,101466
12588,r418,R&D and R&D plant budget authority -> 2022<sup>c</sup>,% distribution,Total,2,100.0
12588,r419,R&D and R&D plant budget authority -> 2022<sup>c</sup>,% distribution,National defense,2,45.7
12588,r420,R&D and R&D plant budget authority -> 2022<sup>c</sup>,% distribution,Civilian functions,2,54.3
12588,r421,R&D and R&D plant budget authority -> 2023,$millions,Total,2,198941
12588,r422,R&D and R&D plant budget authority -> 2023,$millions,National defense,2,102310
12588,r423,R&D and R&D plant budget authority -> 2023,$millions,Civilian functions,2,96631
12588,r424,R&D and R&D plant budget authority -> 2023,% distribution,Total,2,100.0
12588,r425,R&D and R&D plant budget authority -> 2023,% distribution,National defense,2,51.4
12588,r426,R&D and R&D plant budget authority -> 2023,% distribution,Civilian functions,2,48.6
12588,r427,R&D and R&D plant budget authority -> 2024 preliminary<sup>d</sup>,$millions,Total,2,203919
12588,r428,R&D and R&D plant budget authority -> 2024 preliminary<sup>d</sup>,$millions,National defense,2,106163
12588,r429,R&D and R&D plant budget authority -> 2024 preliminary<sup>d</sup>,$millions,Civilian functions,2,97756
12588,r430,R&D and R&D plant budget authority -> 2024 preliminary<sup>d</sup>,% distribution,Total,2,100.0
12588,r431,R&D and R&D plant budget authority -> 2024 preliminary<sup>d</sup>,% distribution,National defense,2,52.1
12588,r432,R&D and R&D plant budget authority -> 2024 preliminary<sup>d</sup>,% distribution,Civilian functions,2,47.9
12588,r433,R&D and R&D plant budget authority -> 2025 proposed,$millions,Total,2,200383
12588,r434,R&D and R&D plant budget authority -> 2025 proposed,$millions,National defense,2,98876
12588,r435,R&D and R&D plant budget authority -> 2025 proposed,$millions,Civilian functions,2,101507
12588,r436,R&D and R&D plant budget authority -> 2025 proposed,% distribution,Total,2,100.0
12588,r437,R&D and R&D plant budget authority -> 2025 proposed,% distribution,National defense,2,49.3
12588,r438,R&D and R&D plant budget authority -> 2025 proposed,% distribution,Civilian functions,2,50.7
