table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_median_salary_,field_female_number,field_female_median_salary_,field_male_number,field_male_median_salary_
1634,r104,"S&E-related occupations -> S&E technicians and technologists -> Drafting occupations, including computer drafting",S&E-related occupations,S&E technicians and technologists,"Drafting occupations, including computer drafting",,3,9000,60000,s,s,8000,60000
1634,r105,S&E-related occupations -> S&E technicians and technologists -> Surveying and mapping technicians,S&E-related occupations,S&E technicians and technologists,Surveying and mapping technicians,,3,9000,56000,s,s,9000,56000
1634,r106,S&E-related occupations -> S&E technicians and technologists -> Other engineering technologists and technicians,S&E-related occupations,S&E technicians and technologists,Other engineering technologists and technicians,,3,84000,84000,16000,90000,67000,83000
1634,r107,"S&E-related occupations -> S&E technicians and technologists -> Surveyors, cartographers, photogrammetrists",S&E-related occupations,S&E technicians and technologists,"Surveyors, cartographers, photogrammetrists",,3,20000,58000,s,s,19000,58000
1634,r108,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the mathematical sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the mathematical sciences,,3,2000,112000,s,s,s,s
1634,r109,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the physical sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the physical sciences,,3,22000,47000,7000,34000,15000,53000
1634,r110,S&E-related occupations -> Other S&E-related occupations,S&E-related occupations,Other S&E-related occupations,,,2,34000,99000,9000,80000,25000,100000
1634,r111,S&E-related occupations -> Other S&E-related occupations -> Architects,S&E-related occupations,Other S&E-related occupations,Architects,,3,18000,100000,s,s,13000,109000
1634,r112,S&E-related occupations -> Other S&E-related occupations -> Actuaries,S&E-related occupations,Other S&E-related occupations,Actuaries,,3,16000,97000,4000,120000,12000,96000
1634,r113,Non-S&E occupations,Non-S&E occupations,,,,1,5947000,62000,2738000,52000,3209000,76000
1634,r114,Non-S&E occupations -> Non-S&E managers,Non-S&E occupations,Non-S&E managers,,,2,1131000,107000,291000,96000,841000,116000
1634,r115,"Non-S&E occupations -> Non-S&E managers -> Top-level managers, executives, administrators (e.g., chief executive officer, chief operating officer, chief financial officer; president; district manager, general manager, provost)",Non-S&E occupations,Non-S&E managers,"Top-level managers, executives, administrators (e.g., chief executive officer, chief operating officer, chief financial officer; president; district manager, general manager, provost)",,3,658000,124000,127000,95000,531000,130000
1634,r116,"Non-S&E occupations -> Non-S&E managers -> Education administrators (e.g., registrar, dean, principal)",Non-S&E occupations,Non-S&E managers,"Education administrators (e.g., registrar, dean, principal)",,3,34000,100000,21000,99000,13000,102000
1634,r117,Non-S&E occupations -> Non-S&E managers -> Other mid-level managers,Non-S&E occupations,Non-S&E managers,Other mid-level managers,,3,439000,96000,142000,96000,297000,96000
1634,r118,Non-S&E occupations -> Management-related occupations,Non-S&E occupations,Management-related occupations,,,2,1303000,80000,603000,69000,700000,90000
1634,r119,"Non-S&E occupations -> Management-related occupations -> Accountants, auditors, and other financial specialists",Non-S&E occupations,Management-related occupations,"Accountants, auditors, and other financial specialists",,3,393000,73000,166000,67000,228000,80000
1634,r120,"Non-S&E occupations -> Management-related occupations -> Personnel, training, and labor relations specialists",Non-S&E occupations,Management-related occupations,"Personnel, training, and labor relations specialists",,3,178000,68000,111000,61000,66000,86000
1634,r121,Non-S&E occupations -> Management-related occupations -> Other management-related occupations,Non-S&E occupations,Management-related occupations,Other management-related occupations,,3,731000,86000,326000,72000,406000,95000
1634,r122,Non-S&E occupations -> Non-S&E precollege teachers,Non-S&E occupations,Non-S&E precollege teachers,,,2,306000,40000,261000,40000,45000,35000
1634,r123,Non-S&E occupations -> Non-S&E precollege teachers -> Prekindergarten and kindergarten,Non-S&E occupations,Non-S&E precollege teachers,Prekindergarten and kindergarten,,3,41000,26000,41000,26000,s,s
1634,r124,Non-S&E occupations -> Non-S&E precollege teachers -> Elementary,Non-S&E occupations,Non-S&E precollege teachers,Elementary,,3,122000,50000,112000,46000,11000,58000
1634,r125,Non-S&E occupations -> Non-S&E precollege teachers -> Secondary &#8212; other subjects,Non-S&E occupations,Non-S&E precollege teachers,Secondary &#8212; other subjects,,3,50000,44000,37000,s,13000,59000
1634,r126,Non-S&E occupations -> Non-S&E precollege teachers -> Teachers: Special education - primary and secondary ,Non-S&E occupations,Non-S&E precollege teachers,Teachers: Special education - primary and secondary ,,3,72000,32000,55000,43000,17000,32000
1634,r127,Non-S&E occupations -> Non-S&E precollege teachers -> Other precollegiate area,Non-S&E occupations,Non-S&E precollege teachers,Other precollegiate area,,3,21000,s,16000,s,s,s
1634,r128,Non-S&E occupations -> Non-S&E postsecondary teachers,Non-S&E occupations,Non-S&E postsecondary teachers,,,2,53000,69000,24000,63000,29000,71000
1634,r129,"Non-S&E occupations -> Non-S&E postsecondary teachers -> Arts, drama, and music",Non-S&E occupations,Non-S&E postsecondary teachers,"Arts, drama, and music",,3,s,s,s,s,s,s
1634,r130,"Non-S&E occupations -> Non-S&E postsecondary teachers -> Business, commerce, and marketing",Non-S&E occupations,Non-S&E postsecondary teachers,"Business, commerce, and marketing",,3,7000,135000,4000,110000,4000,143000
1634,r131,Non-S&E occupations -> Non-S&E postsecondary teachers -> Education,Non-S&E occupations,Non-S&E postsecondary teachers,Education,,3,9000,69000,5000,72000,4000,65000
