table_id,row_id,citizenship_status_and_field_full_path,citizenship_status_and_field_level_1,citizenship_status_and_field_level_2,citizenship_status_and_field_level_3,citizenship_status_and_field_level_4,citizenship_status_and_field_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field__change_2010_19
2816,r114,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,Civil engineering,4,378,373,303,333,339,359,307,427,442,462,22.2
2816,r115,"All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,"Electrical, electronics, and communications engineering",4,1040,1109,1181,1160,1217,1237,1160,1215,1317,1198,15.2
2816,r116,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,Industrial and manufacturing engineering,4,142,152,140,156,185,161,164,157,196,140,-1.4
2816,r117,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,Materials science engineering,4,326,350,334,435,419,448,494,428,501,461,41.4
2816,r118,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,Mechanical engineering,4,519,568,631,664,686,783,652,742,831,880,69.6
2816,r119,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,Temporary visa holder,Engineering,Other engineering,4,713,842,953,1112,1191,1179,1242,1219,1303,1551,117.5
2816,r120,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Education,All doctorate recipients<sup>a</sup>,Temporary visa holder,Education,,3,478,497,460,515,478,539,562,534,611,615,28.7
2816,r121,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Education -> Education administration,All doctorate recipients<sup>a</sup>,Temporary visa holder,Education,Education administration,4,35,41,46,44,39,35,33,51,52,54,54.3
2816,r122,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Education -> Education research,All doctorate recipients<sup>a</sup>,Temporary visa holder,Education,Education research,4,277,294,278,319,265,327,279,308,366,317,14.4
2816,r123,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,Temporary visa holder,Education,Teacher education,4,19,26,13,17,14,13,13,12,8,16,-15.8
2816,r124,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,Temporary visa holder,Education,Teaching fields,4,112,96,101,116,134,145,181,132,155,165,47.3
2816,r125,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Education -> Other education,All doctorate recipients<sup>a</sup>,Temporary visa holder,Education,Other education,4,35,40,22,19,26,19,56,31,30,63,80.0
2816,r126,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Humanities and arts,All doctorate recipients<sup>a</sup>,Temporary visa holder,Humanities and arts,,3,667,767,761,779,731,713,712,692,738,827,24.0
2816,r127,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>a</sup>,Temporary visa holder,Humanities and arts,Foreign languages and literature,4,179,180,160,179,142,151,164,159,180,202,12.8
2816,r128,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Humanities and arts -> History,All doctorate recipients<sup>a</sup>,Temporary visa holder,Humanities and arts,History,4,113,131,136,134,147,131,142,125,112,130,15.0
2816,r129,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Humanities and arts -> Letters,All doctorate recipients<sup>a</sup>,Temporary visa holder,Humanities and arts,Letters,4,134,157,141,150,140,122,126,122,139,149,11.2
2816,r130,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>a</sup>,Temporary visa holder,Humanities and arts,Other humanities and arts,4,241,299,324,316,302,309,280,286,307,346,43.6
2816,r131,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Other<sup>b</sup>,All doctorate recipients<sup>a</sup>,Temporary visa holder,Other<sup>b</sup>,,3,816,786,834,945,905,867,890,940,1029,1108,35.8
2816,r132,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Other<sup>b</sup> -> Business management and administration,All doctorate recipients<sup>a</sup>,Temporary visa holder,Other<sup>b</sup>,Business management and administration,4,499,477,542,600,589,546,553,588,643,690,38.3
2816,r133,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Other<sup>b</sup> -> Communication,All doctorate recipients<sup>a</sup>,Temporary visa holder,Other<sup>b</sup>,Communication,4,131,132,107,133,137,137,160,122,165,163,24.4
2816,r134,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Other<sup>b</sup> -> Non-S&E fields nec,All doctorate recipients<sup>a</sup>,Temporary visa holder,Other<sup>b</sup>,Non-S&E fields nec,4,186,177,185,212,179,184,177,230,221,255,37.1
2816,r135,All doctorate recipients<sup>a</sup> -> Temporary visa holder -> Other<sup>b</sup> -> Unknown field,All doctorate recipients<sup>a</sup>,Temporary visa holder,Other<sup>b</sup>,Unknown field,4,0,0,0,0,0,0,0,0,0,0,0.0
