table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_other_purchased_services_except_r_d_,field_other
720,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices ,5,other 3345,"['4,011', '&nbsp;']","['2,638', '&nbsp;']","['42', '&nbsp;']","['121', '&nbsp;']","['D', '&nbsp;']","['363', '&nbsp;']","['49', '&nbsp;']","['103', '&nbsp;']","['111', '&nbsp;']","['D', '&nbsp;']"
720,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['8,106', '&nbsp;']","['4,964', '&nbsp;']","['372', '&nbsp;']","['257', '&nbsp;']","['176', '&nbsp;']","['447', '&nbsp;']","['47', '&nbsp;']","['527', '&nbsp;']","['115', '&nbsp;']","['1,199', '&nbsp;']"
720,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,335', '&nbsp;']","['3,015', '&nbsp;']","['27', 'i']","['132', '&nbsp;']","['42', '&nbsp;']","['357', 'i']","['71', '&nbsp;']","['123', '&nbsp;']","['107', '&nbsp;']","['462', 'i']"
720,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['49,274', '&nbsp;']","['26,044', '&nbsp;']","['7', '&nbsp;']","['1,452', '&nbsp;']","['932', '&nbsp;']","['7,192', '&nbsp;']","['348', '&nbsp;']","['861', '&nbsp;']","['612', '&nbsp;']","['11,826', '&nbsp;']"
720,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['19,078', '&nbsp;']","['10,905', '&nbsp;']","['6', '&nbsp;']","['1,198', '&nbsp;']","['806', '&nbsp;']","['3,067', '&nbsp;']","['273', '&nbsp;']","['585', '&nbsp;']","['268', '&nbsp;']","['1,970', '&nbsp;']"
720,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['27,464', '&nbsp;']","['13,685', '&nbsp;']","['*', '&nbsp;']","['179', '&nbsp;']","['115', '&nbsp;']","['3,483', '&nbsp;']","['D', '&nbsp;']","['222', '&nbsp;']","['303', 'i']","['D', '&nbsp;']"
720,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts ",5,336411–13,"['25,817', '&nbsp;']","['12,916', '&nbsp;']","['*', '&nbsp;']","['155', '&nbsp;']","['112', '&nbsp;']","['2,851', '&nbsp;']","['D', '&nbsp;']","['221', '&nbsp;']","['302', 'i']","['D', '&nbsp;']"
720,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts ",5,"336414–15, 336419","['1,647', 'i']","['769', 'i']","['0', '&nbsp;']","['24', 'i']","['3', 'i']","['632', 'i']","['D', '&nbsp;']","['1', 'i']","['*', '&nbsp;']","['D', '&nbsp;']"
720,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components ",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components ",,4,336992,"['16', '&nbsp;']","['8', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['2', '&nbsp;']"
720,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['2,716', '&nbsp;']","['1,446', 'i']","['1', '&nbsp;']","['75', 'i']","['10', 'i']","['638', 'i']","['D', '&nbsp;']","['54', 'i']","['41', 'i']","['D', '&nbsp;']"
720,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['452', '&nbsp;']","['295', '&nbsp;']","['*', 'i']","['13', '&nbsp;']","['6', '&nbsp;']","['80', '&nbsp;']","['2', '&nbsp;']","['8', '&nbsp;']","['2', '&nbsp;']","['46', '&nbsp;']"
720,r043,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['13,690', '&nbsp;']","['8,243', '&nbsp;']","['345', '&nbsp;']","['612', '&nbsp;']","['316', 'i']","['954', '&nbsp;']","['106', '&nbsp;']","['556', '&nbsp;']","['431', '&nbsp;']","['2,128', '&nbsp;']"
720,r044,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['11,382', '&nbsp;']","['6,756', '&nbsp;']","['294', '&nbsp;']","['524', '&nbsp;']","['310', 'i']","['849', '&nbsp;']","['87', '&nbsp;']","['486', '&nbsp;']","['414', '&nbsp;']","['1,663', '&nbsp;']"
720,r045,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['2,309', 'i']","['1,488', 'i']","['51', 'i']","['87', 'i']","['6', 'i']","['105', '&nbsp;']","['20', 'i']","['70', 'i']","['17', 'i']","['465', 'i']"
