table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_new_or_significantly_improved_products_or_processes_companies_number_,field_new_or_significantly_improved_products_or_processes_yesa,field_new_or_significantly_improved_products_or_processes_nob,field_new_or_significantly_improved_products_companies_number_,field_new_or_significantly_improved_products_any_good_or_service_yesc,field_new_or_significantly_improved_products_any_good_or_service_nod,field_new_or_significantly_improved_products_goods_yes,field_new_or_significantly_improved_products_goods_no,field_new_or_significantly_improved_products_services_yes,field_new_or_significantly_improved_products_services_no
1434,r128,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts ",5,336411–13,828,30.5,69.5,828,27.2,72.8,24.6,75.4,7.9,92.1
1434,r129,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts ",5,"336414–15, 336419",33,47.0,53.0,33,40.9,59.1,34.9,65.1,22.7,77.3
1434,r130,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,23,39.1,60.9,23,26.1,73.9,26.1,73.9,13.0,87.0
1434,r131,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,1041,43.6,56.4,1041,30.7,69.3,25.6,74.4,15.2,84.8
1434,r132,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,5660,22.5,77.5,5660,10.4,89.6,9.0,91.0,5.2,94.8
1434,r133,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,8573,37.2,62.8,8573,25.6,74.4,22.9,77.1,13.0,87.0
1434,r134,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies ,,4,3391,3057,43.8,56.2,3057,30.8,69.2,27.6,72.4,13.2,86.8
1434,r135,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,5516,33.6,66.4,5516,22.8,77.2,20.2,79.8,12.8,87.2
1434,r136,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81",1025605,14.9,85.1,1025605,8.1,91.9,4.5,95.5,6.6,93.4
1434,r137,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,6761,14.8,85.2,6761,5.8,94.2,2.0,98.0,4.0,96.0
1434,r138,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,1200,6.5,93.5,1200,4.8,95.2,0.5,99.5,4.6,95.4
1434,r139,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,91941,23.3,76.7,91941,14.8,85.2,12.2,87.8,7.7,92.3
1434,r140,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,4147,31.1,68.9,4147,23.0,77.0,20.3,79.7,12.2,87.8
1434,r141,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,39906,15.2,84.8,39906,5.3,94.7,2.4,97.6,5.3,94.7
1434,r142,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,17113,28.2,71.8,17113,23.7,76.3,14.1,85.9,20.2,79.8
1434,r143,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,5801,33.6,66.4,5801,27.1,72.9,22.7,77.3,19.9,80.1
1434,r144,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,3407,14.6,85.4,3407,7.5,92.5,6.0,94.0,5.6,94.4
1434,r145,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,2393,60.7,39.3,2393,54.9,45.1,46.5,53.5,40.2,59.8
1434,r146,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,2568,19.0,81.0,2568,14.9,85.1,2.2,97.8,14.7,85.3
1434,r147,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,3105,47.4,52.6,3105,43.0,57.0,26.7,73.3,38.0,62.0
1434,r148,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,5640,16.2,83.8,5640,13.7,86.3,3.7,96.3,13.4,86.6
1434,r149,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,45282,13.7,86.3,45282,5.6,94.4,0.7,99.3,5.5,94.5
1434,r150,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,36032,9.5,90.5,36032,5.4,94.6,3.0,97.0,4.1,95.9
1434,r151,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,110,13.7,86.3,110,7.3,92.7,3.6,96.4,4.6,95.4
1434,r152,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,35922,9.5,90.5,35922,5.4,94.6,3.0,97.0,4.1,95.9
1434,r153,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,154446,18.5,81.5,154446,12.2,87.8,6.2,93.8,10.5,89.5
1434,r154,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,25214,20.9,79.1,25214,12.9,87.1,5.7,94.3,11.2,88.8
1434,r155,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,19695,43.4,56.6,19695,36.5,63.5,21.4,78.6,31.3,68.7
1434,r156,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,2790,42.7,57.3,2790,35.9,64.1,28.6,71.4,22.3,77.7
1434,r157,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,543,39.6,60.4,543,33.7,66.3,23.4,76.6,25.0,75.0
1434,r158,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,2055,45.4,54.6,2055,38.2,61.8,32.0,68.0,22.4,77.6
1434,r159,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,192,23.2,76.8,192,18.0,82.0,6.8,93.2,13.3,86.7
1434,r160,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,106747,12.7,87.3,106747,6.9,93.1,3.0,97.0,6.2,93.8
1434,r161,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,167465,15.6,84.4,167465,9.0,91.0,3.2,96.8,9.0,91.0
1434,r162,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81",461312,11.7,88.3,461312,5.2,94.8,3.1,96.9,4.2,95.8
1434,r163,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,1138671,16.7,83.3,1138671,9.5,90.5,6.1,93.9,7.0,93.0
1434,r164,All companies (number of domestic employees) -> Micro companies<sup>e</sup>,All companies (number of domestic employees),Micro companies<sup>e</sup>,,,,2,,,,,,,,,,,
1434,r165,All companies (number of domestic employees) -> Micro companies<sup>e</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>e</sup>,5&#8211;9,,,3,–,307934,15.4,84.6,307934,9.2,90.8,5.4,94.6,7.2,92.8
1434,r166,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,,,,,,,,,,
1434,r167,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,387796,16.0,84.0,387796,9.4,90.6,5.9,94.1,7.2,92.8
1434,r168,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,290964,16.9,83.1,290964,9.0,91.0,5.8,94.2,6.5,93.5
1434,r169,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,,,,,,,,,,
1434,r170,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,83527,20.7,79.3,83527,11.4,88.6,7.9,92.1,7.6,92.4
1434,r171,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,43846,20.4,79.6,43846,10.9,89.1,7.6,92.4,6.0,94.0
1434,r172,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,,,,,,,,,,
1434,r173,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,11925,18.0,82.0,11925,11.4,88.6,8.9,91.1,6.1,93.9
1434,r174,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,5669,20.3,79.7,5669,16.4,83.6,10.4,89.6,9.5,90.5
1434,r175,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,5125,19.4,80.6,5125,14.3,85.7,12.5,87.5,7.8,92.2
1434,r176,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,721,28.5,71.5,721,23.6,76.4,21.8,78.2,15.3,84.7
1434,r177,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,838,47.2,52.8,838,14.1,85.9,12.7,87.3,10.5,89.5
1434,r178,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,326,25.5,74.5,326,19.5,80.5,15.0,85.0,16.1,83.9
