table_id,row_id,field_citizenship_ethnicity_and_race_full_path,field_citizenship_ethnicity_and_race_level_1,field_citizenship_ethnicity_and_race_level_2,field_citizenship_ethnicity_and_race_level_3,field_citizenship_ethnicity_and_race_level_4,field_citizenship_ethnicity_and_race_level_5,field_citizenship_ethnicity_and_race_level_6,field_citizenship_ethnicity_and_race_level_7,field_citizenship_ethnicity_and_race_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1138,r062,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> White,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,White,7,1115,1178,1260,1300,1432,1628,1822,1886,2015,2158,2267
1138,r063,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,7,na,na,na,na,na,34,55,91,94,129,153
1138,r064,All degrees -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Other or unknown race and ethnicity,All degrees,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Other or unknown race and ethnicity,7,96,114,109,164,182,262,221,205,214,158,168
1138,r065,All degrees -> All S&E -> Science -> Biological sciences -> Temporary resident,All degrees,All S&E,Science,Biological sciences,Temporary resident,,,5,64,61,83,72,108,92,93,114,112,92,115
1138,r066,All degrees -> All S&E -> Science -> Computer sciences,All degrees,All S&E,Science,Computer sciences,,,,4,31170,27680,28327,30050,32514,37675,41190,38897,37643,36421,30512
1138,r067,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,,,5,30628,27261,27934,29567,32019,37126,40700,38384,37098,35874,29845
1138,r068,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,6,3261,2980,2897,2995,3337,3511,4084,4450,4574,4601,3771
1138,r069,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,,6,27367,24281,25037,26572,28682,33615,36616,33934,32524,31273,26074
1138,r070,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> American Indian or Alaska Native,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,American Indian or Alaska Native,7,325,291,298,293,308,328,337,362,358,298,277
1138,r071,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian ,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian ,7,na,na,na,na,na,1438,1585,1770,1777,1907,1963
1138,r072,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,7,1474,1212,1205,1397,1521,na,na,na,na,na,na
1138,r073,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Black or African American,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Black or African American,7,4617,3988,4171,4316,4778,5278,5404,5653,5670,5678,3918
1138,r074,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Native Hawaiian or Other Pacific Islander,7,na,na,na,na,na,146,190,190,174,153,106
1138,r075,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> White,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,White,7,18835,16990,17136,18339,19413,22348,22991,22697,21420,20509,17384
1138,r076,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> More than one race<sup>c</sup>,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,More than one race<sup>c</sup>,7,na,na,na,na,na,300,422,628,738,810,874
1138,r077,All degrees -> All S&E -> Science -> Computer sciences -> U.S. citizen and permanent resident -> Non-Hispanic or Latino -> Other or unknown race and ethnicity,All degrees,All S&E,Science,Computer sciences,U.S. citizen and permanent resident,Non-Hispanic or Latino,Other or unknown race and ethnicity,7,2116,1800,2227,2227,2662,3777,5687,2634,2387,1918,1552
1138,r078,All degrees -> All S&E -> Science -> Computer sciences -> Temporary resident,All degrees,All S&E,Science,Computer sciences,Temporary resident,,,5,542,419,393,483,495,549,490,513,545,547,667
1138,r079,"All degrees -> All S&E -> Science -> Earth, atmospheric, and ocean sciences",All degrees,All S&E,Science,"Earth, atmospheric, and ocean sciences",,,,4,67,69,67,98,99,95,103,112,136,153,152
1138,r080,"All degrees -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident",All degrees,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,,,5,65,65,64,98,96,93,101,109,135,152,152
1138,r081,"All degrees -> All S&E -> Science -> Earth, atmospheric, and ocean sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>",All degrees,All S&E,Science,"Earth, atmospheric, and ocean sciences",U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,6,3,3,1,4,7,3,12,13,13,18,28
