table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
2811,r127,All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Astronomy and astrophysics,All fields,Physical sciences and earth sciences,Physics and astronomy,Astronomy and astrophysics,,4,266,287,274,301,289,269,315,339,351,362
2811,r128,All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Astronomy and astrophysics -> Astronomy,All fields,Physical sciences and earth sciences,Physics and astronomy,Astronomy and astrophysics,Astronomy,5,102,88,88,103,112,86,95,119,138,125
2811,r129,All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Astronomy and astrophysics -> Astrophysics,All fields,Physical sciences and earth sciences,Physics and astronomy,Astronomy and astrophysics,Astrophysics,5,155,185,175,184,171,174,211,216,203,231
2811,r130,"All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Astronomy and astrophysics -> Astronomy and astrophysics, other",All fields,Physical sciences and earth sciences,Physics and astronomy,Astronomy and astrophysics,"Astronomy and astrophysics, other",5,9,14,11,14,6,9,9,4,10,6
2811,r131,All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics,All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,,4,1563,1700,1788,1810,1850,1924,2006,1875,1987,2008
2811,r132,All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics -> Acoustics,All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,Acoustics,5,15,20,10,22,20,19,17,16,19,18
2811,r133,All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics -> Applied physics,All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,Applied physics,5,143,144,138,180,157,146,229,171,200,164
2811,r134,"All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics -> Atomic, molecular, chemical physics",All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,"Atomic, molecular, chemical physics",5,105,125,116,118,121,125,137,126,121,120
2811,r135,All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics -> Biophysics (physics),All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,Biophysics (physics),5,123,132,130,133,131,127,138,138,146,154
2811,r136,"All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics -> Condensed matter, low-temperature physics",All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,"Condensed matter, low-temperature physics",5,379,383,390,413,389,439,350,354,443,400
2811,r137,All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics -> Elementary particle physics,All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,Elementary particle physics,5,196,229,282,272,244,242,231,234,232,234
2811,r138,All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics -> Nuclear physics,All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,Nuclear physics,5,86,81,92,75,103,86,92,109,93,116
2811,r139,"All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics -> Optics, photonics",All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,"Optics, photonics",5,145,165,165,174,194,216,225,201,176,217
2811,r140,"All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics -> Plasma, high-temperature physics",All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,"Plasma, high-temperature physics",5,50,83,66,71,83,88,79,69,60,63
2811,r141,All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics -> Polymer physics,All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,Polymer physics,5,18,20,19,32,44,26,43,33,29,46
2811,r142,"All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics -> Physics, general",All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,"Physics, general",5,213,189,241,192,230,285,356,330,340,321
2811,r143,"All fields -> Physical sciences and earth sciences -> Physics and astronomy -> Physics -> Physics, other",All fields,Physical sciences and earth sciences,Physics and astronomy,Physics,"Physics, other",5,90,129,139,128,134,125,109,94,128,155
2811,r144,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,,,2,3223,3273,3496,3660,3862,3818,3954,3842,4024,4240
2811,r145,All fields -> Mathematics and computer sciences -> Computer and information sciences,All fields,Mathematics and computer sciences,Computer and information sciences,,,3,1633,1667,1793,1843,1988,2003,2082,1998,2001,2228
2811,r146,All fields -> Mathematics and computer sciences -> Computer and information sciences -> Computer science,All fields,Mathematics and computer sciences,Computer and information sciences,Computer science,,4,1356,1393,1482,1568,1664,1658,1650,1592,1628,1821
2811,r147,"All fields -> Mathematics and computer sciences -> Computer and information sciences -> Information science, systems",All fields,Mathematics and computer sciences,Computer and information sciences,"Information science, systems",,4,158,165,173,152,152,158,173,160,122,127
2811,r148,"All fields -> Mathematics and computer sciences -> Computer and information sciences -> Computer and information sciences, general",All fields,Mathematics and computer sciences,Computer and information sciences,"Computer and information sciences, general",,4,na,na,na,na,94,117,161,123,141,154
2811,r149,"All fields -> Mathematics and computer sciences -> Computer and information sciences -> Computer and information sciences, other",All fields,Mathematics and computer sciences,Computer and information sciences,"Computer and information sciences, other",,4,119,109,138,123,78,70,98,123,110,126
2811,r150,All fields -> Mathematics and computer sciences -> Mathematics and statistics,All fields,Mathematics and computer sciences,Mathematics and statistics,,,3,1590,1606,1703,1817,1874,1815,1872,1844,2023,2012
2811,r151,All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Algebra,All fields,Mathematics and computer sciences,Mathematics and statistics,Algebra,,4,150,152,149,151,174,146,83,109,107,82
2811,r152,All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Analysis and functional analysis,All fields,Mathematics and computer sciences,Mathematics and statistics,Analysis and functional analysis,,4,143,145,134,159,137,161,97,85,100,66
2811,r153,All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Applied mathematics,All fields,Mathematics and computer sciences,Mathematics and statistics,Applied mathematics,,4,401,432,462,455,476,435,474,493,455,428
2811,r154,All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Computational mathematics,All fields,Mathematics and computer sciences,Mathematics and statistics,Computational mathematics,,4,na,na,na,na,na,na,na,na,92,94
2811,r155,All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Computing theory and practice,All fields,Mathematics and computer sciences,Mathematics and statistics,Computing theory and practice,,4,16,20,14,22,19,24,15,19,8,10
2811,r156,"All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Geometry, geometric analysis",All fields,Mathematics and computer sciences,Mathematics and statistics,"Geometry, geometric analysis",,4,104,120,112,119,120,108,52,63,78,72
2811,r157,All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Logic,All fields,Mathematics and computer sciences,Mathematics and statistics,Logic,,4,22,17,15,33,26,21,14,15,19,18
2811,r158,All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Number theory,All fields,Mathematics and computer sciences,Mathematics and statistics,Number theory,,4,71,73,63,79,82,89,48,54,62,60
2811,r159,All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Operations research (mathematics),All fields,Mathematics and computer sciences,Mathematics and statistics,Operations research (mathematics),,4,27,27,26,15,28,34,45,34,45,45
2811,r160,All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Statistics (mathematics),All fields,Mathematics and computer sciences,Mathematics and statistics,Statistics (mathematics),,4,327,332,365,364,407,381,265,368,413,365
2811,r161,All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Topology and foundations,All fields,Mathematics and computer sciences,Mathematics and statistics,Topology and foundations,,4,84,73,74,78,77,86,41,47,58,44
2811,r162,"All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Mathematics and statistics, general",All fields,Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, general",,4,163,143,192,234,235,243,686,493,520,660
2811,r163,"All fields -> Mathematics and computer sciences -> Mathematics and statistics -> Mathematics and statistics, other",All fields,Mathematics and computer sciences,Mathematics and statistics,"Mathematics and statistics, other",,4,82,72,97,108,93,87,52,64,66,68
2811,r164,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,,,2,7882,8220,8498,8580,8748,9073,9037,9036,8879,9071
2811,r165,All fields -> Psychology and social sciences -> Psychology,All fields,Psychology and social sciences,Psychology,,,3,3420,3576,3599,3592,3724,3776,3910,3926,3823,3936
2811,r166,All fields -> Psychology and social sciences -> Psychology -> Behavioral analysis,All fields,Psychology and social sciences,Psychology,Behavioral analysis,,4,na,na,44,54,51,63,65,53,63,54
2811,r167,All fields -> Psychology and social sciences -> Psychology -> Clinical psychology,All fields,Psychology and social sciences,Psychology,Clinical psychology,,4,1151,1229,1228,1140,1220,1173,1207,1193,1259,1264
2811,r168,All fields -> Psychology and social sciences -> Psychology -> Cognitive neuroscience,All fields,Psychology and social sciences,Psychology,Cognitive neuroscience,,4,na,na,na,na,na,na,161,208,199,215
2811,r169,All fields -> Psychology and social sciences -> Psychology -> Cognitive psychology and psycholinguistics,All fields,Psychology and social sciences,Psychology,Cognitive psychology and psycholinguistics,,4,220,204,199,219,201,221,165,127,143,135
2811,r170,All fields -> Psychology and social sciences -> Psychology -> Community psychology,All fields,Psychology and social sciences,Psychology,Community psychology,,4,na,na,na,na,na,na,34,42,44,34
2811,r171,All fields -> Psychology and social sciences -> Psychology -> Counseling,All fields,Psychology and social sciences,Psychology,Counseling,,4,408,427,392,425,378,417,310,319,289,295
2811,r172,All fields -> Psychology and social sciences -> Psychology -> Developmental and child psychology,All fields,Psychology and social sciences,Psychology,Developmental and child psychology,,4,191,218,205,227,245,190,236,207,163,176
2811,r173,All fields -> Psychology and social sciences -> Psychology -> Educational psychology (psychology),All fields,Psychology and social sciences,Psychology,Educational psychology (psychology),,4,70,62,67,60,65,60,108,118,115,108
2811,r174,All fields -> Psychology and social sciences -> Psychology -> Experimental psychology,All fields,Psychology and social sciences,Psychology,Experimental psychology,,4,142,147,134,141,143,144,144,159,137,137
2811,r175,All fields -> Psychology and social sciences -> Psychology -> Family psychology,All fields,Psychology and social sciences,Psychology,Family psychology,,4,45,33,41,33,41,55,12,5,2,3
2811,r176,"All fields -> Psychology and social sciences -> Psychology -> Health, medical psychology",All fields,Psychology and social sciences,Psychology,"Health, medical psychology",,4,na,na,46,65,80,102,53,65,80,82
2811,r177,All fields -> Psychology and social sciences -> Psychology -> Human development and family studies,All fields,Psychology and social sciences,Psychology,Human development and family studies,,4,145,145,136,138,141,134,191,206,141,170
2811,r178,All fields -> Psychology and social sciences -> Psychology -> Industrial and organizational psychology,All fields,Psychology and social sciences,Psychology,Industrial and organizational psychology,,4,207,200,222,214,203,221,217,196,194,183
2811,r179,"All fields -> Psychology and social sciences -> Psychology -> Marriage and family therapy, counseling",All fields,Psychology and social sciences,Psychology,"Marriage and family therapy, counseling",,4,na,na,na,na,na,na,77,75,69,96
2811,r180,"All fields -> Psychology and social sciences -> Psychology -> Neuropsychology, physiological psychology<sup>h</sup>",All fields,Psychology and social sciences,Psychology,"Neuropsychology, physiological psychology<sup>h</sup>",,4,82,77,101,112,122,130,69,47,40,62
2811,r181,All fields -> Psychology and social sciences -> Psychology -> Personality psychology,All fields,Psychology and social sciences,Psychology,Personality psychology,,4,22,23,20,15,21,21,23,16,13,17
2811,r182,All fields -> Psychology and social sciences -> Psychology -> Psychometrics and quantitative psychology,All fields,Psychology and social sciences,Psychology,Psychometrics and quantitative psychology,,4,36,35,34,44,33,48,49,51,41,65
2811,r183,All fields -> Psychology and social sciences -> Psychology -> School psychology (psychology),All fields,Psychology and social sciences,Psychology,School psychology (psychology),,4,107,110,118,114,110,116,125,146,148,132
2811,r184,All fields -> Psychology and social sciences -> Psychology -> Social psychology,All fields,Psychology and social sciences,Psychology,Social psychology,,4,210,228,246,211,242,220,219,219,215,236
2811,r185,"All fields -> Psychology and social sciences -> Psychology -> Psychology, general",All fields,Psychology and social sciences,Psychology,"Psychology, general",,4,185,228,220,229,275,289,295,265,251,251
2811,r186,"All fields -> Psychology and social sciences -> Psychology -> Psychology, other",All fields,Psychology and social sciences,Psychology,"Psychology, other",,4,199,210,146,151,153,172,150,209,217,221
2811,r187,All fields -> Psychology and social sciences -> Social sciences,All fields,Psychology and social sciences,Social sciences,,,3,4462,4644,4899,4988,5024,5297,5127,5110,5056,5135
2811,r188,All fields -> Psychology and social sciences -> Social sciences -> Anthropology,All fields,Psychology and social sciences,Social sciences,Anthropology,,4,507,553,547,550,523,492,460,446,424,445
2811,r189,"All fields -> Psychology and social sciences -> Social sciences -> Anthropology -> Anthropology, cultural",All fields,Psychology and social sciences,Social sciences,Anthropology,"Anthropology, cultural",5,na,na,na,na,267,317,290,272,276,294
2811,r190,"All fields -> Psychology and social sciences -> Social sciences -> Anthropology -> Anthropology, general<sup>i</sup>",All fields,Psychology and social sciences,Social sciences,Anthropology,"Anthropology, general<sup>i</sup>",5,507,553,547,550,184,99,90,89,53,77
2811,r191,"All fields -> Psychology and social sciences -> Social sciences -> Anthropology -> Anthropology, physical and biological",All fields,Psychology and social sciences,Social sciences,Anthropology,"Anthropology, physical and biological",5,na,na,na,na,72,76,80,85,95,74
2811,r192,All fields -> Psychology and social sciences -> Social sciences -> Economics,All fields,Psychology and social sciences,Social sciences,Economics,,4,1073,1121,1243,1183,1196,1255,1236,1239,1245,1247
2811,r193,All fields -> Psychology and social sciences -> Social sciences -> Economics -> Econometrics,All fields,Psychology and social sciences,Social sciences,Economics,Econometrics,5,34,28,40,48,46,40,38,26,28,33
2811,r194,All fields -> Psychology and social sciences -> Social sciences -> Economics -> Natural resources and environmental economics (social sciences),All fields,Psychology and social sciences,Social sciences,Economics,Natural resources and environmental economics (social sciences),5,na,na,48,49,49,47,59,56,58,60
2811,r195,All fields -> Psychology and social sciences -> Social sciences -> Economics -> Other economics<sup>j</sup>,All fields,Psychology and social sciences,Social sciences,Economics,Other economics<sup>j</sup>,5,1039,1093,1155,1086,1101,1168,1139,1157,1159,1154
2811,r196,All fields -> Psychology and social sciences -> Social sciences -> Political science and government,All fields,Psychology and social sciences,Social sciences,Political science and government,,4,728,685,724,803,775,859,745,743,734,707
2811,r197,All fields -> Psychology and social sciences -> Social sciences -> Sociology,All fields,Psychology and social sciences,Social sciences,Sociology,,4,639,656,633,636,678,741,613,683,668,633
2811,r198,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences,All fields,Psychology and social sciences,Social sciences,Other social sciences,,4,1515,1629,1752,1816,1852,1950,2073,1999,1985,2103
2811,r199,"All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> American, U.S. studies",All fields,Psychology and social sciences,Social sciences,Other social sciences,"American, U.S. studies",5,115,132,121,122,121,130,111,98,68,67
2811,r200,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Applied linguistics,All fields,Psychology and social sciences,Social sciences,Other social sciences,Applied linguistics,5,na,na,na,na,na,na,81,106,70,100
2811,r201,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Archaeology (social sciences),All fields,Psychology and social sciences,Social sciences,Other social sciences,Archaeology (social sciences),5,na,na,na,na,na,na,na,na,119,117
2811,r202,"All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Area, ethnic, cultural studies<sup>k</sup>",All fields,Psychology and social sciences,Social sciences,Other social sciences,"Area, ethnic, cultural studies<sup>k</sup>",5,111,110,113,98,90,80,188,175,133,137
2811,r203,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Criminal justice and corrections,All fields,Psychology and social sciences,Social sciences,Other social sciences,Criminal justice and corrections,5,74,80,80,75,80,111,93,110,87,142
2811,r204,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Criminology,All fields,Psychology and social sciences,Social sciences,Other social sciences,Criminology,5,52,101,86,76,78,102,104,94,96,100
2811,r205,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Demography and population studies,All fields,Psychology and social sciences,Social sciences,Other social sciences,Demography and population studies,5,13,30,17,27,32,21,37,22,28,18
2811,r206,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Gender and women's studies,All fields,Psychology and social sciences,Social sciences,Other social sciences,Gender and women's studies,5,na,na,na,na,40,34,72,49,48,55
2811,r207,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Geography,All fields,Psychology and social sciences,Social sciences,Other social sciences,Geography,5,225,233,270,251,293,301,246,279,242,265
2811,r208,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Gerontology (social sciences),All fields,Psychology and social sciences,Social sciences,Other social sciences,Gerontology (social sciences),5,18,27,31,32,28,24,22,31,23,27
2811,r209,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Health policy analysis,All fields,Psychology and social sciences,Social sciences,Other social sciences,Health policy analysis,5,na,na,41,69,50,81,61,55,58,55
2811,r210,"All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> History, science and technology and society<sup>l</sup>",All fields,Psychology and social sciences,Social sciences,Other social sciences,"History, science and technology and society<sup>l</sup>",5,na,na,na,na,na,na,na,na,55,74
2811,r211,"All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> International relations, international affairs",All fields,Psychology and social sciences,Social sciences,Other social sciences,"International relations, international affairs",5,107,113,124,119,105,104,137,154,135,138
2811,r212,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Linguistics,All fields,Psychology and social sciences,Social sciences,Other social sciences,Linguistics,5,240,270,258,285,276,288,236,208,249,245
2811,r213,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Public policy analysis,All fields,Psychology and social sciences,Social sciences,Other social sciences,Public policy analysis,5,244,223,263,279,277,293,230,239,264,231
2811,r214,All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Statistics (social sciences),All fields,Psychology and social sciences,Social sciences,Other social sciences,Statistics (social sciences),5,21,22,19,24,20,22,44,15,21,28
2811,r215,"All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Urban, city, community and regional planning",All fields,Psychology and social sciences,Social sciences,Other social sciences,"Urban, city, community and regional planning",5,106,104,121,114,111,128,131,149,102,118
2811,r216,"All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Urban studies, affairs",All fields,Psychology and social sciences,Social sciences,Other social sciences,"Urban studies, affairs",5,34,31,34,39,35,31,39,41,35,34
2811,r217,"All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Social sciences, general",All fields,Psychology and social sciences,Social sciences,Other social sciences,"Social sciences, general",5,48,39,32,55,59,55,99,48,41,44
2811,r218,"All fields -> Psychology and social sciences -> Social sciences -> Other social sciences -> Social sciences, other",All fields,Psychology and social sciences,Social sciences,Other social sciences,"Social sciences, other",5,107,114,142,151,157,145,142,126,111,108
2811,r219,All fields -> Engineering,All fields,Engineering,,,,2,7578,8032,8469,9000,9626,9875,9459,9776,10166,10303
2811,r220,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,252,262,307,348,386,361,370,379,383,379
2811,r221,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,,,3,824,898,943,1039,1046,1125,1089,1032,1133,1164
2811,r222,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,,3,822,823,840,824,973,1002,921,931,981,981
2811,r223,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,,3,643,634,495,542,617,632,564,713,676,701
2811,r224,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",,,3,1778,1886,1938,1897,1952,1997,1823,1879,1944,1799
2811,r225,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,,,3,215,258,226,241,298,243,256,249,272,234
2811,r226,All fields -> Engineering -> Materials science engineering,All fields,Engineering,Materials science engineering,,,3,670,662,743,815,832,871,984,937,993,992
2811,r227,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,,3,983,1084,1220,1277,1331,1466,1297,1399,1503,1533
2811,r228,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,,3,1391,1525,1757,2017,2191,2178,2155,2257,2281,2520
2811,r229,All fields -> Engineering -> Other engineering -> Agricultural engineering,All fields,Engineering,Other engineering,Agricultural engineering,,4,58,60,68,75,80,67,62,79,84,65
2811,r230,All fields -> Engineering -> Other engineering -> Ceramic sciences engineering,All fields,Engineering,Other engineering,Ceramic sciences engineering,,4,11,7,5,3,na,na,na,na,na,na
2811,r231,All fields -> Engineering -> Other engineering -> Communications engineering,All fields,Engineering,Other engineering,Communications engineering,,4,15,16,24,31,29,30,19,16,14,16
2811,r232,All fields -> Engineering -> Other engineering -> Computer engineering,All fields,Engineering,Other engineering,Computer engineering,,4,374,372,406,417,465,410,401,423,435,446
2811,r233,"All fields -> Engineering -> Other engineering -> Engineering management, administration",All fields,Engineering,Other engineering,"Engineering management, administration",,4,38,37,44,59,44,45,29,54,36,40
2811,r234,All fields -> Engineering -> Other engineering -> Engineering mechanics,All fields,Engineering,Other engineering,Engineering mechanics,,4,46,63,48,70,70,66,101,61,71,82
2811,r235,All fields -> Engineering -> Other engineering -> Engineering physics,All fields,Engineering,Other engineering,Engineering physics,,4,31,32,17,34,30,36,24,27,37,23
2811,r236,All fields -> Engineering -> Other engineering -> Engineering science,All fields,Engineering,Other engineering,Engineering science,,4,52,51,45,41,60,72,33,65,57,47
2811,r237,"All fields -> Engineering -> Other engineering -> Environmental, environmental health engineering<sup>m</sup>",All fields,Engineering,Other engineering,"Environmental, environmental health engineering<sup>m</sup>",,4,112,144,214,269,270,282,216,240,247,251
2811,r238,All fields -> Engineering -> Other engineering -> Geotechnical and geoenvironmental engineering,All fields,Engineering,Other engineering,Geotechnical and geoenvironmental engineering,,4,na,na,49,51,72,68,81,75,65,84
2811,r239,All fields -> Engineering -> Other engineering -> Metallurgical engineering,All fields,Engineering,Other engineering,Metallurgical engineering,,4,11,30,16,25,24,34,31,25,26,24
2811,r240,All fields -> Engineering -> Other engineering -> Mining and mineral engineering,All fields,Engineering,Other engineering,Mining and mineral engineering,,4,7,6,14,29,na,na,na,na,na,na
2811,r241,All fields -> Engineering -> Other engineering -> Nuclear engineering,All fields,Engineering,Other engineering,Nuclear engineering,,4,91,107,101,119,156,130,131,156,178,156
2811,r242,All fields -> Engineering -> Other engineering -> Ocean engineering,All fields,Engineering,Other engineering,Ocean engineering,,4,23,26,21,30,30,36,26,25,24,41
2811,r243,All fields -> Engineering -> Other engineering -> Operations research (engineering),All fields,Engineering,Other engineering,Operations research (engineering),,4,85,83,90,119,117,88,130,115,107,146
2811,r244,All fields -> Engineering -> Other engineering -> Petroleum engineering,All fields,Engineering,Other engineering,Petroleum engineering,,4,51,56,67,92,107,104,99,85,133,144
2811,r245,"All fields -> Engineering -> Other engineering -> Polymer, plastics engineering",All fields,Engineering,Other engineering,"Polymer, plastics engineering",,4,57,71,67,61,63,80,60,90,54,70
2811,r246,All fields -> Engineering -> Other engineering -> Robotics,All fields,Engineering,Other engineering,Robotics,,4,31,46,50,59,80,82,120,98,107,145
2811,r247,All fields -> Engineering -> Other engineering -> Structural engineering,All fields,Engineering,Other engineering,Structural engineering,,4,66,69,81,81,101,125,117,103,95,146
2811,r248,All fields -> Engineering -> Other engineering -> Systems engineering,All fields,Engineering,Other engineering,Systems engineering,,4,68,79,82,114,95,105,113,121,113,125
2811,r249,All fields -> Engineering -> Other engineering -> Transportation and highway engineering,All fields,Engineering,Other engineering,Transportation and highway engineering,,4,na,na,76,80,101,106,109,85,96,136
2811,r250,"All fields -> Engineering -> Other engineering -> Engineering, general",All fields,Engineering,Other engineering,"Engineering, general",,4,36,36,43,24,40,42,107,60,73,111
2811,r251,"All fields -> Engineering -> Other engineering -> Engineering, other",All fields,Engineering,Other engineering,"Engineering, other",,4,128,134,129,134,157,170,146,254,229,222
2811,r252,All fields -> Education,All fields,Education,,,,2,5287,4670,4802,4934,4789,5098,5146,4826,4824,4635
2811,r253,All fields -> Education -> Education administration,All fields,Education,Education administration,,,3,1439,924,1057,965,893,920,824,922,896,839
2811,r254,All fields -> Education -> Education administration -> Educational administration and supervision,All fields,Education,Education administration,Educational administration and supervision,,4,320,217,219,187,170,169,148,184,167,154
2811,r255,"All fields -> Education -> Education administration -> Educational and human resource studies, development",All fields,Education,Education administration,"Educational and human resource studies, development",,4,na,na,78,93,62,68,62,71,46,57
2811,r256,All fields -> Education -> Education administration -> Educational leadership,All fields,Education,Education administration,Educational leadership,,4,1029,649,673,601,605,620,555,595,619,563
2811,r257,All fields -> Education -> Education administration -> Urban education and leadership,All fields,Education,Education administration,Urban education and leadership,,4,90,58,87,84,56,63,59,72,64,65
2811,r258,All fields -> Education -> Education research,All fields,Education,Education research,,,3,2443,2438,2568,2703,2560,2772,2384,2418,2503,2303
2811,r259,"All fields -> Education -> Education research -> Counseling education, counseling and guidance",All fields,Education,Education research,"Counseling education, counseling and guidance",,4,211,223,223,257,229,292,276,273,279,255
2811,r260,All fields -> Education -> Education research -> Curriculum and instruction,All fields,Education,Education research,Curriculum and instruction,,4,617,590,583,586,552,585,380,502,531,391
2811,r261,All fields -> Education -> Education research -> Educational and instructional media design,All fields,Education,Education research,Educational and instructional media design,,4,121,133,30,17,18,30,26,19,15,17
2811,r262,All fields -> Education -> Education research -> Educational and instructional technology,All fields,Education,Education research,Educational and instructional technology,,4,na,na,163,241,192,201,224,233,200,178
2811,r263,"All fields -> Education -> Education research -> Educational assessment, testing, measurement",All fields,Education,Education research,"Educational assessment, testing, measurement",,4,65,73,57,63,53,65,66,42,57,46
2811,r264,All fields -> Education -> Education research -> Educational policy analysis,All fields,Education,Education research,Educational policy analysis,,4,122,151,157,171,152,168,173,128,142,146
2811,r265,All fields -> Education -> Education research -> Educational psychology (education),All fields,Education,Education research,Educational psychology (education),,4,269,287,302,283,261,286,221,233,210,198
2811,r266,"All fields -> Education -> Education research -> Educational statistics, research methods",All fields,Education,Education research,"Educational statistics, research methods",,4,68,79,70,84,74,92,76,83,95,86
2811,r267,All fields -> Education -> Education research -> Higher education evaluation and research,All fields,Education,Education research,Higher education evaluation and research,,4,420,384,448,435,446,519,449,438,394,389
2811,r268,All fields -> Education -> Education research -> International education,All fields,Education,Education research,International education,,4,65,60,52,65,70,55,56,45,43,51
2811,r269,All fields -> Education -> Education research -> Learning sciences,All fields,Education,Education research,Learning sciences,,4,na,na,na,na,na,na,na,na,73,80
2811,r270,All fields -> Education -> Education research -> School psychology (education),All fields,Education,Education research,School psychology (education),,4,132,128,117,131,145,132,117,120,116,126
2811,r271,All fields -> Education -> Education research -> Social and philosophical foundations of education,All fields,Education,Education research,Social and philosophical foundations of education,,4,92,100,98,84,92,90,63,66,81,78
2811,r272,All fields -> Education -> Education research -> Special education,All fields,Education,Education research,Special education,,4,261,230,268,286,276,257,257,236,267,262
2811,r273,All fields -> Education -> Teacher education,All fields,Education,Teacher education,,,3,245,204,156,109,152,156,180,114,96,104
2811,r274,All fields -> Education -> Teacher education -> Adult and continuing teacher education,All fields,Education,Teacher education,Adult and continuing teacher education,,4,91,64,49,23,53,39,64,30,42,32
2811,r275,All fields -> Education -> Teacher education -> Elementary teacher education,All fields,Education,Teacher education,Elementary teacher education,,4,48,45,40,26,36,37,36,30,12,21
2811,r276,"All fields -> Education -> Teacher education -> Pre-elementary, early childhood teacher education",All fields,Education,Teacher education,"Pre-elementary, early childhood teacher education",,4,58,52,29,35,29,47,51,34,28,37
2811,r277,All fields -> Education -> Teacher education -> Secondary teacher education,All fields,Education,Teacher education,Secondary teacher education,,4,48,43,38,25,34,33,29,20,14,14
