table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_level_5,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
6846,r145,All degree levels -> Doctorate,All degree levels,Doctorate,,,,2,1796000,59000,351000,593000,444000,348000
6846,r146,All degree levels -> Doctorate -> S&E occupations,All degree levels,Doctorate,S&E occupations,,,3,786000,48000,69000,403000,165000,102000
6846,r147,"All degree levels -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",,4,217000,2000,21000,154000,26000,14000
6846,r148,"All degree levels -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All degree levels,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,5,10000,,0.05,9000,,
6846,r149,"All degree levels -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All degree levels,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,5,153000,2000,14000,124000,0.05,12000
6846,r150,"All degree levels -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All degree levels,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,5,1000,,,1000,,
6846,r151,"All degree levels -> Doctorate -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All degree levels,Doctorate,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,5,53000,,7000,20000,25000,
6846,r152,All degree levels -> Doctorate -> S&E occupations -> Computer and mathematical scientists,All degree levels,Doctorate,S&E occupations,Computer and mathematical scientists,,4,150000,40000,13000,61000,29000,7000
6846,r153,All degree levels -> Doctorate -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All degree levels,Doctorate,S&E occupations,Computer and mathematical scientists,Computer and information scientists,5,78000,36000,7000,31000,,S
6846,r154,All degree levels -> Doctorate -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All degree levels,Doctorate,S&E occupations,Computer and mathematical scientists,Mathematical scientists,5,25000,4000,2000,17000,,2000
6846,r155,All degree levels -> Doctorate -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All degree levels,Doctorate,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,5,47000,,4000,14000,29000,
6846,r156,All degree levels -> Doctorate -> S&E occupations -> Physical and related scientists,All degree levels,Doctorate,S&E occupations,Physical and related scientists,,4,101000,1000,8000,62000,26000,4000
6846,r157,"All degree levels -> Doctorate -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All degree levels,Doctorate,S&E occupations,Physical and related scientists,"Chemists, except biochemists",5,20000,,2000,17000,,1000
6846,r158,"All degree levels -> Doctorate -> S&E occupations -> Physical and related scientists -> Earth scientists, geologists and oceanographers",All degree levels,Doctorate,S&E occupations,Physical and related scientists,"Earth scientists, geologists and oceanographers",5,11000,S,S,8000,,
6846,r159,All degree levels -> Doctorate -> S&E occupations -> Physical and related scientists -> Physicists and astronomers,All degree levels,Doctorate,S&E occupations,Physical and related scientists,Physicists and astronomers,5,21000,,1000,18000,,
6846,r160,All degree levels -> Doctorate -> S&E occupations -> Physical and related scientists -> Other physical and related scientists,All degree levels,Doctorate,S&E occupations,Physical and related scientists,Other physical and related scientists,5,8000,,,6000,,
6846,r161,All degree levels -> Doctorate -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All degree levels,Doctorate,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,5,41000,,3000,12000,26000,
6846,r162,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists,All degree levels,Doctorate,S&E occupations,Social and related scientists,,4,201000,,13000,53000,67000,67000
6846,r163,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists -> Economists,All degree levels,Doctorate,S&E occupations,Social and related scientists,Economists,5,10000,,S,7000,,3000
6846,r164,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists -> Political scientists,All degree levels,Doctorate,S&E occupations,Social and related scientists,Political scientists,5,2000,,,1000,,
6846,r165,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists -> Psychologists,All degree levels,Doctorate,S&E occupations,Social and related scientists,Psychologists,5,75000,,3000,12000,,60000
6846,r166,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists -> Sociologists and anthropologists,All degree levels,Doctorate,S&E occupations,Social and related scientists,Sociologists and anthropologists,5,5000,,,5000,,
6846,r167,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists -> Other social and related scientists,All degree levels,Doctorate,S&E occupations,Social and related scientists,Other social and related scientists,5,14000,,3000,10000,,S
6846,r168,All degree levels -> Doctorate -> S&E occupations -> Social and related scientists -> Postsecondary teachers - social and related sciences,All degree levels,Doctorate,S&E occupations,Social and related scientists,Postsecondary teachers - social and related sciences,5,95000,,6000,20000,66000,3000
6846,r169,All degree levels -> Doctorate -> S&E occupations -> Engineers,All degree levels,Doctorate,S&E occupations,Engineers,,4,116000,4000,14000,72000,17000,10000
6846,r170,"All degree levels -> Doctorate -> S&E occupations -> Engineers -> Aerospace, aeronautical, and astronautical engineers",All degree levels,Doctorate,S&E occupations,Engineers,"Aerospace, aeronautical, and astronautical engineers",5,8000,,,4000,,
6846,r171,All degree levels -> Doctorate -> S&E occupations -> Engineers -> Chemical engineers,All degree levels,Doctorate,S&E occupations,Engineers,Chemical engineers,5,11000,,1000,8000,,S
6846,r172,"All degree levels -> Doctorate -> S&E occupations -> Engineers -> Civil, architectural, and sanitary engineers",All degree levels,Doctorate,S&E occupations,Engineers,"Civil, architectural, and sanitary engineers",5,4000,,,2000,,
6846,r173,All degree levels -> Doctorate -> S&E occupations -> Engineers -> Electrical and computer hardware engineers,All degree levels,Doctorate,S&E occupations,Engineers,Electrical and computer hardware engineers,5,20000,1000,3000,15000,,S
6846,r174,All degree levels -> Doctorate -> S&E occupations -> Engineers -> Industrial engineers,All degree levels,Doctorate,S&E occupations,Engineers,Industrial engineers,5,2000,,,,,
6846,r175,All degree levels -> Doctorate -> S&E occupations -> Engineers -> Mechanical engineers,All degree levels,Doctorate,S&E occupations,Engineers,Mechanical engineers,5,12000,1000,S,10000,,
6846,r176,All degree levels -> Doctorate -> S&E occupations -> Engineers -> Other engineers,All degree levels,Doctorate,S&E occupations,Engineers,Other engineers,5,24000,S,3000,17000,,4000
6846,r177,All degree levels -> Doctorate -> S&E occupations -> Engineers -> Postsecondary teachers - engineering,All degree levels,Doctorate,S&E occupations,Engineers,Postsecondary teachers - engineering,5,35000,,2000,16000,17000,
6846,r178,All degree levels -> Doctorate -> S&E-related occupations,All degree levels,Doctorate,S&E-related occupations,,,3,267000,7000,42000,56000,48000,112000
6846,r179,All degree levels -> Doctorate -> S&E-related occupations -> Health-related occupations,All degree levels,Doctorate,S&E-related occupations,Health-related occupations,,4,166000,,10000,24000,27000,105000
6846,r180,All degree levels -> Doctorate -> S&E-related occupations -> S&E managers,All degree levels,Doctorate,S&E-related occupations,S&E managers,,4,46000,,27000,10000,,7000
6846,r181,All degree levels -> Doctorate -> S&E-related occupations -> S&E precollege teachers,All degree levels,Doctorate,S&E-related occupations,S&E precollege teachers,,4,22000,,,,21000,
6846,r182,All degree levels -> Doctorate -> S&E-related occupations -> S&E technicians and technologists,All degree levels,Doctorate,S&E-related occupations,S&E technicians and technologists,,4,32000,4000,5000,22000,,0.05
6846,r183,All degree levels -> Doctorate -> S&E-related occupations -> Other S&E-related occupations,All degree levels,Doctorate,S&E-related occupations,Other S&E-related occupations,,4,S,,,,,
6846,r184,All degree levels -> Doctorate -> Non-S&E occupations,All degree levels,Doctorate,Non-S&E occupations,,,3,743000,5000,240000,134000,231000,134000
6846,r185,All degree levels -> Doctorate -> Non-S&E occupations -> Non-S&E managers,All degree levels,Doctorate,Non-S&E occupations,Non-S&E managers,,4,167000,S,112000,36000,S,11000
6846,r186,All degree levels -> Doctorate -> Non-S&E occupations -> Management-related occupations,All degree levels,Doctorate,Non-S&E occupations,Management-related occupations,,4,81000,2000,48000,17000,,13000
6846,r187,All degree levels -> Doctorate -> Non-S&E occupations -> Non-S&E precollege teachers,All degree levels,Doctorate,Non-S&E occupations,Non-S&E precollege teachers,,4,20000,,S,,15000,
6846,r188,All degree levels -> Doctorate -> Non-S&E occupations -> Non-S&E postsecondary teachers,All degree levels,Doctorate,Non-S&E occupations,Non-S&E postsecondary teachers,,4,215000,,10000,34000,167000,3000
6846,r189,All degree levels -> Doctorate -> Non-S&E occupations -> Social services and related occupations,All degree levels,Doctorate,Non-S&E occupations,Social services and related occupations,,4,69000,,16000,S,17000,34000
6846,r190,All degree levels -> Doctorate -> Non-S&E occupations -> Sales and marketing occupations,All degree levels,Doctorate,Non-S&E occupations,Sales and marketing occupations,,4,13000,,5000,S,,6000
6846,r191,"All degree levels -> Doctorate -> Non-S&E occupations -> Art, humanities, and related occupations",All degree levels,Doctorate,Non-S&E occupations,"Art, humanities, and related occupations",,4,30000,,5000,9000,2000,14000
6846,r192,All degree levels -> Doctorate -> Non-S&E occupations -> Other non-S&E occupations,All degree levels,Doctorate,Non-S&E occupations,Other non-S&E occupations,,4,149000,,39000,35000,22000,52000
6846,r193,All degree levels -> Professional,All degree levels,Professional,,,,2,3036000,12000,419000,85000,90000,2430000
6846,r194,All degree levels -> Professional -> S&E occupations,All degree levels,Professional,S&E occupations,,,3,67000,8000,4000,15000,10000,30000
6846,r195,All degree levels -> Professional -> S&E-related occupations,All degree levels,Professional,S&E-related occupations,,,3,1404000,,72000,33000,35000,1262000
6846,r196,All degree levels -> Professional -> Non-S&E occupations,All degree levels,Professional,Non-S&E occupations,,,3,1565000,,343000,37000,45000,1138000
