table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2020,field_2021,field_2022,field_2023
12731,r325,Vermont -> Public,Vermont,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r326,Vermont -> Public -> Castleton U.,Vermont,Public,Castleton U.,3,"['ne', '']","['ne', '']","['598', '']","['162', '']"
12731,r327,Vermont -> Public -> Northern Vermont U.,Vermont,Public,Northern Vermont U.,3,"['ne', '']","['ne', '']","['ne', '']","['400', '']"
12731,r328,Vermont -> Private,Vermont,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r329,Vermont -> Private -> Saint Michael's C.,Vermont,Private,Saint Michael's C.,3,"['957', '']","['876', '']","['754', '']","['754', '']"
12731,r330,Virginia,Virginia,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r331,Virginia -> Public,Virginia,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r332,Virginia -> Public -> Longwood U.,Virginia,Public,Longwood U.,3,"['368', '']","['544', '']","['249', '']","['838', '']"
12731,r333,Virginia -> Private,Virginia,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r334,Virginia -> Private -> Roanoke C.,Virginia,Private,Roanoke C.,3,"['606', '']","['738', '']","['955', '']","['932', '']"
12731,r335,Virginia -> Private -> U. Lynchburg,Virginia,Private,U. Lynchburg,3,"['ne', '']","['150', 'i']","['164', 'i']","['182', 'i']"
12731,r336,Virginia -> Private -> Washington and Lee U.,Virginia,Private,Washington and Lee U.,3,"['214', '']","['256', '']","['249', '']","['243', '']"
12731,r337,Washington,Washington,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r338,Washington -> Public,Washington,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r339,Washington -> Public -> Evergreen State C.,Washington,Public,Evergreen State C.,3,"['390', '']","['783', '']","['586', '']","['791', '']"
12731,r340,Washington -> Private,Washington,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
