table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_male,field_worldwide_female,field_domestic_total,field_domestic_male,field_domestic_female,field_foreign_total,field_foreign_male,field_foreign_female
768,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['3', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
768,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['26', '&nbsp;']","['20', 'i']","['6', 'i']","['25', '&nbsp;']","['20', 'i']","['6', 'i']","['1', '&nbsp;']","['1', 'i']","['*', 'i']"
768,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['7', '&nbsp;']","['5', 'i']","['2', 'i']","['6', '&nbsp;']","['4', 'i']","['2', 'i']","['1', '&nbsp;']","['1', 'i']","['1', 'i']"
768,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['2', '&nbsp;']","['1', '&nbsp;']","['1', 'i']","['2', '&nbsp;']","['1', '&nbsp;']","['1', 'i']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
768,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['409', '&nbsp;']","['313', '&nbsp;']","['97', '&nbsp;']","['279', '&nbsp;']","['215', '&nbsp;']","['64', '&nbsp;']","['130', '&nbsp;']","['98', '&nbsp;']","['32', '&nbsp;']"
768,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['247', '&nbsp;']","['186', '&nbsp;']","['61', '&nbsp;']","['146', '&nbsp;']","['112', '&nbsp;']","['34', '&nbsp;']","['100', '&nbsp;']","['74', '&nbsp;']","['26', '&nbsp;']"
768,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['1', '&nbsp;']","['1', 'i']","['*', 'i']","['1', '&nbsp;']","['*', 'i']","['*', 'i']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
768,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['246', '&nbsp;']","['185', '&nbsp;']","['60', '&nbsp;']","['145', '&nbsp;']","['111', '&nbsp;']","['34', '&nbsp;']","['100', '&nbsp;']","['74', '&nbsp;']","['26', '&nbsp;']"
768,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['25', '&nbsp;']","['20', 'i']","['6', '&nbsp;']","['24', '&nbsp;']","['19', 'i']","['5', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']"
768,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['72', '&nbsp;']","['55', '&nbsp;']","['17', '&nbsp;']","['56', '&nbsp;']","['43', '&nbsp;']","['13', '&nbsp;']","['16', '&nbsp;']","['12', '&nbsp;']","['4', '&nbsp;']"
