table_id,row_id,broad_field_of_study_and_primary_source_of_support_full_path,broad_field_of_study_and_primary_source_of_support_level_1,broad_field_of_study_and_primary_source_of_support_level_2,broad_field_of_study_and_primary_source_of_support_level_3,broad_field_of_study_and_primary_source_of_support_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
978,r039,"All fields (number) -> Engineering (number) -> Fellowships, scholarships, or dissertation grants<sup>c</sup>",All fields (number),Engineering (number),"Fellowships, scholarships, or dissertation grants<sup>c</sup>",3,20.3,18.5,26.5,31.5,11.4,36.7,60.0,28.2,45.2,30.7,37.4,23.3,57.1
978,r040,All fields (number) -> Engineering (number) -> Own resources,All fields (number),Engineering (number),Own resources,3,4.7,5.0,3.7,7.4,2.6,9.1,,7.5,14.2,6.8,,16.7,0.0
978,r041,All fields (number) -> Engineering (number) -> Employer,All fields (number),Engineering (number),Employer,3,3.0,3.4,1.8,6.3,0.4,5.7,,3.8,7.1,7.0,,3.3,7.1
978,r042,All fields (number) -> Engineering (number) -> Other,All fields (number),Engineering (number),Other,3,2.7,2.8,2.3,0.3,4.6,0.4,0.0,0.3,0.0,0.4,0.0,0.0,0.0
978,r043,All fields (number) -> Education (number),All fields (number),Education (number),,2,4166,1335,2831,3656,491,293,19,199,527,2487,82,29,20
978,r044,All fields (number) -> Education (number) -> Teaching assistantships,All fields (number),Education (number),Teaching assistantships,3,10.6,10.5,10.7,10.0,14.9,8.9,,15.6,7.4,10.4,7.3,,5.0
978,r045,All fields (number) -> Education (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Education (number),Research assistantships or traineeships<sup>b</sup>,3,16.2,15.5,16.5,14.7,27.3,13.3,,19.6,12.1,15.2,,10.3,15.0
978,r046,"All fields (number) -> Education (number) -> Fellowships, scholarships, or dissertation grants<sup>c</sup>",All fields (number),Education (number),"Fellowships, scholarships, or dissertation grants<sup>c</sup>",3,12.7,11.7,13.2,11.3,23.0,14.7,,22.6,12.3,9.2,,24.1,20.0
978,r047,All fields (number) -> Education (number) -> Own resources,All fields (number),Education (number),Own resources,3,47.5,46.2,48.0,51.6,16.5,55.3,52.6,32.2,60.2,51.1,54.9,41.4,40.0
978,r048,All fields (number) -> Education (number) -> Employer,All fields (number),Education (number),Employer,3,10.9,12.2,10.3,12.2,1.0,7.8,,10.1,8.0,14.0,,,15.0
