table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
2075,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['3', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2075,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['44', '  ']","['44', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2075,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['1,814', '  ']","['1,590', '  ']","['0', '  ']","['173', '  ']","['0', '  ']","['0', '  ']","['5', '  ']","['11', '  ']","['34', '  ']"
2075,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,088', '  ']","['975', '  ']","['0', '  ']","['66', '  ']","['0', '  ']","['0', '  ']","['5', '  ']","['10', '  ']","['32', '  ']"
2075,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['10', '  ']","['6', 'i ']","['0', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', 'i ']","['1', 'i ']","['2', 'i ']"
2075,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,078', '  ']","['968', '  ']","['0', '  ']","['66', '  ']","['0', '  ']","['0', '  ']","['4', '  ']","['10', '  ']","['30', '  ']"
2075,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['237', '  ']","['234', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']"
2075,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['239', '  ']","['137', '  ']","['0', '  ']","['99', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['2', '  ']"
2075,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['250', '  ']","['245', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['1', '  ']","['*', 'i ']"
2075,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['362', '  ']","['256', '  ']","['21', '  ']","['79', '  ']","['0', '  ']","['0', '  ']","['4', '  ']","['3', '  ']","['0', '  ']"
2075,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['4', 'i ']","['4', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2075,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['2', 'i ']","['2', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2075,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['1', '  ']","['1', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2075,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['557', '  ']","['426', '  ']","['2', '  ']","['72', '  ']","['17', '  ']","['*', 'i ']","['24', '  ']","['11', '  ']","['7', 'i ']"
2075,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['85', '  ']","['78', '  ']","['*', 'i ']","['3', '  ']","['2', 'i ']","['0', '  ']","['1', 'i ']","['*', 'i ']","['*', 'i ']"
2075,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['120', '  ']","['88', 'i ']","['*', 'i ']","['19', 'i ']","['4', 'i ']","['*', 'i ']","['*', 'i ']","['3', 'i ']","['5', 'i ']"
2075,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['332', '  ']","['244', '  ']","['1', '  ']","['45', '  ']","['11', '  ']","['*', '  ']","['22', '  ']","['8', '  ']","['1', '  ']"
2075,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['117', '  ']","['90', '  ']","['1', '  ']","['5', '  ']","['1', '  ']","['0', '  ']","['19', '  ']","['1', '  ']","['0', '  ']"
2075,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['216', '  ']","['154', '  ']","['0', '  ']","['40', '  ']","['10', '  ']","['*', '  ']","['4', '  ']","['7', '  ']","['1', '  ']"
2075,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['*', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
