table_id,row_id,position_and_field_full_path,position_and_field_level_1,position_and_field_level_2,position_and_field_level_3,position_and_field_level_4,position_and_field_level_5,position_and_field_hierarchy_depth,field_1973,field_1977,field_1981,field_1983,field_1985,field_1987,field_1989,field_1991,field_1993,field_1995,field_1997,field_1999,field_2001,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017,field_2019
4399,r061,All positions -> Postdoctorates -> All fields -> Psychology,All positions,Postdoctorates,All fields,Psychology,,4,0.2,0.5,0.6,0.6,0.7,0.7,0.8,0.5,0.4,1.1,1.3,1.2,1.2,0.9,1.7,1.0,1.1,1.0,0.8,0.7,0.9
4399,r062,All positions -> Postdoctorates -> All fields -> Social sciences,All positions,Postdoctorates,All fields,Social sciences,,4,0.1,0.3,0.3,0.6,0.3,0.1,0.4,0.3,0.2,0.4,0.7,0.5,0.6,0.5,0.9,0.3,0.8,0.4,0.4,0.6,0.5
4399,r063,All positions -> Postdoctorates -> All fields -> Engineering,All positions,Postdoctorates,All fields,Engineering,,4,0.2,0.4,0.2,0.3,0.2,0.5,0.6,0.5,1.0,1.2,1.7,1.1,0.9,1.1,3.0,2.1,3.1,2.4,2.2,2.6,2.3
4399,r064,All positions -> Part-time positions<sup>c</sup>,All positions,Part-time positions<sup>c</sup>,,,,2,,,,,,,,,,,,,,,,,,,,,
4399,r065,All positions -> Part-time positions<sup>c</sup> -> All fields,All positions,Part-time positions<sup>c</sup>,All fields,,,3,2.9,3.4,4.0,6.0,6.5,5.7,6.2,7.4,5.9,5.5,8.9,8.2,9.0,13.3,15.7,15.6,17.0,18.5,19.8,20.6,19.3
4399,r066,All positions -> Part-time positions<sup>c</sup> -> All fields -> Physical sciences,All positions,Part-time positions<sup>c</sup>,All fields,Physical sciences,,4,0.7,0.7,0.7,1.1,1.1,0.8,0.7,1.2,1.0,0.9,1.2,1.0,1.0,1.1,1.5,1.6,2.0,2.5,2.8,2.6,2.3
4399,r067,All positions -> Part-time positions<sup>c</sup> -> All fields -> Mathematics and statistics,All positions,Part-time positions<sup>c</sup>,All fields,Mathematics and statistics,,4,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.7,0.7,0.6,0.9,1.2,1.0,1.1,1.1,1.2,1.6,1.4
4399,r068,All positions -> Part-time positions<sup>c</sup> -> All fields -> Computer and information sciences,All positions,Part-time positions<sup>c</sup>,All fields,Computer and information sciences,,4,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.3,0.3,0.3,0.4
4399,r069,All positions -> Part-time positions<sup>c</sup> -> All fields -> Life sciences,All positions,Part-time positions<sup>c</sup>,All fields,Life sciences,,4,0.9,1.0,1.2,1.7,1.7,1.6,1.9,2.3,1.6,1.2,2.9,2.6,2.4,4.0,4.4,4.3,4.6,5.2,5.2,5.7,5.6
4399,r070,All positions -> Part-time positions<sup>c</sup> -> All fields -> Psychology,All positions,Part-time positions<sup>c</sup>,All fields,Psychology,,4,0.4,0.6,0.8,1.0,1.0,1.0,1.0,1.2,1.2,1.1,1.1,1.3,1.8,3.2,3.6,3.7,3.8,4.2,4.1,3.6,3.2
4399,r071,All positions -> Part-time positions<sup>c</sup> -> All fields -> Social sciences,All positions,Part-time positions<sup>c</sup>,All fields,Social sciences,,4,0.7,0.8,1.0,1.6,2.2,1.8,1.7,2.0,1.3,1.3,2.6,2.2,2.7,3.1,3.7,4.0,4.0,4.2,4.4,5.4,4.6
4399,r072,All positions -> Part-time positions<sup>c</sup> -> All fields -> Engineering,All positions,Part-time positions<sup>c</sup>,All fields,Engineering,,4,0.1,0.1,0.2,0.4,0.3,0.3,0.5,0.5,0.5,0.4,0.3,0.4,0.4,0.8,1.1,0.9,1.2,1.1,1.8,1.5,1.7
