table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_u_s_residing_all_number,field_u_s_residing_all_se,field_u_s_residing_male_number,field_u_s_residing_male_se,field_u_s_residing_female_number,field_u_s_residing_female_se,field_non_u_s_residing_all_number,field_non_u_s_residing_all_se,field_non_u_s_residing_male_number,field_non_u_s_residing_male_se,field_non_u_s_residing_female_number,field_non_u_s_residing_female_se
3662,r045,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Inorganic chemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Inorganic chemistry,5,10550,200,7600,225,2950,175,900,175,650,150,250,75
3662,r046,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Organic chemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Organic chemistry,5,22850,300,17600,350,5250,250,1700,275,1350,225,400,125
3662,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Chemistry, other, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry","Chemistry, other, except biochemistry",5,47300,350,33000,475,14300,400,4800,350,3300,325,1450,175
3662,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",,4,26250,275,18900,275,7300,200,4650,250,3650,250,1000,100
3662,r049,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,5,4450,75,3250,75,1200,75,800,75,600,75,200,50
3662,r050,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences, geosciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences","Geological and earth sciences, geosciences",5,16450,250,12250,250,4200,150,2800,225,2250,225,550,75
3662,r051,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,5,2400,75,1350,75,1000,50,400,75,300,75,150,50
3662,r052,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Oceanography, chemical and physical",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences","Oceanography, chemical and physical",5,2950,125,2100,125,900,75,600,125,500,125,100,50
3662,r053,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,,4,47850,550,41400,600,6450,325,9700,525,8700,500,1000,175
3662,r054,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,139450,575,56250,650,83200,725,6250,375,2400,250,3800,300
3662,r055,All fields -> Science -> Psychology -> Clinical psychology,All fields,Science,Psychology,Clinical psychology,,4,47500,325,18150,475,29350,525,1100,200,250,100,850,175
3662,r056,All fields -> Science -> Psychology -> Counseling and applied psychology,All fields,Science,Psychology,Counseling and applied psychology,,4,17200,175,6400,275,10800,300,450,125,150,75,300,100
3662,r057,All fields -> Science -> Psychology -> Educational and school psychology,All fields,Science,Psychology,Educational and school psychology,,4,18350,225,6650,250,11700,250,1000,200,400,125,600,150
3662,r058,All fields -> Science -> Psychology -> Industrial and organizational psychology,All fields,Science,Psychology,Industrial and organizational psychology,,4,5800,150,2800,125,2950,125,350,125,200,125,S,S
3662,r059,All fields -> Science -> Psychology -> Research and experimental psychology,All fields,Science,Psychology,Research and experimental psychology,,4,34950,275,15050,325,19850,325,2650,250,1200,175,1450,150
3662,r060,"All fields -> Science -> Psychology -> Psychology, general",All fields,Science,Psychology,"Psychology, general",,4,9650,150,4450,250,5200,250,350,100,150,75,150,75
3662,r061,"All fields -> Science -> Psychology -> Psychology, other",All fields,Science,Psychology,"Psychology, other",,4,6050,100,2700,150,3300,175,350,75,50,50,300,75
3662,r062,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,124950,800,72700,750,52250,600,29350,750,19600,600,9750,450
3662,r063,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,,4,32450,525,23650,500,8800,250,13400,500,10850,475,2550,225
3662,r064,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,,4,25800,350,16450,425,9350,350,3450,325,2250,275,1150,200
3662,r065,All fields -> Science -> Social sciences -> Political science and government -> Political science and government,All fields,Science,Social sciences,Political science and government,Political science and government,5,21200,300,14150,400,7050,325,2650,275,1750,250,900,175
3662,r066,All fields -> Science -> Social sciences -> Political science and government -> Public policy analysis,All fields,Science,Social sciences,Political science and government,Public policy analysis,5,4600,150,2300,125,2300,125,800,150,550,150,250,50
3662,r067,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",,4,19850,300,9150,275,10700,275,2900,275,1400,200,1500,200
3662,r068,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,,4,46800,450,23400,425,23400,350,9650,450,5050,375,4550,350
3662,r069,All fields -> Science -> Social sciences -> Other social sciences -> Anthropology,All fields,Science,Social sciences,Other social sciences,Anthropology,5,13950,225,6150,250,7800,225,2000,200,800,150,1200,150
3662,r070,"All fields -> Science -> Social sciences -> Other social sciences -> Area, ethnic, cultural, gender, and group studies",All fields,Science,Social sciences,Other social sciences,"Area, ethnic, cultural, gender, and group studies",5,4650,125,2050,125,2550,125,400,75,100,50,250,75
3662,r071,All fields -> Science -> Social sciences -> Other social sciences -> Geography and cartography,All fields,Science,Social sciences,Other social sciences,Geography and cartography,5,5750,175,3750,150,2000,125,1000,150,750,150,300,75
3662,r072,All fields -> Science -> Social sciences -> Other social sciences -> International relations and national security studies,All fields,Science,Social sciences,Other social sciences,International relations and national security studies,5,2800,150,1800,125,1050,100,900,150,600,125,300,100
3662,r073,All fields -> Science -> Social sciences -> Other social sciences -> Linguistics,All fields,Science,Social sciences,Other social sciences,Linguistics,5,6200,250,2550,200,3650,225,2350,250,1100,175,1250,200
3662,r074,"All fields -> Science -> Social sciences -> Other social sciences -> Urban studies, affairs",All fields,Science,Social sciences,Other social sciences,"Urban studies, affairs",5,2150,75,1400,75,750,50,400,75,300,75,100,50
3662,r075,"All fields -> Science -> Social sciences -> Other social sciences -> Social sciences, other",All fields,Science,Social sciences,Other social sciences,"Social sciences, other",5,11300,225,5700,200,5600,200,2550,225,1450,175,1100,175
3662,r076,All fields -> Engineering,All fields,Engineering,,,,2,199500,975,166800,1000,32700,625,35050,950,30900,925,4150,300
3662,r077,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,7900,200,7150,200,750,75,1150,200,1100,200,50,25
3662,r078,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,,3,24450,400,19500,425,5000,275,3950,400,3150,375,800,175
3662,r079,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,,3,21400,400,17200,400,4200,225,5700,425,4950,400,750,150
3662,r080,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,,3,53950,525,47600,575,6350,300,9000,525,8350,550,650,150
3662,r081,All fields -> Engineering -> Electrical and computer engineering -> Computer engineering,All fields,Engineering,Electrical and computer engineering,Computer engineering,,4,7600,175,6650,175,950,100,1300,175,1100,175,150,50
3662,r082,"All fields -> Engineering -> Electrical and computer engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,Electrical and computer engineering,"Electrical, electronics, and communications engineering",,4,46350,525,40900,525,5400,300,7700,500,7250,525,450,150
3662,r083,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,,3,29300,400,25850,400,3450,225,4050,400,3900,400,150,75
3662,r084,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,,3,19100,300,15450,300,3650,200,3100,250,2450,250,650,125
3662,r085,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,,3,43400,450,34100,475,9300,300,8150,425,7000,400,1150,175
3662,r086,All fields -> Engineering -> Other engineering -> Agricultural engineering,All fields,Engineering,Other engineering,Agricultural engineering,,4,2300,75,1900,75,350,50,350,50,350,50,50,25
3662,r087,All fields -> Engineering -> Other engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Other engineering,Bioengineering and biomedical engineering,,4,14200,225,9900,275,4300,225,1200,225,800,200,400,100
3662,r088,"All fields -> Engineering -> Other engineering -> Engineering mechanics, physics, and science",All fields,Engineering,Other engineering,"Engineering mechanics, physics, and science",,4,5200,150,4550,150,600,50,1000,150,900,150,100,25
3662,r089,All fields -> Engineering -> Other engineering -> Industrial and manufacturing engineering,All fields,Engineering,Other engineering,Industrial and manufacturing engineering,,4,10300,250,7950,250,2300,175,3000,250,2650,250,400,100
3662,r090,All fields -> Engineering -> Other engineering -> Nuclear engineering,All fields,Engineering,Other engineering,Nuclear engineering,,4,3650,125,3350,125,350,50,600,125,550,125,50,25
3662,r091,"All fields -> Engineering -> Other engineering -> Engineering, other",All fields,Engineering,Other engineering,"Engineering, other",,4,7800,175,6400,175,1400,100,1950,175,1750,175,200,50
3662,r092,All fields -> Health,All fields,Health,,,,2,47600,400,17200,325,30400,400,4600,350,2250,250,2350,275
3662,r093,All fields -> Health -> Communication disorders sciences and services,All fields,Health,Communication disorders sciences and services,,,3,4150,100,1150,100,3000,100,200,75,,,100,50
3662,r094,All fields -> Health -> Hospital and medical administration services,All fields,Health,Hospital and medical administration services,,,3,2000,75,900,75,1100,75,200,75,150,75,50,25
3662,r095,"All fields -> Health -> Pharmacy, pharmaceutical sciences, and administration",All fields,Health,"Pharmacy, pharmaceutical sciences, and administration",,,3,8950,150,5600,200,3350,175,600,125,300,75,300,100
3662,r096,All fields -> Health -> Public health,All fields,Health,Public health,,,3,9350,200,3050,150,6300,200,1250,175,750,150,500,150
3662,r097,"All fields -> Health -> Registered nursing, nursing administration, nursing research",All fields,Health,"Registered nursing, nursing administration, nursing research",,,3,11350,200,550,75,10750,200,750,175,S,S,700,175
3662,r098,"All fields -> Health -> Health sciences, other",All fields,Health,"Health sciences, other",,,3,11850,200,5950,225,5900,200,1600,175,900,150,700,100
