table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_employed_scientists_and_engineers,field_highest_degree_in_s_e_all_s_e_highest_degree,field_highest_degree_in_s_e_computer_and_mathematical_sciences,field_highest_degree_in_s_e_biological_agricultural_and_environmental_life_sciences,field_highest_degree_in_s_e_physical_and_related_sciences,field_highest_degree_in_s_e_social_and_related_sciences,field_highest_degree_in_s_e_engineering,field_s_e_related_highest_degree,field_non_s_e_highest_degree
4416,r142,"Non-S&E occupations -> Sales and marketing occupations -> Insurance, securities, real estate, and business services",Non-S&E occupations,Sales and marketing occupations,"Insurance, securities, real estate, and business services",,3,365,241,13,19,s,178,26,56,67
4416,r143,"Non-S&E occupations -> Sales and marketing occupations -> Sales&#8212;commodities, except retail (e.g., industrial/medical/dental machinery, equipment, supplies)",Non-S&E occupations,Sales and marketing occupations,"Sales&#8212;commodities, except retail (e.g., industrial/medical/dental machinery, equipment, supplies)",,3,235,163,6,27,12,87,31,40,32
4416,r144,"Non-S&E occupations -> Sales and marketing occupations -> Sales&#8212;retail (e.g., furnishings, clothing, motor vehicles, cosmetics)",Non-S&E occupations,Sales and marketing occupations,"Sales&#8212;retail (e.g., furnishings, clothing, motor vehicles, cosmetics)",,3,328,245,26,51,12,127,29,58,25
4416,r145,Non-S&E occupations -> Sales and marketing occupations -> Other marketing and sales occupations,Non-S&E occupations,Sales and marketing occupations,Other marketing and sales occupations,,3,517,347,43,34,11,210,49,79,90
4416,r146,"Non-S&E occupations -> Arts, humanities, and related occupations",Non-S&E occupations,"Arts, humanities, and related occupations",,,2,305,183,9,s,s,123,8,39,82
4416,r147,"Non-S&E occupations -> Arts, humanities, and related occupations -> Writers, editors, public relations specialists, artists, entertainers, broadcasters",Non-S&E occupations,"Arts, humanities, and related occupations","Writers, editors, public relations specialists, artists, entertainers, broadcasters",,3,302,181,8,s,s,122,8,39,81
4416,r148,"Non-S&E occupations -> Arts, humanities, and related occupations -> Historians",Non-S&E occupations,"Arts, humanities, and related occupations",Historians,,3,3,s,s,s,s,s,s,0,s
4416,r149,Non-S&E occupations -> Other non-S&E occupations,Non-S&E occupations,Other non-S&E occupations,,,2,3810,2332,234,404,99,1309,285,560,918
4416,r150,Non-S&E occupations -> Other non-S&E occupations -> Accounting clerks and bookkeepers,Non-S&E occupations,Other non-S&E occupations,Accounting clerks and bookkeepers,,3,214,155,34,18,s,89,5,36,24
4416,r151,"Non-S&E occupations -> Other non-S&E occupations -> Secretaries, receptionists, typists",Non-S&E occupations,Other non-S&E occupations,"Secretaries, receptionists, typists",,3,223,140,10,26,s,96,6,63,19
4416,r152,"Non-S&E occupations -> Other non-S&E occupations -> Other administrative (e.g., record clerks, telephone operators)",Non-S&E occupations,Other non-S&E occupations,"Other administrative (e.g., record clerks, telephone operators)",,3,633,441,43,63,17,296,22,131,61
4416,r153,"Non-S&E occupations -> Other non-S&E occupations -> Farmers, foresters, and fishermen",Non-S&E occupations,Other non-S&E occupations,"Farmers, foresters, and fishermen",,3,116,103,s,70,s,15,11,s,s
4416,r154,"Non-S&E occupations -> Other non-S&E occupations -> Lawyers, judges",Non-S&E occupations,Other non-S&E occupations,"Lawyers, judges",,3,614,60,6,3,s,47,3,s,551
4416,r155,"Non-S&E occupations -> Other non-S&E occupations -> Librarians, archivists, curators",Non-S&E occupations,Other non-S&E occupations,"Librarians, archivists, curators",,3,85,28,s,s,s,16,s,10,47
4416,r156,"Non-S&E occupations -> Other non-S&E occupations -> Food preparation and service (e.g., cooks, waitresses, bartenders)",Non-S&E occupations,Other non-S&E occupations,"Food preparation and service (e.g., cooks, waitresses, bartenders)",,3,226,164,8,43,4,99,9,s,21
4416,r157,"Non-S&E occupations -> Other non-S&E occupations -> Protective services (e.g., firefighters, police, guards, wardens, park rangers)",Non-S&E occupations,Other non-S&E occupations,"Protective services (e.g., firefighters, police, guards, wardens, park rangers)",,3,185,144,s,17,s,107,s,15,26
4416,r158,"Non-S&E occupations -> Other non-S&E occupations -> Other service occupations, except health (e.g., probation officer, human services work)",Non-S&E occupations,Other non-S&E occupations,"Other service occupations, except health (e.g., probation officer, human services work)",,3,477,342,39,44,s,206,31,84,51
4416,r159,"Non-S&E occupations -> Other non-S&E occupations -> Other teachers and instructors (e.g., private tutors, dance, flying, martial arts)",Non-S&E occupations,Other non-S&E occupations,"Other teachers and instructors (e.g., private tutors, dance, flying, martial arts)",,3,239,145,15,32,15,61,22,50,43
4416,r160,Non-S&E occupations -> Other non-S&E occupations -> Construction and extraction occupations,Non-S&E occupations,Other non-S&E occupations,Construction and extraction occupations,,3,58,41,s,10,s,10,18,12,4
4416,r161,"Non-S&E occupations -> Other non-S&E occupations -> Installation, maintenance, and repair occupations",Non-S&E occupations,Other non-S&E occupations,"Installation, maintenance, and repair occupations",,3,113,93,15,3,s,31,44,14,s
4416,r162,"Non-S&E occupations -> Other non-S&E occupations -> Precision or production occupations (e.g., metal or wood workers, butchers, bakers, assemblers, tailors)",Non-S&E occupations,Other non-S&E occupations,"Precision or production occupations (e.g., metal or wood workers, butchers, bakers, assemblers, tailors)",,3,157,113,11,24,5,50,24,28,16
4416,r163,Non-S&E occupations -> Other non-S&E occupations -> Transportation and material moving occupations,Non-S&E occupations,Other non-S&E occupations,Transportation and material moving occupations,,3,249,195,22,26,9,73,65,33,21
4416,r164,Non-S&E occupations -> Other non-S&E occupations -> Other occupations,Non-S&E occupations,Other non-S&E occupations,Other occupations,,3,221,168,12,22,3,114,17,31,22
