table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_science_occupations_total_number,field_science_occupations_total_se,field_science_occupations_post_secondary_teachers_number,field_science_occupations_post_secondary_teachers_se,field_science_occupations_other_number,field_science_occupations_other_se,field_engineering_occupations_total_number,field_engineering_occupations_total_se,field_engineering_occupations_post_secondary_teachers_number,field_engineering_occupations_post_secondary_teachers_se,field_engineering_occupations_other_number,field_engineering_occupations_other_se,field_s_e_related_occupations_total_number,field_s_e_related_occupations_total_se,field_s_e_related_occupations_health_occupations_number,field_s_e_related_occupations_health_occupations_se,field_s_e_related_occupations_s_e_managers_number,field_s_e_related_occupations_s_e_managers_se,field_s_e_related_occupations_other_number,field_s_e_related_occupations_other_se,field_non_s_e_occupations_total_number,field_non_s_e_occupations_total_se,field_non_s_e_occupations_non_s_e_managers_number,field_non_s_e_occupations_non_s_e_managers_se,field_non_s_e_occupations_non_s_e_teachers_number,field_non_s_e_occupations_non_s_e_teachers_se,field_non_s_e_occupations_other_number,field_non_s_e_occupations_other_se
3723,r088,"All fields -> Engineering -> Other engineering -> Engineering mechanics, physics, and science",All fields,Engineering,Other engineering,"Engineering mechanics, physics, and science",,4,4400,150,900,125,150,75,750,100,2550,150,650,100,1900,150,400,75,S,S,150,50,150,50,550,100,300,75,,,200,50
3723,r089,All fields -> Engineering -> Other engineering -> Industrial and manufacturing engineering,All fields,Engineering,Other engineering,Industrial and manufacturing engineering,,4,8800,275,2950,200,300,100,2650,200,3050,225,1350,200,1750,175,600,125,50,50,350,100,200,50,2150,200,800,125,750,125,650,125
3723,r090,All fields -> Engineering -> Other engineering -> Nuclear engineering,All fields,Engineering,Other engineering,Nuclear engineering,,4,3100,125,700,75,100,50,650,75,1600,125,250,75,1350,125,350,75,100,50,150,50,50,25,450,100,300,75,,,150,50
3723,r091,"All fields -> Engineering -> Other engineering -> Engineering, other",All fields,Engineering,Other engineering,"Engineering, other",,4,6600,200,1550,150,300,75,1250,150,3500,225,700,125,2850,225,500,100,,,400,100,S,S,1050,150,450,100,200,100,400,100
3723,r092,All fields -> Health,All fields,Health,,,,2,40200,475,11950,350,1800,175,10150,350,450,125,50,50,400,125,20200,550,18850,550,1200,175,150,75,7600,350,3250,275,1650,175,2700,250
3723,r093,All fields -> Health -> Communication disorders sciences and services,All fields,Health,Communication disorders sciences and services,,,3,3100,125,350,75,100,50,250,50,,,,,,,2100,125,2050,125,50,25,,,650,100,200,75,150,50,250,75
3723,r094,All fields -> Health -> Hospital and medical administration services,All fields,Health,Hospital and medical administration services,,,3,1550,100,400,75,50,25,350,50,,,,,,,700,75,600,75,100,50,,,450,75,200,50,100,50,150,50
3723,r095,"All fields -> Health -> Pharmacy, pharmaceutical sciences, and administration",All fields,Health,"Pharmacy, pharmaceutical sciences, and administration",,,3,8050,175,5000,250,600,100,4400,250,S,S,,,S,S,1700,200,1400,200,250,75,,,1150,150,650,150,50,50,450,100
3723,r096,All fields -> Health -> Public health,All fields,Health,Public health,,,3,8400,225,3000,225,300,75,2650,225,100,50,,,100,50,3700,275,3350,275,350,100,,,1600,175,600,100,200,75,800,150
3723,r097,"All fields -> Health -> Registered nursing, nursing administration, nursing research",All fields,Health,"Registered nursing, nursing administration, nursing research",,,3,9000,250,400,100,100,50,250,100,,,,,,,6950,300,6650,300,300,125,,,1650,200,950,150,400,125,300,100
3723,r098,"All fields -> Health -> Health sciences, other",All fields,Health,"Health sciences, other",,,3,10150,225,2850,200,650,100,2200,175,150,50,,,100,50,5050,250,4800,250,200,75,50,25,2100,175,600,125,750,125,750,150
