table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_hierarchy_depth,field_rdt_e_expenditures_all_rdt_e,field_rdt_e_expenditures_r_d_all_r_d,field_rdt_e_expenditures_r_d_basic_research,field_rdt_e_expenditures_r_d_applied_research,field_rdt_e_expenditures_r_d_experimental_development,field_rdt_e_expenditures_operational_system_development,field_federally_funded_rdt_e_expenditures_all_federal_rdt_e,field_federally_funded_rdt_e_expenditures_r_d_all_r_d,field_federally_funded_rdt_e_expenditures_r_d_basic_research,field_federally_funded_rdt_e_expenditures_r_d_applied_research,field_federally_funded_rdt_e_expenditures_r_d_experimental_development,field_federally_funded_rdt_e_expenditures_operational_system_development,field_nonfederally_funded_rdt_e_expenditures_all_nonfederal_rdt_e,field_nonfederally_funded_rdt_e_expenditures_r_d_all_r_d,field_nonfederally_funded_rdt_e_expenditures_r_d_basic_research,field_nonfederally_funded_rdt_e_expenditures_r_d_applied_research,field_nonfederally_funded_rdt_e_expenditures_r_d_experimental_development,field_nonfederally_funded_rdt_e_expenditures_operational_system_development
12492,r055,All DOD agencies -> Space Force -> Evolved Strategic SATCOM,All DOD agencies,Space Force,Evolved Strategic SATCOM,,,3,"['108,519', '']","['108,519', '']","['0', '']","['0', '']","['108,519', '']","['0', '']","['108,519', '']","['108,519', '']","['0', '']","['0', '']","['108,519', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r056,All DOD agencies -> Space Force -> Global Positioning Systems III Follow-on,All DOD agencies,Space Force,Global Positioning Systems III Follow-on,,,3,"['138,971', '']","['138,971', '']","['0', '']","['0', '']","['138,971', '']","['0', '']","['138,971', '']","['138,971', '']","['0', '']","['0', '']","['138,971', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r057,All DOD agencies -> Space Force -> Ground Based Optical Sensor System,All DOD agencies,Space Force,Ground Based Optical Sensor System,,,3,"['45,388', '']","['45,388', '']","['0', '']","['0', '']","['45,388', '']","['0', '']","['45,388', '']","['45,388', '']","['0', '']","['0', '']","['45,388', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r058,All DOD agencies -> Space Force -> Joint Execution and Tasking System for Space,All DOD agencies,Space Force,Joint Execution and Tasking System for Space,,,3,"['2,087', '']","['2,087', '']","['0', '']","['0', '']","['2,087', '']","['0', '']","['2,087', '']","['2,087', '']","['0', '']","['0', '']","['2,087', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r059,All DOD agencies -> Space Force -> National Security Space Launch,All DOD agencies,Space Force,National Security Space Launch,,,3,"['91,491', '']","['91,491', '']","['0', '']","['0', '']","['91,491', '']","['0', '']","['91,491', '']","['91,491', '']","['0', '']","['0', '']","['91,491', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r060,All DOD agencies -> Space Force -> NAVSTAR Global Positioning System (User Equipment),All DOD agencies,Space Force,NAVSTAR Global Positioning System (User Equipment),,,3,"['290,005', '']","['290,005', '']","['0', '']","['0', '']","['290,005', '']","['0', '']","['290,005', '']","['290,005', '']","['0', '']","['0', '']","['290,005', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r061,All DOD agencies -> Space Force -> Next-Generation Overhead Persistent Infrared Block 0 Geosynchronous,All DOD agencies,Space Force,Next-Generation Overhead Persistent Infrared Block 0 Geosynchronous,,,3,"['334,688', '']","['334,688', '']","['0', '']","['0', '']","['334,688', '']","['0', '']","['334,688', '']","['334,688', '']","['0', '']","['0', '']","['334,688', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r062,All DOD agencies -> Space Force -> Next-Generation Overhead Persistent Infrared Block 0 Polar,All DOD agencies,Space Force,Next-Generation Overhead Persistent Infrared Block 0 Polar,,,3,"['343,144', '']","['343,144', '']","['0', '']","['0', '']","['343,144', '']","['0', '']","['343,144', '']","['343,144', '']","['0', '']","['0', '']","['343,144', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r063,All DOD agencies -> Space Force -> Next-Generation Overhead Persistent Infrared Ground (aka Future Operationally Resilient Ground Evolution),All DOD agencies,Space Force,Next-Generation Overhead Persistent Infrared Ground (aka Future Operationally Resilient Ground Evolution),,,3,"['311,140', '']","['311,140', '']","['0', '']","['0', '']","['311,140', '']","['0', '']","['311,140', '']","['311,140', '']","['0', '']","['0', '']","['311,140', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r064,All DOD agencies -> Space Force -> Next-Generation Overhead Persistent Infrared Integration,All DOD agencies,Space Force,Next-Generation Overhead Persistent Infrared Integration,,,3,"['23,796', '']","['23,796', '']","['0', '']","['0', '']","['23,796', '']","['0', '']","['23,796', '']","['23,796', '']","['0', '']","['0', '']","['23,796', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r065,All DOD agencies -> Space Force -> Next-Generation Overhead Persistent Infrared Space Mod Initiative,All DOD agencies,Space Force,Next-Generation Overhead Persistent Infrared Space Mod Initiative,,,3,"['56,529', '']","['56,529', '']","['0', '']","['0', '']","['56,529', '']","['0', '']","['56,529', '']","['56,529', '']","['0', '']","['0', '']","['56,529', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r066,All DOD agencies -> Space Force -> Polar MILSATCOM Enhanced Polar System Recapitalization,All DOD agencies,Space Force,Polar MILSATCOM Enhanced Polar System Recapitalization,,,3,"['50,402', '']","['50,402', '']","['0', '']","['0', '']","['50,402', '']","['0', '']","['50,402', '']","['50,402', '']","['0', '']","['0', '']","['50,402', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r067,All DOD agencies -> Space Force -> Protected Tactical Enterprise Service,All DOD agencies,Space Force,Protected Tactical Enterprise Service,,,3,"['51,780', '']","['51,780', '']","['0', '']","['0', '']","['51,780', '']","['0', '']","['51,780', '']","['51,780', '']","['0', '']","['0', '']","['51,780', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r068,All DOD agencies -> Space Force -> Protected Tactical Service,All DOD agencies,Space Force,Protected Tactical Service,,,3,"['185,948', '']","['185,948', '']","['0', '']","['0', '']","['185,948', '']","['0', '']","['185,948', '']","['185,948', '']","['0', '']","['0', '']","['185,948', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r069,All DOD agencies -> Space Force -> Rocket System Launch Program,All DOD agencies,Space Force,Rocket System Launch Program,,,3,"['21,481', '']","['21,481', '']","['0', '']","['0', '']","['21,481', '']","['0', '']","['21,481', '']","['21,481', '']","['0', '']","['0', '']","['21,481', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r070,All DOD agencies -> Space Force -> Space Control Technology,All DOD agencies,Space Force,Space Control Technology,,,3,"['31,361', '']","['31,361', '']","['0', '']","['0', '']","['31,361', '']","['0', '']","['31,361', '']","['31,361', '']","['0', '']","['0', '']","['31,361', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r071,All DOD agencies -> Space Force -> Space Rapid Capabilities Office,All DOD agencies,Space Force,Space Rapid Capabilities Office,,,3,"['83,186', '']","['83,186', '']","['83,186', '']","['0', '']","['0', '']","['0', '']","['83,186', '']","['83,186', '']","['83,186', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r072,All DOD agencies -> Space Force -> Space Situation Awareness Systems,All DOD agencies,Space Force,Space Situation Awareness Systems,,,3,"['100,674', '']","['100,674', '']","['0', '']","['0', '']","['100,674', '']","['0', '']","['100,674', '']","['100,674', '']","['0', '']","['0', '']","['100,674', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r073,All DOD agencies -> Space Force -> Space Situational Awareness Environmental Monitoring,All DOD agencies,Space Force,Space Situational Awareness Environmental Monitoring,,,3,"['364', '']","['364', '']","['0', '']","['0', '']","['364', '']","['0', '']","['364', '']","['364', '']","['0', '']","['0', '']","['364', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r074,All DOD agencies -> Space Force -> Space Systems Prototype Transitions Assault Breaker II,All DOD agencies,Space Force,Space Systems Prototype Transitions Assault Breaker II,,,3,"['49,909', '']","['49,909', '']","['0', '']","['0', '']","['49,909', '']","['0', '']","['49,909', '']","['49,909', '']","['0', '']","['0', '']","['49,909', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r075,All DOD agencies -> Space Force -> Space Test and Training Range Development,All DOD agencies,Space Force,Space Test and Training Range Development,,,3,"['742', '']","['742', '']","['0', '']","['0', '']","['742', '']","['0', '']","['742', '']","['742', '']","['0', '']","['0', '']","['742', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12492,r076,All DOD agencies -> Space Force -> Space Test Program,All DOD agencies,Space Force,Space Test Program,,,3,"['24,717', '']","['24,717', '']","['0', '']","['0', '']","['24,717', '']","['0', '']","['14,860', '']","['14,860', '']","['0', '']","['0', '']","['14,860', '']","['0', '']","['9,857', '']","['9,857', '']","['0', '']","['0', '']","['9,857', '']","['0', '']"
12492,r077,All DOD agencies -> Space Force -> Weather System Follow-On,All DOD agencies,Space Force,Weather System Follow-On,,,3,"['12,364', '']","['12,364', '']","['0', '']","['0', '']","['12,364', '']","['0', '']","['12,364', '']","['12,364', '']","['0', '']","['0', '']","['12,364', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
